number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
1,33878340,BRAF,Non-Small Cell Lung Cancer,_,NGS(Guardant360),"We retrospectively evaluated 370 adult patients with NSCLC treated at the City of Hope between November 2015 and August 2019 to assess the usefulness of ctDNA in mutation identification, survival, concordance with matched tissue samples in 32 genes, and tumor evolution",_,"Overall survival was shorter in patients harboring BRAF mutations (HR, 2.35; 95% CI, 1.24-4.6; P = .009)",_,_,_,_,_
2,33878340,PI3KCA,Non-Small Cell Lung Cancer,_,NGS(Guardant360),"We retrospectively evaluated 370 adult patients with NSCLC treated at the City of Hope between November 2015 and August 2019 to assess the usefulness of ctDNA in mutation identification, survival, concordance with matched tissue samples in 32 genes, and tumor evolution",_,"Overall survival was shorter in patients harboring PIK3CA mutations (HR, 2.77; 95% CI, 1.56-4.9; P < .001)",_,_,_,_,_
3,33878340,KRAS,Non-Small Cell Lung Cancer,_,NGS(Guardant360),"We retrospectively evaluated 370 adult patients with NSCLC treated at the City of Hope between November 2015 and August 2019 to assess the usefulness of ctDNA in mutation identification, survival, concordance with matched tissue samples in 32 genes, and tumor evolution",_,"Overall survival was shorter in patients harboring KRAS mutations (HR, 2.32; 95% CI, 1.30-4.1; P = .004)",_,_,_,_,_
4,34664256,TP53,Diffuse Large B-Cell Lymphoma,plasma,cSMART,"In the present study, we developed a prospective and observational study by designing a panel targeting 17 genes to determine the value of ctDNA in prognosis and disease monitoring using cSMART in DLBCL.",_,"Patients with mutated TP53 had significantly shorter OS than those with wild-type TP53 (P = 0.037). A similar trend, although not significant, was observed in PFS (P = 0.1)",_,_,_,_,_
5,34664256,B2M,Diffuse Large B-Cell Lymphoma,plasma,cSMART,"In the present study, we developed a prospective and observational study by designing a panel targeting 17 genes to determine the value of ctDNA in prognosis and disease monitoring using cSMART in DLBCL.",_,Patients with mutations in B2M had both shorter OS and PFS (P = 0.0077 and P = 0.031; ),_,_,_,_,_
6,33122747,BRAF,Melanoma,plasma,dPCR,"In once clinical study, We proposed to standardize a liquid biopsy platform to identify hotspot mutations in BRAF, NRAS and TERT in plasma samples from advanced melanoma patients and investigate whether it was associated to clinical outcome.",_,Patients who had detectable levels of ctDNA had a shorter progression-free survival when compared to patients with undetectable mutation (p = 0.01),_,_,_,_,_
7,33122747,NRAS,Melanoma,plasma,dPCR,"In once clinical study, We proposed to standardize a liquid biopsy platform to identify hotspot mutations in BRAF, NRAS and TERT in plasma samples from advanced melanoma patients and investigate whether it was associated to clinical outcome.",_,Patients who had detectable levels of ctDNA had a shorter progression-free survival when compared to patients with undetectable mutation (p = 0.01),_,_,_,_,_
8,33122747,TERT,Melanoma,plasma,dPCR,"In once clinical study, We proposed to standardize a liquid biopsy platform to identify hotspot mutations in BRAF, NRAS and TERT in plasma samples from advanced melanoma patients and investigate whether it was associated to clinical outcome.",_,Patients who had detectable levels of ctDNA had a shorter progression-free survival when compared to patients with undetectable mutation (p = 0.01),_,_,_,_,_
9,30240661,KRAS,Pancreatic Adenocarcinoma,plasma,ddPCR,"In once clincal study,We collected liquid biopsy samples from 194 patients undergoing treatment for localized or metastatic pancreatic adenocarcinoma from April 7, 2015, through October 13, 2017 (425 blood samples collected before [baseline] and during therapy). Additional liquid biopsy samples were collected from 37 disease control individuals. Droplet digital polymerase chain reaction was used to determine KRAS mutant allele fraction (MAF) from ctDNA and exoDNA purified from plasma. For the longitudinal analysis, we analyzed exoDNA and ctDNA in 123 serial blood samples from 34 patients. We performed analysis including Cox regression, Fisher exact test, and Bayesian inference to associate KRAS MAFs in exoDNA and ctDNA with prognostic and predictive outcomes.",_,"On univariate analysis, patients with metastases and detectable ctDNA at baseline status had significantly shorter times of progression-free survival (PFS) (hazard ratio [HR] for death, 1.8; 95% CI, 1.1-3.0; P = .019), and overall survival (OS) (HR, 2.8; 95% CI, 1.4-5.7; P = .0045) compared with patients without detectable ctDNA. A multianalyte approach showed detection of both ctDNA and exoDNA MAFs ≡5% at baseline status to be a significant predictor of OS (HR, 7.73, 95% CI, 2.61-22.91, P = .00002) on multivariate analysis.","exoDNA and ctDNA KRAS MAFs at presentation were significantly correlated with tumor size as measured by total sum of lesion diameters (P = .035 and P = .0008, respectively)",_,"ctDNA tumor burden, as measured by KRAS MAF at presentation, was also significantly associated with survival (P = .03). Patients with liver metastatic lesions had a significantly greater KRAS MAF in exoDNA and ctDNA than patients with isolated lung and peritoneal lesions (P = .04). This correlation was likely affected by the fact that patients with metastasis to the liver have larger volume of lesions than those with isolated lung and peritoneal metastases.",_,_
10,32253118,KRAS,Lung Adenocarcinoma,plasma,ddPCR,Consecutive patients diagnosed with KRAS mutant lung adenocarcinoma in the tumor biopsy were included in this study. Plasma samples were obtained at different time points during the course of the disease. KRAS mutations in plasma were quantified using digital PCR and correlated with mutations in tumor and with radiological response and progression.,_,"The dynamics of KRAS mutational load predicted response in 93% and progression in 63% of cases, 33 and 50 days respectively in advance of radiological evaluation. Progression-free survival for patients in whom ctDNA was not detectable in plasma after treatment initiation was significantly longer than for those in whom ctDNA remained detectable (7.7 versus 3.2 months; HR: 0.44, p=0.004).",_,Predict tumor response and progression to chemotherapy in advance of radiographic evaluation. The liquid biopsies for ctDNA-based molecular analyses are a reliable tool for KRAS testing in clinical practice,_,_,_
11,34009695,VHL,Clear Cell Renal Cell Carcinoma,plasma,dPCR,"In the present study, we first aimed to establish a highly sensitive assay to detectVHLmutations using a combination of digital PCR (dPCR) and multiplex PCR每based targeted sequencing. Second, we profiled theVHLstatus in plasma cfDNA in patients with ccRCC and investigated clinical categories correlated withVHLmutations in cfDNA and evaluated their clinical utility.",_,_,the VAF of VHL mutation changed consistent with tumor size by radiographic imaging during systemic treatment.,_,_,_,_
12,33547199,RAS,Metastatic Colorectal Cancer,plasma,NGS,"We included patients with left-sided, RAS/BRAF wild-type, HER2-negative, and microsatellite stable mCRC, treated with upfront panitumumab/FOLFOX-4 in the Valentino study. We performed amplicon-based genomic profiling of 14 genes in baseline plasma samples and compared these data with tumor tissue ultra-deep sequencing results. Specific gene mutations in circulating tumor DNA (ctDNA) and their clonality were associated with progression-free survival (PFS), overall survival (OS), and radiological dynamics.",_,both PFS and OS were significantly worse in patients bearing a RAS mutation in ctDNA versus RAS wild-type subgroup,_,_,_,_,_
13,33547199,PIK3CA,Metastatic Colorectal Cancer,plasma,NGS,"We included patients with left-sided, RAS/BRAF wild-type, HER2-negative, and microsatellite stable mCRC, treated with upfront panitumumab/FOLFOX-4 in the Valentino study. We performed amplicon-based genomic profiling of 14 genes in baseline plasma samples and compared these data with tumor tissue ultra-deep sequencing results. Specific gene mutations in circulating tumor DNA (ctDNA) and their clonality were associated with progression-free survival (PFS), overall survival (OS), and radiological dynamics.",_,A trend for a worse PFS and OS could be observed in patients bearing simultaneously PIK3CA and KRAS mutations compared with patients carrying only one of them.,_,_,_,_,_
14,32196518,EGFR,Non-Small Cell Lung Cancer,plasma,PANAmutyperTMR EGFR and KRAS detection kit,Consecutive cases of NSCLC with matching surgically resected tissue specimens and peripheral or specimen blood samples were eligible for this study. EGFR and KRAS mutations in plasma ctDNA and formalin-fixed paraffin-embedded tissue were analyzed using peptide nucleic acid clamping-assisted method. The plasma and tissue results were compared according to clinicopathological features,_,_,The presence of ctDNA in plasma was significantly associated with higher pathological tumor stage (p = 0.008),_,significantly associated with nodal metastasis (p = 0.013),_,"significantly associated with solid adenocarcinoma pattern (p = 0.002),tumor necrosis (p = 0.002)"
15,32196518,KRAS,Non-Small Cell Lung Cancer,plasma,PANAmutyperTMR EGFR and KRAS detection kit,Consecutive cases of NSCLC with matching surgically resected tissue specimens and peripheral or specimen blood samples were eligible for this study. EGFR and KRAS mutations in plasma ctDNA and formalin-fixed paraffin-embedded tissue were analyzed using peptide nucleic acid clamping-assisted method. The plasma and tissue results were compared according to clinicopathological features,_,_,The presence of ctDNA in plasma was significantly associated with higher pathological tumor stage (p = 0.008),_,significantly associated with nodal metastasis (p = 0.013),_,"significantly associated with solid adenocarcinoma pattern (p = 0.002),tumor necrosis (p = 0.002)"
