"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0060537","BP","GO:0060537","muscle tissue development",0.195652173913043,"422/18903",6.70351835224728e-07,2.96097704289486,0.000822768673549508,"HIVEP3/KRAS/NEB/RUNX1/SPG11/WT1/XIRP2/NF1/TTN",9
"GO:0007517","BP","GO:0007517","muscle organ development",0.173913043478261,"348/18903",1.72612072772724e-06,2.85123867353315,0.0010592930360684,"HIVEP3/KRAS/NEB/SPG11/WT1/XIRP2/NF1/TTN",8
"GO:0048169","BP","GO:0048169","regulation of long-term neuronal synaptic plasticity",0.0652173913043478,"23/18903",2.30831272855302e-05,1.90110645392716,0.00944383382979937,"KIT/KRAS/NF1",3
"GO:2000647","BP","GO:2000647","negative regulation of stem cell proliferation",0.0652173913043478,"27/18903",3.7865160950989e-05,1.81110002971812,0.0116186257023298,"CEBPA/TP53/NF1",3
"GO:0042692","BP","GO:0042692","muscle cell differentiation",0.152173913043478,"409/18903",5.44924180487494e-05,1.76735960966168,0.0128497648760391,"KIT/KRAS/NEB/OBSCN/SPG11/WT1/TTN",7
"GO:0060538","BP","GO:0060538","skeletal muscle organ development",0.108695652173913,"176/18903",6.65140296231967e-05,1.76735960966168,0.0128497648760391,"HIVEP3/KRAS/SPG11/WT1/NF1",5
"GO:0051146","BP","GO:0051146","striated muscle cell differentiation",0.130434782608696,"293/18903",7.32855372432763e-05,1.76735960966168,0.0128497648760391,"KRAS/NEB/OBSCN/SPG11/WT1/TTN",6
"GO:0060251","BP","GO:0060251","regulation of glial cell proliferation",0.0652173913043478,"39/18903",0.000115912798553111,1.6262384411824,0.0177834635674904,"KRAS/TP53/NF1",3
"GO:0006739","BP","GO:0006739","NADP metabolic process",0.0652173913043478,"43/18903",0.000155462057012999,1.54989794519965,0.0212010243832932,"IDH1/IDH2/TP53",3
"GO:0010927","BP","GO:0010927","cellular component assembly involved in morphogenesis",0.0869565217391304,"119/18903",0.000198635062681496,1.5214392961781,0.0226368240152139,"NEB/OBSCN/TTN/VPS13B",4
"GO:0008542","BP","GO:0008542","visual learning",0.0652173913043478,"47/18903",0.000202877196362766,1.5214392961781,0.0226368240152139,"KIT/KRAS/NF1",3
"GO:0072089","BP","GO:0072089","stem cell proliferation",0.0869565217391304,"124/18903",0.000232597900506963,1.49985530128187,0.0237902764904491,"CEBPA/RUNX1/TP53/NF1",4
"GO:0048738","BP","GO:0048738","cardiac muscle tissue development",0.108695652173913,"241/18903",0.000289203273610985,1.47670708016762,0.0250927182690024,"NEB/RUNX1/WT1/XIRP2/TTN",5
"GO:0007632","BP","GO:0007632","visual behavior",0.0652173913043478,"53/18903",0.000290121166115709,1.47670708016762,0.0250927182690024,"KIT/KRAS/NF1",3
"GO:0014009","BP","GO:0014009","glial cell proliferation",0.0652173913043478,"54/18903",0.000306664867352731,1.47670708016762,0.0250927182690024,"KRAS/TP53/NF1",3
"GO:0048168","BP","GO:0048168","regulation of neuronal synaptic plasticity",0.0652173913043478,"57/18903",0.000359915073998852,1.44069741122552,0.0272619790356505,"KIT/KRAS/NF1",3
"GO:0014706","BP","GO:0014706","striated muscle tissue development",0.108695652173913,"257/18903",0.000388485693456856,1.44069741122552,0.0272619790356505,"NEB/RUNX1/WT1/XIRP2/TTN",5
"GO:0031272","BP","GO:0031272","regulation of pseudopodium assembly",0.0434782608695652,"13/18903",0.000444234649809055,1.44069741122552,0.0272619790356505,"APC/KIT",2
"GO:0031274","BP","GO:0031274","positive regulation of pseudopodium assembly",0.0434782608695652,"13/18903",0.000444234649809055,1.44069741122552,0.0272619790356505,"APC/KIT",2
"GO:1901524","BP","GO:1901524","regulation of mitophagy",0.0434782608695652,"13/18903",0.000444234649809055,1.44069741122552,0.0272619790356505,"TP53/VPS13C",2
"GO:0072350","BP","GO:0072350","tricarboxylic acid metabolic process",0.0434782608695652,"14/18903",0.000517470797554942,1.41942991251212,0.0286302327212124,"IDH1/IDH2",2
"GO:0051348","BP","GO:0051348","negative regulation of transferase activity",0.108695652173913,"276/18903",0.000537698426346121,1.41942991251212,0.0286302327212124,"APC/CEBPA/NPM1/TP53/NF1",5
"GO:0030239","BP","GO:0030239","myofibril assembly",0.0652173913043478,"68/18903",0.000605032811278141,1.41942991251212,0.0286302327212124,"NEB/OBSCN/TTN",3
"GO:0055002","BP","GO:0055002","striated muscle cell development",0.0652173913043478,"69/18903",0.000631460148485749,1.41942991251212,0.0286302327212124,"NEB/OBSCN/TTN",3
