"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.241379310344828,"71/8843",2.15614160517178e-09,6.51710360748798,1.38446987279451e-07,"2322/3417/3418/3815/3845/4893/7157",7
"hsa05221","hsa05221","Acute myeloid leukemia",0.206896551724138,"68/8843",6.82622844549735e-08,5.31763006479133,2.19157860618599e-06,"1050/2322/3815/3845/4893/861",6
"hsa05213","hsa05213","Endometrial cancer",0.137931034482759,"59/8843",3.74813109672357e-05,2.85558547402033,0.000635040821020036,"324/3845/4893/7157",4
"hsa04010","hsa04010","MAPK signaling pathway",0.241379310344828,"300/8843",3.95599199979695e-05,2.85558547402033,0.000635040821020036,"2322/3815/3845/4893/7157/4763/775",7
"hsa05224","hsa05224","Breast cancer",0.172413793103448,"148/8843",0.000105392307786234,2.59956825298195,0.00114503526954517,"324/3815/3845/4893/7157",5
"hsa05220","hsa05220","Chronic myeloid leukemia",0.137931034482759,"77/8843",0.0001069950989575,2.59956825298195,0.00114503526954517,"3845/4893/861/7157",4
"hsa05210","hsa05210","Colorectal cancer",0.137931034482759,"87/8843",0.000172046951794045,2.46023194485559,0.00157817504653184,"324/3845/4893/7157",4
"hsa05216","hsa05216","Thyroid cancer",0.103448275862069,"37/8843",0.000228619145708616,2.39475827676623,0.00183496945897705,"3845/4893/7157",3
"hsa05219","hsa05219","Bladder cancer",0.103448275862069,"41/8843",0.000310899907957469,2.31240280331447,0.00221811630238662,"3845/4893/7157",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer",0.172413793103448,"193/8843",0.000364561523234362,2.28901005716935,0.00234086872813643,"1050/2322/861/7157/7490",5
"hsa05206","hsa05206","MicroRNAs in cancer",0.206896551724138,"312/8843",0.000439259088114547,2.24945281684395,0.00256409611243898,"324/1788/3845/4893/7157/3190",6
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",0.241379310344828,"483/8843",0.000757101111482528,2.05080824962991,0.00405115507021353,"324/8632/3845/4893/6263/80208/775",7
"hsa04014","hsa04014","Ras signaling pathway",0.172413793103448,"238/8843",0.000947666080338384,1.98806890338193,0.00468077983001145,"2322/3815/3845/4893/4763",5
"hsa04929","hsa04929","GnRH secretion",0.103448275862069,"65/8843",0.00120836181353219,1.92205901920232,0.00544914165455666,"3845/4893/775",3
"hsa04720","hsa04720","Long-term potentiation",0.103448275862069,"67/8843",0.00131942398965683,1.92205901920232,0.00544914165455666,"3845/4893/775",3
"hsa05226","hsa05226","Gastric cancer",0.137931034482759,"150/8843",0.00135781890408625,1.92205901920232,0.00544914165455666,"324/3845/4893/7157",4
"hsa04921","hsa04921","Oxytocin signaling pathway",0.137931034482759,"154/8843",0.00149653271823327,1.90614359259658,0.00565253844038571,"3845/4893/6263/775",4
"hsa05218","hsa05218","Melanoma",0.103448275862069,"73/8843",0.00169057713307292,1.90149949793169,0.0057133077627395,"3845/4893/7157",3
"hsa05223","hsa05223","Non-small cell lung cancer",0.103448275862069,"73/8843",0.00169057713307292,1.90149949793169,0.0057133077627395,"3845/4893/7157",3
"hsa05214","hsa05214","Glioma",0.103448275862069,"76/8843",0.00189829284342545,1.87344767256043,0.00609451912889223,"3845/4893/7157",3
"hsa05225","hsa05225","Hepatocellular carcinoma",0.137931034482759,"170/8843",0.00215124499479093,1.85095389868805,0.00641849516484096,"324/3845/4893/7157",4
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.103448275862069,"80/8843",0.00219912375319961,1.85095389868805,0.00641849516484096,"3845/4893/4763",3
"hsa04211","hsa04211","Longevity regulating pathway",0.103448275862069,"90/8843",0.00307617503635828,1.72449767989154,0.00858794861408948,"3845/4893/7157",3
"hsa04912","hsa04912","GnRH signaling pathway",0.103448275862069,"93/8843",0.00337556632727404,1.70264548309604,0.00903112043700511,"3845/4893/775",3
