"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.230769230769231,"282/18903",4.6145117043286e-09,5.17301125480158,4.98853002141628e-06,"FAT4/IGSF21/PCDH15/PCDH7/PCDHA9/ROBO2/TENM2/UNC5D/PTPRD",9
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.153846153846154,"170/18903",1.23556129807319e-06,3.0463027060604,0.000667853396379562,"FAT4/IGSF21/PCDH15/PCDH7/PCDHA9/ROBO2",6
"GO:0007157","BP","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.102564102564103,"51/18903",3.60481090516321e-06,2.75737577320167,0.00129899677179039,"FAT4/IGSF21/TENM2/PTPRD",4
"GO:0097120","BP","GO:0097120","receptor localization to synapse",0.102564102564103,"56/18903",5.25906694210654e-06,2.7182882990689,0.00142133203935353,"IQSEC2/LRRC7/RELN/NETO1",4
"GO:0050808","BP","GO:0050808","synapse organization",0.179487179487179,"432/18903",2.53463598030532e-05,2.17122510942526,0.0050090888545385,"ANK3/CTNNB1/FRMPD4/IGSF21/RELN/ROBO2/PTPRD",7
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission",0.179487179487179,"448/18903",3.19768759010338e-05,2.17122510942526,0.0050090888545385,"AKAP12/GRM3/IQSEC2/RELN/TSHZ3/NETO1/PTPRD",7
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling",0.179487179487179,"449/18903",3.24347038779757e-05,2.17122510942526,0.0050090888545385,"AKAP12/GRM3/IQSEC2/RELN/TSHZ3/NETO1/PTPRD",7
"GO:0003279","BP","GO:0003279","cardiac septum development",0.102564102564103,"107/18903",6.85186979066409e-05,1.90441789240243,0.00925903983554213,"ANK2/ROBO2/TP53/XIRP2",4
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.153846153846154,"352/18903",7.75815399453096e-05,1.90162112029248,0.00931885865775824,"LRRC7/MACF1/RELN/ROBO2/TENM2/PTPRD",6
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis",0.128205128205128,"231/18903",0.000107070459501869,1.82507759150372,0.0111149177551124,"CTNNB1/MACF1/RELN/ROBO2/PTPRD",5
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.153846153846154,"377/18903",0.000113097264402069,1.82507759150372,0.0111149177551124,"CTNNB1/MACF1/RELN/ROBO2/TP53/PTPRD",6
"GO:0003007","BP","GO:0003007","heart morphogenesis",0.128205128205128,"258/18903",0.000179517310531677,1.66221191955561,0.0161723050803537,"CTNNB1/ROBO2/TP53/XIRP2/TTN",5
"GO:0007409","BP","GO:0007409","axonogenesis",0.153846153846154,"438/18903",0.000255149766718273,1.5716382359911,0.0199225813562911,"ANK3/MACF1/RELN/ROBO2/UNC5D/LAMA1",6
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development",0.128205128205128,"279/18903",0.000258004218148657,1.5716382359911,0.0199225813562911,"CTNNB1/MACF1/RELN/ROBO2/PTPRD",5
"GO:0051960","BP","GO:0051960","regulation of nervous system development",0.153846153846154,"456/18903",0.000316634863734236,1.51266953368564,0.0228199301793025,"CTNNB1/MACF1/RELN/ROBO2/TP53/PTPRD",6
"GO:0021819","BP","GO:0021819","layer formation in cerebral cortex",0.0512820512820513,"14/18903",0.000371578017579258,1.50958277413349,0.0229827012029353,"CTNNB1/RELN",2
"GO:0003205","BP","GO:0003205","cardiac chamber development",0.102564102564103,"167/18903",0.000379765782094062,1.50958277413349,0.0229827012029353,"ANK2/ROBO2/TP53/XIRP2",4
"GO:0010720","BP","GO:0010720","positive regulation of cell development",0.128205128205128,"307/18903",0.000400395352470387,1.50958277413349,0.0229827012029353,"CTNNB1/MACF1/RELN/ROBO2/PTPRD",5
"GO:1901016","BP","GO:1901016","regulation of potassium ion transmembrane transporter activity",0.0769230769230769,"70/18903",0.000403931603420626,1.50958277413349,0.0229827012029353,"ANK2/ANK3/NETO1",3
"GO:0061564","BP","GO:0061564","axon development",0.153846153846154,"490/18903",0.000464197331627251,1.49050234829372,0.0240149394900121,"ANK3/MACF1/RELN/ROBO2/UNC5D/LAMA1",6
"GO:0031503","BP","GO:0031503","protein-containing complex localization",0.102564102564103,"178/18903",0.000483335405701607,1.49050234829372,0.0240149394900121,"IQSEC2/LRRC7/RELN/NETO1",4
"GO:0034349","BP","GO:0034349","glial cell apoptotic process",0.0512820512820513,"16/18903",0.000488716879592261,1.49050234829372,0.0240149394900121,"AKAP12/TP53",2
"GO:0051966","BP","GO:0051966","regulation of synaptic transmission, glutamatergic",0.0769230769230769,"78/18903",0.000555012756199277,1.45456187780129,0.0260868695934397,"GRM3/RELN/TSHZ3",3
"GO:2001259","BP","GO:2001259","positive regulation of cation channel activity",0.0769230769230769,"80/18903",0.000597694335931707,1.44086910814117,0.0269224597807835,"ANK2/ANK3/RELN",3
