"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0090399","BP","GO:0090399","replicative senescence",0.375,"17/18903",3.37379113970434e-08,4.51523322745026,1.18615393753816e-05,"ATM/TERT/CDKN2A",3
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition",0.625,"473/18903",5.05481332231243e-07,3.92154084496467,4.65407564008258e-05,"ATM/EGFR/TERT/CDKN2A/TACC3",5
"GO:2000045","BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle",0.5,"185/18903",6.02933558914451e-07,3.92154084496467,4.65407564008258e-05,"ATM/EGFR/TERT/CDKN2A",4
"GO:0060964","BP","GO:0060964","regulation of miRNA-mediated gene silencing",0.375,"45/18903",7.00126890294507e-07,3.92154084496467,4.65407564008258e-05,"EGFR/PPARG/TERT",3
"GO:1900368","BP","GO:1900368","regulation of post-transcriptional gene silencing by RNA",0.375,"47/18903",7.9972145303817e-07,3.92154084496467,4.65407564008258e-05,"EGFR/PPARG/TERT",3
"GO:0060147","BP","GO:0060147","regulation of post-transcriptional gene silencing",0.375,"48/18903",8.52866746609322e-07,3.92154084496467,4.65407564008258e-05,"EGFR/PPARG/TERT",3
"GO:0060966","BP","GO:0060966","regulation of gene silencing by RNA",0.375,"50/18903",9.6609312562793e-07,3.92154084496467,4.65407564008258e-05,"EGFR/PPARG/TERT",3
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition",0.5,"213/18903",1.05901122349184e-06,3.92154084496467,4.65407564008258e-05,"ATM/EGFR/TERT/CDKN2A",4
"GO:0000082","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.5,"250/18903",2.0055212796737e-06,3.69536665579088,7.8344340048072e-05,"ATM/EGFR/TERT/CDKN2A",4
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition",0.5,"280/18903",3.14773665402399e-06,3.54535302953734,0.000110667793941475,"ATM/EGFR/TERT/CDKN2A",4
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition",0.5,"354/18903",7.97689185552221e-06,3.18291040168772,0.000254955203803294,"ATM/EGFR/TERT/CDKN2A",4
"GO:0090398","BP","GO:0090398","cellular senescence",0.375,"108/18903",9.94754133942547e-06,3.12481691420398,0.000291445509418255,"ATM/TERT/CDKN2A",3
"GO:0034393","BP","GO:0034393","positive regulation of smooth muscle cell apoptotic process",0.25,"16/18903",1.8751836291144e-05,2.88425097026124,0.000507134681881952,"PPARG/CDKN2A",2
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition",0.5,"453/18903",2.11077620593956e-05,2.86503726659396,0.000530074626153244,"ATM/EGFR/TERT/CDKN2A",4
"GO:0001890","BP","GO:0001890","placenta development",0.375,"150/18903",2.66384461948102e-05,2.79393379075988,0.000624367791513446,"EGFR/PPARG/SETD2",3
"GO:0060965","BP","GO:0060965","negative regulation of miRNA-mediated gene silencing",0.25,"23/18903",3.94765781106345e-05,2.68806890503546,0.000796719372447594,"PPARG/TERT",2
"GO:0060149","BP","GO:0060149","negative regulation of post-transcriptional gene silencing",0.25,"24/18903",4.30562415349673e-05,2.68806890503546,0.000796719372447594,"PPARG/TERT",2
"GO:0060967","BP","GO:0060967","negative regulation of gene silencing by RNA",0.25,"24/18903",4.30562415349673e-05,2.68806890503546,0.000796719372447594,"PPARG/TERT",2
"GO:1900369","BP","GO:1900369","negative regulation of post-transcriptional gene silencing by RNA",0.25,"24/18903",4.30562415349673e-05,2.68806890503546,0.000796719372447594,"PPARG/TERT",2
"GO:1903798","BP","GO:1903798","regulation of miRNA maturation",0.25,"26/18903",5.06788210177288e-05,2.63955491347252,0.000890880327364284,"EGFR/TERT",2
"GO:0070920","BP","GO:0070920","regulation of production of small RNA involved in gene silencing by RNA",0.25,"28/18903",5.89184135428724e-05,2.59531967116077,0.000986403514953352,"EGFR/TERT",2
