"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.026098535286285,"170/18903",1.49090413754143e-27,23.0236397905855,7.55025242706509e-24,"CADM1/CADM2/CDH1/CDH10/CDH12/CDH15/CDH18/CDH19/CDH2/CDH23/CDH26/CDH3/CDH4/CDH6/CDH9/CEACAM6/CELSR1/CELSR2/CELSR3/CLSTN1/CLSTN2/CNTN4/CNTN6/DCHS2/DSCAM/DSCAML1/FAT1/FAT2/FAT3/FAT4/HMCN1/IGSF11/PALLD/PCDH1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGC3/PCDHGC4/PCDHGC5/PTPRT/ROBO1/ROBO2/ROBO4/SDK1/SDK2/TENM3/L1CAM/PLXNB2/PTPRM/CDH11/CDH7/CDHR2/CEACAM1/CNTN2/DCHS1/DSC3/ITGB1/CDH8",98
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction",0.0364846870838881,"305/18903",1.57212719904213e-23,19.3016318248423,3.98079155504827e-20,"ABCA1/ABL1/ABL2/ABRA/ADRA1A/AKAP13/ARHGAP11A/ARHGAP12/ARHGAP20/ARHGAP21/ARHGAP24/ARHGAP27/ARHGAP28/ARHGAP30/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP39/ARHGAP5/ARHGAP6/ARHGAP9/ARHGEF1/ARHGEF11/ARHGEF12/ARHGEF17/ARHGEF2/ARHGEF28/ARHGEF3/ARHGEF5/AUTS2/CBL/CGNL1/DAB2IP/DLC1/DNM2/DNMBP/DOCK2/DOCK3/DOCK8/ECT2/EPS8L2/EPS8L3/F11R/F2RL1/FGD4/FGD5/FGF10/FOXM1/GBF1/GIT2/GNA13/HEG1/IQSEC1/IQSEC2/IQSEC3/ITPKB/KANK1/KANK2/KCTD13/KITLG/KRAS/MADD/MAP4K4/MCF2L/MET/MYO9A/MYO9B/MYOC/NET1/NF1/NGEF/NOTCH1/NOTCH2/NRG1/NTRK1/OBSCN/PIK3CG/PLCE1/PLEKHG5/PLEKHG6/PREX1/PREX2/PSD/PSD2/PSD4/RACGAP1/RALGPS1/RALGPS2/RASAL3/RASGRF2/RELN/RHOU/RIT2/ROBO1/SHOC2/SLIT2/SOS1/SPRY4/SRGAP2/STAMBP/STARD8/SYNPO2L/TIAM2/TRIO/VAV1/ARAP1/ARHGAP25/CDON/DENND4C/ITGAV/ITSN1/MCF2/PLEKHG4/SGSM3/SIPA1L3/TIAM1/ARHGAP26/ARHGEF18/ARHGEF25/ARHGEF4/CHN2/EPS8/EPS8L1/FAM13A/GARNL3/INF2/ITGB1/KCTD10/PLEKHG3/PSD3/RALGAPA2/SCAI/SIPA1L1/SPATA13/TRIM67/STARD13/ABR",137
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0343541944074567,"282/18903",4.17467661635839e-23,19.1750073937839,5.32836379134543e-20,"ALCAM/CADM1/CADM2/CDH1/CDH10/CDH12/CDH15/CDH18/CDH19/CDH2/CDH23/CDH26/CDH3/CDH4/CDH6/CDH9/CEACAM6/CEACAM8/CELSR1/CELSR2/CELSR3/CLSTN1/CLSTN2/CNTN4/CNTN6/CRB1/CX3CL1/CXADR/DCHS2/DSCAM/DSCAML1/FAT1/FAT2/FAT3/FAT4/HMCN1/ICAM1/IGSF11/IL1RAPL1/LRFN3/LRFN5/LRRC4B/MBP/NLGN1/PALLD/PCDH1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGC3/PCDHGC4/PCDHGC5/PTPRD/PTPRF/PTPRS/PTPRT/ROBO1/ROBO2/ROBO4/SDK1/SDK2/TENM1/TENM2/TENM3/TENM4/TGFBR2/UNC5D/WNK1/AJUBA/CLDN10/L1CAM/PLXNB2/PSG2/PTPRM/ACVR1/ARVCF/CDH11/CDH7/CDHR2/CEACAM1/CNTN2/DCHS1/DSC3/IL1RAP/ITGB1/NTNG2/SELE/SPARCL1/CDH8/CLDN4",129
"GO:0007409","BP","GO:0007409","axonogenesis",0.0468708388814913,"438/18903",4.20864319416184e-23,19.1750073937839,5.32836379134543e-20,"ABL1/ACTB/ADNP/ALCAM/ANK3/APBB1/APLP2/ARHGAP35/ATP8A2/AUTS2/B3GNT2/BDNF/BMPR1B/BMPR2/BOC/BRAF/CDH1/CDH2/CDH4/CHL1/CNTN4/CNTN6/COBL/CTNNA2/CXCL12/DAG1/DCC/DCLK1/DIP2B/DIXDC1/DNM2/DOCK7/DSCAM/DSCAML1/EDNRA/EFNB2/EFNB3/ENAH/EPHA10/EPHA2/EPHA5/EPHA7/EPHB3/ERBB2/EXT1/FGF13/FGFR2/FZD3/GATA3/GDNF/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/ISLR2/LAMA1/LAMA2/LAMA3/LAMC2/LGR6/LHX4/LMTK2/LPAR3/LYPLA2/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MBP/NCAM1/NEFH/NFASC/NIN/NLGN3/NOTCH1/NOTCH2/NRXN1/NRXN3/NTN1/NTRK1/PALLD/PARD3/PICALM/PLXNA2/PLXNA4/PLXND1/POU4F1/PTEN/PTK2/PTPRO/PTPRS/PTPRZ1/RELN/ROBO1/ROBO2/ROBO4/RPS6KA5/RTN4/SEMA3E/SEMA4A/SEMA4B/SEMA6B/SHH/SHOX2/SKIL/SLIT1/SLIT2/SLIT3/SLITRK5/SMURF1/SOS1/STXBP1/SZT2/TIAM2/TRIO/TUBB3/ULK2/UNC5A/UNC5B/UNC5C/UNC5D/WNT7A/YTHDF1/CTTN/L1CAM/MCF2/NEO1/NRCAM/PLXNB2/PTPRM/SEMA5B/SEMA6D/SMAD4/TIAM1/ARHGEF25/CDH11/CNTN1/CNTN2/CNTN5/CSF1R/DBN1/DPYSL2/DRD2/EDN3/EPHA3/EPHB1/EPHB6/FEZF1/FYN/ITGB1/KIF13B/LRTM2/NDEL1/NR4A2/NTNG2/PAK2/PAK3/RAPH1/SEMA3A/SEMA3D/SEMA4C/SEMA5A/SEMA6C/SIAH1/SIPA1L1/TAOK2/TNR/NFIB/SEMA3C/USP33/WNT3A/SEMA6A",176
"GO:0061564","BP","GO:0061564","axon development",0.0503328894806924,"490/18903",2.77112754062258e-22,18.4534030003531,2.80671465219689e-19,"ABL1/ACTB/ADNP/ALCAM/ANK3/APBB1/APLP2/APOA4/ARHGAP35/ATP8A2/AUTS2/B3GNT2/BDNF/BMPR1B/BMPR2/BOC/BRAF/CAMSAP2/CDH1/CDH2/CDH4/CHL1/CNTN4/CNTN6/COBL/CSPG5/CTNNA2/CXCL12/DAG1/DCC/DCLK1/DDR1/DIP2B/DIXDC1/DNM2/DOCK7/DSCAM/DSCAML1/EDNRA/EFNB2/EFNB3/ENAH/EPHA10/EPHA2/EPHA5/EPHA7/EPHB3/ERBB2/EXT1/FGF13/FGFR2/FZD3/GATA3/GDNF/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/INPP5F/ISLR2/LAMA1/LAMA2/LAMA3/LAMC2/LGR6/LHX4/LMTK2/LPAR3/LRIG2/LYPLA2/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MBP/NCAM1/NCAM2/NEFH/NFASC/NIN/NLGN3/NOTCH1/NOTCH2/NRXN1/NRXN3/NTN1/NTRK1/PALLD/PARD3/PICALM/PLXNA2/PLXNA4/PLXND1/POU4F1/PTEN/PTK2/PTN/PTPRF/PTPRO/PTPRS/PTPRZ1/RELN/RGMA/ROBO1/ROBO2/ROBO4/RPS6KA5/RTN4/SEMA3E/SEMA4A/SEMA4B/SEMA6B/SHH/SHOX2/SKIL/SLIT1/SLIT2/SLIT3/SLITRK5/SMURF1/SOS1/STXBP1/SZT2/TIAM2/TRIO/TUBB3/ULK2/UNC5A/UNC5B/UNC5C/UNC5D/WNT7A/YTHDF1/CTTN/GRN/L1CAM/MCF2/NEO1/NRCAM/PLXNB2/PTPRM/SEMA5B/SEMA6D/SMAD4/TIAM1/TNC/ARHGEF25/CDH11/CNTN1/CNTN2/CNTN5/CSF1R/DBN1/DPYSL2/DRD2/EDN3/EPHA3/EPHB1/EPHB6/FEZF1/FYN/ITGB1/KIF13B/LRTM2/MMP2/NDEL1/NR4A2/NTNG2/PAK2/PAK3/RAPH1/SEMA3A/SEMA3D/SEMA4C/SEMA5A/SEMA6C/SIAH1/SIPA1L1/TAOK2/TNR/NFIB/SEMA3C/USP33/WNT3A/SEMA6A",189
"GO:0097485","BP","GO:0097485","neuron projection guidance",0.0287616511318242,"237/18903",2.09079919736764e-19,15.6549284362592,1.76470788395364e-16,"ALCAM/ARHGAP35/B3GNT2/BDNF/BMPR1B/BMPR2/BOC/CDH4/CHL1/CNTN4/CNTN6/CXCL12/DAG1/DCC/DPYSL4/DSCAM/DSCAML1/EDNRA/EFNB2/EFNB3/ENAH/EPHA10/EPHA2/EPHA5/EPHA7/EPHB3/ERBB2/EXT1/FZD3/GATA3/GDNF/GLI2/GLI3/LAMA1/LAMA2/LAMA3/LAMC2/LGR6/LHX4/LYPLA2/NCAM1/NFASC/NOTCH1/NOTCH2/NRXN1/NRXN3/NTN1/NTRK1/PALLD/PLXNA2/PLXNA4/PLXND1/PTK2/PTPRO/RELN/ROBO1/ROBO2/ROBO4/RPS6KA5/SEMA3E/SEMA4A/SEMA4B/SEMA6B/SHH/SLIT1/SLIT2/SLIT3/SOS1/TRIO/TUBB3/UNC5A/UNC5B/UNC5C/UNC5D/YTHDF1/L1CAM/NEO1/NRCAM/PLXNB2/PTPRM/SEMA5B/SEMA6D/SMAD4/ARHGEF25/CNTN1/CNTN2/CNTN5/CSF1R/DPYSL2/EDN3/EPHA3/EPHB1/EPHB6/FEZF1/FYN/LRTM2/SEMA3A/SEMA3D/SEMA4C/SEMA5A/SEMA6C/SIAH1/TNR/NFIB/SEMA3C/USP33/WNT3A/SEMA6A",108
"GO:0007411","BP","GO:0007411","axon guidance",0.0284953395472703,"236/18903",4.89377177106789e-19,15.3525438391301,3.54044150234701e-16,"ALCAM/ARHGAP35/B3GNT2/BDNF/BMPR1B/BMPR2/BOC/CDH4/CHL1/CNTN4/CNTN6/CXCL12/DAG1/DCC/DSCAM/DSCAML1/EDNRA/EFNB2/EFNB3/ENAH/EPHA10/EPHA2/EPHA5/EPHA7/EPHB3/ERBB2/EXT1/FZD3/GATA3/GDNF/GLI2/GLI3/LAMA1/LAMA2/LAMA3/LAMC2/LGR6/LHX4/LYPLA2/NCAM1/NFASC/NOTCH1/NOTCH2/NRXN1/NRXN3/NTN1/NTRK1/PALLD/PLXNA2/PLXNA4/PLXND1/PTK2/PTPRO/RELN/ROBO1/ROBO2/ROBO4/RPS6KA5/SEMA3E/SEMA4A/SEMA4B/SEMA6B/SHH/SLIT1/SLIT2/SLIT3/SOS1/TRIO/TUBB3/UNC5A/UNC5B/UNC5C/UNC5D/YTHDF1/L1CAM/NEO1/NRCAM/PLXNB2/PTPRM/SEMA5B/SEMA6D/SMAD4/ARHGEF25/CNTN1/CNTN2/CNTN5/CSF1R/DPYSL2/EDN3/EPHA3/EPHB1/EPHB6/FEZF1/FYN/LRTM2/SEMA3A/SEMA3D/SEMA4C/SEMA5A/SEMA6C/SIAH1/TNR/NFIB/SEMA3C/USP33/WNT3A/SEMA6A",107
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0447403462050599,"446/18903",9.9099352308754e-19,15.1041086815301,6.27324978891336e-16,"ABL1/ABL2/ACAP3/ADCY6/ADNP/ALK/ARHGAP35/ATP1B2/ATP8A2/BCL11A/BDNF/BMPR2/BRAF/CAMK1D/CAMSAP2/CAPRIN2/CARM1/CBFA2T2/CCDC88A/CDH1/CDH2/CDH4/COBL/CRTC1/CSMD3/CTNNA2/CUX1/CUX2/CX3CL1/CXCL12/DAB2IP/DCC/DIP2B/DIXDC1/DSCAM/EFNB2/EFNB3/EHD1/ELAVL4/EP300/EPHA7/EPHB3/FAT3/FGF13/FKBP4/GATA3/GOLGA4/HECW1/HES1/HSPA5/IGF1R/IL1RAPL1/INPP5F/ISLR2/ITGA6/ITPKA/KANK1/KIF1A/LPAR3/LRIG2/LRRC7/MACF1/MAGI2/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MBP/NDNF/NFE2L2/NGEF/NIN/NLGN1/NTN1/NTRK1/PDLIM5/PLXNA2/PLXNA4/PLXND1/PPFIA2/PRKD1/PRRX1/PTEN/PTK7/PTN/PTPRD/PTPRF/PTPRG/PTPRO/PTPRS/RAPGEF2/RELN/RGMA/RHOA/RIT2/ROBO1/ROBO2/ROR1/ROR2/RTN4/SCARB2/SDC2/SEMA3E/SEMA4A/SEMA4B/SEMA6B/SETX/SEZ6/SFRP1/SHOX2/SKIL/SLIT1/SLIT2/SMURF1/SRCIN1/TANC2/TENM3/THOC2/TIAM2/TNIK/TOX/TSC1/UBE3A/ULK2/ULK4/WNT7A/YTHDF1/ZNF365/ZNF804A/GRN/ID1/L1CAM/MCF2/NRCAM/PLXNB2/SEMA5B/SEMA6D/SS18L2/TIAM1/CNTN1/CNTN2/DAB2/DBN1/DGKG/EPHA3/EZH2/FYN/HECW2/KIF13B/NDEL1/NTNG2/PACSIN1/PAK2/PAK3/PRKCI/SEMA3A/SEMA3D/SEMA4C/SEMA5A/SEMA6C/SIPA1L1/TNR/TRIM67/PTPN9/SEMA3C/WNT3A/SEMA6A",168
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0434087882822903,"430/18903",1.61838948903708e-18,14.9422489708631,9.10651676228935e-16,"ABL1/ACE/ACTB/ADD2/ADNP/AGRN/ANK2/APC/ARHGAP6/ARHGEF7/ASIC2/BCAS3/BDNF/BSN/CAMSAP3/CD9/CDH1/CDH10/CDH12/CDH18/CDH19/CDH2/CDH6/CDH9/CLASP1/CLSTN1/CLSTN2/CTNNB1/CTNND2/CUX2/DLC1/DLG1/DLG5/DSCAM/DST/ECT2/EFNB2/EPB41L3/EPHA2/EPHA7/EPHB3/ERBB4/F11R/FBF1/FER/FGF13/FMN1/FSCN1/GABRB2/GABRB3/GABRG2/GHSR/HEG1/HIPK1/IKBKB/IL1RAPL1/ITGA2/ITGA6/ITGB3/JAM3/JUP/LAMA3/LAMC1/LIMCH1/LIMS1/LRFN3/LRFN5/LRRC4B/LRRTM3/LSR/MACF1/MAP1B/MAP4K4/MARVELD2/MICALL2/MYO9A/MYOC/NLGN1/NLGN3/NPHP4/NRG1/NRXN1/NRXN2/NTN1/NTRK1/OCLN/PARD3/PCDH17/PCLO/PDLIM5/PEAK1/PIP5K1C/PLEC/PLXND1/POU4F1/PTEN/PTK2/PTPRD/PTPRJ/PTPRK/PTPRO/RAPGEF2/RHOA/ROBO2/ROCK2/SDK1/SDK2/SEMA4A/SFRP1/SHANK2/SLC9A1/SLIT1/SLITRK5/SMAD3/SRGAP2/ST8SIA2/STON1/TBX5/TEK/TESK2/THSD1/TJP1/TSC1/UGT8/WNT7A/AJUBA/CLASP2/CLDN10/CNTNAP2/COL16A1/CTNND1/CTTN/GRHL2/NRCAM/PHLDB2/PLXNB2/SETD5/ACTG1/ARVCF/CDC42/CDH11/CDH7/CNTN5/DCHS1/DRD2/EPHA3/EPHB1/IL1RAP/LRTM2/NTNG2/PAK2/PKN2/PKP4/SDCBP/SLK/SYNDIG1/TAOK2/TBCD/CDH8/FARP1/NR1H4/WNT3A/CLDN4",163
"GO:0050808","BP","GO:0050808","synapse organization",0.0426098535286285,"432/18903",4.21409224304601e-17,13.5723854728524,2.13410502960993e-14,"ABL1/ACTB/ADD2/ADNP/AGRN/ANK3/ARHGAP39/ASIC2/BDNF/BSN/CACNB2/CAPRIN2/CAST/CDH1/CDH2/CHRNB1/CLSTN1/CLSTN2/COL4A1/CTNNA2/CTNNB1/CTNND2/CUX2/CX3CL1/DAB2IP/DAG1/DCTN1/DLG1/DLG4/DLG5/DLGAP3/DOCK10/DSCAM/EFNB2/EPHA7/EPHB3/ERBB2/ERBB4/ERC1/FGF13/FRMPD4/GABRB2/GABRB3/GABRG2/GDNF/GHSR/GRIN2B/GRM5/IGF1R/IL1RAPL1/INSR/ITPKA/KIF1A/KY/LRFN2/LRFN3/LRFN5/LRRC4B/LRRTM3/MAP1B/NEDD9/NEFH/NFASC/NGEF/NLGN1/NLGN3/NOS1AP/NRG1/NRXN1/NRXN2/NTN1/NTRK1/PCDH17/PCDHGC3/PCDHGC4/PCDHGC5/PCLO/PDLIM5/PDZRN3/PLXND1/POU4F1/PPFIA2/PTEN/PTPRD/PTPRF/PTPRO/PTPRS/RELN/RHOA/ROBO2/SDK1/SDK2/SEMA3E/SEMA4A/SEZ6/SEZ6L/SHANK1/SHANK2/SLC8A2/SLC8A3/SLIT1/SLITRK5/SRCIN1/SRGAP2/ST8SIA2/SYBU/TANC2/TMEM108/TSC1/TUBA1A/UBE3A/UNC13A/UNC13B/UNC13C/WNT7A/YWHAZ/ZNF365/ZNF804A/CTBP2/CTTN/CTTNBP2/HSPA8/L1CAM/NRCAM/PLXNB2/PPFIA3/PPFIBP1/SETD5/TNC/ACTG1/ADAM10/CACNA1S/CAMKV/CDC42/CNTN2/CNTN5/DBN1/DRD2/EPHB1/FYN/IL1RAP/LRTM2/MTMR2/NTNG2/PAK3/PPFIA4/SDCBP/SIPA1L1/SLC6A1/SPARCL1/STAU1/SYNDIG1/TANC1/TNNI3K/TNR/WASF1/WASF2/CDH8/FARP1/WNT3A",160
