"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04360","hsa04360","Axon guidance",0.0439730988101397,"184/8843",1.16096920413096e-13,10.4062625999264,2.87187118916607e-11,"25/23365/658/659/91653/817/1073/6387/7852/1630/1948/1949/55740/1969/2044/2045/2049/7976/2770/2773/3265/3845/9860/5595/4233/8440/25791/9423/56288/5290/8503/5335/5362/91584/5747/56963/5998/387/6091/6092/9475/9723/64218/10509/10501/6469/6585/9353/6586/57522/23380/85464/7220/7223/90249/219699/8633/137970/3897/4756/56924/5293/23654/5533/54437/80031/998/1808/2042/2047/2051/2534/3688/84628/5062/5063/10371/223117/54910/9037/10500/54961/7225/10512/57556",85
"hsa04520","hsa04520","Adherens junction",0.0212105535437144,"93/8843",1.27469614897419e-06,3.76883767748897,0.000124620611860339,"60/81/999/1387/1457/1496/1499/1956/2033/2064/2241/2260/57493/3480/3643/4008/5595/4233/56288/5770/5792/5795/387/9475/4088/57154/7046/7048/7082/1500/5797/4089/71/998/2534/8826/889/8936/10163/7525/9855",41
"hsa04921","hsa04921","Oxytocin signaling pathway",0.0305225038799793,"154/8843",2.23365489697668e-06,3.76883767748897,0.000124620611860339,"60/108/109/111/112/115/775/776/781/55799/783/10368/27092/27091/59284/57118/817/814/1026/1956/2770/2773/2775/2778/2977/3265/3710/8681/3770/3760/3845/5595/4846/5294/8605/23236/5499/4659/5563/387/9475/6262/6263/114/4638/4882/4660/5533/5567/71/113/779/3708/3709/3763/91807/146850/4772/5579",59
"hsa04510","hsa04510","Focal adhesion",0.0377651319192964,"203/8843",2.4204718865581e-06,3.76883767748897,0.000124620611860339,"60/81/2909/394/673/896/1282/1284/1285/1288/1293/256076/131873/1499/1956/2064/2317/2324/3265/3381/3480/3672/3673/3655/3690/3696/284217/3908/3909/3910/3914/3915/3918/5595/5599/4233/5156/5290/8503/23396/5499/4659/5728/5747/5829/5649/387/9475/6464/6654/7148/7409/7424/331/1292/3685/4638/56924/5293/4660/399694/3371/71/998/1950/2534/3688/5602/91807/5062/5063/7143/5579",73
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.0243145369891361,"115/8843",3.03069882276864e-06,3.76883767748897,0.000124620611860339,"108/109/111/112/115/11214/9138/9826/673/846/1026/148327/1956/2260/2625/8521/10672/2770/2773/2778/3710/9365/4040/5595/4205/5141/5142/23236/387/6256/6446/6667/65125/114/5144/5567/65268/113/3708/3709/4666/4929/5143/65267/1386/9586/5579",47
"hsa01522","hsa01522","Endocrine resistance",0.0217278841179514,"99/8843",3.23074287227969e-06,3.76883767748897,0.000124620611860339,"108/109/111/112/115/673/10498/1026/1027/1029/1956/2064/2100/2778/3265/3480/182/3845/5595/5599/5469/4318/9611/4851/4853/4855/5290/8503/5747/5925/6464/6654/6667/7157/114/5293/5567/399694/113/5602/4313/8202",42
"hsa04015","hsa04015","Rap1 signaling pathway",0.0387997930677703,"212/8843",3.5637365743492e-06,3.76883767748897,0.000124620611860339,"60/108/109/111/112/115/673/999/1499/9732/1956/55740/1969/51466/2255/2250/2260/2263/2261/2324/2770/2773/2775/2778/2903/2904/3265/3480/3643/3690/4254/3845/23566/9223/9863/260425/5606/5595/4233/56288/5156/5290/8503/23236/51196/5335/5587/5900/9693/11069/51735/387/7010/7409/7424/114/1500/3397/5293/23094/7074/71/113/54518/998/1436/1813/1950/2902/3688/889/5584/26037/9855/5579",75
"hsa04724","hsa04724","Glutamatergic synapse",0.0243145369891361,"116/8843",4.03028361761096e-06,3.76883767748897,0.000124620611860339,"108/109/111/112/115/773/775/776/1742/9229/2770/2773/2775/2778/2890/2891/2893/2897/2899/2901/2903/2904/2911/2912/2913/2914/2915/3710/8681/3760/5595/8605/23236/50944/22941/7220/114/5533/5567/54407/113/2902/2906/3708/3709/2898/5579",47
"hsa04611","hsa04611","Platelet activation",0.0253491981376099,"125/8843",7.607069663129e-06,3.54410841575745,0.000209083201267288,"60/108/109/111/112/115/2909/9138/23365/83706/10672/2770/2773/2778/2977/3673/3690/3710/8681/5595/4846/5290/5294/8503/8605/23236/5499/4659/5592/387/9475/114/4638/5293/5567/71/113/54518/695/2244/2534/3688/3708/3709/91807/146850/5584/6850/2243",49
"hsa04024","hsa04024","cAMP signaling pathway",0.0398344542162442,"226/8843",1.28991962606939e-05,3.36052064914559,0.000319085381185586,"51/108/109/111/112/115/134/482/488/493/627/673/775/776/817/814/1080/1259/1261/148327/1387/1909/2033/2693/2696/2737/2770/2773/2778/2890/2891/2893/2903/2904/64399/3362/3776/3991/5595/5599/10846/5139/5140/5141/5142/5290/8503/51196/5499/4659/5732/11069/387/9475/6262/6548/7253/7409/114/490/5144/5293/64208/5567/7074/113/491/779/1813/1908/2902/2906/5602/4886/5143/9586/4772",77
