"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0046777","BP","GO:0046777","protein autophosphorylation",0.035472972972973,"226/18903",1.77468132282945e-10,5.9921947714093,7.83475101889129e-07,"AKT1/ERBB4/RB1CC1/SMG1/ALK/ATM/DDR2/EGFR/ERBB2/FGFR2/MAPK3/MTOR/FGFR1/FGFR3/KIT/NTRK1/PDGFRA/STK11/PASK/PTPRC/TEK/TNIK/ULK1/AAK1/ABL1/ATP13A2/CAD/CAMK2A/DDX3X/EPHA4/FLT4/INSR/LCK/MINK1/PRKD1/SLK/SRC/TAF1/TAOK1/TNK1/TNKS1BP1/TOM1L1",42
"GO:0030900","BP","GO:0030900","forebrain development",0.0472972972972973,"383/18903",2.56302527075235e-09,5.40733272810677,3.01222385014802e-06,"CDH1/ERBB4/NF1/PTEN/RELN/TBX3/ALK/EGFR/FGFR2/KRAS/TSC1/CTNNB1/NOTCH1/RHOA/APAF1/ATRX/CHD7/DISC1/NRG1/NRP2/PRKG1/SIN3A/TCTN1/AKNA/EPHA5/TOP2B/TRA2B/ATP7A/CDH2/CEP120/DNAH5/EFNA2/FOXG1/GHRHR/GLI1/IGF2BP1/KIF14/LMX1A/LRP8/MKKS/PLXNA3/RARB/RYK/SCN5A/SCYL2/SEMA5A/SIX3/SKI/SMO/SRC/TAL2/TOX/WNT3A/ZDHHC16/ZNF335/ARPC5",56
"GO:0061564","BP","GO:0061564","axon development",0.0557432432432432,"490/18903",3.07991312527697e-09,5.40733272810677,3.01222385014802e-06,"CDH1/GATA3/PTEN/RELN/ERBB2/FGFR2/SMAD4/BRAF/NOTCH1/NTRK1/PTPN11/RET/STK11/DISC1/EPHA10/GRN/LAMA3/MTR/NOTCH2/NRP2/NRXN1/RNF165/SIN3A/TCTN1/ATL1/BDNF/EPHA5/ROBO3/SLC25A46/SPTBN4/TOP2B/ULK1/ABL1/APOD/BOC/BSG/CDH2/CNR1/CNTN6/DIP2B/EDN1/EFNA2/EPHA4/FOXG1/GDI1/HSP90AA1/KIAA0319/LMX1A/LRP4/MCF2/MEGF8/MYCBP2/PICALM/PLXNA3/PLXNB3/PTPRM/RYK/SEMA5A/SEMA6D/SIPA1L1/SMO/SPAST/TBC1D24/TRIM46/USP9X/WNT3A",66
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis",0.0430743243243243,"335/18903",3.3067316643246e-09,5.40733272810677,3.01222385014802e-06,"ESR1/GATA3/NOTCH4/TBX3/AR/FGFR2/KRAS/SMAD4/TSC1/MET/CTNNB1/MYC/NOTCH1/RET/RHOA/ADAMTS12/APAF1/LGR4/NOTCH2/PTK7/STARD13/TCTN1/CLUAP1/ABL1/CSMD1/EDN1/EPHA4/GZF1/HECTD1/IRX2/ITGAX/MEGF8/MICAL2/MKKS/NR3C1/RYR2/SALL4/SETDB2/SFRP1/SHROOM3/SKI/SMO/SOX18/SOX8/SRC/TBX20/TGFB1/TIE1/TIMELESS/TSC2/WNT3A",51
"GO:0007409","BP","GO:0007409","axonogenesis",0.0515202702702703,"438/18903",3.41155538583765e-09,5.40733272810677,3.01222385014802e-06,"CDH1/GATA3/PTEN/RELN/ERBB2/FGFR2/SMAD4/BRAF/NOTCH1/NTRK1/PTPN11/RET/STK11/DISC1/EPHA10/LAMA3/NOTCH2/NRP2/NRXN1/RNF165/SIN3A/TCTN1/ATL1/BDNF/EPHA5/ROBO3/SLC25A46/SPTBN4/TOP2B/ULK1/ABL1/BOC/BSG/CDH2/CNTN6/DIP2B/EDN1/EFNA2/EPHA4/FOXG1/GDI1/HSP90AA1/KIAA0319/LMX1A/LRP4/MCF2/MEGF8/MYCBP2/PICALM/PLXNA3/PLXNB3/PTPRM/RYK/SEMA5A/SEMA6D/SIPA1L1/SMO/SPAST/TRIM46/USP9X/WNT3A",61
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation",0.0464527027027027,"380/18903",5.14230432981303e-09,5.35882904660825,3.36814612118249e-06,"ERBB3/ERBB4/RELN/TP53/JAK1/ALK/DDR2/EGFR/ERBB2/FBXW7/FGFR2/MAPK3/NTRK3/MET/MTOR/FGFR1/FGFR3/KIT/NTRK1/PDGFRA/PTPN11/RET/ADAM17/DUSP22/EPHA10/LRRK1/NRG1/PPP2R1A/PTPRC/PTPRJ/TEK/TTN/ENPP2/EPHA5/ROR2/ABL1/EPHA4/FLT4/INSR/ITK/LCK/LONP1/LRP4/LRP8/MAP2K4/MAP2K7/PKM/RICTOR/SFRP1/SH2D1B/SRC/TGFB1/TIE1/TNK1/WNT3A",55
"GO:0060537","BP","GO:0060537","muscle tissue development",0.0498310810810811,"422/18903",5.34052734999131e-09,5.35882904660825,3.36814612118249e-06,"ERBB3/ERBB4/NF1/PTEN/RB1/RUNX1/TBX3/FGFR2/KRAS/SMAD4/TSC1/MTOR/CTNNB1/NOTCH1/PDGFRA/RHOA/CACNA1G/CHD7/COL19A1/HDAC9/NOTCH2/NRG1/TTN/AKAP13/FGF9/ITGA7/LMNA/MYOCD/ABL1/ALPK3/ARID2/CACNA1S/EDN1/ELN/FLNB/FOXL2/GJA5/GLI1/HMG20B/ITGA8/MAP2K4/MYH11/NEB/NPHS1/RARB/RBFOX1/RYR2/SCN5A/SKI/SMO/SOX8/TBX20/TENM4/TGFB1/TLL2/WNT3A/XIRP2/ZFPM1/ZFPM2",59
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification",0.0464527027027027,"382/18903",6.21361140289491e-09,5.35106104796776,3.42893239786069e-06,"ERBB3/ERBB4/RELN/TP53/JAK1/ALK/DDR2/EGFR/ERBB2/FBXW7/FGFR2/MAPK3/NTRK3/MET/MTOR/FGFR1/FGFR3/KIT/NTRK1/PDGFRA/PTPN11/RET/ADAM17/DUSP22/EPHA10/LRRK1/NRG1/PPP2R1A/PTPRC/PTPRJ/TEK/TTN/ENPP2/EPHA5/ROR2/ABL1/EPHA4/FLT4/INSR/ITK/LCK/LONP1/LRP4/LRP8/MAP2K4/MAP2K7/PKM/RICTOR/SFRP1/SH2D1B/SRC/TGFB1/TIE1/TNK1/WNT3A",55
"GO:0048863","BP","GO:0048863","stem cell differentiation",0.0346283783783784,"248/18903",1.06012208031625e-08,5.17020177942906,5.20017778344604e-06,"ERBB4/ESR1/PRKDC/TBX3/TP53/FGFR2/MAPK3/SMAD4/CTNNB1/KIT/MAPK1/NFE2L2/NOTCH1/PDGFRA/RET/KDM4C/NRG1/NRP2/PTPRC/GPM6A/KAT5/MYOCD/ABL1/CDH2/CHD4/EDN1/ESRRB/ITCH/JAG1/NELFB/NSUN2/RADIL/SEMA5A/SEMA6D/SFRP1/SMO/SOX18/SOX8/UFL1/WNT3A/XRCC5",41
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity",0.0548986486486486,"496/18903",1.21083979016294e-08,5.15822846597619,5.34553903151932e-06,"ERBB3/AKT1/ERBB4/PIK3CA/RELN/ALK/CCND1/DDR2/EGFR/ERBB2/FBXW7/FGFR2/HRAS/NTRK3/MET/MTOR/FGFR1/FGFR3/KIT/NTRK1/PDGFRA/RET/RHOA/STK11/ADAM17/EPHA10/NRG1/PTPRC/RPTOR/TEK/AKAP13/EPHA5/LCP2/ROR2/ABL1/AXIN1/CDKN1A/DBF4B/DDX3X/EDN1/EPHA4/FAM20A/FLT4/HSP90AA1/INSR/KIF14/LRP8/LTF/MADD/MAP2K7/PIK3R4/PRKD1/RICTOR/RYK/SLC27A1/SLC8A2/SRC/TAB1/TAOK1/TENM1/TGFB1/TIE1/TOM1L1/WNT3A/XRCC5",65
