"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0281645569620253,"170/18903",1.22445562365635e-26,22.1171508433041,6.23956807802145e-23,"CADM2/CDH1/CDH10/CDH11/CDH12/CDH18/CDH23/CDH4/CDH9/CELSR1/CELSR2/CELSR3/CLSTN1/CNTN4/CNTN6/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/FAT4/HMCN1/KIRREL3/PALLD/PCDH1/PCDH10/PCDH11X/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PTPN23/PTPRM/ROBO1/ROBO2/SDK1/SDK2/TENM3/CDH19/CDH20/L1CAM/PKD1/CADM3/CDH16/CDH6/CDHR2/DCHS1/ITGB1/NEXN/CDH7/CDH8/PCDHB16",89
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0367088607594937,"282/18903",1.21565700281831e-22,18.4213128329572,3.09736607928603e-19,"ALCAM/ARVCF/BMP2/CADM2/CDH1/CDH10/CDH11/CDH12/CDH18/CDH23/CDH4/CDH9/CELSR1/CELSR2/CELSR3/CLDN16/CLSTN1/CNTN4/CNTN6/CRB1/DAB1/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/FAT4/GRID2/HMCN1/ICAM1/IL1RAP/IL1RAPL1/ITGAM/KIRREL3/LRFN5/LRRC4B/MDGA1/NLGN1/PALLD/PCDH1/PCDH10/PCDH11X/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PTPN23/PTPRD/PTPRF/PTPRM/ROBO1/ROBO2/SDK1/SDK2/SPARCL1/TENM1/TENM2/TENM3/TENM4/UNC5D/WNK1/CDH19/CDH20/KIFAP3/L1CAM/PKD1/CADM3/CDH16/CDH6/CDHR2/DCHS1/ITGB1/ITGB2/NEXN/SELE/CDH7/CDH8/MYADM/PCDHB16",116
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0493670886075949,"446/18903",2.44934582864544e-21,17.2931650397343,4.16045023034125e-18,"ABL1/ABL2/ADNP/AGT/AKT1/ALK/ARHGAP35/ATP8A2/BAIAP2/BCL11A/BMP5/BRSK2/CAMSAP2/CD38/CDH1/CDH4/CDKL3/CHN1/COBL/CRMP1/CSMD3/CTNNA2/CUX1/DAB1/DAB2/DAB2IP/DIP2B/DIXDC1/DPYSL3/DSCAM/EFHC2/EHD1/EPHA7/EPHB2/FAT3/FES/GATA3/GOLGA4/GPC2/GRID2/HECW1/IGF1R/IL1RAPL1/INPP5F/ITGA6/KANK1/KIF1A/LRP8/LRRC7/LYN/MACF1/MAGI2/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MYCBP2/NCKIPSD/NDRG4/NFATC4/NFE2L2/NIN/NLGN1/NRP1/NTRK1/PLXNA2/PLXNA4/PLXND1/PPFIA2/PQBP1/PRKD1/PRRX1/PTEN/PTK7/PTPRD/PTPRF/PTPRG/PTPRO/RAB21/RAPGEF2/RELN/RHOA/RNF6/ROBO1/ROBO2/ROR1/ROR2/RTN4/RUFY3/SEMA3A/SEMA3D/SEMA3E/SEMA4A/SEMA4D/SEMA5B/SETX/SIPA1L1/SKIL/SLIT2/SMURF1/SNX3/SPOCK1/STK25/TANC2/TENM3/THOC2/TIAM1/TIAM2/TNIK/TOX/TRIM67/TRPC5/ULK4/VLDLR/WNT7A/YTHDF1/ZNF365/ZNF804A/CCDC88A/DNM3/FLNA/L1CAM/NRCAM/RAPGEF1/SEMA6A/SEMA6D/CERS2/CFLAR/CHRNB2/CNTN1/DENND5A/ENC1/EP300/EZH2/HECW2/INPP5J/KIAA0319/KIF13B/LRRK2/LZTS1/MAPT/MARK1/PACSIN1/PAFAH1B1/PTK2B/SEMA3C/SEMA4B/SEMA5A/SNAP25/TNR/TRPV2/CREB3L2/FRMD7/HGF/DCC",156
"GO:0007409","BP","GO:0007409","axonogenesis",0.045253164556962,"438/18903",1.13414825131238e-16,12.7524840573101,1.44484518015875e-13,"ABL1/ADNP/ALCAM/ANK3/APLP2/ARHGAP35/ATP8A2/AUTS2/B4GALT5/BAIAP2/BCL11B/BMPR1B/BRSK2/CDH1/CDH11/CDH4/CDKL3/CHN1/CNTN4/CNTN6/COBL/CRMP1/CTNNA2/DAB1/DCLK1/DIP2B/DIXDC1/DRGX/DSCAM/DSCAML1/ECE1/EDN3/ENAH/EPHA5/EPHA7/EPHB2/ERBB2/EXT1/FGFR2/GAP43/GATA3/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/LAMA1/LAMA2/LMTK2/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MYCBP2/NCAM1/NEFH/NIN/NLGN3/NOTCH1/NOTCH2/NRP1/NTRK1/NUMB/PALLD/PARD6B/PLXNA2/PLXNA4/PLXND1/PTCH1/PTEN/PTPRM/PTPRO/PTPRZ1/RAB21/RELN/RNF6/ROBO1/ROBO2/RPS6KA5/RTN4/RUFY3/SEMA3A/SEMA3D/SEMA3E/SEMA4A/SEMA4D/SEMA5B/SIPA1L1/SKIL/SLIT2/SLIT3/SMURF1/STK25/STXBP1/SZT2/TIAM1/TIAM2/TRIO/TRPC5/TUBB3/UNC5B/UNC5D/VCL/WNT7A/YTHDF1/CHL1/L1CAM/NFASC/NRCAM/NRXN3/PTK2/SEMA6A/SEMA6D/SMAD4/TOP2B/ACTB/CHRNB2/CNTN1/ITGB1/KIAA0319/KIF13B/LRTM1/MAPT/NEXN/NR4A2/PAFAH1B1/RAPH1/SEMA3C/SEMA4B/SEMA5A/SIN3A/SPAST/TBCE/TNR/TRPV2/EPHA6/NPTX1/PARD3/VAX1/DCC",143
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction",0.0348101265822785,"305/18903",1.69572035279364e-16,12.6747096650237,1.72820678481558e-13,"ABL1/ABL2/ABRA/ADRA1A/AMOT/ARHGAP11A/ARHGAP20/ARHGAP21/ARHGAP24/ARHGAP25/ARHGAP28/ARHGAP29/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP42/ARHGAP5/ARHGAP6/ARHGAP9/ARHGEF11/ARHGEF12/ARHGEF28/ARHGEF4/AUTS2/BCR/CGNL1/CHN1/CSF1/CUL3/DAB2IP/DLC1/DNMBP/DOCK2/DOCK3/EPHB2/F11R/F2R/FAM13A/FAM13B/FGD2/FGD4/FGD5/GBF1/HEG1/IQSEC2/IQSEC3/ITPKB/KANK1/KIF14/KRAS/MAP4K4/MCF2L/MYO9A/MYO9B/MYOC/NF1/NOTCH1/NOTCH2/NRG1/NRP1/NTRK1/PLCE1/PLEKHG1/PLEKHG4B/PREX1/PREX2/RALGAPA2/RASA2/RASAL3/RELN/ROBO1/SHOC2/SIPA1L1/SLIT2/SPRY3/SRGAP2/SRGAP3/STARD8/SWAP70/TIAM1/TIAM2/TRIM67/TRIO/VAV1/ABR/AKAP13/ARAP1/ITSN1/OBSCN/SIPA1L2/SIPA1L3/VAV3/ARHGAP30/ARHGAP39/ARHGEF2/CDON/DOCK8/EPS8/GARNL3/ITGB1/KANK2/PDGFRB/RAF1/RASGRF2/SGSM3/SYDE2/FRMD7/PLEKHG6/RALGAPB/ARHGAP26",110
"GO:0061564","BP","GO:0061564","axon development",0.0484177215189873,"490/18903",8.05064429451593e-16,12.0774145054423,6.83739807539502e-13,"ABL1/ADNP/ALCAM/ANK3/APLP2/ARHGAP35/ATP8A2/AUTS2/B4GALT5/BAIAP2/BCL11B/BMPR1B/BRSK2/CAMSAP2/CDH1/CDH11/CDH4/CDKL3/CHN1/CNTN4/CNTN6/COBL/CRMP1/CTNNA2/DAB1/DCLK1/DIP2B/DIXDC1/DRGX/DSCAM/DSCAML1/ECE1/EDN3/ENAH/EPHA5/EPHA7/EPHB2/ERBB2/EXT1/FGFR2/GAP43/GATA3/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/INPP5F/LAMA1/LAMA2/LMTK2/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MYCBP2/NCAM1/NEFH/NIN/NLGN3/NOTCH1/NOTCH2/NREP/NRP1/NTRK1/NUMB/PALLD/PARD6B/PLXNA2/PLXNA4/PLXND1/PTCH1/PTEN/PTPRF/PTPRM/PTPRO/PTPRZ1/RAB21/RELN/RNF6/ROBO1/ROBO2/RPS6KA5/RTN4/RUFY3/SEMA3A/SEMA3D/SEMA3E/SEMA4A/SEMA4D/SEMA5B/SIPA1L1/SKIL/SLIT2/SLIT3/SMURF1/SPRY3/STK25/STXBP1/SZT2/TIAM1/TIAM2/TRIO/TRPC5/TUBB3/UNC5B/UNC5D/VASH2/VCL/WNT7A/YTHDF1/CHL1/FLNA/L1CAM/NFASC/NRCAM/NRXN3/PTK2/SEMA6A/SEMA6D/SMAD4/TNC/TOP2B/ACTB/CERS2/CHRNB2/CNTN1/ITGB1/KIAA0319/KIF13B/LRTM1/MAPT/MMP2/NEXN/NR4A2/PAFAH1B1/RAPH1/SEMA3C/SEMA4B/SEMA5A/SIN3A/SPAST/TBCE/TNR/TRPV2/EPHA6/NPTX1/PARD3/VAX1/DCC",153
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0427215189873418,"430/18903",2.5970924830073e-14,10.6357045182753,1.89060521958471e-11,"ABL1/ADD2/ADNP/AGT/ANK2/APC/ARHGAP6/ARHGEF7/ARVCF/BCR/BSN/CAMSAP3/CAV1/CDH1/CDH10/CDH11/CDH12/CDH18/CDH9/CLDN16/CLSTN1/CTNND2/DLC1/DLG1/DSCAM/DST/DUSP22/EPB41L3/EPHA7/EPHB2/ERBB4/F11R/FAM107A/FARP1/GAP43/GNPAT/GPM6B/GRID2/HEG1/HIPK1/IL1RAP/IL1RAPL1/ITGA6/ITGB1BP1/ITGB3/JUP/KIRREL3/LAMC1/LGI2/LIM2/LRFN5/LRRC4B/LRRTM3/LSR/MACF1/MAP1B/MAP4K4/MDGA1/MECP2/MUSK/MYCBP2/MYO9A/MYOC/NLGN1/NLGN3/NLGN4X/NPAS4/NRG1/NRP1/NTRK1/PARD6B/PCDH17/PCLO/PEAK1/PIP5K1A/PKN2/PKP1/PKP4/PLEC/PLXND1/PRKACA/PRKCA/PRKCH/PTEN/PTPRD/PTPRJ/PTPRK/PTPRO/RAPGEF2/RHOA/ROBO2/ROCK2/SDK1/SDK2/SEMA4A/SEMA4D/SHANK2/SLK/SPTBN2/SRGAP2/STON1/TEK/TJP1/UGT8/VCL/WNT7A/CDH19/CDH20/CTNND1/DNM3/MPDZ/NRCAM/PHLDB2/PTK2/RAPGEF1/SETD5/ACE/ACTB/ACTG1/ACTN2/CDH6/CHRNB2/DCHS1/FRMPD2/GABRB2/MPP7/PTK2B/SORBS1/ST8SIA2/CDH7/CDH8/NPTX1/PARD3/PCDHB16/NRXN2",135
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.0367088607594937,"352/18903",4.35696791338149e-14,10.4689995188622,2.77527390377366e-11,"ABL1/ABL2/ADNP/AGT/ALK/ANLN/APC/ARHGAP35/ARHGEF7/ATP8A2/AUTS2/BAIAP2/BMP5/CCR7/CDH4/CDKL3/COBL/CUX1/DAB2IP/DIXDC1/DPYSL3/DSCAM/DVL3/EHD1/ENPP2/EPHB2/FAM98A/FES/FMR1/FNBP1L/GOLGA4/GPC2/HSP90AA1/IGF1R/IL1RAPL1/ITGA6/LRP8/LRRC7/LYN/MACF1/MAGI2/MAP1B/MAP3K13/MAP6/MARK2/MTOR/MYO3A/MYO3B/NCKIPSD/NDRG4/NEDD9/NFE2L2/NIN/NLGN1/NRP1/NTRK1/PIK3CA/PIK3R1/PLCE1/PLXNA2/PLXNA4/PLXND1/PRKD1/PTK7/PTPRD/RAB21/RAPGEF2/RELN/ROBO1/ROBO2/ROR1/ROR2/RP1/RUFY3/SEMA4D/SETX/SKIL/SLIT2/SMURF1/SNX3/STK25/TENM1/TENM2/TENM3/TIAM1/TIAM2/TOX/TRIM67/TRPC5/VLDLR/ZNF804A/ARAP1/CCDC88A/DNM3/FLNA/L1CAM/RAPGEF1/ATP7A/CFLAR/CNTN1/ENC1/EP300/EPS8/EZH2/KIT/MAPT/PACSIN1/PAFAH1B1/PTK2B/RREB1/SEMA5A/TRPV2/VIL1/CREB3L2/FRMD7/HGF",116
"GO:0042391","BP","GO:0042391","regulation of membrane potential",0.0417721518987342,"431/18903",3.92609846102311e-13,9.56537521602766,2.22295235670326e-10,"ABL1/ADORA1/ADORA2A/ADRA1A/AKAP6/AKAP9/AKT1/AKT2/ANK2/ANK3/ASIC1/ATP2A2/BAIAP2/BID/CACNA1C/CACNA1D/CACNA1H/CACNA2D1/CACNB2/CACNB4/CAMK2D/CAV1/CHRNA4/CHRNA5/CHRNB3/DLG1/DMD/DSP/EHD3/FHL1/FMR1/GABRA3/GABRA4/GABRA5/GABRB1/GABRG3/GCLC/GRIA1/GRIA3/GRID1/GRID2/GRIK1/GRIK3/GRIK5/GRIN2A/GRIN2B/GRIN3A/GRM5/HCN1/HCN4/JUP/KCNA2/KCNB1/KCNC1/KCNC2/KCND2/KCND3/KCNH2/KCNH7/KCNJ8/KCNK13/KCNK18/KCNK4/KCNK9/KCNMA1/KCNQ1/KCNQ3/KMT2A/MECP2/MTNR1B/MTOR/MYOC/NALCN/NETO1/NLGN1/NLGN3/NLGN4X/NOS1AP/NPAS4/OPRD1/OPRM1/PIAS3/PIEZO1/PIEZO2/POPDC3/PTEN/RELN/RGS4/RIMS1/RIMS2/RYR2/SCN1A/SCN3A/SCN9A/SHANK1/SLC1A6/SLC1A7/SLC24A4/SLC8A1/SLC8A3/STOX1/TBX18/TMEM108/TRPC5/WNT7A/WWP2/CD36/CNGB1/CTNNA3/FLNA/NRCAM/ACTN2/CASQ2/CHRNB2/CLN3/GABRB2/KCNAB2/LRRK2/MAPT/PTK2B/SCN10A/SCN2A/SCN5A/SLC4A4/UCP2/GRM1/NDUFS1/SCN11A/SLC25A36/SLC4A8/TRDN/CLIC1",132
"GO:0048588","BP","GO:0048588","developmental cell growth",0.0262658227848101,"229/18903",6.35148614008594e-13,9.4022185387544,3.23658362149011e-10,"ABL1/ADNP/ADRA1A/AGT/AKAP6/ALCAM/AURKA/AUTS2/BCL11A/CACNG7/CDH1/CDH4/CDKL3/COBL/CPNE1/DCLK1/DIP2B/DSCAM/EDN3/EPHA7/EXT1/FOXP1/GOLGA4/HSP90AA1/IQGAP1/MACF1/MAP1B/MAP2/MAP2K4/MAP3K13/MEX3C/NIN/NLGN3/NRP1/PI16/PLXNA4/RAB21/RGS4/RIMS1/RIMS2/RNF6/RTN4/RUFY3/SEMA3A/SEMA3D/SEMA3E/SEMA4A/SEMA4D/SEMA5B/SLIT2/SLIT3/SMURF1/SORBS2/SYT1/SYT17/TMEM108/TRPC5/UNC13A/VCL/AKAP13/L1CAM/NRCAM/SEMA6A/SEMA6D/SPAG9/CYFIP2/ITGB1/KIAA0319/KMT2D/MAPT/PAFAH1B1/PPARA/RAPH1/SEMA3C/SEMA4B/SEMA5A/SIN3A/ST8SIA2/SYT2/TNR/TRPV2/WASF1/DCC",83
