"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04015","hsa04015","Rap1 signaling pathway",0.0474703310430981,"212/8843",4.01111302655289e-10,6.87559701643932,9.2888933246488e-08,"108/109/111/114/115/135/207/208/10000/284/51378/9564/999/1435/1956/55740/2149/2252/2263/2775/2778/2903/2904/3480/3643/3674/3684/3690/3845/9223/9863/260425/5608/5028/84612/5290/5295/8503/23236/5330/51196/5335/5578/5579/5587/5900/9693/51735/83593/387/26037/7010/7074/7409/1500/5293/2889/57568/23094/10451/60/71/113/9732/2260/3688/3689/3815/5156/5159/5332/5894/10411/25780/3082/56288",76
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels",0.0256089943785134,"99/8843",4.78668501962659e-08,5.09985706161164,5.54247739114658e-06,"108/109/111/114/115/239/41/9311/55515/623/817/2778/3356/3358/3556/3708/3710/3827/5608/5602/4914/5290/5295/8503/23236/5330/5335/5336/5566/5578/5579/5583/5732/8989/5293/113/3554/5321/5332/5580/51393",41
"hsa04510","hsa04510","Focal adhesion",0.0418488444722049,"203/8843",1.80118175408833e-07,4.7264721216957,1.30944984967639e-05,"81/207/208/10000/2909/394/9564/824/857/1278/1282/1284/1285/1287/1288/256076/131873/1729/1956/2064/2317/3381/3480/3611/3672/3674/3655/3690/284217/3908/3910/3915/5602/5290/5295/8503/8394/4659/4660/5578/5579/5728/5649/387/9475/7409/7414/7450/2316/4638/5293/5747/2889/3371/10451/60/71/1292/2002/3688/5156/5159/5894/7143/894/3082/3680",67
"hsa04360","hsa04360","Axon guidance",0.0387257963772642,"184/8843",2.2617770130774e-07,4.7264721216957,1.30944984967639e-05,"25/23365/658/817/55740/2044/2045/2048/2242/3611/3845/4776/8829/84612/5290/5295/8503/5335/5336/5362/91584/5578/5727/5998/387/6091/6092/9475/10371/223117/9723/64218/10507/54437/9353/6586/57522/23380/9901/85464/54961/7220/7224/7225/219699/137970/3897/5293/5747/57556/80031/3688/4775/5894/10512/10509/9037/84448/285220/56288/1630/3985",62
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0274828232354778,"122/8843",1.65048744222934e-06,3.96021969629237,7.64436289032539e-05,"207/208/10000/488/1387/3065/3690/3845/5469/116931/9969/23389/9862/9442/2475/9611/4851/4853/4855/5213/5290/5295/8503/23236/5330/51196/5335/5336/5566/5578/5579/6567/9882/7157/10499/5293/60/71/2033/4625/8202/5332/5894/25942",44
"hsa04724","hsa04724","Glutamatergic synapse",0.0262336039975016,"116/8843",2.51797063294942e-06,3.85596250604771,9.71848314471708e-05,"108/109/111/114/115/773/775/776/9229/2775/2778/2890/2892/2893/2897/2899/2901/2903/2904/116443/2913/2915/2918/9455/3708/3710/23236/5330/5566/5578/5579/50944/22941/6507/6511/6512/81539/7220/113/5321/5332/2911",42
"hsa04611","hsa04611","Platelet activation",0.0274828232354778,"125/8843",3.48458678396758e-06,3.78180867117395,0.000115279562777875,"108/109/111/114/115/207/208/10000/2909/23365/1278/2149/2244/2778/51206/3674/3690/3708/3710/4067/5028/5290/5295/8503/23236/5330/5336/4659/5566/387/9475/6786/7450/4638/5293/60/71/113/695/3688/146850/5321/5332/6916",44
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.0268582136164897,"122/8843",4.31631359746657e-06,3.7468389128976,0.000124945919926664,"108/109/111/114/115/207/208/10000/9564/775/776/1387/1444/2690/2778/3667/3708/3710/3845/6416/5608/4214/5602/2475/5290/5295/8503/23236/5330/5335/5336/5566/5578/5579/6774/5293/5747/113/2033/5332/5894/6777/64764",43
"hsa04520","hsa04520","Adherens junction",0.0218613366645846,"93/8843",6.32624388852636e-06,3.63195849496882,0.000162780544500094,"81/9411/10458/999/1387/1496/1956/2064/57493/3480/3643/8826/5787/5792/5795/5797/387/9475/57154/64750/7082/7414/29119/1500/4089/60/71/2033/2260/6885/10580/7454/8936/51701/56288",35
"hsa01522","hsa01522","Endocrine resistance",0.0224859462835728,"99/8843",1.15658415572966e-05,3.42693071897871,0.000260993849404222,"108/109/111/114/115/207/208/10000/1027/1871/1956/2064/2778/3480/3845/5602/5469/2475/9611/4851/4853/4855/5290/5295/8503/5566/5925/6667/7157/5293/5747/113/2100/4313/8202/5894",36
"hsa04024","hsa04024","cAMP signaling pathway",0.0418488444722049,"226/8843",1.23972078467005e-05,3.42693071897871,0.000260993849404222,"108/109/111/114/115/134/135/207/208/10000/488/775/776/817/1262/1387/1908/2149/2492/2737/2778/2890/2892/2893/2903/2904/116443/10021/3973/5602/5139/5142/5144/5290/5295/8503/51196/64208/4659/5566/5727/5732/387/9475/6262/7074/7253/7409/7434/490/493/1258/3991/5293/10451/113/491/492/2033/2696/4886/5143/5465/5894/10411/64764/5733",67
"hsa05017","hsa05017","Spinocerebellar ataxia",0.0293566520924422,"144/8843",1.68493163415715e-05,3.3314608782108,0.000325162245188223,"207/208/10000/55626/23130/488/6310/4287/773/1600/2081/2890/2892/2903/2904/116443/3708/3710/3752/4217/5602/2475/115209/5173/5290/5295/8503/30849/23236/5330/5578/5579/5682/5683/5693/5707/5710/9821/5649/6511/6667/6712/7436/5293/5332/23369/2911",47
"hsa05414","hsa05414","Dilated cardiomyopathy",0.0231105559025609,"105/8843",1.99087946355748e-05,3.31759161961401,0.000335713937827048,"108/109/111/114/115/183/488/775/776/781/9254/93589/783/785/10368/59284/1756/2778/3672/3674/3655/3690/284217/3908/5566/6262/6546/6547/7273/60/71/113/3688/4625/6444/7169/3680",37
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0299812617114304,"149/8843",2.02954335140897e-05,3.31759161961401,0.000335713937827048,"108/109/111/114/115/183/207/208/10000/553/3577/1606/8527/1956/2149/2778/2913/2915/2918/3643/3845/2475/5290/5295/8503/8394/23236/5330/5335/5336/5578/5900/387/26052/5293/113/56895/2205/3815/5156/5159/146850/5321/5332/2185/5894/10411/2911",48
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",0.0306058713304185,"154/8843",2.41683401718516e-05,3.2717063503043,0.000373125251775954,"108/109/111/114/115/148/183/207/208/10000/488/775/776/781/9254/93589/783/785/10368/59284/817/2778/3784/23236/5330/64208/5523/28227/5527/5528/5566/5578/9252/6262/6546/6547/490/493/113/491/492/4625/146850/5332/5515/10411/6331/7169/64764",49
"hsa05205","hsa05205","Proteoglycans in cancer",0.0374765771392879,"204/8843",4.50637722515112e-05,3.02915435560658,0.000652238808903451,"207/208/10000/286/287/288/23365/817/857/1278/29102/1956/2064/2066/2719/3339/3480/8826/3690/3708/3710/3845/4478/2475/5290/5295/8503/51196/5335/5336/4659/4660/5566/5578/5579/5727/387/9475/4087/6774/7074/7099/7157/7409/7482/7476/2316/5293/5747/7023/10451/60/71/2002/2260/3688/4313/5894/8323/3082",60
"hsa04020","hsa04020","Calcium signaling pathway",0.0443472829481574,"254/8843",5.9362252833385e-05,2.93580046335235,0.000808649883798434,"108/109/114/115/135/148/488/553/623/773/775/776/777/8912/817/952/1956/2064/2066/2149/2252/2263/2778/2903/2904/116443/2915/3356/3358/3361/3707/3708/3710/3973/4776/4914/5136/5137/23236/5330/51196/5335/5336/5566/5578/5579/6262/6263/6546/6547/6786/6865/53373/490/493/4638/113/491/492/845/2260/3274/4775/5156/5159/5332/2185/2911/3082/5733/10345",71
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.023735165521549,"115/8843",7.83348587904002e-05,2.84017935651355,0.0010078168967186,"108/109/111/114/115/9826/846/1956/2625/2778/3708/3710/9365/4040/4324/5142/5144/23236/5330/5566/5578/5579/387/860/6446/6667/65125/65267/11214/113/2260/4205/4666/4929/5143/5332/5894/64764",38
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.0405996252342286,"230/8843",8.44379747459027e-05,2.8310777090891,0.00102916091103039,"81/207/208/10000/324/2909/23365/50649/9459/8874/10458/9564/623/1729/1956/55740/2149/2252/2263/8826/10788/3672/3674/3655/3684/3687/3690/3827/3845/4478/4628/4629/4627/5290/5295/8503/8394/4659/4660/387/9475/85464/54961/7074/7409/7414/4638/5293/5747/10451/60/71/732/26999/2260/3682/3688/3689/5156/5159/5894/8936/1730/3680/3985",65
"hsa04213","hsa04213","Longevity regulating pathway - multiple species",0.0149906308557152,"62/8843",0.000105347505369837,2.75726765599249,0.0012198132200718,"108/109/111/114/115/207/208/10000/3065/3480/3643/3667/3845/2475/5290/5295/8503/5566/5293/57521/113/5562/9474/2309",24
"hsa04512","hsa04512","ECM-receptor interaction",0.0193628981886321,"89/8843",0.000117446890954775,2.75577305377168,0.00122401837657146,"1278/1282/1284/1285/1287/1288/256076/131873/80144/341640/51206/3339/3381/3672/3674/3655/3690/284217/3908/3910/3915/5649/7450/948/158326/3371/1292/1834/3688/7143/3680",31
"hsa04912","hsa04912","GnRH signaling pathway",0.0199875078076202,"93/8843",0.000119566497440932,2.75577305377168,0.00122401837657146,"108/109/111/114/115/775/776/817/1956/2778/3708/3710/3845/6416/5608/4214/4216/5602/23236/5330/5566/5578/5579/113/2002/10746/4313/5321/5332/5580/2185/5894",32
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",0.0212367270455965,"101/8843",0.00012156727967312,2.75577305377168,0.00122401837657146,"183/207/208/10000/1027/1278/1282/1284/1285/1287/1288/1729/3383/3845/5602/5290/5295/8503/23236/5330/51196/5335/5336/5578/5579/4087/6774/5293/4089/4313/5332/5580/6401/6777",34
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.018738288569644,"86/8843",0.00014586262178053,2.70481365559536,0.00137640846924067,"488/775/776/781/9254/93589/783/785/10368/59284/1496/1756/1832/3672/3674/3655/3690/3728/284217/3908/6262/6546/6547/29119/60/71/88/3688/6444/3680",30
"hsa04211","hsa04211","Longevity regulating pathway",0.0193628981886321,"90/8843",0.000148589550656664,2.70481365559536,0.00137640846924067,"108/109/111/114/115/207/208/10000/79813/3480/3643/3667/9365/3845/2475/5290/5295/8503/10891/5566/9821/7157/5293/57521/113/5468/5562/79602/9474/64764/2309",31
"hsa03083","hsa03083","Polycomb repressive complex",0.0181136789506558,"83/8843",0.00018118020342899,2.63572452131912,0.00161375079977238,"121536/171023/55252/80816/26053/63035/1387/10238/2145/3054/3065/22992/26013/23269/1912/80012/10389/7027/7874/54880/5931/2033/2146/84456/84458/55777/114785/6045/51460",29
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption",0.0131168019987508,"53/8843",0.000191242096119454,2.62864218529669,0.00164028308562495,"115/160/8218/2778/9365/23236/5330/5566/5578/5579/6546/6547/1173/490/493/1213/26052/491/492/3817/5332",21
"hsa04921","hsa04921","Oxytocin signaling pathway",0.0287320424734541,"154/8843",0.000228077998523144,2.56793655443012,0.00188635938628164,"108/109/111/114/115/775/776/781/9254/93589/783/785/10368/59284/817/952/1956/2775/2778/3708/3710/3763/3845/4776/23236/5330/4659/4660/5566/5578/5579/387/9475/6262/6263/4638/60/71/113/2002/4775/146850/5321/5332/5562/5894",46
"hsa04929","hsa04929","GnRH secretion",0.0149906308557152,"65/8843",0.000247430584587812,2.54780653298123,0.00197585221812409,"207/208/10000/775/776/8912/348980/3708/3710/3763/3845/5290/5295/8503/23236/5330/5578/5579/7220/7224/5293/2100/5332/5894",24
"hsa05223","hsa05223","Non-small cell lung cancer",0.0162398500936914,"73/8843",0.000271489527853659,2.52223008877799,0.00209570863606333,"207/208/10000/238/1871/1956/2064/3845/5290/5295/8503/5335/5336/5578/5579/5915/83593/5925/6774/7157/5293/3718/5894/6777/2309/3082",26
"hsa05222","hsa05222","Small cell lung cancer",0.0193628981886321,"93/8843",0.000290997822430502,2.50633387100672,0.00217383772274059,"207/208/10000/898/1027/1163/1282/1284/1285/1287/1288/1871/3674/3655/284217/3908/3910/3915/5290/5295/8503/5728/5915/5925/7157/7188/5293/5747/7709/3688/317",31
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes",0.0137414116177389,"59/8843",0.000377483280422641,2.42047813565498,0.00264900547665011,"108/109/111/114/115/134/207/208/10000/2778/3643/3667/5290/5295/8503/5566/7253/3991/5293/113/4886/5733",22
"hsa05213","hsa05213","Endometrial cancer",0.0137414116177389,"59/8843",0.000377483280422641,2.42047813565498,0.00264900547665011,"207/208/10000/324/8312/8313/999/1496/1956/2064/3611/3845/5290/5295/8503/5728/7157/29119/5293/2002/5894/2309",22
