"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0325803649000869,"170/18903",1.89240590226961e-25,20.9377982860606,9.43812543679304e-22,"CDH10/CDH2/CDH23/CDH4/CDH9/CDHR1/CEACAM6/CELSR1/CELSR2/CLSTN1/CLSTN2/CNTN4/DSCAML1/DSG4/FAT1/FAT2/FAT3/FAT4/HMCN1/IGFN1/IGSF11/IGSF9/PALLD/PCDH10/PCDH11X/PCDH12/PCDH15/PCDH17/PCDH19/PCDH20/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHGA1/PCDHGA10/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB6/PCDHGB7/PCDHGC4/PCDHGC5/PKD1/ROBO1/ROBO2/SDK1/SDK2/TENM3/L1CAM/PLXNB2/CDH11/CDH12/CDHR2/DCHS1/DSCAM/PCDH9",75
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0425716768027802,"282/18903",3.14471508151246e-23,19.068733334754,6.98153141092637e-20,"ALCAM/ATP2C1/CDH10/CDH2/CDH23/CDH4/CDH9/CDHR1/CEACAM6/CEACAM8/CELSR1/CELSR2/CLDN11/CLDN16/CLSTN1/CLSTN2/CNTN4/CX3CL1/DSCAML1/DSG4/FAT1/FAT2/FAT3/FAT4/HMCN1/IGFN1/IGSF11/IGSF9/IL1RAP/ITGA5/ITGAM/LRFN5/LRRC4B/NLGN1/PALLD/PCDH10/PCDH11X/PCDH12/PCDH15/PCDH17/PCDH19/PCDH20/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHGA1/PCDHGA10/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB6/PCDHGB7/PCDHGC4/PCDHGC5/PKD1/PTPRD/PTPRF/ROBO1/ROBO2/SDK1/SDK2/SPARCL1/TENM1/TENM2/TENM3/TENM4/UNC5D/WNK1/CRB1/L1CAM/PLXNB2/CDH11/CDH12/CDHR2/DCHS1/DSCAM/PTPRS/MYADM/PCDH9",98
"GO:0061564","BP","GO:0061564","axon development",0.0608166811468288,"490/18903",4.19952818090759e-23,19.068733334754,6.98153141092637e-20,"ABL1/ADNP/ALCAM/ANAPC2/ANK3/APBB1/ARHGAP35/ARHGAP4/AUTS2/B4GALT5/BARHL2/BDNF/BMPR2/BOC/CAMSAP2/CDH2/CDH4/CDKL3/CNTN4/CTNNA1/CTTN/DCC/DDR1/DIP2B/DPYSL2/DPYSL5/DSCAML1/EPHA10/EPHA4/EPHB3/EPHB6/FEZ2/GAP43/GDI1/GLI2/GLI3/GOLGA4/HSP90AA1/HSP90AB1/IGSF9/KALRN/LAMA1/LAMA5/LMTK2/LMX1A/LRP4/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MARK2/MEGF8/NCAM1/NLGN3/NOTCH1/NOTCH2/NREP/NUMB/PALLD/PARD3/PARD6B/PLP1/PLXNA2/PLXNA4/PLXND1/POU4F1/PTEN/PTPRF/PTPRZ1/RAPH1/RELN/ROBO1/ROBO2/RTN4/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SIN3A/SIPA1L1/SKIL/SLIT1/SLIT2/SLIT3/SLITRK5/SOS1/SPRY3/STK11/STXBP1/SZT2/TIAM1/TIAM2/TRIO/ULK1/UNC5B/UNC5D/VCL/BRSK2/CHL1/DCLK1/ERBB2/FLNA/KIF13B/L1CAM/NDEL1/NFASC/NRCAM/NRXN3/PLXNB2/RUFY3/SEMA6A/SEMA6D/SMAD4/TNC/ACTB/CDH11/CDKL5/CNTN1/DSCAM/JAK2/KIF5B/MAPK8IP3/MMP2/NTRK2/PAK2/PAK3/PTPRS/SEMA4F/TNR/CTNNA2/EPHA3/EPHA7/NFIB/NRP1/NRP2/PAK1/RNF165/FGF13/MCF2",140
"GO:0007409","BP","GO:0007409","axonogenesis",0.0556038227628149,"438/18903",3.73881237644617e-22,18.2441388996503,4.66170869463209e-19,"ABL1/ADNP/ALCAM/ANAPC2/ANK3/APBB1/ARHGAP35/ARHGAP4/AUTS2/B4GALT5/BARHL2/BDNF/BMPR2/BOC/CDH2/CDH4/CDKL3/CNTN4/CTTN/DCC/DIP2B/DPYSL2/DPYSL5/DSCAML1/EPHA10/EPHA4/EPHB3/EPHB6/FEZ2/GAP43/GDI1/GLI2/GLI3/GOLGA4/HSP90AA1/HSP90AB1/IGSF9/KALRN/LAMA1/LAMA5/LMTK2/LMX1A/LRP4/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MARK2/MEGF8/NCAM1/NLGN3/NOTCH1/NOTCH2/NUMB/PALLD/PARD3/PARD6B/PLXNA2/PLXNA4/PLXND1/POU4F1/PTEN/PTPRZ1/RAPH1/RELN/ROBO1/ROBO2/RTN4/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SIN3A/SIPA1L1/SKIL/SLIT1/SLIT2/SLIT3/SLITRK5/SOS1/STK11/STXBP1/SZT2/TIAM1/TIAM2/TRIO/ULK1/UNC5B/UNC5D/VCL/BRSK2/CHL1/DCLK1/ERBB2/KIF13B/L1CAM/NDEL1/NFASC/NRCAM/NRXN3/PLXNB2/RUFY3/SEMA6A/SEMA6D/SMAD4/ACTB/CDH11/CDKL5/CNTN1/DSCAM/KIF5B/NTRK2/PAK2/PAK3/PTPRS/SEMA4F/TNR/CTNNA2/EPHA3/EPHA7/NFIB/NRP1/NRP2/PAK1/RNF165/FGF13/MCF2",128
"GO:0050808","BP","GO:0050808","synapse organization",0.0543006081668115,"432/18903",2.96982501371296e-21,17.4410517234803,2.96232229788885e-18,"ABL1/ADNP/AGRN/ANAPC2/ANK3/APBB2/ARHGAP39/ASIC2/BDNF/BSN/C5AR1/CACNB2/CACNB4/CDH2/CLSTN1/CLSTN2/COL4A1/CTNND2/CTTN/CUX2/CX3CL1/DIP2A/DLGAP3/EPHA4/EPHB3/ERBB4/FRMPD4/GABRB3/GAP43/GHSR/GRIN2B/GRM5/HSPA8/IGFN1/IGSF9/IL1RAP/INSR/ITGAM/KY/LHFPL4/LMX1A/LRFN5/LRP4/LRP8/LRRC4B/LRRTM3/MAP1B/MECP2/MUSK/NEDD9/NLGN1/NLGN3/NLGN4X/NRG1/PCDH17/PCDHGC4/PCDHGC5/PCLO/PDZRN3/PLXND1/POU4F1/PPFIA2/PTEN/PTPRD/PTPRF/RAB39B/RELN/REST/ROBO2/SDK1/SDK2/SEMA3E/SETD5/SEZ6L/SHANK2/SIPA1L1/SLIT1/SLITRK5/SNTA1/SPARCL1/SRCIN1/SYNDIG1/SYNPO/TANC1/TANC2/UBE3A/WNT7B/YWHAZ/ZC4H2/ZNF804A/ADD2/DOCK10/ELFN1/ERBB2/FLNA/GABRA2/GPHN/KIF1A/L1CAM/NFASC/NRCAM/PDLIM5/PLXNB2/TNC/ABHD17B/ACTB/ACTG1/CDKL5/CTBP2/CTNNB1/DSCAM/NRXN2/NTRK2/PAK3/PTPRS/SHANK3/TMEM108/TNR/WASF1/CTNNA2/EPHA7/ERC2/NRP1/NRP2/FGF13",125
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.054735013032146,"446/18903",1.92507436226691e-20,16.7085163201469,1.60017584709134e-17,"ABL1/ABL2/ADNP/ALK/ANAPC2/ARHGAP35/ARHGAP4/B2M/BCL11A/BDNF/BMPR2/CAMSAP2/CCDC88A/CDH2/CDH4/CDKL3/CSMD3/CUX1/CUX2/CX3CL1/DCC/DIP2B/DPYSL5/ELAVL4/EP300/EPHA4/EPHB3/FAT3/GDI1/GOLGA4/HDAC2/HECW1/INPP5J/KNDC1/LRP4/LRP8/LRRC7/MACF1/MAP1B/MAP2/MAP3K13/MARK2/MEGF8/NCK1/NFE2L2/NLGN1/PLXNA2/PLXNA4/PLXND1/PPFIA2/PRRX1/PTEN/PTK7/PTPRD/PTPRF/PTPRG/RAPGEF2/RELN/ROBO1/ROBO2/ROR2/RTN4/SARM1/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SETX/SIPA1L1/SKIL/SLIT1/SLIT2/SRCIN1/STK11/TANC2/TENM3/TIAM1/TIAM2/TNIK/UBE3A/ULK1/VLDLR/ZNF804A/BRSK2/FLNA/KIF13B/KIF1A/L1CAM/NDEL1/NRCAM/PDLIM5/PLXNB2/RUFY3/SEMA6A/SEMA6D/CDKL5/CNTN1/DAB2/DSCAM/KANK1/KIDINS220/LZTS1/NEDD4L/NTRK2/PAK2/PAK3/PPP2R5B/PTK2B/PTPRS/SEMA4F/SHANK3/TNR/CTNNA2/DPYSL3/EPHA3/EPHA7/HECW2/MAGI2/NCS1/NRP1/PAK1/PMP22/PTPN9/AKT1/FGF13/MCF2",126
"GO:1990138","BP","GO:1990138","neuron projection extension",0.0286707211120765,"172/18903",1.23743317248051e-18,14.9673888657988,8.81647875370325e-16,"ABL1/ADNP/ALCAM/ANAPC2/ARHGAP4/AURKA/AUTS2/BARHL2/BCL11A/BMPR2/CACNG7/CDH4/CDKL3/CTTN/DDR1/DIP2B/DPYSL2/GDI1/GOLGA4/HSP90AA1/HSP90AB1/MACF1/MAP1B/MAP2/MAP3K13/MEGF8/NLGN3/PLAA/PLXNA4/PRKCZ/RAPH1/RIMS1/RIMS2/RTN4/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SIN3A/SLIT1/SLIT2/SLIT3/STK11/SYT3/ULK1/VCL/DCLK1/ITSN2/L1CAM/NDEL1/NRCAM/RNF157/RUFY3/SEMA6A/SEMA6D/CDKL5/CTNNB1/DSCAM/NEDD4L/PTPRS/SEMA4F/TMEM108/TNR/WASF1/NRP1/NRP2",66
"GO:0050770","BP","GO:0050770","regulation of axonogenesis",0.0269331016507385,"156/18903",1.757837358862e-18,14.8729238767802,1.09587281661686e-15,"ADNP/ANAPC2/ARHGAP35/ARHGAP4/BDNF/BMPR2/CDH2/CDH4/CDKL3/DCC/DIP2B/EPHA4/EPHB3/GDI1/GOLGA4/LRP4/MACF1/MAP1B/MAP2/MAP3K13/MARK2/MEGF8/PLXNA2/PLXNA4/PLXND1/PTEN/ROBO1/ROBO2/RTN4/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SIPA1L1/SKIL/SLIT1/SLIT2/STK11/TIAM1/TIAM2/ULK1/BRSK2/KIF13B/L1CAM/NDEL1/PLXNB2/RUFY3/SEMA6A/SEMA6D/CDKL5/DSCAM/NTRK2/PAK2/PAK3/PTPRS/SEMA4F/TNR/EPHA7/NRP1/PAK1/FGF13/MCF2",62
"GO:0048588","BP","GO:0048588","developmental cell growth",0.0334491746307559,"229/18903",1.38055294199638e-17,14.0290020236168,7.65036238500452e-15,"ABL1/ADNP/ADRA1A/AKAP13/AKAP6/ALCAM/ANAPC2/ARHGAP4/AURKA/AUTS2/BARHL2/BCL11A/BDNF/BMPR2/CACNG7/CDH4/CDKL3/CTTN/DCC/DDR1/DIP2B/DPYSL2/FOXP1/GDI1/GOLGA4/HSP90AA1/HSP90AB1/MACF1/MAP1B/MAP2/MAP3K13/MEGF8/NLGN3/PLAA/PLXNA4/PRKCZ/RAPH1/RIMS1/RIMS2/RTN4/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SIN3A/SLIT1/SLIT2/SLIT3/STK11/SYT3/ULK1/VCL/DCLK1/ITSN2/KMT2D/L1CAM/NDEL1/NRCAM/PDLIM5/RNF157/RUFY3/SEMA6A/SEMA6D/SORBS2/CDKL5/CTNNB1/DSCAM/NEDD4L/PTPRS/SEMA4F/TMEM108/TNR/WASF1/EPHA7/NRP1/NRP2/FGF13",77
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis",0.0334491746307559,"233/18903",4.22901496995819e-17,13.5885733574961,2.10916557133283e-14,"ABL1/ADNP/ALCAM/ANAPC2/ARHGAP4/AURKA/AUTS2/BARHL2/BCL11A/BDNF/BMPR2/CACNG7/CDH4/CDKL3/CSF1/CTTN/DCC/DDR1/DIP2B/DPYSL2/GDI1/GOLGA4/HSP90AA1/HSP90AB1/KIF26B/MACF1/MAP1B/MAP2/MAP3K13/MED1/MEGF8/NLGN3/NOTCH1/PLAA/PLXNA4/PRKCZ/PTK7/RAPH1/RIMS1/RIMS2/RTN4/SEMA3A/SEMA3E/SEMA4B/SEMA5B/SIN3A/SLIT1/SLIT2/SLIT3/STK11/SYT3/ULK1/VCL/WNT7B/DCLK1/ITSN2/L1CAM/NDEL1/NRCAM/RNF157/RUFY3/SEMA6A/SEMA6D/CDKL5/CTNNB1/DSCAM/NEDD4L/PTPRS/SEMA4F/TMEM108/TNR/WASF1/EPHA7/MAGI2/NRP1/NRP2/FGF13",77
