"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04360","hsa04360","Axon guidance",0.051413881748072,"184/8843",5.45742140093589e-12,8.74318451660914,1.32127044443711e-09,"25/23365/659/91653/1630/1808/56896/2043/2049/2051/2773/3845/3985/5594/4690/10298/56288/84612/5290/5295/8503/5335/5362/91584/5578/5590/5921/5998/6091/6092/9475/10371/9723/10509/54437/6585/9353/6586/9901/54434/85464/7220/219699/137970/22885/3897/23654/57556/80031/5062/5063/10505/7222/7225/2042/2045/8829/5058/84552/6093",60
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0325621251071123,"122/8843",1.72400454645219e-07,4.54466359509998,2.08695287202107e-05,"1387/2033/3066/3845/5594/5469/9969/23389/9611/4851/4853/5290/5295/8503/23236/5335/5578/5579/25942/6567/6513/6548/7157/487/60/71/572/1499/9440/9862/8648/10499/8202/6257/116931/5567/207/5214",38
"hsa04510","hsa04510","Focal adhesion",0.0454155955441303,"203/8843",4.70938266686549e-07,4.2843292799181,3.80055443290899e-05,"2909/394/329/857/1101/1282/1284/1288/256076/131873/1956/2317/2324/22801/3678/3679/284217/3911/3915/5594/10298/5290/5295/8503/5578/5579/5728/5829/5649/9475/6654/7410/7414/2064/2316/4659/3371/60/71/572/1292/1293/1499/2002/3673/5062/5063/7143/894/2321/5058/6093/207",53
"hsa05223","hsa05223","Non-small cell lung cancer",0.0214224507283633,"73/8843",3.29127027948403e-06,3.56486844948191,0.000199208464284559,"238/1029/1871/1956/27436/2309/3845/5594/5290/5295/8503/5335/5578/5579/5915/5925/6654/6774/7157/2064/572/3799/6257/6777/207",25
"hsa01522","hsa01522","Endocrine resistance",0.025706940874036,"99/8843",6.30868787151932e-06,3.39551583511942,0.000294212013243084,"109/111/115/1029/1871/1956/2778/3714/3845/5594/5600/5469/9611/4851/4853/5290/5295/8503/5925/6199/6654/6667/7157/2064/108/572/4313/8202/5567/207",30
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0471293916023993,"232/8843",7.29134119776339e-06,3.39551583511942,0.000294212013243084,"88/375790/287/288/1282/1284/1288/1290/256076/131873/23002/1756/1832/2199/2201/2273/56776/91010/3339/22801/3678/3679/3728/284217/4606/4628/8735/4622/4627/9172/5339/6640/6711/23345/171024/7169/7170/7273/1462/7414/129446/1837/10611/161176/60/71/1292/1293/23500/2027/3673/4629/1301/1730/752",55
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.0231362467866324,"86/8843",8.77362628262395e-06,3.38209091478494,0.000303448728571956,"88/775/9254/783/785/59284/1000/1495/29119/1756/1832/22801/3678/3679/3728/284217/6262/6546/6640/487/1837/60/71/1499/3673/776/1496",27
"hsa04015","hsa04015","Rap1 signaling pathway",0.0437017994858612,"212/8843",1.01040728220222e-05,3.37876552561269,0.000305781151192776,"109/111/115/54518/1435/1956/9002/2324/2773/2778/2903/2904/3643/3684/3815/3845/3937/9223/260425/5608/5594/5600/56288/84612/5290/5295/8503/23236/5335/5578/5579/5590/5900/9693/11069/10636/26037/7074/7410/1500/9732/60/71/108/1499/10235/2321/9863/84552/9771/207",51
"hsa03083","hsa03083","Polycomb repressive complex",0.0222793487574979,"83/8843",1.34059432833669e-05,3.3071171379752,0.000360627714055485,"121536/171023/55252/80816/26053/54880/63035/1387/2033/221937/3066/3720/22992/84678/114785/8473/1912/7027/7323/23269/5252/84458/55777/26147/5928/6045",26
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.0274207369323051,"115/8843",2.21820312251154e-05,3.13417069392113,0.000537038650713321,"109/111/115/11214/9826/846/1956/10672/2773/2778/9365/4041/4040/5594/5141/23236/5578/5579/860/6569/6667/27347/65125/65266/65268/108/6257/65267/4325/5142/5144/5567",32
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",0.0334190231362468,"154/8843",3.23890934092989e-05,3.05873676140283,0.000638909690966593,"109/111/115/148/491/775/9254/783/785/59284/2773/2778/5594/5600/5294/23533/23236/28227/5578/11069/6262/6332/6546/6548/7169/7170/487/490/5518/108/493/5526/492/776/1390/5527/5529/5567/207",39
"hsa05205","hsa05205","Proteoglycans in cancer",0.0411311053984576,"204/8843",3.38954243212541e-05,3.05873676140283,0.000638909690966593,"286/287/288/23365/857/2017/1956/2066/355/8323/60495/3339/3678/3845/5594/5600/4478/5290/5295/8503/5335/5578/5579/5829/9475/6199/6548/6654/6774/7074/7157/7410/7477/2064/2316/4659/60/71/1499/2002/3593/3673/4313/5962/5058/5567/6093/207",48
"hsa05165","hsa05165","Human papillomavirus infection",0.0599828620394173,"333/8843",3.63432681643028e-05,3.05873676140283,0.000638909690966593,"324/545/8313/1101/1282/1284/1288/256076/131873/1387/1956/2033/355/8323/2778/3066/3107/3134/3455/22801/3678/3679/3845/284217/3911/3915/9223/9794/84441/5594/4851/4853/56288/84612/5290/5295/8503/28227/5590/5728/5734/5829/5925/5649/6199/6654/7015/7157/7187/7337/7477/841/5518/3371/572/1292/1293/1499/3673/3716/5526/9519/7143/894/1740/84552/5527/5529/5567/207",70
"hsa05213","hsa05213","Endometrial cancer",0.0171379605826907,"59/8843",3.69456473471986e-05,3.05873676140283,0.000638909690966593,"324/8313/1495/29119/1956/2309/3845/5594/5290/5295/8503/5728/6654/7157/2064/572/1499/2002/1496/207",20
"hsa04611","hsa04611","Platelet activation",0.0282776349614396,"125/8843",5.32627337745647e-05,2.9298398119127,0.000859679211799991,"109/111/115/54518/2909/23365/9002/2243/10672/2773/2778/3937/5594/5600/4846/5290/5294/5295/8503/23533/23236/5590/9475/4659/60/71/108/695/3673/10235/5567/6093/207",33
"hsa04012","hsa04012","ErbB signaling pathway",0.0214224507283633,"86/8843",7.88126000170099e-05,2.78769633382195,0.00119255907920476,"25/27/1956/2066/3845/5594/4690/3084/10298/5290/5295/8503/5335/5578/5579/6199/6654/2064/572/2002/5062/5063/6777/5058/207",25
"hsa05414","hsa05414","Dilated cardiomyopathy",0.0239931448157669,"105/8843",0.00015930068947762,2.50840327210476,0.00226867854983607,"109/111/115/775/9254/783/785/59284/1756/2778/22801/3678/3679/284217/6262/6546/6640/7169/7170/7273/487/1837/60/71/108/3673/776/5567",28
"hsa04024","hsa04024","cAMP signaling pathway",0.0419880034275921,"226/8843",0.000245834070095838,2.34480243981843,0.00330654012409606,"109/111/115/491/627/775/1129/1260/1387/2033/2492/2693/2737/2773/2778/2890/2903/2904/3360/3362/5594/5139/5141/5290/5295/8503/11069/9475/6262/6548/7074/7410/487/490/1394/3991/4659/108/493/572/2550/492/776/5058/5142/5144/5567/6093/207",49
"hsa04020","hsa04020","Calcium signaling pathway",0.0454155955441303,"254/8843",0.000381100925696178,2.17788560350005,0.00485613367923108,"109/115/148/491/775/777/8912/1129/1956/2066/2324/2769/2778/2903/2904/2911/2915/2925/3270/3360/3362/80271/4486/4846/4923/5026/5137/5255/23236/5335/5578/5579/6261/6262/6263/6546/56848/57620/487/490/2064/2774/108/493/3274/4915/2185/492/776/2321/3707/5567/3358",53
"hsa04670","hsa04670","Leukocyte transendothelial migration",0.0248500428449015,"116/8843",0.000406145142482944,2.17252073847146,0.00491649383005669,"2909/394/5010/10686/1495/29119/2773/3684/5600/4478/5290/5295/8503/5335/5578/5579/5829/11069/9475/7410/7414/1500/60/71/1499/4313/2185/1496/6093",29
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.025706940874036,"122/8843",0.000440536002861152,2.15840989398767,0.00507886118586792,"109/111/115/775/1387/2033/2690/2693/2773/2778/3845/5608/5594/5600/5290/5295/8503/23236/5335/5578/5579/8835/6654/6774/108/3717/6777/776/5567/207",30
"hsa05212","hsa05212","Pancreatic cancer",0.0179948586118252,"77/8843",0.000738711545593697,1.9574584350566,0.00806710671295171,"675/1029/1871/1956/3845/5594/5290/5295/8503/5900/5925/6199/6774/7157/2064/4088/4089/572/3716/10928/207",21
"hsa04520","hsa04520","Adherens junction",0.0205655526992288,"93/8843",0.000766375137730413,1.9574584350566,0.00806710671295171,"1387/1495/29119/1956/2033/3643/4008/5594/56288/5792/9475/7082/7414/1500/2064/4088/4089/60/71/1499/10580/8936/1496/6093",24
"hsa05221","hsa05221","Acute myeloid leukemia",0.0162810625535561,"68/8843",0.000944279541144678,1.89667387727321,0.00927902531745452,"3684/3728/3815/3845/5594/5290/5295/8503/5467/6199/6654/6774/7704/5371/572/862/6777/861/207",19
"hsa04512","hsa04512","ECM-receptor interaction",0.0197086546700943,"89/8843",0.000958160222998021,1.89667387727321,0.00927902531745452,"375790/1101/1282/1284/1288/256076/131873/80144/341640/3339/22801/3678/3679/284217/3911/3915/56955/5649/3371/1292/1293/3673/7143",23
"hsa04310","hsa04310","Wnt signaling pathway",0.0325621251071123,"174/8843",0.00101888112567754,1.88702183699322,0.00948755704072201,"324/8313/1387/1501/23002/2033/2487/8323/27130/8549/4041/4040/85409/23236/5467/29964/5578/5579/9475/4920/6424/7091/7157/7477/4088/4089/57680/1488/1499/8454/23500/144165/79718/57805/894/23291/5567/59343",38
"hsa04390","hsa04390","Hippo signaling pathway",0.0299914310197087,"157/8843",0.00108085623866339,1.87776783675109,0.00969188829990567,"324/8313/329/659/1453/1495/29119/8323/8200/2736/9113/26524/8994/85409/56288/84612/5590/8463/7161/7477/23286/7534/23418/5518/4088/4089/60/71/1499/894/1496/1740/23291/122786/84552",35
"hsa04110","hsa04110","Cell cycle",0.0299914310197087,"158/8843",0.00121680323984639,1.85259141889862,0.0102703399263035,"25/29882/545/85417/8555/113130/1029/1387/80174/1871/2033/3066/9088/5925/8243/27127/7027/7157/7272/7534/546/996/81620/25836/5518/4088/4089/7709/8454/5526/9126/10735/894/5527/5529",35
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.0179948586118252,"80/8843",0.00126468390637974,1.85259141889862,0.0102703399263035,"1956/2309/3845/5594/4763/3084/5290/5295/8503/5335/5578/5579/5728/6199/6654/6774/2064/572/3716/3717/207",21
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.0402742073693231,"230/8843",0.00127262907782456,1.85259141889862,0.0102703399263035,"324/2909/23365/50649/8874/1129/1956/2245/10672/22801/3678/3679/3684/3845/3985/5594/4478/4628/4627/10298/5290/5295/8503/5829/9475/6548/6654/221178/54434/85464/7074/7410/7414/4659/60/71/2934/3673/4629/5062/5063/5962/8936/1730/5058/6093/207",47
"hsa05163","hsa05163","Human cytomegalovirus infection",0.0394173093401885,"226/8843",0.00155221322523796,1.78058232064694,0.0121225481088194,"109/111/115/11214/9826/23365/567/1029/6376/1871/1956/355/10672/2773/2778/3107/3134/3845/5608/5594/5600/5290/5295/8503/23236/5578/5579/5734/5829/5925/9475/6199/6654/6667/6774/6892/7157/841/108/1499/2002/3716/2185/5567/6093/207",46
"hsa04066","hsa04066","HIF-1 signaling pathway",0.0222793487574979,"109/8843",0.00165929440949205,1.76539853458132,0.012553872177078,"1387/1956/2033/3098/3099/3643/5594/2872/4846/5290/5295/8503/5335/5578/5579/6199/6513/6774/7037/2064/226/2027/5160/2321/207/5214",26
"hsa04213","hsa04213","Longevity regulating pathway - multiple species",0.0145672664952871,"62/8843",0.00215071708981794,1.66610266003439,0.0157787856669258,"109/111/115/3170/2309/3066/3312/3643/3845/5290/5295/8503/6199/57521/108/5567/207",17
"hsa04930","hsa04930","Type II diabetes mellitus",0.0119965724078835,"47/8843",0.00222784238713718,1.66376646065078,0.0158638931591811,"775/777/3098/3099/3643/5594/5290/5295/8503/5590/8835/6833/776/5581",14
"hsa05225","hsa05225","Hepatocellular carcinoma",0.0308483290488432,"170/8843",0.00240068992579365,1.64390398056877,0.0166062761784222,"324/8289/57492/196528/8313/1029/1871/1956/8323/3845/4041/4040/5594/4780/5290/5295/8503/5335/5578/5579/5728/5925/6199/6654/7015/7157/7477/4088/4089/6597/60/71/572/1499/2002/207",36
"hsa04814","hsa04814","Motor proteins",0.0342759211653813,"197/8843",0.00318533904726484,1.53331884158566,0.0214218707856992,"1062/8701/55567/56171/79659/51626/347240/26153/55083/9371/374654/64837/4628/8735/4622/4627/4644/4647/4649/57519/7169/7170/51807/51174/1783/63971/23303/55614/547/4650/60/71/8632/57576/3799/90990/147700/4629/4648/146754",40
"hsa05161","hsa05161","Hepatitis B",0.0291345329905741,"163/8843",0.0040237557275627,1.44374212240634,0.0263289848460717,"317/1387/1654/1871/2033/355/3339/3845/5608/5594/5600/5290/5295/8503/5578/5579/5925/6654/6774/7157/7187/7534/841/4088/4089/572/2002/3665/3716/3717/2185/6777/6778/207",34
"hsa04724","hsa04724","Glutamatergic synapse",0.0222793487574979,"116/8843",0.004154894234938,1.44139562977931,0.0264716253195496,"109/111/115/775/2773/2778/2890/2899/2903/2904/2911/2915/5594/23236/5578/5579/22941/6511/7220/23154/108/85358/776/2744/5567/2752",26
"hsa04530","hsa04530","Tight junction",0.0299914310197087,"170/8843",0.00442892338138344,1.43057036275573,0.027139751961852,"5010/10686/2017/54566/9223/79778/4478/4628/4627/56288/84612/5590/9693/9475/6794/11346/7074/7082/51807/9181/2064/5518/60/71/4629/23327/5962/9414/776/1740/84552/5567/5581/6093/861",35
"hsa05220","hsa05220","Chronic myeloid leukemia",0.0162810625535561,"77/8843",0.00448395901978424,1.43057036275573,0.027139751961852,"25/1029/1871/3066/3845/5594/5290/5295/8503/5925/6654/7157/4088/4089/572/1488/6777/861/207",19
"hsa04340","hsa04340","Hedgehog signaling pathway",0.012853470437018,"56/8843",0.00488170082355007,1.4043847029105,0.0288264746961879,"91653/1453/53944/84976/2736/2737/374654/4036/1954/8643/8454/894/23291/23295/5567",15
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0556983718937446,"362/8843",0.00523548010720068,1.38446478284279,0.0301794592645653,"627/1101/1129/1282/1284/1288/256076/131873/1435/1956/2066/2324/2309/2690/3320/3326/3455/3566/3643/22801/3678/3679/3815/3845/284217/3911/3915/9223/5594/4846/5290/5294/5295/8503/23533/5586/28227/5578/5728/5649/6199/6654/6794/7157/7534/2064/5518/57521/3371/572/1292/1293/3673/3716/3717/4915/5526/7143/894/2321/9863/4602/5527/5529/207",65
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",0.0197086546700943,"101/8843",0.00553308217353524,1.37067334169853,0.0311532166441397,"1282/1284/1288/3845/5594/5600/4846/5290/5295/8503/23236/5335/5578/5579/5590/6774/4088/4089/3717/4313/6777/5581/207",23
"hsa04211","hsa04211","Longevity regulating pathway",0.0179948586118252,"90/8843",0.00583718858560555,1.35742095815741,0.0321185017868248,"109/111/115/2309/3643/9365/3845/5290/5295/8503/6199/143686/6794/7157/8408/9821/57521/108/79813/5567/207",21
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0265638389031705,"149/8843",0.00608527319994169,1.3491044392308,0.032739481543546,"109/111/115/9265/8525/1956/10672/2778/2911/2915/3643/3815/3845/5594/5290/5294/5295/8503/23533/23236/5335/5578/5900/11069/6654/56848/108/56894/8526/2185/207",31
"hsa04350","hsa04350","TGF-beta signaling pathway",0.0205655526992288,"108/8843",0.00643583237408796,1.33432511384565,0.033872801968884,"92/659/1387/2033/8200/3066/3547/5594/9611/5308/6199/25942/6498/4090/6667/7027/7037/5518/4088/4089/8454/93/6093/79875",24
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.025706940874036,"144/8843",0.00675538169594444,1.32261997138534,0.034798158792099,"92/324/8313/659/8323/3720/7994/3845/5594/5600/4211/5290/5295/8503/5978/55183/6498/4090/6774/7477/463/7547/4088/4089/1499/3716/3717/93/9869/207",30
"hsa04931","hsa04931","Insulin resistance",0.0205655526992288,"109/8843",0.00725004377357622,1.30107261488195,0.0365682032439151,"3643/4846/8473/5290/5295/8503/133522/5506/5579/5590/5728/5792/5834/6196/6197/6199/10998/28965/6513/6720/6774/10062/5581/207",24
