"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation",0.171232876712329,"473/18903",2.76705979268052e-14,10.0015583348291,6.01180148641326e-11,"FANCD2/NOTCH2/MTOR/ABL1/ACTB/ARID1B/ARID2/B2M/BCL2/CARD11/CD27/EP300/ERBB2/MYB/MYC/PAX5/PBRM1/PLCG2/STAT6/TP53/XBP1/ZEB1/MYH9/RHOA/STAT5B",25
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis",0.157534246575342,"413/18903",1.11070564747799e-13,9.74364612311645,1.08872160968842e-10,"FANCD2/NOTCH2/ETS1/MTOR/ABL1/ACTB/ARID1B/ARID2/B2M/CARD11/CD27/CUL4A/ERBB2/MEF2C/MPL/MYB/MYC/NF1/PBRM1/XBP1/ZEB1/RHOA/STAT5B",23
"GO:0030098","BP","GO:0030098","lymphocyte differentiation",0.157534246575342,"419/18903",1.50332199012209e-13,9.74364612311645,1.08872160968842e-10,"FANCD2/NOTCH2/MTOR/ABL1/ACTB/ARID1B/ARID2/B2M/BCL2/CARD11/CD27/EP300/ERBB2/MYB/PAX5/PBRM1/PLCG2/STAT6/TP53/XBP1/ZEB1/RHOA/STAT5B",23
"GO:0030217","BP","GO:0030217","T cell differentiation",0.13013698630137,"296/18903",1.51168211270551e-12,8.86617639573105,8.21082073848464e-10,"FANCD2/MTOR/ABL1/ACTB/ARID1B/ARID2/B2M/BCL2/CARD11/CD27/ERBB2/MYB/PBRM1/STAT6/TP53/XBP1/ZEB1/RHOA/STAT5B",19
"GO:1902105","BP","GO:1902105","regulation of leukocyte differentiation",0.13013698630137,"317/18903",5.05075593238507e-12,8.43919050035209,2.19468636725111e-09,"FANCD2/NOTCH2/MTOR/ABL1/ACTB/ARID1B/ARID2/CARD11/CD27/CUL4A/ERBB2/MYB/MYC/NF1/PBRM1/XBP1/ZEB1/RHOA/STAT5B",19
"GO:0070482","BP","GO:0070482","response to oxygen levels",0.13013698630137,"337/18903",1.4669479998915e-11,8.11209553648393,4.6608747216687e-09,"DNMT3A/MDM4/NFE2L2/MTOR/BCL2/CREBBP/CXCR4/EP300/EPAS1/FAS/HIPK2/MPL/MYC/NF1/NOTCH1/PKLR/TP53/RHOA/RPTOR",19
"GO:0001666","BP","GO:0001666","response to hypoxia",0.123287671232877,"296/18903",1.50168686526632e-11,8.11209553648393,4.6608747216687e-09,"DNMT3A/MDM4/NFE2L2/MTOR/BCL2/CREBBP/CXCR4/EP300/EPAS1/HIPK2/MPL/MYC/NF1/NOTCH1/PKLR/TP53/RHOA/RPTOR",18
"GO:0036293","BP","GO:0036293","response to decreased oxygen levels",0.123287671232877,"309/18903",3.05998651140566e-11,7.8609473535296,8.31027915729116e-09,"DNMT3A/MDM4/NFE2L2/MTOR/BCL2/CREBBP/CXCR4/EP300/EPAS1/HIPK2/MPL/MYC/NF1/NOTCH1/PKLR/TP53/RHOA/RPTOR",18
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition",0.116438356164384,"280/18903",5.87193676795742e-11,7.62903801784174,1.41750613907183e-08,"CCND3/ACTB/APC/ARID1B/ARID2/BCL2/BCL7A/BRD4/CUL4A/DDX3X/MN1/MYC/PBRM1/PLCG2/TAF1/TP53/RPTOR",17
"GO:0045165","BP","GO:0045165","cell fate commitment",0.116438356164384,"282/18903",6.56483482650686e-11,7.6263530750637,1.42629674546423e-08,"NOTCH2/AR/MTOR/APC/BCL2/CHD3/EPAS1/ERBB4/MCL1/MEF2C/NOTCH1/STAT6/TP53/MGA/KDR/PTCH1/RHOA",17
