"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling",0.428571428571429,"145/18903",1.94420895500087e-14,10.4172319667511,1.3568531970164e-11,"ERBB2/ERBB3/PIK3CA/EGFR/PDGFRB/PTEN/NF1/KDR/KIT",9
"GO:0048015","BP","GO:0048015","phosphatidylinositol-mediated signaling",0.428571428571429,"178/18903",1.26675253038255e-13,9.99254894535919,3.60757927796492e-11,"ERBB2/ERBB3/PIK3CA/EGFR/PDGFRB/PTEN/NF1/KDR/KIT",9
"GO:0048017","BP","GO:0048017","inositol lipid-mediated signaling",0.428571428571429,"182/18903",1.55076937288085e-13,9.99254894535919,3.60757927796492e-11,"ERBB2/ERBB3/PIK3CA/EGFR/PDGFRB/PTEN/NF1/KDR/KIT",9
"GO:0048732","BP","GO:0048732","gland development",0.476190476190476,"441/18903",1.21017997911188e-11,8.22518493342648,2.11144559513467e-09,"MET/BRAF/PIK3CA/EGFR/PTEN/BRCA2/FBXW7/NF1/CDH1/PTCH1",10
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process",0.380952380952381,"218/18903",4.92191043698161e-11,7.71281120357171,6.86995077835538e-09,"KRAS/TP53/ERBB3/BRAF/PIK3CA/FBXW7/NF1/KDR",8
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation",0.428571428571429,"380/18903",1.15888311062829e-10,7.46680128564565,1.21049651478322e-08,"ERBB2/TP53/ERBB3/MET/EGFR/PDGFRB/FBXW7/KDR/KIT",9
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification",0.428571428571429,"382/18903",1.21414808798015e-10,7.46680128564565,1.21049651478322e-08,"ERBB2/TP53/ERBB3/MET/EGFR/PDGFRB/FBXW7/KDR/KIT",9
"GO:0051402","BP","GO:0051402","neuron apoptotic process",0.380952380952381,"255/18903",1.7185136215153e-10,7.37391191404602,1.49917701455874e-08,"KRAS/TP53/ERBB3/BRAF/PIK3CA/FBXW7/NF1/KDR",8
"GO:0009314","BP","GO:0009314","response to radiation",0.428571428571429,"452/18903",5.37882973885364e-10,6.92952961797546,4.17095218346194e-08,"KRAS/TP53/BRAF/EGFR/BRCA1/BRCA2/CREBBP/NF1/KIT",9
"GO:0050673","BP","GO:0050673","epithelial cell proliferation",0.428571428571429,"481/18903",9.30071109278933e-10,6.73745875177348,6.49091732054666e-08,"ERBB2/EGFR/PTEN/BRCA2/FBXW7/NF1/KDR/PTCH1/KIT",9
"GO:0009416","BP","GO:0009416","response to light stimulus",0.380952380952381,"321/18903",1.06443805704107e-09,6.7341796108287,6.54011248900576e-08,"KRAS/TP53/BRAF/EGFR/BRCA2/CREBBP/NF1/KIT",8
"GO:1901214","BP","GO:1901214","regulation of neuron death",0.380952380952381,"325/18903",1.17366573175924e-09,6.7341796108287,6.54011248900576e-08,"KRAS/TP53/ERBB3/BRAF/PIK3CA/FBXW7/NF1/KDR",8
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity",0.428571428571429,"496/18903",1.21825624795205e-09,6.7341796108287,6.54011248900576e-08,"ERBB2/ERBB3/MET/PIK3CA/EGFR/PDGFRB/FBXW7/KDR/KIT",9
"GO:0014066","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling",0.285714285714286,"111/18903",1.80650554799718e-09,6.59526364190591,9.00536224302353e-08,"ERBB3/EGFR/PDGFRB/PTEN/KDR/KIT",6
"GO:0070997","BP","GO:0070997","neuron death",0.380952380952381,"368/18903",3.11972667075237e-09,6.38794961920599,1.45149388260268e-07,"KRAS/TP53/ERBB3/BRAF/PIK3CA/FBXW7/NF1/KDR",8
"GO:0038127","BP","GO:0038127","ERBB signaling pathway",0.285714285714286,"126/18903",3.88943555373461e-09,6.32020830874773,1.69651037639871e-07,"ERBB2/ERBB3/BRAF/PIK3CA/EGFR/FBXW7",6
"GO:0050678","BP","GO:0050678","regulation of epithelial cell proliferation",0.380952380952381,"414/18903",7.84596169019347e-09,6.04177764403216,3.22097374650048e-07,"ERBB2/EGFR/PTEN/BRCA2/FBXW7/NF1/KDR/PTCH1",8
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition",0.380952380952381,"453/18903",1.5828802682407e-08,5.76179934567751,6.13713226809115e-07,"TP53/APC/EGFR/PTEN/BRCA1/BRCA2/FBXW7/ARID1A",8
"GO:0001667","BP","GO:0001667","ameboidal-type cell migration",0.380952380952381,"492/18903",3.00592472614467e-08,5.52296573248266,1.0636508623631e-06,"MET/BRAF/PIK3CA/PTEN/FBXW7/NF1/KDR/KIT",8
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade",0.333333333333333,"315/18903",3.17729317114385e-08,5.52296573248266,1.0636508623631e-06,"ERBB2/BRAF/EGFR/PDGFRB/PTEN/FBXW7/KDR",7
"GO:0043410","BP","GO:0043410","positive regulation of MAPK cascade",0.380952380952381,"496/18903",3.20057838674869e-08,5.52296573248266,1.0636508623631e-06,"ERBB2/BRAF/EGFR/PDGFRB/PTEN/FBXW7/KDR/KIT",8
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade",0.333333333333333,"340/18903",5.36129083757505e-08,5.31912821939564,1.70073484464701e-06,"ERBB2/BRAF/EGFR/PDGFRB/PTEN/FBXW7/KDR",7
"GO:0010631","BP","GO:0010631","epithelial cell migration",0.333333333333333,"366/18903",8.8674342631214e-08,5.13247557899318,2.61390169291013e-06,"MET/PIK3CA/PTEN/FBXW7/NF1/KDR/KIT",7
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition",0.285714285714286,"213/18903",8.98898319733801e-08,5.13247557899318,2.61390169291013e-06,"TP53/APC/EGFR/PTEN/FBXW7/ARID1A",6
"GO:0090132","BP","GO:0090132","epithelium migration",0.333333333333333,"369/18903",9.37483915457839e-08,5.13195108936398,2.61706036188862e-06,"MET/PIK3CA/PTEN/FBXW7/NF1/KDR/KIT",7
"GO:0090130","BP","GO:0090130","tissue migration",0.333333333333333,"374/18903",1.02751393711383e-07,5.1091605325531,2.75806372593712e-06,"MET/PIK3CA/PTEN/FBXW7/NF1/KDR/KIT",7
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.333333333333333,"377/18903",1.08496542139782e-07,5.10192277292559,2.80441354536746e-06,"KRAS/TP53/BRAF/PTEN/NF1/CDH1/KIT",7
"GO:0007173","BP","GO:0007173","epidermal growth factor receptor signaling pathway",0.238095238095238,"110/18903",1.15033695891957e-07,5.09669164652065,2.83839728344424e-06,"ERBB2/BRAF/PIK3CA/EGFR/FBXW7",5
"GO:0070374","BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade",0.285714285714286,"223/18903",1.17945467811295e-07,5.09669164652065,2.83839728344424e-06,"BRAF/EGFR/PDGFRB/PTEN/FBXW7/KDR",6
"GO:0071900","BP","GO:0071900","regulation of protein serine/threonine kinase activity",0.333333333333333,"395/18903",1.48998128845692e-07,5.00991534615229,3.46616699735768e-06,"ERBB2/APC/EGFR/PDGFRB/PTEN/NF1/KIT",7
"GO:0008542","BP","GO:0008542","visual learning",0.19047619047619,"47/18903",1.94604377681854e-07,4.90818399411654,4.3810764822774e-06,"KRAS/BRAF/NF1/KIT",4
"GO:0072089","BP","GO:0072089","stem cell proliferation",0.238095238095238,"124/18903",2.09528199269039e-07,4.88988240363928,4.56964460905832e-06,"TP53/BRCA2/NF1/KDR/PTCH1",5
