"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.523809523809524,"80/8843",5.34233244175405e-18,15.096177831215,2.7555188383784e-16,"2064/3845/2065/4233/673/5290/1956/5159/5728/4763/3791",11
"hsa05213","hsa05213","Endometrial cancer",0.428571428571429,"59/8843",3.82773580768638e-15,12.5419967816998,9.87152918824383e-14,"2064/3845/7157/324/673/5290/1956/5728/999",9
"hsa05224","hsa05224","Breast cancer",0.523809523809524,"148/8843",6.06544073755826e-15,12.5181676318571,1.04283016189598e-13,"2064/3845/7157/324/673/5290/1956/5728/672/675/3815",11
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.428571428571429,"71/8843",2.23538746526473e-14,12.0766159209377,2.88247331047295e-13,"2064/3845/7157/4233/5290/1956/5159/5728/3815",9
"hsa05218","hsa05218","Melanoma",0.428571428571429,"73/8843",2.90682616563444e-14,12.0594596844638,2.99862067612816e-13,"3845/7157/4233/673/5290/1956/5159/5728/999",9
"hsa05215","hsa05215","Prostate cancer",0.428571428571429,"98/8843",4.56897417515863e-13,10.9422412879927,3.92771464180303e-12,"2064/3845/7157/673/5290/1956/5159/5728/1387",9
"hsa05206","hsa05206","MicroRNAs in cancer",0.571428571428571,"312/8843",6.67792013278882e-13,10.8443655603248,4.92057272942334e-12,"2064/3845/7157/2065/4233/324/5290/1956/5159/5728/672/1387",12
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.571428571428571,"362/8843",3.90083753519143e-12,10.135840865048,2.515013674005e-11,"2064/3845/7157/2065/4233/5290/1956/5159/5728/672/3791/3815",12
"hsa05205","hsa05205","Proteoglycans in cancer",0.476190476190476,"204/8843",9.68951297673572e-12,9.79184930169529,5.55305422058538e-11,"2064/3845/7157/2065/4233/673/5290/1956/3791/5727",10
"hsa04010","hsa04010","MAPK signaling pathway",0.523809523809524,"300/8843",1.48973064089554e-11,9.65080099048359,7.68387383198751e-11,"2064/3845/7157/2065/4233/673/1956/5159/4763/3791/3815",11
"hsa05226","hsa05226","Gastric cancer",0.428571428571429,"150/8843",2.25835879581952e-11,9.5115084846758,1.05894335880533e-10,"2064/3845/7157/4233/324/673/5290/1956/999",9
"hsa05225","hsa05225","Hepatocellular carcinoma",0.428571428571429,"170/8843",6.99772319103146e-11,9.05813322789411,3.00779330140826e-10,"3845/7157/4233/324/673/5290/1956/5728/8289",9
"hsa05223","hsa05223","Non-small cell lung cancer",0.333333333333333,"73/8843",2.06498217097855e-10,8.62293578693382,8.19304667027926e-10,"2064/3845/7157/4233/673/5290/1956",7
"hsa05214","hsa05214","Glioma",0.333333333333333,"76/8843",2.75913535612774e-10,8.52926377024361,1.01652355225759e-09,"3845/7157/673/5290/1956/5159/5728",7
"hsa05212","hsa05212","Pancreatic cancer",0.333333333333333,"77/8843",3.03081834179755e-10,8.51844009316691,1.04217613156547e-09,"2064/3845/7157/673/5290/1956/675",7
"hsa05219","hsa05219","Bladder cancer",0.285714285714286,"41/8843",3.49695441216392e-10,8.48433875290801,1.12730767234232e-09,"2064/3845/7157/673/1956/999",6
"hsa04015","hsa04015","Rap1 signaling pathway",0.428571428571429,"212/8843",5.05872372942262e-10,8.35031670026202,1.53484497053689e-09,"3845/4233/673/5290/1956/5159/999/3791/3815",9
"hsa04510","hsa04510","Focal adhesion",0.380952380952381,"203/8843",1.05845512252931e-08,7.05450879696669,3.03300005870973e-08,"2064/4233/673/5290/1956/5159/5728/3791",8
"hsa04012","hsa04012","ErbB signaling pathway",0.285714285714286,"86/8843",3.42374580196073e-08,6.58005111471836,9.0433658573984e-08,"2064/3845/2065/673/5290/1956",6
"hsa05210","hsa05210","Colorectal cancer",0.285714285714286,"87/8843",3.6719770322352e-08,6.58005111471836,9.0433658573984e-08,"3845/7157/324/673/5290/1956",6
"hsa04014","hsa04014","Ras signaling pathway",0.380952380952381,"238/8843",3.68194181336935e-08,6.58005111471836,9.0433658573984e-08,"3845/4233/5290/1956/5159/4763/3791/3815",8
"hsa01522","hsa01522","Endocrine resistance",0.285714285714286,"99/8843",8.00598807641892e-08,6.262916482806,1.87700198920826e-07,"2064/3845/7157/673/5290/1956",6
"hsa04068","hsa04068","FoxO signaling pathway",0.285714285714286,"133/8843",4.66056960978581e-07,5.52643046493023,1.02317695684103e-06,"3845/673/5290/1956/5728/1387",6
"hsa05165","hsa05165","Human papillomavirus infection",0.380952380952381,"333/8843",4.92679999278497e-07,5.52643046493023,1.02317695684103e-06,"3845/7157/324/5290/1956/5159/5728/1387",8
"hsa05211","hsa05211","Renal cell carcinoma",0.238095238095238,"70/8843",4.95927606632133e-07,5.52643046493023,1.02317695684103e-06,"3845/4233/673/5290/1387",5
"hsa05216","hsa05216","Thyroid cancer",0.19047619047619,"37/8843",1.4754781590733e-06,5.06994930372311,2.92706193500372e-06,"3845/7157/673/999",4
"hsa04520","hsa04520","Adherens junction",0.238095238095238,"93/8843",2.05658366062323e-06,4.94212612405267,3.92875631074223e-06,"2064/4233/1956/1387/999",5
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",0.285714285714286,"226/8843",1.02585899205643e-05,4.25997910271967,1.889740248525e-05,"3845/4233/673/5290/1956/5728",6
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.285714285714286,"230/8843",1.1343474598843e-05,4.23156063596439,2.01753268727154e-05,"3845/324/673/5290/1956/5159",6
"hsa05221","hsa05221","Acute myeloid leukemia",0.19047619047619,"68/8843",1.73445374744774e-05,4.06186727263093,2.98204328508558e-05,"3845/673/5290/3815",4
"hsa04020","hsa04020","Calcium signaling pathway",0.285714285714286,"254/8843",1.99838844542473e-05,4.01459052480877,3.32499265962009e-05,"2064/2065/4233/1956/5159/3791",6
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.238095238095238,"149/8843",2.07847682244254e-05,4.01131353330938,3.35017645722647e-05,"3845/5290/1956/5159/3815",5
"hsa01524","hsa01524","Platinum drug resistance",0.19047619047619,"75/8843",2.56082461911168e-05,3.9340428444702,4.00256479542176e-05,"2064/7157/5290/672",4
"hsa05220","hsa05220","Chronic myeloid leukemia",0.19047619047619,"77/8843",2.84242208098277e-05,3.91391569759781,4.19242708523088e-05,"3845/7157/673/5290",4
"hsa05160","hsa05160","Hepatitis C",0.238095238095238,"159/8843",2.84486123640667e-05,3.91391569759781,4.19242708523088e-05,"3845/7157/673/5290/1956",5
"hsa05161","hsa05161","Hepatitis B",0.238095238095238,"163/8843",3.20665588185906e-05,3.87415888503492,4.59433152664017e-05,"3845/7157/673/5290/1387",5
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0.19047619047619,"90/8843",5.26032326363101e-05,3.67109803125733,7.33302531772175e-05,"3845/5290/1956/5728",4
