"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04360","hsa04360","Axon guidance",0.0345001259128683,"184/8843",1.87501389420909e-16,13.1942411307272,4.1447675556201e-14,"25/84448/22885/23365/655/658/659/91653/816/817/998/1072/7852/1630/1808/56896/1945/1947/1949/55740/1969/2042/2043/2044/285220/2045/2047/2048/2049/2534/151449/2770/2771/2773/2932/3611/3845/3985/4756/4773/25791/4893/8829/9423/4917/59277/22854/84628/10298/56288/84552/5290/5291/5295/5296/8503/5335/5336/5362/55558/91584/5364/10154/5532/5578/5590/5727/5921/5998/387/6091/6092/6093/9475/6259/10371/10512/223117/9723/6405/10509/10507/10505/57715/54437/57556/10500/6469/6585/9353/6586/6608/57522/23380/9901/54434/85464/54961/7220/7222/7223/7224/7225/90249/219699/8633/137970/54361/7474/818/3688/4775/4776/5058/5293/23654/5781/27289/80031/2051/2242/8440/5062/5063/56924/5361/5894/64221/56920/9037/2046/64101/5747/56963/3897/5365/1946",137
"hsa04020","hsa04020","Calcium signaling pathway",0.042306723747167,"254/8843",3.84110637855077e-12,9.18381928165475,4.24543336576664e-10,"107/108/109/114/115/135/136/148/147/146/155/444/487/488/490/491/493/552/553/623/624/773/774/775/776/777/8912/8911/8536/57118/816/817/814/886/887/7852/10800/1909/1910/1950/1956/2064/2066/2149/2246/2255/8823/2247/26281/8074/2248/2250/2254/2260/2261/2324/9630/2776/2778/2902/2903/2904/116443/2911/2915/2925/3270/3274/3356/3357/3358/3361/3362/3363/3706/3707/3708/3709/3710/3973/57192/90550/4638/340156/4772/4773/4842/4914/4915/4916/4923/84876/80228/22953/5136/5153/5137/56034/80310/5156/5260/23236/5331/5333/84812/51196/5335/5336/89869/5532/5567/5578/5579/5733/5737/2185/5979/6261/6262/6263/83447/293/6546/6543/6547/56848/6786/57620/6869/6870/6915/7942/53373/7201/7424/489/818/2065/2321/4486/4775/4776/4846/5261/113/492/8913/845/2252/2668/3360/3791/85366/5159/5332/292/219931/7422/153/185/801/1129/5257/10345/7417/2263/55283/91807",168
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.0173759758247293,"86/8843",1.62136261403516e-11,8.84148606313099,9.33802962329423e-10,"88/487/488/775/776/781/9254/55799/93589/783/784/785/786/10369/10368/27092/59284/859/1000/1495/1496/1499/1605/1674/1756/1829/1832/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/3728/284217/3908/51176/4000/4842/6262/6443/6444/6546/6543/6547/6640/6641/6645/6932/83439/6934/489/29119/1837/3688/60/71/782/27091/1824/8515/3695/3675",69
"hsa04510","hsa04510","Focal adhesion",0.0347519516494586,"203/8843",1.68973869373896e-11,8.84148606313099,9.33802962329423e-10,"87/81/207/208/2909/394/9564/329/330/673/824/858/859/998/1278/1282/1284/1285/1287/1288/1292/1293/256076/131873/1297/1298/1299/1499/1950/1956/2012/2064/2317/2324/2534/2932/3381/3479/3480/3611/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/284217/3908/3909/3910/3911/3912/3914/3915/3918/5604/5602/4638/340156/10298/64098/56034/80310/5156/5290/5291/5295/5296/8503/8394/8395/23396/5499/4659/4660/54776/5578/5579/5728/5829/2889/5649/387/6093/9475/399694/6654/6696/7057/7060/3371/7143/7148/7408/7409/7410/7414/7424/7448/331/596/857/2316/2321/2885/3688/22798/5058/5293/5923/25759/83660/10451/60/71/2002/8515/3695/3791/5599/85366/5062/5063/56924/5159/5894/63923/7422/3675/5747/2335/91807",138
"hsa04015","hsa04015","Rap1 signaling pathway",0.0355074288592294,"212/8843",1.17378898569081e-10,8.09662559537141,5.18938288410676e-09,"107/108/109/111/112/114/115/135/136/207/208/284/285/51378/9564/673/998/999/1499/9732/1813/1945/1950/1956/55740/1969/51466/2149/2246/2255/8823/2247/26281/8074/2248/2250/2254/2260/2261/2324/2770/2771/2773/2775/2776/2778/2902/2903/2904/3479/3480/3643/3674/3684/3690/3815/4254/3845/889/27040/3937/9170/23566/9223/9863/260425/5604/5605/5608/6300/4804/4893/56288/84552/56034/80310/5156/5290/5291/5295/5296/8503/23236/5331/51196/5335/5578/5579/5584/5590/5587/23683/5900/5909/2889/9693/10411/11069/51735/10235/83593/10636/387/26037/23094/8631/7010/7057/7074/7408/7409/7410/7424/1500/9855/2321/3688/5293/57568/83660/10451/60/71/113/1436/2252/3689/3791/1902/5600/5159/5217/5332/5894/25780/7422/801/3397/2263/1946/5899",141
"hsa05414","hsa05414","Dilated cardiomyopathy",0.0196424074540418,"105/8843",7.51791340324937e-10,7.36929955250172,2.76975756961819e-08,"70/107/108/109/111/112/114/115/183/487/488/775/776/781/9254/55799/93589/783/784/785/786/10369/10368/27092/59284/859/1605/1674/1756/2778/3479/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/284217/3908/4000/4842/5567/6262/6443/6444/6546/6543/6547/6640/6641/6645/7040/7042/7139/7168/7169/7170/7273/489/1837/3688/7137/60/71/113/782/27091/8515/3695/7171/153/3675",78
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0259380508687988,"149/8843",1.5171864196298e-09,7.13130471435341,4.79111500935727e-08,"107/108/109/111/112/114/115/56895/183/207/208/552/553/554/9267/9265/1606/1607/8527/8526/160851/9162/8525/1759/1785/1950/1956/2147/2149/2534/2549/9846/2768/10672/2778/2911/2912/2913/2914/2915/2917/2918/3643/8681/3815/4254/3845/9170/23566/5604/5605/2475/4893/56034/80310/5156/5290/5291/5294/5295/5296/8503/23533/146850/8394/8395/23396/5321/123745/255189/23236/5331/5335/5336/5578/5737/2185/5900/10411/11069/387/399694/6654/56848/2885/5293/5781/25759/113/10554/56894/375/26052/2916/1902/5159/5332/5894/185/382/7248/5899/8605",103
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.0370183832787711,"230/8843",3.31457153258671e-09,6.84990821192831,9.15868449793695e-08,"87/81/10096/207/208/324/10297/2909/9138/23365/50649/9459/8874/10458/9564/623/624/673/729/735/998/1072/7852/1730/1950/1956/55740/7430/2147/2149/2245/89846/2246/2255/8823/2247/26281/8074/2248/2250/2254/2260/2261/28964/2768/10672/55970/3645/10788/3672/22801/3673/3674/3676/3678/3655/3679/3680/3681/3682/3684/3685/3687/3690/3696/3827/3845/3985/9170/5604/5605/4478/4628/4629/79784/4627/4638/340156/4893/10298/56034/80310/5156/5290/5291/5295/5296/8503/200576/5305/8396/8394/8395/23396/5499/4659/4660/54776/5829/5962/387/6093/9475/85477/6548/6654/221178/54434/85464/54961/7074/7409/7410/7414/8976/23191/2934/3688/5058/5293/10451/60/71/730/732/26999/2252/8515/3689/3695/1902/85366/5062/5063/56924/5159/5217/5894/8936/10163/10152/1129/3675/5747/2263/2335/91807",147
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",0.0261898766053891,"154/8843",9.42800006267595e-09,6.44706855370742,2.31564913820111e-07,"70/107/108/109/111/112/114/115/148/147/146/183/207/208/1388/476/477/480/481/23439/487/488/490/491/493/775/776/781/9254/55799/93589/783/784/785/786/10369/10368/27092/59284/816/817/1385/90993/64764/148327/9586/2770/2771/2773/2776/2778/3784/6300/5294/23533/146850/23236/5331/64091/5499/5518/5520/5521/5522/5523/28227/5525/5528/5529/5567/5578/10411/11069/6262/6330/6331/6546/6543/6547/6548/7139/7168/7169/7170/482/489/596/818/4635/7137/113/492/782/27091/3776/5600/5332/55844/5526/7171/153/185/801/5527",104
"hsa05410","hsa05410","Hypertrophic cardiomyopathy",0.0181314530345001,"99/8843",1.57702381542272e-08,6.29248957582909,3.30561092076895e-07,"1636/70/183/487/488/775/776/781/9254/55799/93589/783/784/785/786/10369/10368/27092/59284/859/1605/1674/1756/3479/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/284217/3908/4000/4842/5562/5563/5571/6262/6443/6444/6546/6543/6547/6640/6641/6645/7040/7042/7139/7168/7169/7170/7273/489/1837/3688/7137/60/71/782/27091/8515/3695/7171/3675/51422",72
