"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation",0.4,"473/18903",4.47434450080452e-14,10.0530442933183,4.59680024503707e-11,"EZH2/NOTCH2/ARID1A/ARID1B/B2M/BCL2/CARD11/EP300/IRF8/ITPKB/MYC/STAT3/TP53/BCL6",14
"GO:0030098","BP","GO:0030098","lymphocyte differentiation",0.371428571428571,"419/18903",2.45867102314806e-13,9.61410328555651,1.26298048346974e-10,"EZH2/NOTCH2/ARID1A/ARID1B/B2M/BCL2/CARD11/EP300/IRF8/ITPKB/STAT3/TP53/BCL6",13
"GO:0030183","BP","GO:0030183","B cell differentiation",0.228571428571429,"152/18903",2.84354294152311e-10,6.72703517635942,9.73788740675986e-08,"EZH2/NOTCH2/BCL2/CARD11/EP300/IRF8/TP53/BCL6",8
"GO:0030099","BP","GO:0030099","myeloid cell differentiation",0.285714285714286,"407/18903",2.17763293433385e-09,6.08797914478971,4.2415127841515e-07,"NOTCH2/B2M/EP300/IRF8/ITPKB/MFHAS1/MYC/STAT3/TET2/BCL6",10
"GO:0030217","BP","GO:0030217","T cell differentiation",0.257142857142857,"296/18903",2.47711299894094e-09,6.08797914478971,4.2415127841515e-07,"ARID1A/ARID1B/B2M/BCL2/CARD11/ITPKB/STAT3/TP53/BCL6",9
"GO:0048872","BP","GO:0048872","homeostasis of number of cells",0.257142857142857,"296/18903",2.47711299894094e-09,6.08797914478971,4.2415127841515e-07,"EZH2/B2M/BCL2/CARD11/ITPKB/MFHAS1/STAT3/TNFAIP3/BCL6",9
"GO:0042113","BP","GO:0042113","B cell activation",0.257142857142857,"350/18903",1.0662114003016e-08,5.52102843091229,1.56484560405168e-06,"EZH2/NOTCH2/BCL2/CARD11/EP300/IRF8/TNFAIP3/TP53/BCL6",9
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation",0.257142857142857,"400/18903",3.37429191080808e-08,5.07868104893194,4.33330119072195e-06,"ARID1A/ARID1B/B2M/BCL2/CARD11/ITPKB/MYD88/TNFRSF14/BCL6",9
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis",0.257142857142857,"413/18903",4.4396228315629e-08,5.01067014601145,5.06792033170222e-06,"NOTCH2/ARID1A/ARID1B/B2M/CARD11/ITPKB/MYC/STAT3/BCL6",9
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation",0.257142857142857,"450/18903",9.23957243048329e-08,4.73812183842113,9.49244493910704e-06,"ARID1A/ARID1B/B2M/BCL2/CARD11/ITPKB/MYD88/TNFRSF14/BCL6",9
"GO:0050867","BP","GO:0050867","positive regulation of cell activation",0.257142857142857,"467/18903",1.26641839881748e-07,4.64258918646691,1.18279842798647e-05,"ARID1A/ARID1B/B2M/BCL2/CARD11/ITPKB/MYD88/TNFRSF14/BCL6",9
"GO:0070661","BP","GO:0070661","leukocyte proliferation",0.228571428571429,"348/18903",1.85733754707015e-07,4.51406412047033,1.59014161924602e-05,"CCND3/BCL2/CARD11/MYD88/TNFAIP3/TNFRSF14/TP53/BCL6",8
"GO:0035264","BP","GO:0035264","multicellular organism growth",0.171428571428571,"147/18903",2.69054528231024e-07,4.38787675935561,2.12629327573667e-05,"NOTCH2/BCL2/EP300/STAT3/TP53/TBL1XR1",6
"GO:0000082","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.2,"250/18903",3.19048343915068e-07,4.36429156776243,2.24495870806022e-05,"CCND3/EZH2/ARID1A/ARID1B/BCL2/MYC/TP53",7
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation",0.2,"251/18903",3.27773172027235e-07,4.36429156776243,2.24495870806022e-05,"ARID1A/ARID1B/B2M/CARD11/ITPKB/TNFRSF14/BCL6",7
"GO:0033077","BP","GO:0033077","T cell differentiation in thymus",0.142857142857143,"86/18903",5.05214147384444e-07,4.20441819190227,3.2440066305738e-05,"B2M/BCL2/CARD11/ITPKB/TP53",5
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion",0.2,"275/18903",6.0645525424855e-07,4.15142387104119,3.66501751174356e-05,"ARID1A/ARID1B/B2M/CARD11/ITPKB/TNFRSF14/BCL6",7
