"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05169","hsa05169","Epstein-Barr virus infection",0.258064516129032,"203/8843",3.36762137333786e-07,4.28234504462965,3.08403220505677e-05,"896/567/596/4609/4615/6774/7128/7157",8
"hsa05206","hsa05206","MicroRNAs in cancer",0.290322580645161,"312/8843",7.67063601400447e-07,4.26204475457841,3.23161186937835e-05,"1387/2146/4853/596/2033/4609/5292/6774/7157",9
"hsa05161","hsa05161","Hepatitis B",0.225806451612903,"163/8843",1.15169846897967e-06,4.26204475457841,3.23161186937835e-05,"1387/596/2033/4609/4615/6774/7157",7
"hsa04630","hsa04630","JAK-STAT signaling pathway",0.225806451612903,"168/8843",1.41150863260204e-06,4.26204475457841,3.23161186937835e-05,"896/1387/596/2033/4609/5292/6774",7
"hsa04330","hsa04330","Notch signaling pathway",0.161290322580645,"62/8843",2.12354614708286e-06,4.18157660302143,3.8894424167623e-05,"1387/4853/1840/2033/23013",5
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.193548387096774,"122/8843",3.38440993603924e-06,4.05833659082,5.16567832342831e-05,"1387/4853/2033/2308/4609/7157",6
"hsa04068","hsa04068","FoxO signaling pathway",0.193548387096774,"133/8843",5.58879324140805e-06,3.90744829874739,7.31165431582708e-05,"1387/6446/2033/2308/6774/604",6
"hsa05162","hsa05162","Measles",0.193548387096774,"139/8843",7.21283094589373e-06,3.90129250202741,7.41602947310995e-05,"896/596/4615/6774/7128/7157",6
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation",0.225806451612903,"215/8843",7.28816689598737e-06,3.90129250202741,7.41602947310995e-05,"896/4853/596/2771/4609/6774/604",7
"hsa05215","hsa05215","Prostate cancer",0.161290322580645,"98/8843",2.03977711461342e-05,3.50008558694392,0.000186800641022492,"1387/596/2033/2308/7157",5
"hsa04310","hsa04310","Wnt signaling pathway",0.193548387096774,"174/8843",2.60501989151295e-05,3.43524994313691,0.000216877254125959,"896/1387/2033/4609/7157/79718",6
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection",0.193548387096774,"223/8843",0.000104379362658936,2.87297541760947,0.000791568551332622,"896/1387/567/2033/4609/7157",6
"hsa05163","hsa05163","Human cytomegalovirus infection",0.193548387096774,"226/8843",0.000112366340332849,2.87297541760947,0.000791568551332622,"10672/567/2771/4609/6774/7157",6
"hsa04110","hsa04110","Cell cycle",0.161290322580645,"158/8843",0.000199458523043057,2.65594373866964,0.00130472868456737,"896/1387/2033/4609/7157",5
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",0.129032258064516,"101/8843",0.000398004241365614,2.38587186069143,0.00242992063149533,"596/2308/5292/6774",4
"hsa04064","hsa04064","NF-kappa B signaling pathway",0.129032258064516,"105/8843",0.000461444846321865,2.34966848458305,0.0026411645809212,"596/84433/4615/7128",4
"hsa04066","hsa04066","HIF-1 signaling pathway",0.129032258064516,"109/8843",0.000531807741523293,2.33276362117941,0.00274599870430771,"1387/596/2033/6774",4
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",0.161290322580645,"196/8843",0.000540267056681523,2.33276362117941,0.00274599870430771,"1387/2033/4609/6774/7157",5
"hsa05145","hsa05145","Toxoplasmosis",0.129032258064516,"111/8843",0.000569715823135106,2.33276362117941,0.00274599870430771,"596/2771/4615/6774",4
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.129032258064516,"115/8843",0.000651248827786173,2.31043660920613,0.00289086186381832,"6446/10672/596/2771",4
"hsa05203","hsa05203","Viral carcinogenesis",0.161290322580645,"205/8843",0.000662904530841098,2.31043660920613,0.00289086186381832,"896/1387/2033/6774/7157",5
"hsa04071","hsa04071","Sphingolipid signaling pathway",0.129032258064516,"122/8843",0.000813380842334857,2.26110219865289,0.00323863310220286,"10672/596/2771/7157",4
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.129032258064516,"122/8843",0.000813380842334857,2.26110219865289,0.00323863310220286,"1387/2033/2771/6774",4
"hsa05165","hsa05165","Human papillomavirus infection",0.193548387096774,"333/8843",0.000903386504176176,2.2340059452566,0.00344713271330383,"896/1387/4853/2033/2308/7157",6
"hsa05221","hsa05221","Acute myeloid leukemia",0.0967741935483871,"68/8843",0.00167578824188252,1.9833891716205,0.00613867692815911,"4609/5292/6774",3
"hsa04218","hsa04218","Cellular senescence",0.129032258064516,"157/8843",0.00207097991391046,1.90846576303655,0.0072945446360409,"896/2308/4609/7157",4
"hsa04115","hsa04115","p53 signaling pathway",0.0967741935483871,"75/8843",0.00222081726574845,1.89451924077746,0.00753259657388363,"896/596/7157",3
"hsa05133","hsa05133","Pertussis",0.0967741935483871,"78/8843",0.00248435557972327,1.86161257771415,0.00812552388856858,"2771/3394/4615",3
"hsa05225","hsa05225","Hepatocellular carcinoma",0.129032258064516,"170/8843",0.00276617490673134,1.83018666241282,0.00873528917915161,"8289/57492/4609/7157",4
"hsa05164","hsa05164","Influenza A",0.129032258064516,"172/8843",0.00288574966971042,1.82897347538707,0.00875972503009648,"896/1387/2033/4615",4
"hsa03083","hsa03083","Polycomb repressive complex",0.0967741935483871,"83/8843",0.00296521726593496,1.82897347538707,0.00875972503009648,"1387/2146/2033",3
"hsa05210","hsa05210","Colorectal cancer",0.0967741935483871,"87/8843",0.00338851524042587,1.79674312108439,0.0094345421280695,"596/4609/7157",3
"hsa05152","hsa05152","Tuberculosis",0.129032258064516,"180/8843",0.00339968845649401,1.79674312108439,0.0094345421280695,"1387/596/2033/4615",4
"hsa05222","hsa05222","Small cell lung cancer",0.0967741935483871,"93/8843",0.0040900381310451,1.72941986195869,0.0110165113746416,"596/4609/7157",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer",0.129032258064516,"193/8843",0.0043630713799994,1.71394402806223,0.0114161566935323,"2308/4609/7157/604",4
"hsa01522","hsa01522","Endocrine resistance",0.0967741935483871,"99/8843",0.00487409045318151,1.67807721805336,0.0123990020300231,"4853/596/7157",3
"hsa04916","hsa04916","Melanogenesis",0.0967741935483871,"101/8843",0.00515425959535259,1.6657037377994,0.0127573423839452,"1387/2033/2771",3
"hsa04922","hsa04922","Glucagon signaling pathway",0.0967741935483871,"107/8843",0.00605254637732397,1.6185805003372,0.0142194712937716,"1387/2033/2308",3
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection",0.129032258064516,"213/8843",0.00618276813117241,1.6185805003372,0.0142194712937716,"567/596/2771/4615",4
"hsa04350","hsa04350","TGF-beta signaling pathway",0.0967741935483871,"108/8843",0.00621080355360137,1.6185805003372,0.0142194712937716,"1387/2033/4609",3
"hsa05417","hsa05417","Lipid and atherosclerosis",0.129032258064516,"216/8843",0.00649344478612934,1.60997700647822,0.0145039716660655,"596/4615/6774/7157",4
"hsa05216","hsa05216","Thyroid cancer",0.0645161290322581,"37/8843",0.00733904228131824,1.56727820248543,0.0160024230194157,"4609/7157",2
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.161290322580645,"362/8843",0.00789387548998232,1.54584648541821,0.0168119257681386,"896/6446/596/4609/7157",5
"hsa05219","hsa05219","Bladder cancer",0.0645161290322581,"41/8843",0.00895783068926665,1.50091812867029,0.0186442887551722,"4609/7157",2
"hsa05131","hsa05131","Shigellosis",0.129032258064516,"249/8843",0.010620689754183,1.43672809295488,0.0216140352892146,"596/2308/4615/7157",4
"hsa04371","hsa04371","Apelin signaling pathway",0.0967741935483871,"140/8843",0.0126272662689943,1.37111679505392,0.0251389511533754,"10672/2771/100271849",3
"hsa05224","hsa05224","Breast cancer",0.0967741935483871,"148/8843",0.0146570625534089,1.31571921842833,0.028559114045836,"4853/4609/7157",3
"hsa05226","hsa05226","Gastric cancer",0.0967741935483871,"150/8843",0.0151919003354807,1.3092974366004,0.0289845466926934,"596/4609/7157",3
