"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0030098","BP","GO:0030098","lymphocyte differentiation",0.27027027027027,"419/18903",5.25007538099634e-09,5.12907802105455,5.46560479137408e-06,"ARID1A/B2M/CARD11/CD79A/CD79B/IRF4/ITPKB/TP53/STAT3/STAT6",10
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation",0.27027027027027,"473/18903",1.66360862861489e-08,4.92922239155601,8.6595207036849e-06,"ARID1A/B2M/CARD11/CD79A/CD79B/IRF4/ITPKB/TP53/STAT3/STAT6",10
"GO:0045058","BP","GO:0045058","T cell selection",0.135135135135135,"51/18903",4.77334061605709e-08,4.64754238900013,1.65643293658964e-05,"CARD11/IRF4/ITPKB/STAT3/STAT6",5
"GO:0030217","BP","GO:0030217","T cell differentiation",0.216216216216216,"296/18903",8.5601396790451e-08,4.51882270018494,2.22788898488832e-05,"ARID1A/B2M/CARD11/IRF4/ITPKB/TP53/STAT3/STAT6",8
"GO:0002360","BP","GO:0002360","T cell lineage commitment",0.108108108108108,"30/18903",3.28181749410711e-07,4.0320991387355,6.83308947720406e-05,"IRF4/TP53/STAT3/STAT6",4
"GO:0043368","BP","GO:0043368","positive T cell selection",0.108108108108108,"38/18903",8.74127164913283e-07,3.68582019367518,0.000151668730894603,"IRF4/ITPKB/STAT3/STAT6",4
"GO:0002295","BP","GO:0002295","T-helper cell lineage commitment",0.0810810810810811,"18/18903",5.52009915105564e-06,2.95239472163315,0.000820959106826169,"IRF4/STAT3/STAT6",3
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.189189189189189,"375/18903",7.04712832961084e-06,2.90432136697332,0.00091705393657699,"B2M/IGLL5/IRF4/KLHL6/MYD88/STAT3/STAT6",7
"GO:0043373","BP","GO:0043373","CD4-positive, alpha-beta T cell lineage commitment",0.0810810810810811,"21/18903",8.96088015919179e-06,2.85113540037371,0.00103652754122113,"IRF4/STAT3/STAT6",3
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation",0.189189189189189,"400/18903",1.07280689903558e-05,2.81872200241449,0.00111684844541704,"ARID1A/B2M/CARD11/IGLL5/ITPKB/MYD88/STAT6",7
"GO:0002363","BP","GO:0002363","alpha-beta T cell lineage commitment",0.0810810810810811,"23/18903",1.18999719380025e-05,2.81509030803858,0.0011262270092521,"IRF4/STAT3/STAT6",3
"GO:0043369","BP","GO:0043369","CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",0.0810810810810811,"24/18903",1.35816364402178e-05,2.79547270530475,0.00117826652976977,"IRF4/STAT3/STAT6",3
"GO:0046631","BP","GO:0046631","alpha-beta T cell activation",0.135135135135135,"174/18903",2.14216588760146e-05,2.66805392632051,0.00158001903884034,"CARD11/IRF4/ITPKB/STAT3/STAT6",5
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation",0.189189189189189,"450/18903",2.29438341660181e-05,2.66805392632051,0.00158001903884034,"ARID1A/B2M/CARD11/IGLL5/ITPKB/MYD88/STAT6",7
"GO:0033077","BP","GO:0033077","T cell differentiation in thymus",0.108108108108108,"86/18903",2.3516807614848e-05,2.66805392632051,0.00158001903884034,"B2M/CARD11/ITPKB/TP53",4
"GO:0051090","BP","GO:0051090","regulation of DNA-binding transcription factor activity",0.189189189189189,"454/18903",2.4283406865898e-05,2.66805392632051,0.00158001903884034,"CARD11/MYD88/PIM1/SGK1/TMSB4X/ARID5B/STAT3",7
"GO:0050867","BP","GO:0050867","positive regulation of cell activation",0.189189189189189,"467/18903",2.9091743139885e-05,2.61592273712369,0.00178153151488212,"ARID1A/B2M/CARD11/IGLL5/ITPKB/MYD88/STAT6",7
"GO:0042113","BP","GO:0042113","B cell activation",0.162162162162162,"350/18903",5.52657263809712e-05,2.36206018272964,0.00319636277139067,"CARD11/CD79A/CD79B/IGLL5/TP53/STAT6",6
"GO:0035710","BP","GO:0035710","CD4-positive, alpha-beta T cell activation",0.108108108108108,"115/18903",7.35230276183982e-05,2.26157377845317,0.00402849165177816,"CARD11/IRF4/STAT3/STAT6",4
"GO:0046632","BP","GO:0046632","alpha-beta T cell differentiation",0.108108108108108,"117/18903",7.86246482434827e-05,2.26153299368229,0.00402886998682708,"IRF4/ITPKB/STAT3/STAT6",4
"GO:0002286","BP","GO:0002286","T cell activation involved in immune response",0.108108108108108,"118/18903",8.12699254167849e-05,2.26153299368229,0.00402886998682708,"IRF4/TP53/STAT3/STAT6",4
"GO:0050853","BP","GO:0050853","B cell receptor signaling pathway",0.108108108108108,"130/18903",0.000118299148138402,2.11868462363848,0.00559798361286504,"CD79A/CD79B/IGLL5/KLHL6",4
"GO:0050851","BP","GO:0050851","antigen receptor-mediated signaling pathway",0.135135135135135,"252/18903",0.000124475574459757,2.11588725691875,0.00563415758081005,"CARD11/CD79A/CD79B/IGLL5/KLHL6",5
"GO:1903706","BP","GO:1903706","regulation of hemopoiesis",0.162162162162162,"413/18903",0.000137373027536014,2.09155333217134,0.00595885632601396,"ARID1A/B2M/CARD11/IRF4/ITPKB/STAT3",6
"GO:0060397","BP","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT",0.0540540540540541,"10/18903",0.000166107110142905,2.02679534617526,0.00691704976552982,"STAT3/STAT6",2
"GO:0030183","BP","GO:0030183","B cell differentiation",0.108108108108108,"152/18903",0.000215876934315063,1.93001066612286,0.00864381732945737,"CARD11/CD79A/CD79B/TP53",4
"GO:0002366","BP","GO:0002366","leukocyte activation involved in immune response",0.135135135135135,"293/18903",0.000251013419853973,1.88091038364341,0.00967845115928185,"IRF4/MYD88/TP53/STAT3/STAT6",5
"GO:0002263","BP","GO:0002263","cell activation involved in immune response",0.135135135135135,"297/18903",0.000267231725179926,1.86951357610394,0.00993579609785515,"IRF4/MYD88/TP53/STAT3/STAT6",5
"GO:0042093","BP","GO:0042093","T-helper cell differentiation",0.0810810810810811,"68/18903",0.000316936397126754,1.84924945199268,0.0104103850824165,"IRF4/STAT3/STAT6",3
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.108108108108108,"170/18903",0.000330803345294696,1.84924945199268,0.0104103850824165,"FAT1/PCDHA10/FAT4/PCDH15",4
"GO:0072540","BP","GO:0072540","T-helper 17 cell lineage commitment",0.0540540540540541,"14/18903",0.000334251660969614,1.84924945199268,0.0104103850824165,"IRF4/STAT3",2
"GO:0002429","BP","GO:0002429","immune response-activating cell surface receptor signaling pathway",0.135135135135135,"312/18903",0.000335261342517075,1.84924945199268,0.0104103850824165,"CARD11/CD79A/CD79B/IGLL5/KLHL6",5
"GO:0002757","BP","GO:0002757","immune response-activating signal transduction",0.135135135135135,"312/18903",0.000335261342517075,1.84924945199268,0.0104103850824165,"CARD11/CD79A/CD79B/IGLL5/KLHL6",5
"GO:0002294","BP","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response",0.0810810810810811,"70/18903",0.000345248331682087,1.84924945199268,0.0104103850824165,"IRF4/STAT3/STAT6",3
"GO:0002287","BP","GO:0002287","alpha-beta T cell activation involved in immune response",0.0810810810810811,"71/18903",0.000359995116095697,1.84924945199268,0.0104103850824165,"IRF4/STAT3/STAT6",3
"GO:0002293","BP","GO:0002293","alpha-beta T cell differentiation involved in immune response",0.0810810810810811,"71/18903",0.000359995116095697,1.84924945199268,0.0104103850824165,"IRF4/STAT3/STAT6",3
"GO:0045580","BP","GO:0045580","regulation of T cell differentiation",0.108108108108108,"179/18903",0.000402271280906441,1.81292625583396,0.0113185290701699,"ARID1A/CARD11/IRF4/ITPKB",4
"GO:1903799","BP","GO:1903799","negative regulation of miRNA maturation",0.0540540540540541,"16/18903",0.000439685391257276,1.78588512052445,0.0120456745693475,"TP53/STAT3",2
"GO:0002292","BP","GO:0002292","T cell differentiation involved in immune response",0.0810810810810811,"79/18903",0.000492753019365153,1.74952294675504,0.0130976475515774,"IRF4/STAT3/STAT6",3
"GO:0002768","BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway",0.135135135135135,"341/18903",0.00050324631644079,1.74952294675504,0.0130976475515774,"CARD11/CD79A/CD79B/IGLL5/KLHL6",5
"GO:0070661","BP","GO:0070661","leukocyte proliferation",0.135135135135135,"348/18903",0.000551909304017774,1.72015970145059,0.0140138203253807,"CARD11/CD79A/MYD88/TP53/STAT6",5
"GO:2000774","BP","GO:2000774","positive regulation of cellular senescence",0.0540540540540541,"19/18903",0.00062423811011974,1.67714257145424,0.015472969696953,"B2M/TP53",2
"GO:0043367","BP","GO:0043367","CD4-positive, alpha-beta T cell differentiation",0.0810810810810811,"88/18903",0.00067555545199273,1.66041911279823,0.0160804105905573,"IRF4/STAT3/STAT6",3
"GO:2000269","BP","GO:2000269","regulation of fibroblast apoptotic process",0.0540540540540541,"20/18903",0.000692743330927567,1.66041911279823,0.0160804105905573,"BTG1/TP53",2
"GO:0002285","BP","GO:0002285","lymphocyte activation involved in immune response",0.108108108108108,"207/18903",0.000695083470926518,1.66041911279823,0.0160804105905573,"IRF4/TP53/STAT3/STAT6",4
