"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0018108","BP","GO:0018108","peptidyl-tyrosine phosphorylation",0.529411764705882,"380/18903",1.02923536306963e-11,8.07332355488836,3.44627375881615e-09,"TP53/ALK/EGFR/ERBB2/ROS1/MET/FGFR1/RET/PDGFRA",9
"GO:0018212","BP","GO:0018212","peptidyl-tyrosine modification",0.529411764705882,"382/18903",1.07873478447293e-11,8.07332355488836,3.44627375881615e-09,"TP53/ALK/EGFR/ERBB2/ROS1/MET/FGFR1/RET/PDGFRA",9
"GO:0048732","BP","GO:0048732","gland development",0.529411764705882,"441/18903",3.88956984650767e-11,7.69242792230897,8.2841013923865e-09,"ATM/BRAF/EGFR/PTCH1/SMAD4/MET/HNF1A/PDGFRA/PIK3CA",9
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity",0.529411764705882,"496/18903",1.10656390104008e-10,7.36329173529958,1.76759023139824e-08,"ALK/EGFR/ERBB2/ROS1/MET/FGFR1/RET/PDGFRA/PIK3CA",9
"GO:0046777","BP","GO:0046777","protein autophosphorylation",0.352941176470588,"226/18903",3.03010934929682e-08,5.02271994519453,3.87216078952246e-06,"ALK/ATM/EGFR/ERBB2/FGFR1/PDGFRA",6
"GO:0051897","BP","GO:0051897","positive regulation of protein kinase B signaling",0.294117647058824,"120/18903",5.51950142421645e-08,4.84145964291999,5.87778484999892e-06,"EGFR/MET/FGFR1/RET/PIK3CA",5
"GO:0043410","BP","GO:0043410","positive regulation of MAPK cascade",0.411764705882353,"496/18903",1.27122422563503e-07,4.55484723924544,1.13717181953265e-05,"ALK/BRAF/EGFR/ERBB2/FGFR1/RET/PDGFRA",7
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling",0.294117647058824,"145/18903",1.42380656152359e-07,4.55484723924544,1.13717181953265e-05,"EGFR/ERBB2/FGFR1/PDGFRA/PIK3CA",5
"GO:0070372","BP","GO:0070372","regulation of ERK1 and ERK2 cascade",0.352941176470588,"315/18903",2.1649948546128e-07,4.42399388318318,1.53701973888885e-05,"BRAF/EGFR/ERBB2/ROS1/SMAD4/PDGFRA",6
"GO:0009895","BP","GO:0009895","negative regulation of catabolic process",0.352941176470588,"332/18903",2.94962251955672e-07,4.34106937693698,1.86038980598601e-05,"TP53/ALK/EGFR/SMAD4/MET/PIK3CA",6
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade",0.352941176470588,"340/18903",3.39252997581787e-07,4.34106937693698,1.86038980598601e-05,"BRAF/EGFR/ERBB2/ROS1/SMAD4/PDGFRA",6
