"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05223","hsa05223","Non-small cell lung cancer",0.5625,"73/8843",1.16898986755568e-15,12.7768532156877,8.2444548553927e-14,"7157/238/673/1956/2064/4233/5979/5290/1029",9
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.5,"71/8843",1.40763413479396e-13,11.0724368907216,4.17424820635577e-12,"7157/1956/2064/4233/2260/5979/5156/5290",8
"hsa05218","hsa05218","Melanoma",0.5,"73/8843",1.77561304300208e-13,11.0724368907216,4.17424820635577e-12,"7157/673/1956/4233/2260/5156/5290/1029",8
"hsa05212","hsa05212","Pancreatic cancer",0.4375,"77/8843",3.08733546730333e-11,8.95714013173972,5.44345990287692e-10,"7157/673/1956/2064/4089/5290/1029",7
"hsa05215","hsa05215","Prostate cancer",0.4375,"98/8843",1.74291280761037e-10,8.3707462146436,2.10024009551213e-09,"7157/673/1956/2064/2260/5156/5290",7
"hsa05225","hsa05225","Hepatocellular carcinoma",0.5,"170/8843",1.78677142454017e-10,8.3707462146436,2.10024009551213e-09,"7157/673/1956/4089/4233/5290/1029/8289",8
"hsa05205","hsa05205","Proteoglycans in cancer",0.5,"204/8843",7.68572817267771e-10,7.80407698219106,7.74351560254747e-09,"7157/673/1956/2064/5727/4233/2260/5290",8
"hsa05214","hsa05214","Glioma",0.375,"76/8843",2.46661718406621e-09,7.35565219677336,2.17451778068995e-08,"7157/673/1956/5156/5290/1029",6
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.375,"80/8843",3.37725163150568e-09,7.29618011102905,2.49364742509439e-08,"673/1956/2064/4233/5156/5290",6
"hsa05226","hsa05226","Gastric cancer",0.4375,"150/8843",3.53576873707414e-09,7.29618011102905,2.49364742509439e-08,"7157/673/1956/2064/4089/4233/5290",7
"hsa05219","hsa05219","Bladder cancer",0.3125,"41/8843",7.00528698216968e-09,7.04063071617705,4.49142801727626e-08,"7157/673/1956/2064/1029",5
"hsa01522","hsa01522","Endocrine resistance",0.375,"99/8843",1.23618029616335e-08,6.83176339161743,7.26527016166177e-08,"7157/673/1956/2064/5290/1029",6
"hsa04010","hsa04010","MAPK signaling pathway",0.5,"300/8843",1.62463179821242e-08,6.74785236560303,8.81379194171922e-08,"7157/673/1956/2064/4233/2260/5979/5156",8
"hsa05206","hsa05206","MicroRNAs in cancer",0.5,"312/8843",2.20949483990601e-08,6.64649900657282,1.1130537915316e-07,"7157/472/1956/2064/4233/5156/5290/1029",8
"hsa05213","hsa05213","Endometrial cancer",0.3125,"59/8843",4.59305051859441e-08,6.35865399937624,2.15953954207597e-07,"7157/673/1956/2064/5290",5
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.5,"362/8843",7.04959335960766e-08,6.2006198788054,3.10738654666917e-07,"7157/1956/2064/4233/2260/5979/5156/5290",8
"hsa05224","hsa05224","Breast cancer",0.375,"148/8843",1.38510409913543e-07,5.93363046937112,5.7462522998188e-07,"7157/673/1956/2064/2260/5290",6
"hsa01524","hsa01524","Platinum drug resistance",0.3125,"75/8843",1.55726182870358e-07,5.9075748292504,6.10155219433567e-07,"7157/472/2064/5290/1029",5
"hsa05220","hsa05220","Chronic myeloid leukemia",0.3125,"77/8843",1.77897349985571e-07,5.87324808474176,6.6033919385226e-07,"7157/673/4089/5290/1029",5
"hsa05210","hsa05210","Colorectal cancer",0.3125,"87/8843",3.292405739102e-07,5.62818060814866,1.16100623431492e-06,"7157/673/1956/4089/5290",5
"hsa04520","hsa04520","Adherens junction",0.3125,"93/8843",4.6019785286348e-07,5.50393866921115,1.54552662365179e-06,"1956/2064/4089/4233/2260",5
"hsa04510","hsa04510","Focal adhesion",0.375,"203/8843",8.98639569265817e-07,5.23350110564649,2.88080627467989e-06,"673/1956/2064/4233/5156/5290",6
"hsa04015","hsa04015","Rap1 signaling pathway",0.375,"212/8843",1.15919863386837e-06,5.14223393791117,3.55452212673597e-06,"673/1956/4233/2260/5156/5290",6
"hsa04068","hsa04068","FoxO signaling pathway",0.3125,"133/8843",2.72943291829767e-06,4.78880277919722,8.02070199675191e-06,"472/673/1956/4089/5290",5
"hsa04020","hsa04020","Calcium signaling pathway",0.375,"254/8843",3.32880940291225e-06,4.72031504166556,9.39074652611033e-06,"1956/2064/4233/2260/5979/5156",6
"hsa04012","hsa04012","ErbB signaling pathway",0.25,"86/8843",1.38824769836914e-05,4.11717034839458,3.76569213727663e-05,"673/1956/2064/5290",4
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection",0.3125,"223/8843",3.39413189475506e-05,3.74625265901409,8.84631706231167e-05,"7157/472/4089/5290/1029",5
"hsa05163","hsa05163","Human cytomegalovirus infection",0.3125,"226/8843",3.61940125179512e-05,3.74625265901409,8.84631706231167e-05,"7157/1956/5156/5290/1029",5
"hsa05216","hsa05216","Thyroid cancer",0.1875,"37/8843",3.63755276218935e-05,3.74625265901409,8.84631706231167e-05,"7157/673/5979",3
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.3125,"230/8843",3.93770135546022e-05,3.72654244211932,9.25705230932753e-05,"673/1956/2260/5156/5290",5
"hsa04014","hsa04014","Ras signaling pathway",0.3125,"238/8843",4.6394947324498e-05,3.66955497039566,0.000105550474388501,"1956/4233/2260/5156/5290",5
"hsa04218","hsa04218","Cellular senescence",0.25,"157/8843",0.000147357572620774,3.18651944292691,0.00032099311479515,"7157/472/5290/1029",4
"hsa04110","hsa04110","Cell cycle",0.25,"158/8843",0.000151019639338211,3.18651944292691,0.00032099311479515,"7157/472/4089/1029",4
"hsa05160","hsa05160","Hepatitis C",0.25,"159/8843",0.000154747426983333,3.18651944292691,0.00032099311479515,"7157/673/1956/5290",4
"hsa05161","hsa05161","Hepatitis B",0.25,"163/8843",0.000170330161953956,3.15744044752918,0.000343221679726769,"7157/673/4089/5290",4
"hsa05211","hsa05211","Renal cell carcinoma",0.1875,"70/8843",0.000247095402875363,3.00810179772384,0.000484075789258752,"673/4233/5290",3
"hsa04115","hsa04115","p53 signaling pathway",0.1875,"75/8843",0.00030312764366003,2.93124014303677,0.000577796646521252,"7157/472/1029",3
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0.1875,"90/8843",0.000518712959446442,2.7095204606747,0.000962708262684532,"238/1956/5290",3
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",0.25,"226/8843",0.000593589341862055,2.66224247515444,0.00107342741983152,"673/1956/4233/5290",4
"hsa05231","hsa05231","Choline metabolism in cancer",0.1875,"99/8843",0.000685686377010479,2.61059843273054,0.00120897334893953,"1956/5156/5290",3
"hsa05131","hsa05131","Shigellosis",0.25,"249/8843",0.000854970922073217,2.52549647481643,0.00147068168880374,"7157/472/1956/5290",4
"hsa04066","hsa04066","HIF-1 signaling pathway",0.1875,"109/8843",0.000907667127758308,2.50998664569244,0.00152415282104779,"1956/2064/5290",3
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.1875,"115/8843",0.00106045792929088,2.45263897434185,0.00173930676285163,"673/1956/2260",3
"hsa04722","hsa04722","Neurotrophin signaling pathway",0.1875,"120/8843",0.00119956042684264,2.40909450894877,0.00192274039709227,"7157/673/5290",3
"hsa04210","hsa04210","Apoptosis",0.1875,"136/8843",0.00172070776464859,2.26216935785796,0.00269678175980014,"7157/472/5290",3
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.1875,"144/8843",0.00202709834249509,2.20054697568288,0.00310790821389408,"4089/2260/5290",3
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.1875,"149/8843",0.00223486871840217,2.16750980376246,0.00335355440387336,"1956/5156/5290",3
"hsa04934","hsa04934","Cushing syndrome",0.1875,"155/8843",0.0025012025824286,2.13544115867783,0.00361055530120334,"673/1956/1029",3
"hsa05165","hsa05165","Human papillomavirus infection",0.25,"333/8843",0.00250852760105993,2.13544115867783,0.00361055530120334,"7157/472/1956/5290",4
"hsa04630","hsa04630","JAK-STAT signaling pathway",0.1875,"168/8843",0.00314408696757751,2.04613941645758,0.00443481740689881,"1956/5156/5290",3
"hsa04360","hsa04360","Axon guidance",0.1875,"184/8843",0.00406456897417501,1.94321964087065,0.00562076617687772,"5727/4233/5290",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer",0.1875,"193/8843",0.00464774057476204,1.89342542734117,0.00630361575929265,"7157/472/4233",3
"hsa05203","hsa05203","Viral carcinogenesis",0.1875,"205/8843",0.00550128077693905,1.82847602089558,0.00732047293058424,"7157/5290/1029",3
"hsa05217","hsa05217","Basal cell carcinoma",0.125,"63/8843",0.00562111115903484,1.82723554868601,0.00734141223499677,"7157/5727",2
"hsa05221","hsa05221","Acute myeloid leukemia",0.125,"68/8843",0.0065220959161226,1.77063947063246,0.00836326174890362,"673/5290",2
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection",0.125,"71/8843",0.00709231894458616,1.74250855216438,0.00892291195678649,"1956/4233",2
"hsa04024","hsa04024","cAMP signaling pathway",0.1875,"226/8843",0.00721157735014908,1.74250855216438,0.00892291195678649,"673/5727/5290",3
"hsa05100","hsa05100","Bacterial invasion of epithelial cells",0.125,"78/8843",0.0085078071821787,1.67827431744649,0.010345246482867,"4233/5290",2
"hsa04211","hsa04211","Longevity regulating pathway",0.125,"90/8843",0.0112042454538102,1.5661333597389,0.0133931212382745,"7157/5290",2
"hsa04540","hsa04540","Gap junction",0.125,"92/8843",0.0116860019935779,1.5551492568557,0.0137361777819249,"1956/5156",2
"hsa05222","hsa05222","Small cell lung cancer",0.125,"93/8843",0.0119302863578993,1.55334292955324,0.0137934285760009,"7157/5290",2
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",0.125,"101/8843",0.0139652654716224,1.49200645623069,0.0158857858505721,"4089/5290",2
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation",0.125,"111/8843",0.0167063038952128,1.42112413483406,0.0187021280029951,"673/5290",2
"hsa04071","hsa04071","Sphingolipid signaling pathway",0.125,"122/8843",0.0199661068028907,1.35728392926227,0.0216636300533389,"7157/5290",2
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.125,"122/8843",0.0199661068028907,1.35728392926227,0.0216636300533389,"7157/5290",2
"hsa04926","hsa04926","Relaxin signaling pathway",0.125,"130/8843",0.0224923482255103,1.31217309946001,0.0240348856636235,"1956/5290",2
