"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0758725341426404,"282/18903",1.20827125019084e-21,17.2446302762892,4.67537380600163e-18,"CDH12/CDH19/CDH9/CLSTN2/CNTN4/DCHS2/DSCAM/DSCAML1/FAT3/FAT4/HMCN1/LRFN5/LRRC4B/MDGA1/NLGN1/PCDH1/PCDH10/PCDH11X/PCDH15/PCDH17/PCDH9/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA4/PCDHA7/PCDHA8/PCDHA9/PCDHAC2/PCDHGA3/PCDHGA5/PCDHGA6/PCDHGB1/PCDHGB4/PCDHGB7/PCDHGC5/PTPRD/ROBO2/SDK1/TENM3/TENM4/UMOD/UNC5D/CDH11/CADM2/GPC6/MYADM/ROBO1/CRB1",50
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0591805766312595,"170/18903",2.73768576303955e-21,17.1904411164017,5.29670150785968e-18,"CDH12/CDH19/CDH9/CLSTN2/CNTN4/DCHS2/DSCAM/DSCAML1/FAT3/FAT4/HMCN1/PCDH1/PCDH10/PCDH11X/PCDH15/PCDH17/PCDH9/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA4/PCDHA7/PCDHA8/PCDHA9/PCDHAC2/PCDHGA3/PCDHGA5/PCDHGA6/PCDHGB1/PCDHGB4/PCDHGB7/PCDHGC5/ROBO2/SDK1/TENM3/CDH11/CADM2/ROBO1",39
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0758725341426404,"430/18903",7.43566332290318e-14,9.93259625568093,9.59070118420775e-11,"ADD2/ANK2/APC/ASIC2/BSN/CDH12/CDH19/CDH9/CLSTN2/DLC1/DNM3/DSCAM/DST/DUSP22/EPB41L3/EPHA7/ERBB4/FARP1/GABRA2/LIMCH1/LRFN5/LRRC4B/MACF1/MAP1B/MDGA1/NLGN1/NLGN4X/NLGN4Y/NRG1/PCDH17/PCLO/PLEC/PTPRD/ROBO2/SDK1/SHANK2/TLN1/CTNND1/CDH11/CTNNA1/LAMC1/PKP4/PLXNB1/EPHA3/FLRT2/GPC6/MEF2C/NRXN1/NTRK3/VEGFA",50
"GO:0007416","BP","GO:0007416","synapse assembly",0.0455235204855842,"184/18903",1.69516191399571e-12,8.69964352323605,1.63984610417059e-09,"ADD2/ASIC2/BSN/CLSTN2/DNM3/DSCAM/EPHA7/ERBB4/FARP1/GABRA2/LRFN5/LRRC4B/MAP1B/MDGA1/NLGN1/NLGN4X/NLGN4Y/NRG1/PCDH17/PCLO/PTPRD/ROBO2/SDK1/SHANK2/PLXNB1/FLRT2/GPC6/MEF2C/NRXN1/NTRK3",30
"GO:0007411","BP","GO:0007411","axon guidance",0.0500758725341426,"236/18903",1.03041644940383e-11,8.04107493461461,7.47087863005434e-09,"ARHGAP35/CNTN4/CXCL12/DCC/DSCAM/DSCAML1/EPHA6/EPHA7/ERBB2/GLI3/LRTM1/NCAM1/NOTCH1/NRXN3/PLXNA4/RELN/ROBO2/RPS6KA5/SLIT2/UNC5D/SEMA6D/SMAD4/CNTN1/PLXNB1/SEMA3A/TNR/EPHA3/FLRT2/NFIB/NRXN1/PAX6/ROBO1/VEGFA",33
"GO:0097485","BP","GO:0097485","neuron projection guidance",0.0500758725341426,"237/18903",1.15843330226632e-11,8.04107493461461,7.47087863005434e-09,"ARHGAP35/CNTN4/CXCL12/DCC/DSCAM/DSCAML1/EPHA6/EPHA7/ERBB2/GLI3/LRTM1/NCAM1/NOTCH1/NRXN3/PLXNA4/RELN/ROBO2/RPS6KA5/SLIT2/UNC5D/SEMA6D/SMAD4/CNTN1/PLXNB1/SEMA3A/TNR/EPHA3/FLRT2/NFIB/NRXN1/PAX6/ROBO1/VEGFA",33
"GO:0061564","BP","GO:0061564","axon development",0.0728376327769348,"490/18903",1.14252847125785e-10,7.11402572694968,6.31569121856219e-08,"ANK3/APBB1/ARHGAP35/AUTS2/CNTN4/CXCL12/DCC/DSCAM/DSCAML1/EPHA6/EPHA7/ERBB2/GLI3/INPP5F/LRTM1/MACF1/MAP1B/NCAM1/NOTCH1/NRXN3/PLXNA4/RELN/ROBO2/RPS6KA5/SLIT2/UNC5D/SEMA6D/SMAD4/CDH11/CNTN1/CTNNA1/KIAA0319/MAP2/NCAM2/PLXNB1/SEMA3A/TNR/CTNNA2/DCLK1/EPHA3/FLRT2/NFIB/NRXN1/PAX6/ROBO1/SPRY3/VEGFA/SPTBN4",48
"GO:0050808","BP","GO:0050808","synapse organization",0.0667678300455235,"432/18903",2.01884755390324e-10,6.92478117923519,9.76484685282674e-08,"ADD2/ANK3/ARHGEF15/ASIC2/BSN/CHRNA1/CLSTN2/DNM3/DOCK10/DSCAM/EPHA7/ERBB2/ERBB4/FARP1/GABRA2/LRFN5/LRRC4B/MAP1B/MDGA1/NLGN1/NLGN4X/NLGN4Y/NRG1/PCDH17/PCDHGC5/PCLO/PPFIA2/PTPRD/RELN/ROBO2/SDK1/SHANK2/SYNPO/UNC13C/ZNF804A/PLXNB1/TNR/CTNNA2/ERC2/FLRT2/GPC6/MEF2C/NRXN1/NTRK3",44
"GO:0007409","BP","GO:0007409","axonogenesis",0.0667678300455235,"438/18903",3.14212814285458e-10,6.78381333511679,1.35093135124368e-07,"ANK3/APBB1/ARHGAP35/AUTS2/CNTN4/CXCL12/DCC/DSCAM/DSCAML1/EPHA6/EPHA7/ERBB2/GLI3/LRTM1/MACF1/MAP1B/NCAM1/NOTCH1/NRXN3/PLXNA4/RELN/ROBO2/RPS6KA5/SLIT2/UNC5D/SEMA6D/SMAD4/CDH11/CNTN1/KIAA0319/MAP2/PLXNB1/SEMA3A/TNR/CTNNA2/DCLK1/EPHA3/FLRT2/NFIB/NRXN1/PAX6/ROBO1/VEGFA/SPTBN4",44
"GO:0001764","BP","GO:0001764","neuron migration",0.039453717754173,"177/18903",5.52420252860794e-10,6.58452512589501,2.13757563106977e-07,"AUTS2/CXCL12/DCC/FAT3/LRP12/MAP1B/MDGA1/NAV1/NRG1/NRG3/PHACTR1/RELN/UNC5D/KIAA0319/NIPBL/SEMA3A/ASTN1/CTNNA2/DCLK1/FLRT2/MEF2C/NTRK3/PAX6/PRKG1/VEGFA/ZNF609",26
