"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04020","hsa04020","Calcium signaling pathway",0.0751445086705202,"254/8843",6.38466657398487e-06,3.06269054953709,0.000657638447357905,"114/115/444/487/488/775/776/777/8912/1910/2064/2066/2778/2911/5579/6262/6263/6546/490/773/491/2252/3358/3707/4916/7422",26
"hsa04024","hsa04024","cAMP signaling pathway",0.069364161849711,"226/8843",7.80945609342124e-06,3.06269054953709,0.000657638447357905,"114/115/134/10000/487/488/775/776/1080/2033/2492/2737/2778/2892/3355/10846/5139/5144/5290/5295/6262/490/491/2893",24
"hsa04724","hsa04724","Glutamatergic synapse",0.046242774566474,"116/8843",1.04707797484359e-05,3.06269054953709,0.000657638447357905,"114/115/775/776/2778/2892/2900/2911/2918/5579/22941/57084/6506/773/2913/2893",16
"hsa01522","hsa01522","Endocrine resistance",0.0404624277456647,"99/8843",2.81048063704674e-05,2.75882771295702,0.00132388430008254,"114/115/10000/1029/2064/2778/5469/4851/5290/5295/7157/182/10498/2099",14
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0664739884393064,"232/8843",3.68188185681648e-05,2.73844847463672,0.00138748811025295,"287/288/1293/1756/1837/2201/84467/84823/8735/79784/84033/5339/23345/7094/7273/1462/129446/256076/1301/23500/2200/10529/57731",23
"hsa05032","hsa05032","Morphine addiction",0.0375722543352601,"91/8843",4.86483616406005e-05,2.69663135069669,0.00152772925152061,"114/115/134/2555/2559/2778/10846/5139/5144/5579/773/2565/2870",13
"hsa04022","hsa04022","cGMP-PKG signaling pathway",0.0520231213872832,"166/8843",8.24030571686204e-05,2.53470303478665,0.00221806725311023,"114/115/134/10000/487/488/775/776/1910/3764/3778/5139/6546/490/491/4208/5581/5592",18
"hsa04713","hsa04713","Circadian entrainment",0.0375722543352601,"97/8843",9.56964378212503e-05,2.5277425341503,0.00225390294342155,"114/115/775/776/8912/2778/2892/5579/9252/6262/6263/2893/5592",13
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0404624277456647,"122/8843",0.00028026382976176,2.12160796685978,0.00574208712791923,"10000/487/488/1734/2033/5469/23389/4851/5290/5295/5579/7157/2099/116931",14
"hsa04360","hsa04360","Axon guidance",0.0520231213872832,"184/8843",0.000304747640867222,2.12160796685978,0.00574208712791923,"23365/6387/1630/285220/2045/5290/5295/91584/6092/9353/85464/137970/80031/5364/5590/10371/2042/6091",18
