"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0051974","BP","GO:0051974","negative regulation of telomerase activity",1,"10/18903",0.000529016558218354,2.04696779978103,NA,"TP53",1
"GO:0061418","BP","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia",1,"11/18903",0.000581918214040189,2.04696779978103,NA,"TP53",1
"GO:1990440","BP","GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",1,"11/18903",0.000581918214040189,2.04696779978103,NA,"TP53",1
"GO:0006983","BP","GO:0006983","ER overload response",1,"12/18903",0.000634819869862024,2.04696779978103,NA,"TP53",1
"GO:0051095","BP","GO:0051095","regulation of helicase activity",1,"12/18903",0.000634819869862024,2.04696779978103,NA,"TP53",1
"GO:1903800","BP","GO:1903800","positive regulation of miRNA maturation",1,"12/18903",0.000634819869862024,2.04696779978103,NA,"TP53",1
"GO:0043471","BP","GO:0043471","regulation of cellular carbohydrate catabolic process",1,"13/18903",0.000687721525683749,2.04696779978103,NA,"TP53",1
"GO:0070243","BP","GO:0070243","regulation of thymocyte apoptotic process",1,"13/18903",0.000687721525683749,2.04696779978103,NA,"TP53",1
"GO:1901524","BP","GO:1901524","regulation of mitophagy",1,"13/18903",0.000687721525683749,2.04696779978103,NA,"TP53",1
"GO:0071236","BP","GO:0071236","cellular response to antibiotic",1,"14/18903",0.000740623181505584,2.04696779978103,NA,"TP53",1
"GO:0010225","BP","GO:0010225","response to UV-C",1,"15/18903",0.00079352483732742,2.04696779978103,NA,"TP53",1
"GO:0070234","BP","GO:0070234","positive regulation of T cell apoptotic process",1,"15/18903",0.00079352483732742,2.04696779978103,NA,"TP53",1
"GO:0034349","BP","GO:0034349","glial cell apoptotic process",1,"16/18903",0.000846426493149477,2.04696779978103,NA,"TP53",1
"GO:1903799","BP","GO:1903799","negative regulation of miRNA maturation",1,"16/18903",0.000846426493149477,2.04696779978103,NA,"TP53",1
