"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04360","hsa04360","Axon guidance",0.036613942589338,"184/8843",4.03172280533977e-16,12.8630304177171,9.42149960826767e-14,"25/3983/23365/655/659/91653/1630/56896/1945/1946/1949/55740/2041/1969/2042/2043/2044/285220/2045/2046/2047/2048/2049/7976/151449/2771/3611/3845/3985/5594/5595/103910/4690/8440/4756/4773/25791/8829/9423/4917/22854/84628/10298/56288/84612/5290/5295/8503/5335/5336/5361/5362/91584/5364/23654/5365/5530/5578/5727/5747/5781/5921/5998/387/6091/6092/64221/6093/9475/10371/10512/223117/9723/6405/56920/64218/10509/9037/54437/57556/80031/8482/6585/9353/6586/6608/57522/23380/9901/54434/85464/7220/7222/7223/7224/7225/90249/219699/8633/137970/54361/7474/84448/3688/3897/4776/5062/5293/5532/10507/658/2051/2242/2534/2773/9860/56924/5291/5296/5894/54910/10500/54961/64101/10154",125
"hsa05033","hsa05033","Nicotine addiction",0.0102519039250146,"41/8843",8.40558471790218e-10,6.92449593812831,8.1781394935604e-08,"773/774/1137/8973/1139/1141/2554/2555/2556/2557/2558/2559/2560/2562/2563/2565/2566/55879/2570/2890/2891/2892/2893/2902/2903/2904/2905/2906/116443/116444/57084/57030/140679/2564/2569",35
"hsa04724","hsa04724","Glutamatergic synapse",0.0225541886350322,"116/8843",1.04989628633546e-09,6.92449593812831,8.1781394935604e-08,"108/109/111/114/115/773/775/776/1742/9229/27165/2771/2778/55970/2788/2792/2890/2891/2892/2893/2897/2899/2901/2902/2903/2904/2905/2906/116443/116444/2911/2912/2913/2914/2915/2917/2918/9455/3708/3709/3710/8681/3760/5594/5595/23236/5330/5332/5337/5530/5567/5578/5579/5582/50944/22941/85358/57084/57030/6505/6506/6507/6511/7220/112/2744/2898/23154/5532/113/2752/2773/2783/2900/2916/9762/81539",77
"hsa04512","hsa04512","ECM-receptor interaction",0.0181605155243117,"89/8843",2.45172412410351e-09,6.77168730406546,1.16268788723744e-07,"375790/1101/1278/1282/1284/1285/1287/1288/1291/1292/1293/256076/131873/1605/1758/1834/80144/341640/51206/3339/22801/3673/3655/3679/3680/3685/3690/3691/3696/284217/3908/3909/3910/3911/3914/3915/3918/56955/255743/5649/6382/6696/9900/9899/22987/7057/7060/3371/63923/7148/7448/7450/948/158326/3678/3688/960/1299/6385/7143/1297/3675",62
"hsa04020","hsa04020","Calcium signaling pathway",0.0421792618629174,"254/8843",2.48773309206209e-09,6.77168730406546,1.16268788723744e-07,"108/109/114/115/148/147/146/155/444/487/488/491/492/552/553/623/624/773/774/775/776/777/8912/8911/805/57118/814/887/1128/1139/1910/1956/2064/2065/2066/2149/2255/2247/27006/2251/2252/2254/2260/2263/2324/2668/9630/2778/2902/2903/2904/2905/2906/116443/116444/2911/2915/2925/3356/3357/3358/3360/3361/3362/3363/3707/3708/3709/3710/3973/56413/57192/255231/4486/4638/340156/4773/4842/4843/4914/4915/4923/80228/5021/5024/9127/5136/5137/56034/80310/5156/5257/5261/23236/5330/5332/5333/113026/51196/5335/5336/5530/5567/5578/5579/5582/5733/5737/2185/5979/6261/6262/6263/6546/6543/6547/56848/6786/57620/6870/6915/7942/7201/7424/490/493/8913/2264/2321/4776/4846/4916/5532/53373/10345/113/57172/952/1950/8822/3274/4772/5159/185",144
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.0172817809021675,"86/8843",1.47853242417447e-08,6.07684148030905,5.75849470467953e-07,"88/487/488/775/776/781/9254/55799/93589/783/784/785/786/10368/27091/59285/59284/59283/1000/1495/1496/29119/1499/1605/1756/1829/1832/2697/22801/3673/3655/3679/3680/3685/3690/3691/3696/3728/284217/3908/51176/4000/4842/5318/6262/6442/137868/6546/6543/6547/6932/83439/6934/1837/3678/3688/60/859/3675",59
"hsa04510","hsa04510","Focal adhesion",0.0339777387229057,"203/8843",4.94893027433591e-08,5.61910778790897,1.65212409158282e-06,"87/81/2909/394/572/9564/596/329/330/673/824/857/1101/1278/1282/1284/1285/1287/1288/1291/1292/1293/256076/131873/1499/1956/2064/2317/2324/2885/3480/3611/22801/3673/3655/3679/3680/3685/3690/3691/3696/284217/3908/3909/3910/3911/3914/3915/3918/5594/5595/103910/4638/340156/10298/56034/80310/5156/5290/5295/8503/23396/4659/4660/54776/5578/5579/5582/5728/5747/5829/2889/5923/5649/387/6093/9475/53358/399694/6696/7057/7060/3371/63923/7148/7409/7410/7414/7424/7448/7450/2321/3678/3688/5604/5062/5293/83660/60/859/1299/1950/2534/5602/5599/56924/5159/5291/5296/8394/5894/6654/7094/7143/1297/3675",116
"hsa04520","hsa04520","Adherens junction",0.017867603983597,"93/8843",1.10782883219315e-07,5.32713840610649,3.23602632561684e-06,"87/81/10458/999/1387/1459/1495/1496/29119/1499/1500/1956/2033/2064/2241/2260/57493/3480/3643/8826/889/51176/4008/5594/5595/103910/51701/56288/5787/5792/5795/5797/55698/387/6093/9475/4088/4089/57154/6615/10580/6932/83439/6934/7046/7048/7082/7414/10810/8976/1003/6591/60/9411/1457/2534/117178/8936/10163/52/6885",61
"hsa05205","hsa05205","Proteoglycans in cancer",0.0333919156414763,"204/8843",3.23413074492997e-07,4.9130060194198,8.39739210964273e-06,"286/287/288/9138/23365/673/857/1026/1278/1499/1634/29102/1956/2064/2065/2066/7430/355/356/2247/2260/8321/2535/7976/8322/8323/2817/2719/2885/3091/3236/3339/3480/3549/8826/3673/3685/3690/3708/3709/3710/3845/4060/5594/5595/4318/4478/2475/5290/5295/8503/5329/51196/5335/5336/4659/4660/54776/5567/5578/5579/5582/5727/5747/5781/5829/5962/387/6093/9475/6194/6198/22800/6382/6383/6548/6608/6774/7023/7042/7057/7074/7078/7099/7157/7291/7409/7410/7448/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/2017/3678/3688/5604/4313/5293/60/859/960/5291/5296/5894/6385/4087/6654",114
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.020796719390744,"115/8843",3.74205342241817e-07,4.89541109966126,8.74458799765088e-06,"108/109/111/114/115/11214/9138/9826/408/596/673/846/1026/10488/9586/1594/1956/1958/2260/2625/8521/9247/10672/2771/2778/3708/3709/3710/9365/4041/4040/5594/5595/4209/4322/4323/4324/4325/4326/4666/4929/5142/23236/5330/5332/5337/5567/5578/5579/5582/5745/387/6256/6559/6667/56302/65125/65268/65267/112/1388/5604/860/65266/113/2773/64386/9943/5143/5894/6446",71
