"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0048608","BP","GO:0048608","reproductive structure development",0.285714285714286,"306/18903",7.57674460531677e-07,3.20964452450359,0.000298978340861239,"AR/ATRX/FOXA1/IDH1/PTEN/PTPN11",6
"GO:0061458","BP","GO:0061458","reproductive system development",0.285714285714286,"310/18903",8.17350859908424e-07,3.20964452450359,0.000298978340861239,"AR/ATRX/FOXA1/IDH1/PTEN/PTPN11",6
"GO:2000045","BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle",0.238095238095238,"185/18903",1.52409704323312e-06,3.11513168688035,0.000371665770191937,"ARID2/PTEN/TP53/TERT/EGFR",5
"GO:1903798","BP","GO:1903798","regulation of miRNA maturation",0.142857142857143,"26/18903",3.02214991064298e-06,3.03643138864725,0.000445505288026579,"TP53/TERT/EGFR",3
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition",0.238095238095238,"213/18903",3.04482031385072e-06,3.03643138864725,0.000445505288026579,"ARID2/PTEN/TP53/TERT/EGFR",5
"GO:0070920","BP","GO:0070920","regulation of production of small RNA involved in gene silencing by RNA",0.142857142857143,"28/18903",3.80247166170157e-06,3.01910831697622,0.000463634702610981,"TP53/TERT/EGFR",3
"GO:0048732","BP","GO:0048732","gland development",0.285714285714286,"441/18903",6.28055380504036e-06,2.91051223784039,0.000595349528710668,"ASXL1/AR/FOXA1/IRS2/PTEN/EGFR",6
"GO:0000082","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.238095238095238,"250/18903",6.65298379239039e-06,2.91051223784039,0.000595349528710668,"ARID2/PTEN/TP53/TERT/EGFR",5
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition",0.285714285714286,"453/18903",7.3240841301816e-06,2.91051223784039,0.000595349528710668,"ARID2/PTEN/PTPN11/TP53/TERT/EGFR",6
"GO:0046326","BP","GO:0046326","positive regulation of glucose import",0.142857142857143,"37/18903",8.96088015919178e-06,2.86867238350152,0.00065555912743561,"IRS2/PTPN11/TERT",3
"GO:0045931","BP","GO:0045931","positive regulation of mitotic cell cycle",0.19047619047619,"129/18903",1.13224387880147e-05,2.83846966604994,0.000702772220152804,"FOXA1/PTPN11/TERT/EGFR",4
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition",0.238095238095238,"280/18903",1.15274867766071e-05,2.83846966604994,0.000702772220152804,"ARID2/PTEN/TP53/TERT/EGFR",5
"GO:0010828","BP","GO:0010828","positive regulation of glucose transmembrane transport",0.142857142857143,"44/18903",1.51976704609543e-05,2.75572109151777,0.000850282342800648,"IRS2/PTPN11/TERT",3
"GO:0060964","BP","GO:0060964","regulation of miRNA-mediated gene silencing",0.142857142857143,"45/18903",1.62715901571923e-05,2.75572109151777,0.000850282342800648,"TP53/TERT/EGFR",3
"GO:1900368","BP","GO:1900368","regulation of post-transcriptional gene silencing by RNA",0.142857142857143,"47/18903",1.85670993137578e-05,2.75500943430086,0.000851676801269741,"TP53/TERT/EGFR",3
"GO:0035264","BP","GO:0035264","multicellular organism growth",0.19047619047619,"147/18903",1.89552293802971e-05,2.75500943430086,0.000851676801269741,"AR/ATRX/PTPN11/TP53",4
"GO:0060147","BP","GO:0060147","regulation of post-transcriptional gene silencing",0.142857142857143,"48/18903",1.97907630798652e-05,2.75500943430086,0.000851676801269741,"TP53/TERT/EGFR",3
"GO:0060966","BP","GO:0060966","regulation of gene silencing by RNA",0.142857142857143,"50/18903",2.23950714103824e-05,2.72614310620757,0.000910209042702678,"TP53/TERT/EGFR",3
"GO:0030850","BP","GO:0030850","prostate gland development",0.142857142857143,"51/18903",2.3777771631067e-05,2.72360550201777,0.000915543007401195,"AR/FOXA1/PTEN",3
"GO:2000772","BP","GO:2000772","regulation of cellular senescence",0.142857142857143,"55/18903",2.98693845380331e-05,2.64682677436025,0.00109259064494384,"PTEN/TP53/TERT",3
"GO:0035196","BP","GO:0035196","miRNA processing",0.142857142857143,"57/18903",3.32658841296731e-05,2.63628591975552,0.00111943358468801,"TP53/TERT/EGFR",3
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition",0.238095238095238,"354/18903",3.55941035896836e-05,2.63628591975552,0.00111943358468801,"ARID2/PTEN/TP53/TERT/EGFR",5
"GO:0046324","BP","GO:0046324","regulation of glucose import",0.142857142857143,"59/18903",3.6906929048468e-05,2.63628591975552,0.00111943358468801,"IRS2/PTPN11/TERT",3
"GO:0001655","BP","GO:0001655","urogenital system development",0.238095238095238,"360/18903",3.85678534512409e-05,2.63628591975552,0.00111943358468801,"ASXL1/AR/FOXA1/PTEN/AMER1",5
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle",0.238095238095238,"362/18903",3.96008618830646e-05,2.63628591975552,0.00111943358468801,"ATRX/FOXA1/PTPN11/TERT/EGFR",5
"GO:0070918","BP","GO:0070918","small regulatory ncRNA processing",0.142857142857143,"61/18903",4.0800520585955e-05,2.63628591975552,0.00111943358468801,"TP53/TERT/EGFR",3
"GO:0035265","BP","GO:0035265","organ growth",0.19047619047619,"180/18903",4.19283735069844e-05,2.63628591975552,0.00111943358468801,"AR/ARID2/PTEN/PTPN11",4
"GO:0070228","BP","GO:0070228","regulation of lymphocyte apoptotic process",0.142857142857143,"62/18903",4.28445084211525e-05,2.63628591975552,0.00111943358468801,"IRS2/PTEN/TP53",3
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.238095238095238,"377/18903",4.80519418298993e-05,2.60171010794628,0.00121219962148022,"MAP3K13/PTEN/SPEN/TP53/PTPRD",5
"GO:0097090","BP","GO:0097090","presynaptic membrane organization",0.0952380952380952,"10/18903",5.2613176346567e-05,2.57704978574442,0.00128302307231102,"PTEN/PTPRD",2
"GO:0033148","BP","GO:0033148","positive regulation of intracellular estrogen receptor signaling pathway",0.0952380952380952,"11/18903",6.42619140237953e-05,2.51821937427446,0.001469145731794,"AR/FOXA1",2
"GO:0060742","BP","GO:0060742","epithelial cell differentiation involved in prostate gland development",0.0952380952380952,"11/18903",6.42619140237953e-05,2.51821937427446,0.001469145731794,"AR/FOXA1",2
"GO:0046323","BP","GO:0046323","glucose import",0.142857142857143,"75/18903",7.57888948371297e-05,2.50238090170677,0.00152371362250165,"IRS2/PTPN11/TERT",3
