"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.222222222222222,"71/8843",1.07247882538749e-05,3.01330399575141,0.000628931673980081,"3417/5728/7157/1956",4
"hsa05225","hsa05225","Hepatocellular carcinoma",0.277777777777778,"170/8843",1.73184084139443e-05,3.01330399575141,0.000628931673980081,"196528/5728/7157/7015/1956",5
"hsa05215","hsa05215","Prostate cancer",0.222222222222222,"98/8843",3.85257642464528e-05,2.84215196935143,0.000932729029124647,"367/5728/7157/1956",4
"hsa05224","hsa05224","Breast cancer",0.222222222222222,"148/8843",0.00019204161618231,2.31853305090234,0.00311440015178346,"5728/7157/1956/8202",4
"hsa05213","hsa05213","Endometrial cancer",0.166666666666667,"59/8843",0.000214397111898136,2.31853305090234,0.00311440015178346,"5728/7157/1956",3
"hsa05218","hsa05218","Melanoma",0.166666666666667,"73/8843",0.000402933291003164,2.13911359360185,0.00470753837698697,"5728/7157/1956",3
"hsa05214","hsa05214","Glioma",0.166666666666667,"76/8843",0.000453697539231353,2.13911359360185,0.00470753837698697,"5728/7157/1956",3
"hsa05210","hsa05210","Colorectal cancer",0.166666666666667,"87/8843",0.000674545424260619,2.03299436911918,0.00601053449096268,"2956/7157/1956",3
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0.166666666666667,"90/8843",0.000744783621706245,2.03299436911918,0.00601053449096268,"5728/5781/1956",3
"hsa01522","hsa01522","Endocrine resistance",0.166666666666667,"99/8843",0.00098303496947134,1.95821301007926,0.00713993819931816,"7157/1956/8202",3
"hsa04931","hsa04931","Insulin resistance",0.166666666666667,"109/8843",0.00129908555465312,1.87853690888212,0.00857769409292492,"8660/5728/5781",3
"hsa04068","hsa04068","FoxO signaling pathway",0.166666666666667,"133/8843",0.00230050475585765,1.66814008795416,0.0139241077328226,"8660/5728/1956",3
"hsa05219","hsa05219","Bladder cancer",0.111111111111111,"41/8843",0.00306170866447408,1.61661249557158,0.0156781554866194,"7157/1956",2
"hsa05206","hsa05206","MicroRNAs in cancer",0.222222222222222,"312/8843",0.00314222256450239,1.61661249557158,0.0156781554866194,"8660/5728/7157/1956",4
"hsa05226","hsa05226","Gastric cancer",0.166666666666667,"150/8843",0.003237879937454,1.61661249557158,0.0156781554866194,"7157/7015/1956",3
"hsa05165","hsa05165","Human papillomavirus infection",0.222222222222222,"333/8843",0.00397396618502528,1.55567779266222,0.0180397149188648,"5728/7157/7015/1956",4
"hsa05205","hsa05205","Proteoglycans in cancer",0.166666666666667,"204/8843",0.00764411649431277,1.34613233962538,0.029226386493048,"5781/7157/1956",3
"hsa04920","hsa04920","Adipocytokine signaling pathway",0.111111111111111,"70/8843",0.0087079880920147,1.34613233962538,0.029226386493048,"8660/5781",2
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection",0.111111111111111,"71/8843",0.00894963354517895,1.34613233962538,0.029226386493048,"5781/1956",2
"hsa05223","hsa05223","Non-small cell lung cancer",0.111111111111111,"73/8843",0.0094419277044865,1.34613233962538,0.029226386493048,"7157/1956",2
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection",0.166666666666667,"223/8843",0.00975867321663844,1.34613233962538,0.029226386493048,"5728/7157/7015",3
"hsa01524","hsa01524","Platinum drug resistance",0.111111111111111,"75/8843",0.00994614757116639,1.34613233962538,0.029226386493048,"2956/7157",2
"hsa04115","hsa04115","p53 signaling pathway",0.111111111111111,"75/8843",0.00994614757116639,1.34613233962538,0.029226386493048,"5728/7157",2
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",0.166666666666667,"226/8843",0.0101209296088528,1.34613233962538,0.029226386493048,"5728/5781/1956",3
"hsa05212","hsa05212","Pancreatic cancer",0.111111111111111,"77/8843",0.0104621992228737,1.34613233962538,0.029226386493048,"7157/1956",2
"hsa05220","hsa05220","Chronic myeloid leukemia",0.111111111111111,"77/8843",0.0104621992228737,1.34613233962538,0.029226386493048,"5781/7157",2
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.111111111111111,"80/8843",0.0112582570564123,1.33067458093555,0.0302853698593547,"5728/1956",2
"hsa03083","hsa03083","Polycomb repressive complex",0.111111111111111,"83/8843",0.0120804130558736,1.31585822465019,0.0313364098065894,"171023/54880",2
