"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0382138256762559,"170/18903",7.65777885108422e-37,32.3296427840033,3.9135280338962e-33,"CADM1/CDH1/CDH23/CDH26/CDH4/CDH8/CDH9/CEACAM5/CELSR1/CLSTN2/DCHS2/DSCAM/DSCAML1/DSG4/FAT1/FAT2/FAT3/FAT4/HMCN1/IGFN1/IGSF11/IGSF9/KIRREL3/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH20/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PTPN23/SDK1/TENM3/TRO/CDH20/ITGB1/AMIGO2/CDH12/CDH18/CDH2/CEACAM1/CNTN4/DCHS1/L1CAM/RET/PALLD/PTPRM/ROBO1/ROBO2/CDH19",89
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0455130957492486,"282/18903",7.7706933980966e-28,23.6243158261787,1.98561665514521e-24,"ALCAM/CADM1/CBLN1/CDH1/CDH23/CDH26/CDH4/CDH8/CDH9/CEACAM5/CELSR1/CLSTN2/CRB1/DAB1/DCHS2/DSCAM/DSCAML1/DSG4/FAT1/FAT2/FAT3/FAT4/HMCN1/IGFN1/IGSF11/IGSF9/KIRREL3/LRFN5/MAPK7/NLGN1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH20/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PTPN23/PTPRD/SDK1/TENM1/TENM2/TENM3/TENM4/TRO/CDH20/CLDN18/ITGB1/AMIGO2/CDH12/CDH18/CDH2/CEACAM1/CLDN6/CNTN4/DCHS1/L1CAM/RET/SELE/TGFBR2/CD209/PALLD/PTPRM/LRRC4B/ROBO1/ROBO2/CDH19",106
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction",0.0364963503649635,"305/18903",1.49532078434993e-13,9.5161324890596,2.54729207298909e-10,"ABL1/ABL2/ABRA/ADRA1A/AKAP13/ARHGAP20/ARHGAP21/ARHGAP28/ARHGAP30/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP44/ARHGAP6/ARHGAP9/ARHGEF11/ARHGEF17/ARHGEF25/ARHGEF4/ARHGEF5/AUTS2/CBL/DAB2IP/DLC1/DOCK2/DOCK3/F11R/F2R/FAM13A/FGD4/FGD5/FRMD7/GBF1/IQSEC2/IQSEC3/KANK1/KIF14/LPAR1/LRRC59/MCF2L/MET/MYO9A/MYO9B/NF1/NOTCH2/NRG1/NTRK1/PIK3CG/PLCE1/PLEKHG1/PREX1/RALBP1/RASA3/RASGRF2/RELN/SLIT2/STARD13/STARD8/TIAM2/TRIO/VAV1/VAV2/ARAP3/DENND3/ITGB1/MADD/OBSCN/SGSM3/SIPA1L1/SIPA1L2/SIPA1L3/TIAM1/ABCA1/BCL6/EPS8/FLOT1/SRC/SYDE2/CHN2/BCR/NOTCH1/PLEKHG5/ROBO1/ARHGEF2/ITSN1",85
"GO:0061564","BP","GO:0061564","axon development",0.0506655216831258,"490/18903",2.713741583982e-13,9.38223710593369,3.46716194479806e-10,"ABL1/ALCAM/ANK3/ARHGAP35/ARHGEF25/ATP8A2/AUTS2/BMPR2/BOC/BRAF/CDH1/CDH4/CNTN1/COBL/DAB1/DAG1/DIP2B/DOCK7/DSCAM/DSCAML1/EPHA1/EPHA10/EPHA7/FSTL4/GBX2/GLI2/GLI3/GOLGA4/IGF1R/IGSF9/JAK2/KIF13B/LAMA1/LHX4/LMTK2/LPAR3/LRIG2/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MAPK8IP3/NCAM1/NEO1/NOTCH2/NRXN3/NTRK1/PARD6B/PLXNA2/PLXNA4/PTEN/PTPN11/PTPRZ1/RELN/RTN4/SEMA3C/SEMA3E/SLIT2/SLIT3/SMURF1/STK24/SZT2/TIAM2/TRIO/TRPC5/UNC5A/XK/YTHDF1/CYFIP1/DCLK1/ERBB2/ITGB1/NFASC/NFIB/NIN/NRCAM/SIPA1L1/TIAM1/TNC/ACTB/APBB1/BMPR1B/CDH2/CDKL5/CERS2/CHL1/CNTN4/CRTAC1/DDR1/DRD2/EPHB1/FEZ2/FLOT1/ISLR2/IST1/L1CAM/LLGL1/MMP2/MTR/RET/SEMA5B/TNR/PALLD/PTCH1/SEMA6D/NRXN1/PTPRM/LAMA2/LAMA5/LAMC2/LGI1/NOTCH1/NREP/ROBO1/ROBO2/RTN4RL1",118
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0463718334048948,"446/18903",1.94865915463805e-12,8.6229797264348,1.99173477805636e-09,"ABL1/ABL2/ALK/ARHGAP35/ARHGAP44/ATP8A2/BCL11A/BMPR2/BRAF/CAMK1D/CDH1/CDH4/CHRNA3/CNTN1/COBL/CSMD3/CUX1/CUX2/DAB1/DAB2IP/DIP2B/DSCAM/EP300/EPHA7/FAT3/FBXO31/FRMD7/FSTL4/GAK/GOLGA4/IGF1R/INPP5J/ITGA6/KANK1/KIF13B/LPAR1/LPAR3/LRIG2/LRRC7/MACF1/MAP1B/MAP2/MAP3K13/MAP6/MBOAT1/MYLIP/NDNF/NEDD4L/NFE2L2/NLGN1/NTRK1/PLXNA2/PLXNA4/PTEN/PTK7/PTPRD/PTPRG/RAPGEF2/RELN/ROR1/ROR2/RTN4/SEMA3C/SEMA3E/SLIT2/SMURF1/STK24/TANC2/TENM3/TIAM2/TNIK/TRPC5/UBE3A/VLDLR/XK/YTHDF1/ZNF804A/CYFIP1/KLK6/NIN/NRCAM/SETX/SIPA1L1/TIAM1/ABI2/CDC20/CDH2/CDKL5/CERS2/DAB2/ENC1/HECW2/ISLR2/IST1/L1CAM/PPP2R5B/PRKD1/RET/SEMA5B/TNR/TRPV4/ARSB/SEMA6D/ROBO1/ROBO2/RTN4RL1/THOC2/HECW1",108
"GO:0007409","BP","GO:0007409","axonogenesis",0.0455130957492486,"438/18903",3.25632571425372e-12,8.47916901586188,2.77358970924593e-09,"ABL1/ALCAM/ANK3/ARHGAP35/ARHGEF25/ATP8A2/AUTS2/BMPR2/BOC/BRAF/CDH1/CDH4/CNTN1/COBL/DAB1/DAG1/DIP2B/DOCK7/DSCAM/DSCAML1/EPHA1/EPHA10/EPHA7/FSTL4/GBX2/GLI2/GLI3/GOLGA4/IGF1R/IGSF9/KIF13B/LAMA1/LHX4/LMTK2/LPAR3/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/NCAM1/NEO1/NOTCH2/NRXN3/NTRK1/PARD6B/PLXNA2/PLXNA4/PTEN/PTPN11/PTPRZ1/RELN/RTN4/SEMA3C/SEMA3E/SLIT2/SLIT3/SMURF1/SZT2/TIAM2/TRIO/TRPC5/UNC5A/XK/YTHDF1/CYFIP1/DCLK1/ERBB2/ITGB1/NFASC/NFIB/NIN/NRCAM/SIPA1L1/TIAM1/ACTB/APBB1/BMPR1B/CDH2/CDKL5/CHL1/CNTN4/DRD2/EPHB1/FEZ2/FLOT1/ISLR2/IST1/L1CAM/LLGL1/RET/SEMA5B/TNR/PALLD/PTCH1/SEMA6D/NRXN1/PTPRM/LAMA2/LAMA5/LAMC2/LGI1/NOTCH1/ROBO1/ROBO2",106
"GO:0050808","BP","GO:0050808","synapse organization",0.0433662516101331,"432/18903",8.91902325317552e-11,7.10852634803027,6.51155757807025e-08,"ABL1/AGRN/ANK3/ARHGAP44/BSN/CACNB2/CAST/CBLN1/CDH1/CDH8/CHD4/CLSTN2/COL4A1/CTTNBP2/CUX2/CX3CR1/DAB2IP/DAG1/DCTN1/DLG5/DOCK10/DSCAM/EPHA7/ERC2/F2R/FARP1/FRMPD4/GABRB2/GABRB3/GRIN2B/GRM5/IGF1R/IGFN1/IGSF9/IL1RAPL2/INSR/KIRREL3/LILRB2/LRFN2/LRFN5/LRRTM3/MAP1B/NEDD9/NLGN1/NLGN4Y/NRG1/NTRK1/PCDH17/PCDHGC3/PCDHGC4/PCDHGC5/PCLO/PDZRN3/PTEN/PTPRD/RELN/REST/SDK1/SEMA3E/SEZ6L/SEZ6L2/SHANK1/SHANK2/SIX4/SLC1A1/SPTBN2/SRPX2/SYBU/SYN1/TANC1/TANC2/THBS2/UBE3A/UNC13B/ZNF804A/CYFIP1/ERBB2/NFASC/NRCAM/SIPA1L1/TNC/UNC13C/ABI2/ACTB/ADD2/AMIGO2/CDC20/CDH2/CDKL5/CTNNB1/DRD2/DRP2/EPHB1/L1CAM/PPFIBP2/TNR/NRXN1/GABRA1/LRRC4B/ROBO2/COL4A5",101
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0420781451266638,"430/18903",7.40918793099681e-10,6.24706498057959,4.73310623749862e-07,"ABL1/ACE/AGRN/ANK2/APC/ARHGAP6/BSN/CBLN1/CDH1/CDH8/CDH9/CLASP1/CLSTN2/CNTNAP2/CUX2/DLC1/DLG5/DSCAM/DST/DUSP22/EPB41L3/EPHA7/F11R/FARP1/FERMT2/FMN1/GABRB2/GABRB3/HDAC7/IGFN1/IL1RAPL2/ITGA6/KIRREL3/LAMC1/LRFN5/LRRTM3/MACF1/MAP1B/MYO9A/NLGN1/NLGN4Y/NR1H4/NRG1/NTRK1/OCLN/PARD6B/PCDH17/PCLO/PEAK1/PHLDB2/PLEC/PRKCA/PTEN/PTPRA/PTPRD/PTPRJ/PTPRK/RAPGEF2/ROCK1/ROCK2/SDK1/SHANK2/SIX4/SPTBN2/SRPX2/STON1/THBS2/TJP1/UGT8/CDH20/CLDN18/NPHP1/NRCAM/ACTB/ADD2/AMIGO2/CD9/CDH12/CDH18/CDH2/CLDN6/CTNNB1/DCHS1/DRD2/EPHB1/FLOT1/GJC1/PIP5K1A/SRC/TRPV4/NRXN1/BCR/GABRA1/LRRC4B/PKP2/ROBO2/SLK/CDH19",98
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.0360669815371404,"352/18903",1.20768636268103e-09,6.08603395141946,6.85768104189055e-07,"ABL1/ABL2/AGRN/ALK/APC/ARHGAP35/ATP8A2/AUTS2/BMPR2/BRAF/CAMK1D/CDH4/CENPJ/CEP135/CNTN1/COBL/CUX1/CUX2/DAB2IP/DSCAM/EP300/FBXO31/FRMD7/GOLGA4/GRIP1/IGF1R/ITGA6/LPAR3/LRRC7/MACF1/MAP1B/MAP3K13/MAP6/MTOR/NDNF/NEDD9/NFE2L2/NLGN1/NTRK1/OCLN/PIK3CA/PIK3R1/PLCE1/PLXNA2/PLXNA4/PTK7/PTPRD/RAPGEF2/RELN/ROR1/ROR2/RREB1/SLIT2/SMURF1/STK24/TENM1/TENM2/TENM3/TIAM2/TRPC5/VLDLR/WRAP73/ZNF804A/CYFIP1/NIN/SETX/TIAM1/ABI2/CDKL5/ENC1/EPS8/ISLR2/IST1/L1CAM/MARK4/PPP2R5B/PRKD1/RET/RP1/SRC/ARSB/ROBO1/ROBO2/ATP7A",84
"GO:0042391","BP","GO:0042391","regulation of membrane potential",0.0412194074710176,"431/18903",3.88901972592958e-09,5.62390545822382,1.98749376519875e-06,"ABCD1/ABL1/ADRA1A/AKAP6/ANK2/ANK3/ATP1A1/ATP1A2/BCO2/BIN1/CACNA1C/CACNA1D/CACNA1H/CACNA1I/CACNA2D1/CACNB2/CAMK2D/CBLN1/CHRNA2/CHRNA3/CHRNA4/CHRNA6/CUX2/DMD/DSP/FHL1/GABRA5/GABRA6/GABRB1/GABRB2/GABRB3/GABRQ/GCLC/GJD2/GRIA1/GRID1/GRIK3/GRIN2A/GRIN2B/GRM5/HCN1/IGSF11/KCNB1/KCNC2/KCND3/KCNH7/KCNH8/KCNJ11/KCNJ3/KCNK13/KCNK18/KCNK5/KMT2A/MTOR/NALCN/NEDD4L/NETO1/NLGN1/NTSR1/OPRM1/PIEZO2/PTEN/RELN/RGS4/RIMS2/RYR2/SCN1A/SCN2B/SCN7A/SCN9A/SHANK1/SLC1A6/SLC29A1/SLC34A1/SLC8A1/STOX1/TRPC5/UNC13B/CD36/NRCAM/PTPN3/DRD2/GABBR1/GJC1/GRM1/HTR3A/NUP155/SCN2A/SLC26A5/SRC/NRXN1/GABRA1/HCN4/KCNMA1/KCNQ3/PKP2",96
