"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04512","hsa04512","ECM-receptor interaction",0.0286650286650287,"89/8843",1.86938160700975e-09,6.20585780117596,4.80135907484609e-07,"375790/1280/1282/1288/256076/131873/1605/1758/80144/341640/3339/3674/3655/284217/3914/3915/255743/5649/6382/9900/22987/7058/7450/948/3688/3371/1284/1285/1293/9899/7143/3908/3911/3918/1287",35
"hsa04976","hsa04976","Bile secretion",0.0237510237510237,"90/8843",5.72324376263491e-06,3.02094351851859,0.000734984988464693,"109/111/113/115/476/477/57552/9971/9376/6513/57835/28234/54658/54575/54579/54578/10941/79799/7366/7367/54490/7363/7364/8714/5243/9429/64240/64241/54659",29
"hsa04020","hsa04020","Calcium signaling pathway",0.0491400491400491,"254/8843",1.34994048597123e-05,2.82436239878058,0.00115573852132273,"109/113/115/148/147/489/493/553/624/773/775/776/777/8912/8911/57118/817/814/1131/1910/1956/2149/8074/2260/2264/2903/2904/2915/3356/3361/3363/3709/3710/4233/4772/4914/4923/5137/5156/23236/5333/51196/5336/5578/6262/6263/6546/774/2064/4638/491/2911/3274/340156/5153/5332/5737/5979/6870/5257",60
"hsa00040","hsa00040","Pentose and glucuronate interconversions",0.0122850122850123,"36/8843",3.73525901860845e-05,2.53884219826565,0.00223038476175331,"9365/7360/54658/54575/54579/54578/10941/79799/7366/7367/54490/7363/7364/9942/54659",15
"hsa04510","hsa04510","Focal adhesion",0.0401310401310401,"203/8843",4.56592087446059e-05,2.53884219826565,0.00223038476175331,"2909/673/1280/1282/1288/256076/131873/1956/2317/2885/3480/3674/3655/284217/3914/3915/4233/5156/5290/5295/5578/5728/5649/6093/9475/7058/7409/7410/7450/2064/3688/4638/3371/60/81/1284/1285/1293/1499/5602/340156/8394/4660/6714/7143/3908/3911/3918/1287",49
"hsa04024","hsa04024","cAMP signaling pathway",0.0434070434070434,"226/8843",5.24269180580951e-05,2.53884219826565,0.00223038476175331,"51/109/111/113/115/476/477/489/493/673/775/776/817/814/1259/148327/1387/2033/2149/2492/9568/2735/2737/2890/2893/2903/2904/3354/4772/5139/5140/5142/5290/5295/51196/11069/6093/9475/6262/7253/7409/7410/64411/7074/55811/491/1262/1813/2550/5602/64399/5727/10021",53
"hsa04015","hsa04015","Rap1 signaling pathway",0.0409500409500409,"212/8843",7.26504510840945e-05,2.53884219826565,0.00223038476175331,"109/111/113/115/673/999/9732/1956/2149/8074/2260/2264/2903/2904/3480/3643/3674/1902/23566/9223/260425/5606/4233/4893/84612/5156/5290/5295/23236/51196/5578/5900/9693/11069/7409/7410/64411/3688/26037/57568/23094/7074/60/1499/1813/5332/5587/25780/6714/51735",50
"hsa00053","hsa00053","Ascorbate and aldarate metabolism",0.0106470106470106,"30/8843",7.56607928398192e-05,2.53884219826565,0.00223038476175331,"9365/54658/54575/54579/54578/10941/79799/7366/7367/54490/7363/7364/54659",13
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.027027027027027,"122/8843",7.81548758729131e-05,2.53884219826565,0.00223038476175331,"476/477/489/1387/2033/2626/5469/9968/9969/23389/2475/10499/4853/4893/5290/5295/23236/5333/51196/5336/5578/6567/6513/7157/5208/60/1499/8648/8202/5332/6714/4851/9882",33
"hsa05032","hsa05032","Morphine addiction",0.0212940212940213,"91/8843",0.000167774647838329,2.25282943059546,0.00430915937605813,"109/111/113/115/773/9568/2558/2559/2560/2561/2562/55879/3760/4988/5137/5139/5140/5142/5150/8622/5578/774/5138/2550/5153/2554",26
