"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0374853572823116,"170/18903",7.17409651564544e-40,35.3575523317076,3.55835187176014e-36,"CADM1/CADM2/CADM3/CDH10/CDH11/CDH12/CDH18/CDH19/CDH2/CDH4/CDH9/CELSR1/CELSR2/CLSTN2/CNTN4/DCHS2/DSCAM/DSCAML1/FAT1/FAT2/FAT3/FAT4/HMCN1/IGSF11/IGSF21/OBSL1/PALLD/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PKD1/PTPRM/PTPRT/RET/ROBO1/ROBO2/SDK1/SDK2/TENM3/CDH20/ITGB1/L1CAM/PLXNB2/CDH1/CDH3/CDH5/CDH6/CDH7/CEACAM1/CNTN6/DCHS1/PIK3CB/CDH8",96
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0484185864896525,"282/18903",2.52387069006415e-36,32.1122824423034,6.25919931135908e-33,"AJUBA/ALCAM/BMP2/CADM1/CADM2/CADM3/CDH10/CDH11/CDH12/CDH18/CDH19/CDH2/CDH4/CDH9/CELSR1/CELSR2/CLDN16/CLSTN2/CNTN4/CRB1/CRB2/DAB1/DCHS2/DSCAM/DSCAML1/FAT1/FAT2/FAT3/FAT4/GRID2/HMCN1/ICAM1/IGSF11/IGSF21/IL1RAPL1/ITGAM/LRFN5/LRRC4B/MAG/NLGN1/OBSL1/PALLD/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PKD1/PTPRD/PTPRM/PTPRT/RET/ROBO1/ROBO2/SDK1/SDK2/SELP/TENM1/TENM2/TENM3/TGFB2/TGFBR2/UNC5D/WNK1/CDH20/ITGB1/L1CAM/PLXNB2/CDH1/CDH3/CDH5/CDH6/CDH7/CEACAM1/CNTN6/DCHS1/IL1RAP/MBP/PIK3CB/PTPRF/SELE/TENM4/CDH8",124
"GO:0007409","BP","GO:0007409","axonogenesis",0.0538852010933229,"438/18903",8.41054353154499e-23,18.7656167385285,1.39054319721544e-19,"ABL1/ADCY1/ADNP/ALCAM/ANK3/ARHGAP35/AUTS2/BOC/BRAF/CDH11/CDH2/CDH4/CDKL5/CNTN4/CNTN5/COBL/CTNNA2/CTTN/CXCL12/DAB1/DAG1/DCC/DCLK1/DIP2B/DISC1/DSCAM/DSCAML1/EPHA10/EPHA2/EPHA3/EPHA4/EPHA6/EPHA7/EPHB2/EPHB3/GATA3/GDNF/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/LAMA1/LAMA2/LAMA5/LHX4/LMTK2/LRP4/MACF1/MAG/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MYCBP2/NCAM1/NEO1/NFIB/NIN/NOTCH1/NOTCH2/NRP1/NRXN1/NRXN3/PALLD/PARD3/PLXNA1/PLXNA2/PLXNA4/PTCH1/PTEN/PTPRM/PTPRZ1/RAC1/RELN/RET/RNF6/ROBO1/ROBO2/RTN4/RUFY3/SCN1B/SEMA3A/SEMA3C/SEMA3E/SEMA4B/SEMA5A/SEMA5B/SIAH1/SIPA1L1/SLC9A6/SLIT2/SLIT3/SLITRK5/SZT2/TBCE/TIAM2/TNN/UNC5A/UNC5B/UNC5C/UNC5D/CHL1/ITGB1/L1CAM/NFASC/NRCAM/NTN1/PLXNB2/SEMA4D/SEMA6D/SMAD4/TIAM1/TNR/ACTB/BMPR1B/CDH1/CNTN1/CNTN6/DLX5/DRD2/EPHB1/FEZF1/FYN/IFRD1/ISLR2/KIAA0319/MAPT/MBP/NTRK2/PLXNA3/PLXNC1/PRKCQ/SEMA3D/KALRN/USP33/CYFIP1",138
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0542756735650137,"446/18903",1.83156665047407e-22,18.552556810923,2.27114264658784e-19,"ABL1/ABL2/ADNP/ALK/ARHGAP35/B2M/BCL11A/BMP5/BRAF/CAMK1D/CAMSAP2/CAPRIN2/CDH2/CDH4/CDKL5/CFLAR/COBL/CSMD3/CTNNA2/CUX1/CUX2/CXCL12/DAB1/DAB2IP/DCC/DIP2B/DISC1/DSCAM/EHD1/ELAVL4/EP300/EPHA3/EPHA4/EPHA7/EPHB2/EPHB3/FAT3/FRMD7/GATA3/GOLGA4/GRID2/HECW1/HECW2/IGF1R/IL1RAPL1/INPP5J/LPAR1/LRIG2/LRP4/LRRC7/LZTS1/MACF1/MAG/MAGI2/MAP1B/MAP2/MAP3K13/MAP6/MARK1/MYCBP2/NCK1/NDNF/NEDD4L/NFE2L2/NIN/NLGN1/NRP1/OBSL1/PLXNA1/PLXNA2/PLXNA4/PPFIA2/PRKD1/PTEN/PTK7/PTN/PTPRD/PTPRG/RELN/RET/RHOA/RNF6/ROBO1/ROBO2/ROR1/ROR2/RTN4/RUFY3/SCN1B/SEMA3A/SEMA3C/SEMA3E/SEMA4B/SEMA5A/SEMA5B/SIPA1L1/SLC39A12/SLIT2/TENM3/TIAM2/TNIK/TNN/ZNF365/ZNF804A/DHX36/FLNA/KANK1/L1CAM/NRCAM/NTN1/PLXNB2/SEMA4D/SEMA6D/TIAM1/TNR/CDH1/CNTN1/DAB2/DGKG/FYN/IFRD1/ISLR2/KIAA0319/KNDC1/LZTS3/MAPT/MBP/NTRK2/PLXNA3/PLXNC1/PTK2B/PTPRF/SEMA3D/SERPINF1/CRTC1/DNM3/FIG4/NTRK3/CYFIP1",139
"GO:0061564","BP","GO:0061564","axon development",0.0577899258102304,"490/18903",2.32882022336118e-22,18.5451535873002,2.31018966157429e-19,"ABL1/ADCY1/ADNP/ALCAM/ANK3/ARHGAP35/AUTS2/BOC/BRAF/CAMSAP2/CDH11/CDH2/CDH4/CDKL5/CNTN4/CNTN5/COBL/CSPG5/CTNNA2/CTTN/CXCL12/DAB1/DAG1/DCC/DCLK1/DIP2B/DISC1/DSCAM/DSCAML1/EPHA10/EPHA2/EPHA3/EPHA4/EPHA6/EPHA7/EPHB2/EPHB3/GATA3/GDNF/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/LAMA1/LAMA2/LAMA5/LHX4/LMTK2/LRIG2/LRP4/MACF1/MAG/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MAPK8IP3/MYCBP2/NCAM1/NCAM2/NEO1/NFIB/NIN/NOTCH1/NOTCH2/NRP1/NRXN1/NRXN3/PALLD/PARD3/PLXNA1/PLXNA2/PLXNA4/PTCH1/PTEN/PTN/PTPRM/PTPRZ1/RAC1/RELN/RET/RNF6/ROBO1/ROBO2/RTN4/RUFY3/SCN1B/SEMA3A/SEMA3C/SEMA3E/SEMA4B/SEMA5A/SEMA5B/SIAH1/SIPA1L1/SLC9A6/SLIT2/SLIT3/SLITRK5/SZT2/TBCE/TIAM2/TNN/UNC5A/UNC5B/UNC5C/UNC5D/CHL1/FLNA/ITGB1/L1CAM/NFASC/NRCAM/NTN1/PLXNB2/SEMA4D/SEMA6D/SMAD4/TIAM1/TNC/TNR/ACTB/BMPR1B/CDH1/CNTN1/CNTN6/DLX5/DRD2/EPHB1/FEZF1/FYN/IFRD1/ISLR2/JAK2/KIAA0319/MAPT/MBP/NTRK2/PLXNA3/PLXNC1/PRKCQ/PTPRF/SEMA3D/KALRN/USP33/CYFIP1",148
"GO:0007411","BP","GO:0007411","axon guidance",0.0331901600937134,"236/18903",1.72514490688315e-18,14.7546452168405,1.42611978969007e-15,"ALCAM/ARHGAP35/BOC/CDH4/CNTN4/CNTN5/CXCL12/DAG1/DCC/DSCAM/DSCAML1/EPHA10/EPHA2/EPHA3/EPHA4/EPHA6/EPHA7/EPHB2/EPHB3/GATA3/GDNF/GLI2/GLI3/LAMA1/LAMA2/LAMA5/LHX4/MYCBP2/NCAM1/NEO1/NFIB/NOTCH1/NOTCH2/NRP1/NRXN1/NRXN3/PALLD/PLXNA1/PLXNA2/PLXNA4/PTCH1/PTPRM/RAC1/RELN/RET/ROBO1/ROBO2/SCN1B/SEMA3A/SEMA3C/SEMA3E/SEMA4B/SEMA5A/SEMA5B/SIAH1/SLIT2/SLIT3/UNC5A/UNC5B/UNC5C/UNC5D/CHL1/L1CAM/NFASC/NRCAM/NTN1/PLXNB2/SEMA4D/SEMA6D/SMAD4/TNR/BMPR1B/CNTN1/CNTN6/DLX5/EPHB1/FEZF1/FYN/PLXNA3/PLXNC1/PRKCQ/SEMA3D/KALRN/USP33/CYFIP1",85
"GO:0097485","BP","GO:0097485","neuron projection guidance",0.0331901600937134,"237/18903",2.33872803328826e-18,14.6894378654401,1.65715586358711e-15,"ALCAM/ARHGAP35/BOC/CDH4/CNTN4/CNTN5/CXCL12/DAG1/DCC/DSCAM/DSCAML1/EPHA10/EPHA2/EPHA3/EPHA4/EPHA6/EPHA7/EPHB2/EPHB3/GATA3/GDNF/GLI2/GLI3/LAMA1/LAMA2/LAMA5/LHX4/MYCBP2/NCAM1/NEO1/NFIB/NOTCH1/NOTCH2/NRP1/NRXN1/NRXN3/PALLD/PLXNA1/PLXNA2/PLXNA4/PTCH1/PTPRM/RAC1/RELN/RET/ROBO1/ROBO2/SCN1B/SEMA3A/SEMA3C/SEMA3E/SEMA4B/SEMA5A/SEMA5B/SIAH1/SLIT2/SLIT3/UNC5A/UNC5B/UNC5C/UNC5D/CHL1/L1CAM/NFASC/NRCAM/NTN1/PLXNB2/SEMA4D/SEMA6D/SMAD4/TNR/BMPR1B/CNTN1/CNTN6/DLX5/EPHB1/FEZF1/FYN/PLXNA3/PLXNC1/PRKCQ/SEMA3D/KALRN/USP33/CYFIP1",85
"GO:0034329","BP","GO:0034329","cell junction assembly",0.049199531433034,"430/18903",5.1703175738345e-18,14.402892314429,3.20559689577739e-15,"ABL1/ACTN1/ADNP/AJUBA/ANK2/APC/ARHGAP6/ASIC2/BSN/CDH10/CDH11/CDH12/CDH18/CDH19/CDH2/CDH9/CLASP1/CLDN16/CLSTN2/CNTN5/CORO2B/CTNND2/CTTN/CUX2/DAPK3/DLC1/DLG5/DSCAM/DST/DUSP22/EIF4G1/EPB41L3/EPHA2/EPHA3/EPHA7/EPHB2/EPHB3/ERBB4/FARP1/FSCN1/GABRA1/GABRA2/GABRB2/GABRB3/GRID2/HEG1/IKBKB/IL1RAPL1/ITGA2/ITGB3/JUP/LAMC1/LRFN5/LRP4/LRRC4B/LRRTM3/MACF1/MAP1B/MEF2C/MYCBP2/NLGN1/NLGN4X/NPHP4/NRG1/NRP1/NRXN1/OBSL1/PARD3/PCDH17/PCLO/PEAK1/PKP4/PLEC/PRKCA/PRKCH/PTEN/PTPRD/PTPRJ/PTPRK/RAC1/RHOA/ROBO2/ROCK2/SDK1/SDK2/SHANK2/SLC9A1/SLITRK5/SLK/SMAD3/STON1/TEK/THSD1/TJP1/CAV1/CDH20/CNTNAP2/CTNND1/NRCAM/NTN1/PLXNB2/SEMA4D/ACE/ACTB/ADD2/AGRN/CDH1/CDH5/CDH6/CDH7/CTNNB1/DCHS1/DRD2/EPHB1/GJC1/IL1RAP/NLGN2/NTRK2/PTK2B/RAP1B/SORBS1/TLN1/CDH8/DNM3/NTRK3/MPDZ",126
"GO:0050808","BP","GO:0050808","synapse organization",0.0488090589613432,"432/18903",2.12247282695807e-17,13.8407199173633,1.169718357968e-14,"ABL1/ACTN1/ADNP/ANK3/ASIC2/BSN/CAPRIN2/CDH2/CDKL5/CHRNB1/CLSTN2/CNTN5/COL4A1/COL4A5/CTBP2/CTNNA2/CTNND2/CTTN/CUX2/DAB2IP/DAG1/DISC1/DLG5/DLGAP3/DOCK10/DSCAM/EIF4G1/EPHA4/EPHA7/EPHB2/EPHB3/ERBB4/FARP1/FRMPD4/GABRA1/GABRA2/GABRB2/GABRB3/GDNF/GRID2/GRIN2B/GRM5/IGF1R/IGSF21/IL1RAPL1/ITGAM/LRFN2/LRFN5/LRP4/LRRC4B/LRRTM3/MAP1B/MEF2C/MYCBP2/NEDD9/NLGN1/NLGN4X/NRG1/NRP1/NRXN1/OBSL1/PCDH17/PCDHGC3/PCDHGC4/PCDHGC5/PCLO/PDZRN3/PPFIA2/PPFIA3/PPFIBP1/PTEN/PTPRD/RELN/RHOA/ROBO2/SDF4/SDK1/SDK2/SEMA3E/SHANK2/SIPA1L1/SLC8A3/SLITRK5/SYBU/TANC1/TMEM108/UNC13B/UNC13C/VCP/ZNF365/ZNF804A/DHX36/FLNA/L1CAM/NFASC/NRCAM/NTN1/PLXNB2/SEMA4D/TNC/TNR/ABHD17B/ACTB/ADD2/AGRN/ARHGAP39/CDH1/CNKSR2/CTNNB1/DRD2/EPHB1/FYN/IL1RAP/LZTS3/MAPT/NLGN2/NTRK2/PPFIA4/PTPRF/WASF3/CDH8/DNM3/F2R/NTRK3/CYFIP1",125
"GO:0016358","BP","GO:0016358","dendrite development",0.0324092151503319,"237/18903",3.06885038325785e-17,13.726343831167,1.52214979009589e-14,"ABL1/ALK/ASAP1/BCL11A/BMP5/BTBD3/C21orf91/CAMK1D/CAMSAP2/CAPRIN2/CDKL5/CELSR2/COBL/CSMD3/CTNNA2/CTNND2/CUX1/CUX2/DAB1/DAB2IP/DCC/DCLK1/DISC1/DLG5/DOCK10/DSCAM/ELAVL4/EPHA4/EPHB2/EPHB3/FARP1/FAT3/GPR37/GRIN3A/HECW1/HECW2/IL1RAPL1/IQSEC1/LPAR1/LRP4/LZTS1/MAP1A/MAP1B/MAP2/MAP6/MARK1/MEF2C/MINK1/NCK2/NEDD4L/NLGN1/NRP1/OBSL1/PPFIA2/PTEN/PTN/PTPRD/RELN/RERE/RHOA/SDK1/SEMA3A/SIPA1L1/SLC11A2/SLITRK5/TNIK/UBA6/ZNF365/DHX36/ITGB1/NTN1/SEMA4D/DGKG/EPHB1/FYN/GRIP1/KIAA0319/KNDC1/LZTS3/NLGN2/CRTC1/DNM3/CYFIP1",83
