"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04360","hsa04360","Axon guidance",0.0522727272727273,"184/8843",2.42736964989954e-14,11.1003163298098,5.340213229779e-12,"25/23365/91653/6387/1630/1969/2042/2043/285220/2045/2048/2049/3265/9860/5594/4690/8440/4756/4773/8829/56288/5290/5293/5295/5335/5336/5361/5362/91584/5578/5727/5879/5921/5998/387/6091/6092/9475/10371/10512/9723/10509/9037/54437/9353/6586/57522/9901/54434/85464/7220/90249/219699/8633/137970/3688/3897/9423/23654/10507/80031/658/2047/2534/56924/5291/55558/10154/223117",69
"hsa04024","hsa04024","cAMP signaling pathway",0.0553030303030303,"226/8843",2.22255748032206e-11,8.4396292413867,2.44481322835426e-09,"107/108/109/111/114/115/476/488/572/673/775/776/1259/1260/1261/9586/1387/2033/2492/2737/2778/2890/2891/2893/2902/2903/2904/116443/10021/3362/3973/5594/5602/4772/10846/5139/5141/5142/5290/5293/5295/51196/5337/64208/5567/5727/5732/5733/5879/387/9475/6262/6548/7253/7409/7434/117/64411/489/490/54714/7074/10000/491/492/1813/2906/4886/5291/5908/208/2149/5144",73
"hsa04015","hsa04015","Rap1 signaling pathway",0.0507575757575758,"212/8843",4.33147501942105e-10,7.32593768798991,3.1764150142421e-08,"107/108/109/111/114/115/54518/9564/673/1956/1969/8074/2324/2778/2902/2903/2904/3265/3480/3674/3684/3690/3815/1902/9223/9863/260425/5594/56288/5156/5290/5293/5295/23236/51196/5335/5578/5587/5879/5900/387/26037/7010/7409/284/64411/1500/3688/57568/23094/7074/60/10000/999/1499/1813/5291/5332/23683/5908/5909/25780/7094/208/2149/5579/51735",67
"hsa04510","hsa04510","Focal adhesion",0.0484848484848485,"203/8843",1.19826929414069e-09,7.00895780807969,6.59048111777379e-08,"87/2909/394/572/9564/673/1101/1278/1282/1285/1287/1288/1291/131873/1956/2324/3265/3381/3480/3672/3673/3674/8516/3690/284217/3908/3911/22798/3915/5594/5602/5156/5290/5293/5295/4660/5578/5728/5829/5879/5649/387/9475/53358/63923/7148/7409/857/1292/2316/3688/3371/7143/60/10000/1499/2534/56924/5291/8395/5908/7094/208/5579",64
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0378787878787879,"149/8843",8.00051754316514e-09,6.28130416982495,3.52022771899266e-07,"107/108/109/111/114/115/553/9267/1606/8527/9162/8525/1956/2147/2778/2911/2913/2915/2918/3265/3815/1902/5594/5156/5290/5293/5294/5295/23533/123745/23236/5335/5336/5337/5578/5900/387/53358/10554/10000/552/1608/2534/5291/8395/5332/2185/208/26052/2149",50
"hsa04724","hsa04724","Glutamatergic synapse",0.0318181818181818,"116/8843",1.0243251322314e-08,6.25316566928483,3.75585881818179e-07,"107/108/109/111/114/115/773/775/776/9229/2778/2890/2891/2893/2897/2899/2900/2902/2903/2904/116443/2911/2913/2915/2918/3710/3760/5594/123745/23236/5337/5567/5578/22941/57084/6506/7220/2906/9762/5332/2898/5579",42
"hsa05033","hsa05033","Nicotine addiction",0.0159090909090909,"41/8843",5.15456509918538e-08,5.64746218393557,1.51500038856786e-06,"773/2554/2555/2561/2562/2565/55879/2569/2890/2891/2893/2902/2903/2904/116443/57084/140679/2556/2559/2906/2564",21
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0318181818181818,"122/8843",5.50909232206496e-08,5.64746218393557,1.51500038856786e-06,"476/488/572/1387/2033/2308/3265/3690/5594/5469/116931/23389/9611/4851/4853/5213/5290/5293/5295/23236/51196/5335/5336/5567/5578/10231/6548/9882/7157/489/10499/60/10000/1499/4609/8648/8202/5291/5332/208/1734/5579",42
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.05,"232/8843",6.35859286561987e-08,5.63633373834917,1.55432270048486e-06,"287/288/476/1301/1278/255631/1282/1285/1287/1288/1290/1291/131873/1605/1730/1756/1832/2006/2192/2199/2201/56776/114793/91010/3339/3672/3673/3674/8516/3690/3728/284217/3908/84823/442721/4628/8735/4620/4621/4627/10529/5339/9672/6444/137868/6641/6709/6711/23345/171024/7273/1462/129446/1292/1837/3688/25777/23224/60/375790/23002/23500/4606/4619/7094/84033",66
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.025,"86/8843",7.81919621762899e-08,5.59229013573635,1.72022316787838e-06,"488/775/776/781/10368/27092/59284/59283/1000/1496/1605/1756/1832/3672/3673/3674/8516/3690/3728/284217/3908/51176/6262/6444/137868/6546/6547/6641/489/1837/3688/60/1499",33
