"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0090399","BP","GO:0090399","replicative senescence",0.176470588235294,"17/18903",4.07630715314892e-07,3.44294870709805,0.000153682772853417,"ATM/TP53/TERT",3
"GO:2000045","BP","GO:2000045","regulation of G1/S transition of mitotic cell cycle",0.294117647058824,"185/18903",4.78441192470361e-07,3.44294870709805,0.000153682772853417,"ARID1A/ATM/TP53/TERT/ARID2",5
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition",0.294117647058824,"213/18903",9.60566768026872e-07,3.44294870709805,0.000153682772853417,"ARID1A/ATM/TP53/TERT/ARID2",5
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process",0.294117647058824,"218/18903",1.07703457607989e-06,3.44294870709805,0.000153682772853417,"ATM/CTNNB1/TP53/TERT/PIK3CA",5
"GO:0030098","BP","GO:0030098","lymphocyte differentiation",0.352941176470588,"419/18903",1.15140878715099e-06,3.44294870709805,0.000153682772853417,"ARID1A/ATM/CTNNB1/STK11/TP53/ARID2",6
"GO:0000082","BP","GO:0000082","G1/S transition of mitotic cell cycle",0.294117647058824,"250/18903",2.11263300921067e-06,3.39243844585279,0.000172637623524548,"ARID1A/ATM/TP53/TERT/ARID2",5
"GO:0032006","BP","GO:0032006","regulation of TOR signaling",0.235294117647059,"108/18903",2.26467513646031e-06,3.39243844585279,0.000172637623524548,"ATM/STK11/PIK3CA/TSC2",4
"GO:0051402","BP","GO:0051402","neuron apoptotic process",0.294117647058824,"255/18903",2.32815422807525e-06,3.39243844585279,0.000172637623524548,"ATM/CTNNB1/TP53/TERT/PIK3CA",5
"GO:1903131","BP","GO:1903131","mononuclear cell differentiation",0.352941176470588,"473/18903",2.3281572257648e-06,3.39243844585279,0.000172637623524548,"ARID1A/ATM/CTNNB1/STK11/TP53/ARID2",6
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition",0.294117647058824,"280/18903",3.67999201617417e-06,3.29506650584355,0.000216026678894821,"ARID1A/ATM/TP53/TERT/ARID2",5
"GO:0016242","BP","GO:0016242","negative regulation of macroautophagy",0.176470588235294,"35/18903",3.88439138706776e-06,3.29506650584355,0.000216026678894821,"TP53/PIK3CA/TSC2",3
"GO:0043276","BP","GO:0043276","anoikis",0.176470588235294,"35/18903",3.88439138706776e-06,3.29506650584355,0.000216026678894821,"STK11/PIK3CA/TSC2",3
"GO:0031929","BP","GO:0031929","TOR signaling",0.235294117647059,"130/18903",4.74218125189889e-06,3.26768293558599,0.000230086405423016,"ATM/STK11/PIK3CA/TSC2",4
"GO:0030217","BP","GO:0030217","T cell differentiation",0.294117647058824,"296/18903",4.82673374152384e-06,3.26768293558599,0.000230086405423016,"ARID1A/CTNNB1/STK11/TP53/ARID2",5
"GO:1901214","BP","GO:1901214","regulation of neuron death",0.294117647058824,"325/18903",7.60687422776866e-06,3.10009326565421,0.000338439176168795,"ATM/CTNNB1/TP53/TERT/PIK3CA",5
"GO:0010506","BP","GO:0010506","regulation of autophagy",0.294117647058824,"344/18903",1.0021106603164e-05,3.02863351528667,0.000398970127552282,"ATM/STK11/TP53/PIK3CA/TSC2",5
"GO:0062197","BP","GO:0062197","cellular response to chemical stress",0.294117647058824,"345/18903",1.01630403154091e-05,3.02863351528667,0.000398970127552282,"ATM/CTNNB1/TP53/PIK3CA/NFE2L2",5
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition",0.294117647058824,"354/18903",1.15126972137504e-05,2.99930366460123,0.00042684503119987,"ARID1A/ATM/TP53/TERT/ARID2",5
"GO:0032007","BP","GO:0032007","negative regulation of TOR signaling",0.176470588235294,"52/18903",1.299277625064e-05,2.97025988372769,0.000456366766919986,"ATM/STK11/TSC2",3
"GO:0070997","BP","GO:0070997","neuron death",0.294117647058824,"368/18903",1.38873045341162e-05,2.96362027870976,0.000463397424980508,"ATM/CTNNB1/TP53/TERT/PIK3CA",5
"GO:0043525","BP","GO:0043525","positive regulation of neuron apoptotic process",0.176470588235294,"55/18903",1.53980790969495e-05,2.93996099082672,0.00048934246353213,"ATM/CTNNB1/TP53",3
"GO:0071897","BP","GO:0071897","DNA biosynthetic process",0.235294117647059,"198/18903",2.49771984316107e-05,2.75008719898713,0.000757681521801013,"ATM/CTNNB1/TP53/TERT",4
"GO:0007004","BP","GO:0007004","telomere maintenance via telomerase",0.176470588235294,"69/18903",3.05131650233781e-05,2.68244882047637,0.000885370554911748,"ATM/CTNNB1/TERT",3
"GO:0060768","BP","GO:0060768","regulation of epithelial cell proliferation involved in prostate gland development",0.117647058823529,"10/18903",3.41117831911869e-05,2.65251506127385,0.00094854695364967,"CTNNB1/STK11",2
"GO:0009952","BP","GO:0009952","anterior/posterior pattern specification",0.235294117647059,"218/18903",3.64022957534749e-05,2.64778142699306,0.000958942281496928,"ATM/CTNNB1/TP53/ACVR2A",4
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition",0.294117647058824,"453/18903",3.76985265863155e-05,2.64778142699306,0.000958942281496928,"ARID1A/ATM/TP53/TERT/ARID2",5
"GO:0006278","BP","GO:0006278","RNA-templated DNA biosynthetic process",0.176470588235294,"75/18903",3.9194195209762e-05,2.64778142699306,0.000958942281496928,"ATM/CTNNB1/TERT",3
"GO:0060767","BP","GO:0060767","epithelial cell proliferation involved in prostate gland development",0.117647058823529,"11/18903",4.16701259546378e-05,2.64778142699306,0.000958942281496928,"CTNNB1/STK11",2
"GO:0061418","BP","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia",0.117647058823529,"11/18903",4.16701259546378e-05,2.64778142699306,0.000958942281496928,"TP53/NFE2L2",2
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition",0.294117647058824,"473/18903",4.63325977184863e-05,2.61644284662888,0.00103069708608843,"ARID1A/ATM/TP53/TERT/ARID2",5
