"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05225","hsa05225","Hepatocellular carcinoma",0.4375,"170/8843",8.48190551772533e-09,5.93162748317362,7.67835657394083e-07,"8289/1499/7157/7015/5290/196528/4780",7
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis",0.3125,"141/8843",3.64054843677273e-06,3.599984095635,0.000164782718717081,"1499/7157/5290/92/4780",5
"hsa05165","hsa05165","Human papillomavirus infection",0.375,"333/8843",1.58511353837389e-05,3.2412496504806,0.000376396961661824,"472/1499/7157/7015/5290/7249",6
"hsa04211","hsa04211","Longevity regulating pathway",0.25,"90/8843",1.66314936548248e-05,3.2412496504806,0.000376396961661824,"6794/7157/5290/7249",4
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.25,"122/8843",5.5206999684447e-05,2.81709677260402,0.000999537257444725,"1499/7157/5290/7249",4
"hsa05226","hsa05226","Gastric cancer",0.25,"150/8843",0.000123503573517186,2.59137040648726,0.00168083604600619,"1499/7157/7015/5290",4
"hsa04218","hsa04218","Cellular senescence",0.25,"157/8843",0.000147357572620774,2.59137040648726,0.00168083604600619,"472/7157/5290/7249",4
"hsa05213","hsa05213","Endometrial cancer",0.1875,"59/8843",0.000148538999414501,2.59137040648726,0.00168083604600619,"1499/7157/5290",3
"hsa01524","hsa01524","Platinum drug resistance",0.1875,"75/8843",0.00030312764366003,2.3784953700336,0.00274410287944869,"472/7157/5290",3
"hsa04115","hsa04115","p53 signaling pathway",0.1875,"75/8843",0.00030312764366003,2.3784953700336,0.00274410287944869,"472/7157/7249",3
"hsa05210","hsa05210","Colorectal cancer",0.1875,"87/8843",0.000469556891640101,2.240206543877,0.00377302094143403,"1499/7157/5290",3
"hsa05417","hsa05417","Lipid and atherosclerosis",0.25,"216/8843",0.00050014463642265,2.240206543877,0.00377302094143403,"7157/5290/338/4780",4
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection",0.25,"223/8843",0.000564346199828525,2.23276285487,0.00383824687219073,"472/7157/7015/5290",4
"hsa05163","hsa05163","Human cytomegalovirus infection",0.25,"226/8843",0.000593589341862055,2.23276285487,0.00383824687219073,"1499/7157/5290/7249",4
"hsa05215","hsa05215","Prostate cancer",0.1875,"98/8843",0.000665643228463095,2.21297065433368,0.00401721527353166,"1499/7157/5290",3
"hsa03082","hsa03082","ATP-dependent chromatin remodeling",0.1875,"117/8843",0.00111479204517598,2.01704703519844,0.00630737604507463,"8289/51773/196528",3
"hsa04152","hsa04152","AMPK signaling pathway",0.1875,"122/8843",0.00125828251649449,1.99079167273944,0.00670045179062083,"6794/5290/7249",3
"hsa04068","hsa04068","FoxO signaling pathway",0.1875,"133/8843",0.00161386444077034,1.90752636607184,0.00811651122258767,"472/6794/5290",3
"hsa04210","hsa04210","Apoptosis",0.1875,"136/8843",0.00172070776464859,1.90316739609927,0.00819838602547252,"472/7157/5290",3
"hsa05216","hsa05216","Thyroid cancer",0.125,"37/8843",0.00197012237168723,1.87546538979906,0.0087383687947157,"1499/7157",2
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.1875,"144/8843",0.00202709834249509,1.87546538979906,0.0087383687947157,"1499/5290/92",3
"hsa05224","hsa05224","Breast cancer",0.1875,"148/8843",0.00219229435001075,1.86164472982619,0.00902092411966144,"1499/7157/5290",3
"hsa04150","hsa04150","mTOR signaling pathway",0.1875,"158/8843",0.00264146853917574,1.810694502358,0.0101438135314123,"6794/5290/7249",3
"hsa05160","hsa05160","Hepatitis C",0.1875,"159/8843",0.00268929009902559,1.810694502358,0.0101438135314123,"1499/7157/5290",3
"hsa04140","hsa04140","Autophagy - animal",0.1875,"169/8843",0.00319736928301616,1.75326812387389,0.0115778424563954,"6794/5290/7249",3
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.25,"362/8843",0.00339784877968242,1.74389021476194,0.0118305666013234,"6794/7157/5290/7249",4
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",0.1875,"196/8843",0.00485289497277138,1.6054837854203,0.0162709149184537,"1499/7157/5290",3
"hsa05205","hsa05205","Proteoglycans in cancer",0.1875,"204/8843",0.00542677560612885,1.57273708080297,0.0175452143656798,"1499/7157/5290",3
"hsa05217","hsa05217","Basal cell carcinoma",0.125,"63/8843",0.00562111115903484,1.57269673782583,0.0175468442713973,"1499/7157",2
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.125,"71/8843",0.00709231894458616,1.49109794531823,0.0211737516190242,"7157/5290",2
"hsa05218","hsa05218","Melanoma",0.125,"73/8843",0.00748467499091087,1.49109794531823,0.0211737516190242,"7157/5290",2
"hsa05223","hsa05223","Non-small cell lung cancer",0.125,"73/8843",0.00748467499091087,1.49109794531823,0.0211737516190242,"7157/5290",2
"hsa05214","hsa05214","Glioma",0.125,"76/8843",0.00809135407763869,1.48660577571466,0.021393901101385,"7157/5290",2
"hsa05212","hsa05212","Pancreatic cancer",0.125,"77/8843",0.00829838607588827,1.48660577571466,0.021393901101385,"7157/5290",2
"hsa05220","hsa05220","Chronic myeloid leukemia",0.125,"77/8843",0.00829838607588827,1.48660577571466,0.021393901101385,"7157/5290",2
"hsa05100","hsa05100","Bacterial invasion of epithelial cells",0.125,"78/8843",0.0085078071821787,1.48660577571466,0.021393901101385,"1499/5290",2
"hsa05131","hsa05131","Shigellosis",0.1875,"249/8843",0.00941420263351635,1.45453909573778,0.0230333265002107,"472/7157/5290",3
"hsa05222","hsa05222","Small cell lung cancer",0.125,"93/8843",0.0119302863578993,1.3632536422231,0.0284211807972117,"7157/5290",2
"hsa01522","hsa01522","Endocrine resistance",0.125,"99/8843",0.01344317994605,1.33367889292993,0.030424038825271,"7157/5290",2
"hsa05231","hsa05231","Choline metabolism in cancer",0.125,"99/8843",0.01344317994605,1.33367889292993,0.030424038825271,"5290/7249",2
