"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0648148148148148,"170/18903",4.69421420441013e-33,28.6264376218523,2.05161867123272e-29,"CADM2/CDH1/CDH11/CDH19/CDH23/CDH4/CDH8/CDH9/CLSTN2/CNTN6/DCHS1/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/FAT4/HMCN1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH18/PCDH7/PCDH9/PCDHA10/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA12/PCDHGA4/PCDHGA5/PCDHGA8/PCDHGB1/PCDHGB2/PCDHGB7/PCDHGC3/PTPN23/ROBO1/ROBO2/SDK1/TENM3/FAT2/CDH18/PCDH15/PLXNB2",56
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0740740740740741,"282/18903",3.37588089724501e-27,23.0706434046755,7.37718815019015e-24,"CADM2/CDH1/CDH11/CDH19/CDH23/CDH4/CDH8/CDH9/CLSTN2/CNTN6/DCHS1/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/FAT4/HMCN1/LRFN5/MDGA1/NLGN1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH18/PCDH7/PCDH9/PCDHA10/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA10/PCDHGA12/PCDHGA4/PCDHGA5/PCDHGA8/PCDHGB1/PCDHGB2/PCDHGB7/PCDHGC3/PTPN23/ROBO1/ROBO2/SDK1/TENM1/TENM2/TENM3/TENM4/UNC5D/FAT2/CDH18/PCDH15/PLXNB2/PTPRD",64
"GO:0007409","BP","GO:0007409","axonogenesis",0.068287037037037,"438/18903",8.14554704521549e-14,9.8642015235071,1.18667759058718e-10,"ANK3/ARHGAP35/AUTS2/BCL11B/BMP7/CDH1/CDH11/CDH4/CNTN6/CTNNA2/DCLK1/DSCAM/DSCAML1/EPHA1/EPHA3/EPHA7/GLI2/GLI3/HSP90AA1/IGF1R/LAMA3/LAMA5/LGR6/MACF1/MAP1B/MAP2/NR4A2/NTRK1/NTRK2/PLXNA4/PLXND1/PTEN/PTPRZ1/RELN/ROBO1/ROBO2/RPS6KA5/RTN4/SIPA1L1/SLIT1/SLIT2/SLIT3/TNN/UNC5D/CHL1/NFASC/SEMA6D/TIAM2/APBB1/BOC/CNTN1/COBL/LAMA1/NRCAM/PLXNB2/SEMA3A/TNR/EPHA6/FLRT2",59
"GO:0061564","BP","GO:0061564","axon development",0.0717592592592593,"490/18903",3.23851972531993e-13,9.38971396982022,3.53850892092851e-10,"ANK3/ARHGAP35/AUTS2/BCL11B/BMP7/CAMSAP2/CDH1/CDH11/CDH4/CNTN6/CTNNA2/DCLK1/DSCAM/DSCAML1/EPHA1/EPHA3/EPHA7/GLI2/GLI3/HSP90AA1/IGF1R/LAMA3/LAMA5/LGR6/MACF1/MAP1B/MAP2/NR4A2/NTRK1/NTRK2/PLXNA4/PLXND1/PTEN/PTPRZ1/RELN/ROBO1/ROBO2/RPS6KA5/RTN4/SIPA1L1/SLIT1/SLIT2/SLIT3/TNN/UNC5D/CHL1/NFASC/SEMA6D/TIAM2/APBB1/BOC/CNTN1/COBL/LAMA1/NRCAM/PLXNB2/SEMA3A/TNR/EPHA6/FLRT2/NCAM2/SPRY3",62
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0648148148148148,"430/18903",1.45163608849735e-12,8.83511277297626,1.26888274514547e-09,"ANK2/APC/ARHGEF7/BSN/CDH1/CDH11/CDH19/CDH8/CDH9/CLSTN2/CTNNB1/CTNND2/DCHS1/DSCAM/DST/DUSP22/EPB41L3/EPB41L5/EPHA3/EPHA7/ERBB4/FBF1/GABRA1/IKBKB/IL1RAPL2/ITGB3/JAM3/LAMA3/LAMC1/LRFN5/MACF1/MAP1B/MDGA1/MYOC/NLGN1/NLGN4X/NRG1/NTRK1/NTRK2/PCLO/PEAK1/PLEC/PLXND1/PTEN/RAPGEF2/ROBO2/SDK1/SLIT1/STON1/TJP1/FMN1/CDH18/NRCAM/PLXNB2/PTPRD/FLRT2",56
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0659722222222222,"446/18903",1.99682324301825e-12,8.77581215227542,1.45452808859856e-09,"ALK/ARHGAP35/BCL11A/BMP7/CAMSAP2/CDH1/CDH4/CSMD3/CTNNA2/CUX1/DAB2IP/DGKG/DSCAM/EPHA3/EPHA7/FAT3/HECW1/IGF1R/KANK1/KNDC1/LRRC7/MACF1/MAGI2/MAP1B/MAP2/NFE2L2/NLGN1/NTRK1/NTRK2/PLXNA4/PLXND1/PTEN/RAPGEF2/RELN/ROBO1/ROBO2/ROR2/RTN4/SIPA1L1/SLIT1/SLIT2/TENM3/THOC2/TNN/ZNF365/ZNF804A/SEMA6D/TIAM2/CNTN1/COBL/HECW2/LRP8/NRCAM/PLXNB2/PTPRD/SEMA3A/TNR",57
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.0555555555555556,"352/18903",1.15717063906499e-11,8.13581577517371,6.34919242572827e-09,"ALK/APC/ARHGAP35/ARHGEF7/AUTS2/BMP7/CDH4/CUX1/DAB2IP/DSCAM/EPHA3/FMR1/GRIP1/HSP90AA1/IGF1R/LRRC7/MACF1/MAGI2/MAP1B/MYO3A/MYO3B/NFE2L2/NLGN1/NTRK1/NTRK2/PIK3CA/PLCE1/PLXNA4/PLXND1/RAPGEF2/RELN/ROBO1/ROBO2/ROR2/SLIT2/TENM1/TENM2/TENM3/TNN/ZNF804A/TIAM2/ATP7A/CNTN1/COBL/LRP8/PLXNB2/PTPRD/RP1",48
"GO:0007411","BP","GO:0007411","axon guidance",0.0439814814814815,"236/18903",1.16218358467088e-11,8.13581577517371,6.34919242572827e-09,"ARHGAP35/BCL11B/BMP7/CDH4/CNTN6/DSCAM/DSCAML1/EPHA1/EPHA3/EPHA7/GLI2/GLI3/LAMA3/LAMA5/LGR6/NTRK1/PLXNA4/PLXND1/RELN/ROBO1/ROBO2/RPS6KA5/SLIT1/SLIT2/SLIT3/UNC5D/CHL1/NFASC/SEMA6D/BOC/CNTN1/LAMA1/NRCAM/PLXNB2/SEMA3A/TNR/EPHA6/FLRT2",38
"GO:0097485","BP","GO:0097485","neuron projection guidance",0.0439814814814815,"237/18903",1.32489513193389e-11,8.13006153018239,6.43387671086493e-09,"ARHGAP35/BCL11B/BMP7/CDH4/CNTN6/DSCAM/DSCAML1/EPHA1/EPHA3/EPHA7/GLI2/GLI3/LAMA3/LAMA5/LGR6/NTRK1/PLXNA4/PLXND1/RELN/ROBO1/ROBO2/RPS6KA5/SLIT1/SLIT2/SLIT3/UNC5D/CHL1/NFASC/SEMA6D/BOC/CNTN1/LAMA1/NRCAM/PLXNB2/SEMA3A/TNR/EPHA6/FLRT2",38
"GO:0050808","BP","GO:0050808","synapse organization",0.0613425925925926,"432/18903",5.77348056866028e-11,7.53656281662768,2.52331487590289e-08,"ANK3/ARHGAP22/ARHGEF15/BSN/CACNB4/CDH1/CDH8/CLSTN2/COL4A5/CTNNA2/CTNNB1/CTNND2/DAB2IP/DOCK10/DSCAM/EPHA7/ERBB4/GABRA1/IGF1R/IL1RAPL2/LRFN2/LRFN5/MAP1B/MDGA1/NLGN1/NLGN4X/NRG1/NTRK1/NTRK2/PCDHGC3/PCLO/PDZRN3/PLXND1/PTEN/RELN/REST/ROBO2/SDK1/SEZ6L/SIPA1L1/SLIT1/UNC13C/ZNF365/ZNF804A/CTTNBP2/NFASC/LRP8/NRCAM/PLXNB2/PTPRD/TNR/WASF3/FLRT2",53
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction",0.0474537037037037,"305/18903",5.80407466845642e-10,6.57566021934059,2.30607827975417e-07,"ARFGEF2/ARHGAP11A/ARHGAP22/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP5/ARHGEF15/ARHGEF17/ARHGEF4/AUTS2/CGNL1/DAB2IP/DOCK2/DOCK3/DOCK8/FGD5/IQSEC2/KANK1/KIF14/KRAS/LRRD1/MCF2L/MYOC/NF1/NRG1/NTRK1/PLCE1/PSD2/RASA1/RELN/ROBO1/SIPA1L1/SLIT2/ITSN1/OBSCN/TIAM2/PLEKHG3/PREX2/GPR35/SPRY3",41
"GO:0030900","BP","GO:0030900","forebrain development",0.0532407407407407,"383/18903",2.18086642941001e-09,6.03855270381247,7.94294510079857e-07,"ALK/ARHGAP35/ARL13B/BCL11B/CDH1/CTNNB1/DAB2IP/DCLK1/DYNC2H1/EGFR/ERBB4/FAT4/FOXP2/GLI2/GLI3/IGF1R/KIF14/KRAS/LRP2/MDGA1/NF1/NR2F2/NR4A2/NRG1/NTRK2/PLCB1/PLXNA4/PTEN/RAPGEF2/RELN/ROBO1/ROBO2/RTN4/SALL1/SETD2/SLC8A1/SLIT1/SLIT2/ZSWIM6/ATRX/ATP2B4/ATP7A/LRP8/SEMA3A/TNR/TACC2",46
"GO:0016358","BP","GO:0016358","dendrite development",0.0393518518518519,"237/18903",3.19623188124307e-09,5.90730559829863,1.07455504217985e-06,"ALK/ASAP1/BCL11A/BMP7/CAMSAP2/CSMD3/CTNNA2/CTNND2/CUX1/DAB2IP/DCLK1/DGKG/DOCK10/DSCAM/FAT3/FMR1/GRIP1/HECW1/KNDC1/MAP1B/MAP2/NLGN1/PTEN/RAPGEF2/RELN/SDK1/SIPA1L1/ZNF365/COBL/HECW2/LRP8/PREX2/PTPRD/SEMA3A",34
"GO:0051960","BP","GO:0051960","regulation of nervous system development",0.0590277777777778,"456/18903",3.46604805967729e-09,5.90429398050997,1.08203244690076e-06,"BMP7/CDH1/CDH4/CLSTN2/CTNNB1/CUX1/DSCAM/EPHA7/GLI3/IL6ST/KIF14/KRAS/LPIN1/LRP2/MACF1/MAP1B/MAP2/NF1/NLGN1/NTRK1/NTRK2/OPRM1/PLXNA4/PLXND1/PTEN/PTPRZ1/RAPGEF2/RB1/RELN/REST/ROBO1/ROBO2/RTN4/SLIT1/SLIT2/SPEN/SYT4/TENM4/TG/TP53/ZNF365/SEMA6D/TIAM2/LRP8/MME/PLXNB2/PTPRD/SEMA3A/TNR/WASF3/FLRT2",51
"GO:0072001","BP","GO:0072001","renal system development",0.0451388888888889,"318/18903",2.06699555627581e-08,5.15875224120444,6.02257231554887e-06,"ARID5B/ASXL1/BMP7/CENPF/CTNNB1/DCHS1/DCHS2/DYNC2H1/EPHA7/ERBB4/FRAS1/FREM2/GLI2/GLI3/IRX1/ITGB3/KIF26B/KLF15/LAMA5/LRP2/MAGI2/MTSS1/NF1/PBX1/PDGFD/PKHD1/PLCE1/PLXND1/ROBO2/SALL1/SLIT2/TBX18/FMN1/AMER1/ANGPT1/MAGED1/MME/NIPBL/PDGFRA",39
"GO:0001822","BP","GO:0001822","kidney development",0.0439814814814815,"309/18903",2.913855488647e-08,5.03765249843782,7.95942630846208e-06,"ARID5B/ASXL1/BMP7/CENPF/CTNNB1/DCHS1/DCHS2/DYNC2H1/EPHA7/ERBB4/FRAS1/FREM2/GLI2/GLI3/IRX1/ITGB3/KIF26B/KLF15/LAMA5/LRP2/MAGI2/MTSS1/NF1/PBX1/PDGFD/PKHD1/PLCE1/PLXND1/ROBO2/SALL1/SLIT2/FMN1/AMER1/ANGPT1/MAGED1/MME/NIPBL/PDGFRA",38
"GO:0042391","BP","GO:0042391","regulation of membrane potential",0.0543981481481481,"431/18903",3.1643509072786e-08,5.0281648083746,8.13522288979612e-06,"ABCB5/ANK2/ANK3/ATP1A4/ATP2A2/CACNA1C/CACNA2D1/CACNB4/CTNNA3/DSP/FMR1/GABRA1/GABRA6/GABRG1/GABRG3/GRIK3/GRIK4/GRM1/HCN1/KCNK9/KCNQ3/MTNR1B/MYOC/NALCN/NLGN1/NLGN4X/NTRK2/OPRM1/PTEN/RELN/RIMS2/RYR2/SLC8A1/SLMAP/TBX18/DMD/RGS4/GABBR1/GABRA5/GRIA1/KCNH7/KMT2A/NRCAM/SCN9A/SOD2/AKAP6/GPR35",47
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.0497685185185185,"377/18903",3.37779686925882e-08,5.02463950138263,8.2015278369372e-06,"BMP7/CDH1/CDH4/CTNNB1/CUX1/DSCAM/EPHA7/GLI3/IL6ST/KRAS/LRP2/MACF1/MAP1B/MAP2/NF1/NTRK2/OPRM1/PLXNA4/PLXND1/PTEN/PTPRZ1/RAPGEF2/RB1/RELN/REST/ROBO1/ROBO2/RTN4/SLIT1/SLIT2/SPEN/SYT4/TENM4/TP53/ZNF365/SEMA6D/TIAM2/LRP8/MME/PLXNB2/PTPRD/SEMA3A/TNR",43
"GO:0034332","BP","GO:0034332","adherens junction organization",0.0162037037037037,"51/18903",4.16780710887709e-08,4.95684651497729,9.58711086762197e-06,"CDH1/CDH11/CDH19/CDH8/CDH9/CTNNB1/DCHS1/DSP/JAM3/MTSS1/PLEC/PTPN23/TJP1/CDH18",14
"GO:0001655","BP","GO:0001655","urogenital system development",0.0474537037037037,"360/18903",7.34140876136389e-08,4.73325111500251,1.60429100932541e-05,"ARID5B/ASXL1/BMP7/CENPF/CTNNB1/DCHS1/DCHS2/DYNC2H1/EPHA7/ERBB4/FRAS1/FREM2/GLI2/GLI3/IRX1/ITGB3/KIF26B/KLF15/LAMA5/LRP2/MAGI2/MTSS1/NF1/PBX1/PDGFD/PKHD1/PLCE1/PLXND1/PTEN/ROBO2/SALL1/SLIT2/TBX18/FMN1/AMER1/ANGPT1/MAGED1/MME/NIPBL/PDGFRA/PSAP",41
"GO:0060560","BP","GO:0060560","developmental growth involved in morphogenesis",0.0358796296296296,"233/18903",9.25687455929025e-08,4.6537554412373,1.92654351730191e-05,"AUTS2/BCL11A/CDH1/CDH4/CPNE6/CTNNB1/DCLK1/DSCAM/EPB41L5/EPHA7/HSP90AA1/KIF26B/MACF1/MAGI2/MAP1B/MAP2/PLXNA4/RIMS2/RTN4/SALL1/SLIT1/SLIT2/SLIT3/SYT4/TNN/FMN1/SEMA6D/COBL/NRCAM/SEMA3A/TNR",31
