"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05213","hsa05213","Endometrial cancer",0.0294784580498866,"59/8843",4.8831868045724e-06,2.84294933120517,0.00107430109700593,"324/8312/999/1026/1496/29119/1499/1956/3845/4893/5290/5728/7157",13
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.0340136054421769,"86/8843",1.92410554411287e-05,2.71584921231357,0.00143954795894031,"488/775/781/9254/785/1496/29119/1499/1832/1837/3690/6262/6546/1756/284217",15
"hsa05215","hsa05215","Prostate cancer",0.036281179138322,"98/8843",2.41395022666568e-05,2.71584921231357,0.00143954795894031,"1026/84699/1499/1956/3320/3480/3551/3845/4893/80310/5290/5728/5925/7157/3645/5156",16
"hsa04512","hsa04512","ECM-receptor interaction",0.0340136054421769,"89/8843",2.93736421409091e-05,2.71584921231357,0.00143954795894031,"960/1287/131873/80144/341640/3690/3909/3911/22798/3915/5649/63923/256076/284217/7143",15
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0612244897959184,"232/8843",3.27169990668253e-05,2.71584921231357,0.00143954795894031,"287/288/480/1287/1289/131873/23002/1832/1837/2201/3690/4606/4703/8572/5339/6711/171024/7273/1462/129446/1756/56776/84033/256076/284217/10529/7171",27
"hsa04360","hsa04360","Axon guidance",0.0521541950113379,"184/8843",4.10426869757763e-05,2.69656813461838,0.00150489852244513,"655/2041/2042/2045/3845/4893/5290/5336/91584/5921/6091/6092/6585/9353/6586/54961/7225/137970/80031/91653/23654/10371/285220",23
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0816326530612245,"362/8843",5.3424255287764e-05,2.69467118665534,0.00151148612123685,"1026/1287/131873/84699/1444/1956/2066/2324/10681/3320/3480/3551/3560/3690/3716/3845/3909/3911/22798/3915/9863/4893/4914/4915/80310/5290/5728/5649/63923/7157/4846/284/256076/284217/5156/7143",36
"hsa05218","hsa05218","Melanoma",0.0294784580498866,"73/8843",5.496313168134e-05,2.69467118665534,0.00151148612123685,"999/1026/1029/1956/3480/3845/4893/80310/5290/5728/5925/7157/5156",13
"hsa04020","hsa04020","Calcium signaling pathway",0.0634920634920635,"254/8843",6.25666909846892e-05,2.68955199232664,0.00152940800184796,"108/109/146/488/775/777/1956/2066/2324/2911/3358/3363/3708/3710/4914/4915/80310/23236/51196/5336/6262/6546/6870/7942/4846/491/493/5156",28
"hsa04510","hsa04510","Focal adhesion",0.054421768707483,"203/8843",6.95805484319725e-05,2.6891648220656,0.0015307720655034,"2909/394/1287/131873/1499/1956/2324/3480/3690/3909/3911/22798/3915/80310/5290/5728/5649/63923/2317/256076/284217/5602/5156/7143",24
