"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0060537","BP","GO:0060537","muscle tissue development",0.0698835274542429,"422/18903",6.33776403893328e-11,6.51646093531621,2.4990804305099e-07,"ERBB4/COL19A1/FGFR2/KRAS/NF1/NOTCH2/SMAD4/NOTCH1/PTEN/RB1/RYR2/TTN/CTNNB1/CHD7/DLG1/DMD/HDAC9/LRP2/PPARGC1A/TWIST1/KCNK2/RBPJ/WT1/ZFPM2/ALPK3/ANKRD33/BMP7/CYP26B1/EOMES/FOXC1/ITGA8/MED20/MEOX2/MYH6/MYO18B/NRAP/P2RX2/PDLIM5/RBFOX1/TFAP2B/TGFB2/SLC8A1",42
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0499168053244592,"282/18903",7.79844263302358e-09,4.72741911519322,1.53752453175297e-05,"CDH18/IL1RAPL1/PCDH11X/RET/CDH6/GRID2/CADM4/CD6/CDH10/CDH9/CDHR2/HMCN1/L1CAM/LRFN5/LRRC4C/PCDH10/PCDH8/PCDHA11/PCDHA5/PCDHAC2/PCDHB10/PCDHB11/PCDHB2/PCDHGA2/REG3A/SLITRK3/TENM2/TGFB2/DCHS2/FAT3",30
"GO:0007611","BP","GO:0007611","learning or memory",0.0482529118136439,"273/18903",1.4340663909273e-08,4.63894899827909,1.88491673698725e-05,"EGFR/KRAS/NF1/NRXN1/BRAF/CSMD1/KIT/PTEN/AFF2/ATP8A1/GRM5/NETO1/CNTNAP2/KCNK2/SORCS3/ATP1A2/BCHE/CPEB3/GABRA5/ITGA8/KCNK4/NLGN4X/NRXN2/SHANK1/SNAP25/SYT11/THRA/TNR/GRIN2B",29
"GO:0042391","BP","GO:0042391","regulation of membrane potential",0.0615640599001664,"431/18903",4.74725907540471e-08,4.33551373795007,3.79076996588849e-05,"NRXN1/AKT1/HCN1/PTEN/RYR2/SCN7A/CACNA2D1/DLG1/DMD/GCLC/GRM5/NETO1/ATP1A4/GRID2/KCNK2/PIEZO2/RIMS2/ATP1A2/CACNA1I/GABRA5/GABRA6/GABRB3/GLRA2/GRIK4/KCNJ8/KCNK4/MTNR1B/NLGN4X/P2RX2/SCN10A/SCN11A/SHANK1/SLC26A3/SLC26A5/ANK2/GRIN2B/SLC8A1",37
"GO:0048608","BP","GO:0048608","reproductive structure development",0.0499168053244592,"306/18903",5.03510872906466e-08,4.33551373795007,3.79076996588849e-05,"STK11/FGFR2/SMAD4/ATM/CBL/CSMD1/KIT/NOTCH1/PTEN/CTNNB1/CHD7/DLG1/GREB1L/LRP2/WT1/ZFPM2/AFP/BMP7/C3/COL9A3/FOXC1/HOXA9/MERTK/PTPRN/RXFP2/SLIT3/TEX11/TGFB2/TP63/VGF",30
"GO:0007612","BP","GO:0007612","learning",0.0332778702163062,"150/18903",6.25680509797076e-08,4.33551373795007,3.79076996588849e-05,"KRAS/NF1/NRXN1/BRAF/CSMD1/KIT/ATP8A1/GRM5/NETO1/CNTNAP2/SORCS3/ATP1A2/BCHE/GABRA5/NLGN4X/NRXN2/SHANK1/SNAP25/SYT11/TNR",20
"GO:0061458","BP","GO:0061458","reproductive system development",0.0499168053244592,"310/18903",6.72947684814694e-08,4.33551373795007,3.79076996588849e-05,"STK11/FGFR2/SMAD4/ATM/CBL/CSMD1/KIT/NOTCH1/PTEN/CTNNB1/CHD7/DLG1/GREB1L/LRP2/WT1/ZFPM2/AFP/BMP7/C3/COL9A3/FOXC1/HOXA9/MERTK/PTPRN/RXFP2/SLIT3/TEX11/TGFB2/TP63/VGF",30
"GO:0048732","BP","GO:0048732","gland development",0.0615640599001664,"441/18903",8.54517769059618e-08,4.32107816010655,3.91888941843554e-05,"EGFR/ERBB4/STK11/FBXW7/FGFR2/MET/NF1/NOTCH2/SMAD4/AKT1/MAP2K1/ATM/BRAF/CSMD1/NOTCH1/PIK3CA/PTEN/CTNNB1/ONECUT1/POLB/RBPJ/WT1/BMP7/CCDC39/EPHA2/FOXC1/HMGCS2/HOXA3/HOXA9/LRP5/NRG3/TGFB2/THRA/TP63/UGT1A9/ASXL1/JAK2",37
"GO:0050890","BP","GO:0050890","cognition",0.0499168053244592,"314/18903",8.94460879007579e-08,4.32107816010655,3.91888941843554e-05,"EGFR/KRAS/NF1/NRXN1/BRAF/CSMD1/KIT/PTEN/AFF2/ATP8A1/CHD7/GRM5/NETO1/CNTNAP2/KCNK2/SORCS3/ATP1A2/BCHE/CPEB3/GABRA5/ITGA8/KCNK4/NLGN4X/NRXN2/SHANK1/SNAP25/SYT11/THRA/TNR/GRIN2B",30
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0349417637271215,"170/18903",1.12074939572295e-07,4.2688884878908,4.41929182776649e-05,"CDH18/PCDH11X/RET/CDH6/CADM4/CDH10/CDH9/CDHR2/HMCN1/L1CAM/PCDH10/PCDH8/PCDHA11/PCDHA5/PCDHAC2/PCDHB10/PCDHB11/PCDHB2/PCDHGA2/DCHS2/FAT3",21
"GO:0055010","BP","GO:0055010","ventricular cardiac muscle tissue morphogenesis",0.0183028286189684,"46/18903",1.48600787960891e-07,4.18776857413497,5.32687609283729e-05,"FGFR2/SMAD4/NOTCH1/RYR2/CHD7/LRP2/RBPJ/ZFPM2/FOXC1/MYH6/TGFB2",11
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling",0.0316139767054908,"145/18903",1.76436647978064e-07,4.18477534936094,5.3637165564305e-05,"EGFR/ERBB4/ERBB2/NF1/AKT1/CBL/FGFR1/FLT3/KIT/PIK3CA/PTEN/TPTE/TWIST1/F2/PIK3R5/PPP1R16B/TGFB2/TSC2/JAK2",19
"GO:0001655","BP","GO:0001655","urogenital system development",0.0532445923460899,"360/18903",1.76833687858827e-07,4.18477534936094,5.3637165564305e-05,"ERBB4/STK11/FGFR2/NF1/NOTCH2/SMAD4/NOTCH1/PTEN/RET/CTNNB1/DLG1/GREB1L/LRP2/WT1/BMP7/CYP26B1/FOXC1/HMGCS2/HOXA9/ITGA8/KCNJ8/KIF26B/PLCE1/SEC61A1/SOX17/TFAP2B/TGFB2/TMEM59L/TP63/WFS1/ASXL1/DCHS2",32
"GO:0048015","BP","GO:0048015","phosphatidylinositol-mediated signaling",0.0349417637271215,"178/18903",2.4667689603214e-07,4.07499484854378,6.90631400852304e-05,"EGFR/ERBB4/ERBB2/NF1/AKT1/CBL/FGFR1/FLT3/KIT/PIK3CA/PTEN/TPTE/TWIST1/F2/PIK3R5/PLCE1/PPP1R16B/TGFB2/TSC2/JAK2/PLCL1",21
