"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.0508982035928144,"71/8843",6.99046553351094e-10,6.68862628088123,1.49375210873971e-07,"1956/7157/2064/2263/3845/4233/207/5604/2260/2261/2322/3815/4893/5290/5728/5979/160287",17
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.11377245508982,"362/8843",7.99991474327625e-09,5.93107701665817,8.5472773309741e-07,"1956/2066/6794/7157/2064/2263/3845/4233/207/5604/2260/2261/2322/3815/4893/5290/5728/5979/1293/64764/22798/57521/7450/1291/256076/1299/90993/1969/8516/4193/5228/23533/5522/5529/6256/7143/7249/3717",38
"hsa05223","hsa05223","Non-small cell lung cancer",0.0449101796407186,"73/8843",6.59810593007735e-08,5.19083435066778,4.69970352212527e-06,"1956/1029/7157/238/2064/3845/4233/207/5604/673/4893/5290/5925/5979/6256",15
"hsa05215","hsa05215","Prostate cancer",0.0508982035928144,"98/8843",1.21651219193914e-07,5.05007590516665,6.49873618325382e-06,"1956/7157/2064/2263/3845/207/5604/673/2260/4893/5290/5728/5925/1499/64764/90993/4193",17
"hsa05226","hsa05226","Gastric cancer",0.062874251497006,"150/8843",1.86235214191209e-07,5.04285974398545,6.60762014076881e-06,"1956/7157/2064/2263/3845/4233/4089/207/1496/5604/324/673/4893/5290/5925/1499/1857/5243/4041/6256/7042",21
"hsa05213","hsa05213","Endometrial cancer",0.0389221556886228,"59/8843",2.12098841568801e-07,5.04285974398545,6.60762014076881e-06,"1956/7157/2064/3845/207/1496/5604/324/673/4893/5290/5728/1499",13
"hsa05219","hsa05219","Bladder cancer",0.0329341317365269,"41/8843",2.16456521852771e-07,5.04285974398545,6.60762014076881e-06,"1956/1029/7157/2064/3845/5604/673/2261/4893/5925/4193",11
"hsa05165","hsa05165","Human papillomavirus infection",0.0988023952095808,"333/8843",3.22734162567078e-07,4.92737742717416,8.62039934225221e-06,"1956/7157/3845/4853/207/5604/324/472/4851/4893/5290/5728/5925/1499/1293/64764/1739/22798/7450/1857/3516/23352/245972/1291/256076/1299/90993/8516/4193/5522/5529/7143/7249",33
"hsa05225","hsa05225","Hepatocellular carcinoma",0.0658682634730539,"170/8843",3.86038948833003e-07,4.90074376469869,9.16560311264322e-06,"1956/1029/7157/3845/4233/4780/4089/207/8289/5604/324/673/9817/4893/5290/5728/5925/6597/1499/1857/4041/7042",22
"hsa05218","hsa05218","Melanoma",0.0419161676646707,"73/8843",4.49101235816975e-07,4.88078812950913,9.59658430219431e-06,"1956/1029/7157/3845/4233/207/5604/673/2260/4893/5290/5728/5925/4193",14
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.0419161676646707,"80/8843",1.44134352653955e-06,4.4157575628936,2.799930486962e-05,"1956/2064/2263/3845/4233/4763/207/5604/673/2261/4893/5290/5728/3717",14
"hsa05224","hsa05224","Breast cancer",0.0568862275449102,"148/8843",2.75328824567052e-06,4.17246194501174,4.90278520939574e-05,"1956/7157/2064/3845/4853/207/5604/324/673/2260/3815/4851/4893/5290/5728/5925/1499/1857/4041",19
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0508982035928144,"122/8843",2.98955877434082e-06,4.171468635939,4.9140115885926e-05,"7157/3845/4853/207/5604/4851/4893/5290/1499/480/477/4193/4624/51196/6256/7067/7249",17
"hsa01522","hsa01522","Endocrine resistance",0.0449101796407186,"99/8843",4.00160926342767e-06,4.07702573557713,6.10771940207381e-05,"1956/1029/7157/2064/3845/4853/207/5604/673/4851/4893/5290/5925/111/4193",15
"hsa05220","hsa05220","Chronic myeloid leukemia",0.0389221556886228,"77/8843",5.20711788144116e-06,3.99262622913037,7.41785915742144e-05,"1029/7157/3845/4089/207/5604/673/867/4893/5290/5925/4193/7042",13
"hsa05210","hsa05210","Colorectal cancer",0.0389221556886228,"87/8843",2.06216024420402e-05,3.44825585805377,0.000259805867014307,"1956/7157/3845/4089/207/5604/324/673/4893/5290/1499/1630/7042",13
"hsa04934","hsa04934","Cushing syndrome",0.0538922155688623,"155/8843",2.06692844939953e-05,3.44825585805377,0.000259805867014307,"1956/1029/5604/324/673/5925/1499/64764/3739/111/1857/3776/8911/90993/8085/4158/57552/5151",18
"hsa05214","hsa05214","Glioma",0.0359281437125748,"76/8843",2.43244252750944e-05,3.40236229697238,0.000288763645078606,"1956/1029/7157/3845/207/5604/673/4893/5290/5728/5925/4193",12
"hsa05212","hsa05212","Pancreatic cancer",0.0359281437125748,"77/8843",2.7853774332384e-05,3.3670019279233,0.000313258514652296,"1956/1029/7157/2064/3845/4089/207/5604/673/5290/5925/7042",12
"hsa05216","hsa05216","Thyroid cancer",0.0239520958083832,"37/8843",5.63118007414739e-05,3.08356295985696,0.000601647134237853,"7157/3845/5604/673/4893/5979/1499/6256",8
"hsa04010","hsa04010","MAPK signaling pathway",0.0778443113772455,"300/8843",6.38164769673683e-05,3.050418849387,0.000649360642825853,"1956/2066/7157/2064/2263/3845/4233/4763/207/5604/673/777/2260/2261/2322/3815/4893/5979/781/5801/8911/59285/1969/5606/5228/7042",26
"hsa04012","hsa04012","ErbB signaling pathway",0.0359281437125748,"86/8843",8.54181246631904e-05,2.94400502811586,0.00082965929696783,"1956/2066/2064/3845/207/5604/673/867/4893/5290/868/10718",12
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.0479041916167665,"144/8843",0.000101511882008611,2.88834333608662,0.000943108102871764,"2263/3845/4089/207/5604/324/2260/2261/4893/5290/1499/1857/3175/7044/7703/3717",16
"hsa04211","hsa04211","Longevity regulating pathway",0.0359281437125748,"90/8843",0.00013363189491575,2.78743349455985,0.00118979274859198,"6794/7157/3845/207/4893/5290/64764/10891/57521/111/90993/7249",12
"hsa04015","hsa04015","Rap1 signaling pathway",0.0598802395209581,"212/8843",0.000145136060651475,2.76929705722946,0.0012405313815684,"1956/2263/3845/4233/207/5604/673/2260/2261/3815/4893/5290/1499/111/1969/5606/5228/51196/23094/2904",20
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",0.0479041916167665,"154/8843",0.000223674674350232,2.59848891389376,0.00183829793089462,"207/6262/6332/781/64764/111/480/3776/477/59285/90993/4624/23533/5522/5529/6546",16
"hsa04020","hsa04020","Calcium signaling pathway",0.0658682634730539,"254/8843",0.000236408062375643,2.59083386032008,0.00187098778410353,"1956/2066/2064/2263/4233/777/2260/2261/5137/5979/6262/2915/624/6263/8911/3274/3363/4842/22953/51196/2904/6546",22
"hsa05205","hsa05205","Proteoglycans in cancer",0.0568862275449102,"204/8843",0.000250472999988648,2.58152949351109,0.00191150447359758,"1956/2066/7157/2064/3845/4233/207/5604/673/867/2260/4893/5290/1499/7291/4193/51196/7042/287",19
"hsa05211","hsa05211","Renal cell carcinoma",0.029940119760479,"70/8843",0.000272309136144474,2.56046816510474,0.00200648837159086,"3845/4233/207/5604/673/4893/5290/7428/7030/7042",10
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction",0.0838323353293413,"368/8843",0.000312860283722179,2.51490319955131,0.0022284434244071,"2915/7253/624/2895/718/799/10203/2147/2558/2559/2562/2742/2900/3274/3350/3363/4158/4544/64111/4889/22953/122042/9287/7067/7425/2918/2904/2913",28
"hsa04918","hsa04918","Thyroid hormone synthesis",0.029940119760479,"75/8843",0.00048146727273413,2.34192730175799,0.00331877271188551,"64764/4036/7173/7253/111/480/477/90993/50506/2880",10
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0.0329341317365269,"90/8843",0.000544908991759311,2.30195838353713,0.00363870149102434,"1956/238/3845/207/5604/4893/5290/5728/1457/5606/3717",11
"hsa04974","hsa04974","Protein digestion and absorption",0.0359281437125748,"105/8843",0.00057359726094229,2.29303925071426,0.00371420235953062,"1310/1293/480/57642/477/1289/1291/256076/1299/1803/4224/6546",12
"hsa04510","hsa04510","Focal adhesion",0.0538922155688623,"203/8843",0.000655653286886541,2.24793705395512,0.00412066926433337,"1956/2064/4233/207/5604/673/5290/5728/1499/1293/22798/7450/1291/256076/1299/8516/5228/7143",18
"hsa04927","hsa04927","Cortisol synthesis and secretion",0.0269461077844311,"65/8843",0.000693603962437903,2.23608885847265,0.00423463471804193,"64764/3739/111/3776/8911/90993/4158/57552/5151",9
"hsa05206","hsa05206","MicroRNAs in cancer",0.0718562874251497,"312/8843",0.00071827344714907,2.23314506851111,0.00426343595822401,"1956/1029/7157/2064/3845/4233/4853/5604/324/472/2261/4851/4893/5290/5728/57521/23414/5243/1591/4193/7042/7143/8626/1788",24
"hsa04218","hsa04218","Cellular senescence",0.0449101796407186,"157/8843",0.000851558263231021,2.18270160871559,0.00478854092620214,"1029/7157/3845/207/5604/472/4893/5290/5728/5925/3805/5606/4193/7042/7249",15
"hsa04514","hsa04514","Cell adhesion molecules",0.0449101796407186,"157/8843",0.000851558263231021,2.18270160871559,0.00478854092620214,"9378/1462/26047/933/923/8516/83700/3897/57689/4684/257194/57502/9379/22865/26050",15
