"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007409","BP","GO:0007409","axonogenesis",0.0413365980123866,"438/18903",4.19779492448832e-35,30.5667462638944,1.88458898452028e-31,"GOLGA4/GSK3B/HOXA2/HSP90AA1/IGF1R/ISL1/ITGA4/KALRN/KEL/KIF5A/L1CAM/LAMA1/LAMA2/LAMA3/LAMA5/LAMC2/LGI1/LGR6/LHX3/LHX9/LMTK2/LMX1A/LPAR3/LRP4/LRTM2/MACF1/MAG/MAP1A/MAP1B/MAP2/MAP2K1/MAP3K13/MAP6/MARK2/MCF2/MEGF8/MT3/NCAM1/NEO1/NFASC/NGFR/NIN/NLGN3/NOTCH1/NOTCH2/NOTCH3/NRXN1/NRXN3/NTN5/NTNG1/NTNG2/NTRK1/NTRK2/NUMB/OLFM1/OPHN1/OTX2/PAK3/PALLD/PAX2/PLXNA1/PLXNA2/PLXNA4/PLXNC1/PLXND1/PTCH1/PTK2/PTPRO/PTPRZ1/RELN/RET/RNF165/ROBO1/ROBO2/ROBO3/RPS6KA5/RTN4/RUFY3/SEMA3A/SEMA3C/SEMA3D/SEMA3E/SEMA4C/SEMA4D/SEMA4F/SEMA5A/SEMA5B/SEMA6A/SEMA6D/SEMA7A/SIPA1L1/SKIL/SLIT1/SLIT2/SLIT3/SLITRK5/SMAD4/SMO/SMURF1/SOS1/SPAST/STK11/STXBP1/SYNGAP1/SZT2/TBR1/TIAM1/TIAM2/TNN/TNR/TRIO/TRPC5/TTC8/TUBB3/UNC5A/UNC5B/UNC5C/UNC5D/VAX1/VCL/WNT3A/WNT7A/XK/YTHDF1/ABL1/ADNP/ALCAM/ANK3/APBB1/APLP2/ARHGAP35/ARHGEF25/ATP8A2/AUTS2/B4GALT5/BCL11B/BCL2/BMP7/BOC/BRAF/BRSK1/BRSK2/CCKAR/CDH11/CDH2/CDH4/CHL1/CHRNB2/CNTN1/CNTN4/CNTN5/COBL/CRABP2/CTNNA2/CTTN/CXCL12/DAB1/DBNL/DCC/DCLK1/DIP2B/DISC1/DLX5/DRD2/DRGX/DSCAM/DSCAML1/EDN3/ENAH/EPHA10/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/EPHB1/EPHB3/EPHB4/EPHB6/ERBB2/EXT1/FGF13/FOXG1/FSTL4/GAP43/GDF7/GDNF/GLI2/GLI3/CYFIP1/IFRD1/ITGB1/MAPT/NRCAM/NRP1/PARD3/PHOX2B/PLXNB2/SHOX2/ULK2/ACTB/ADARB1/BMPR1B/BSG/CDKL5/CHODL/CNTN6/CSF1R/DPYSL5/DRAXIN/FEZF1/GDI1/ISLR2/IST1/KIAA0319/LRTM1/NKX2-1/NKX6-1/NR4A2/NRP2/PAX6/PRKCQ/PTPRM/TAOK2/TBCE/THY1/TMEFF1/ADCY1/ALS2/EPHA8/MYPN/HDAC6/IGSF9/KIF13B/KLF7/LHX4/MAP1S/MBP/MYOT/NFIB/PICALM/PSEN1/PTEN/PTPN11/PTPRS/RAPH1/RNF6/ROBO4/SCN1B/SIN3A/STK25/ULK1/UST/WNT3/AFG3L2/ATL1/B4GALT6/BAIAP2/BMPR2/CCK/CDH1/CDKL3/CHN1/DAG1/DPYSL2/ECE1/EFNA5/EFNB1/EFNB2/EGR2/EPHA1/FGFR2/GATA3/GBX1/FN1/NDN/C9orf72/CNTN2/DNM2/ETV1/FEZF2/FYN/SEMA6C/USP33/EPHB2/FEZ1",287
"GO:0061564","BP","GO:0061564","axon development",0.0447933170099381,"490/18903",4.98043698176194e-34,29.7935300283947,1.11797703827446e-30,"GOLGA4/GRM7/GSK3B/HOXA2/HSP90AA1/IGF1R/ISL1/ITGA4/KALRN/KEL/KIF5A/KLK8/L1CAM/LAMA1/LAMA2/LAMA3/LAMA5/LAMC2/LGI1/LGR6/LHX3/LHX9/LMTK2/LMX1A/LPAR3/LRP4/LRTM2/MACF1/MAG/MAP1A/MAP1B/MAP2/MAP2K1/MAP3K13/MAP6/MAPK8IP3/MARK2/MCF2/MEGF8/MT3/NCAM1/NCAM2/NEO1/NFASC/NGFR/NIN/NLGN3/NOTCH1/NOTCH2/NOTCH3/NRXN1/NRXN3/NTN5/NTNG1/NTNG2/NTRK1/NTRK2/NUMB/OLFM1/OPHN1/OTX2/PAK3/PALLD/PAX2/PLP1/PLXNA1/PLXNA2/PLXNA4/PLXNC1/PLXND1/PTCH1/PTK2/PTN/PTPRF/PTPRO/PTPRZ1/RELN/RET/RNF165/ROBO1/ROBO2/ROBO3/RPS6KA5/RTN4/RTN4RL1/RUFY3/SEMA3A/SEMA3C/SEMA3D/SEMA3E/SEMA4C/SEMA4D/SEMA4F/SEMA5A/SEMA5B/SEMA6A/SEMA6D/SEMA7A/SIPA1L1/SKIL/SLIT1/SLIT2/SLIT3/SLITRK5/SMAD4/SMO/SMURF1/SOS1/SPAST/SPRY3/STK11/STXBP1/SYNGAP1/SZT2/TBR1/TIAM1/TIAM2/TNN/TNR/TRIO/TRPC5/TTC8/TUBB3/UNC5A/UNC5B/UNC5C/UNC5D/VAX1/VCL/WNT3A/WNT7A/XK/YTHDF1/ABL1/ADNP/ALCAM/ANK3/APBB1/APLP2/ARHGAP35/ARHGEF25/ATP8A2/AUTS2/B4GALT5/BCL11B/BCL2/BMP7/BOC/BRAF/BRSK1/BRSK2/CAMSAP2/CASP3/CCKAR/CDH11/CDH2/CDH4/CHL1/CHRNB2/CNTN1/CNTN4/CNTN5/COBL/CRABP2/CTNNA2/CTTN/CXCL12/DAB1/DBNL/DCC/DCLK1/DIP2B/DISC1/DLX5/DRD2/DRGX/DSCAM/DSCAML1/EDN3/ENAH/EPHA10/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/EPHB1/EPHB3/EPHB4/EPHB6/ERBB2/EXT1/FGF13/FOXG1/FSTL4/GAP43/GDF7/GDNF/GLI2/GLI3/CYFIP1/DDR1/FLNA/GRN/IFRD1/ITGB1/MAPT/MMP2/NRCAM/NRP1/PARD3/PHOX2B/PLXNB2/SHOX2/TNC/ULK2/ACTB/ADARB1/BMPR1B/BSG/CDKL5/CHODL/CNTN6/CSF1R/DPYSL5/DRAXIN/FEZF1/GDI1/ISLR2/IST1/JAK2/KIAA0319/KLF4/LRTM1/NKX2-1/NKX6-1/NR4A2/NRP2/PAX6/PRKCQ/PTPRM/TAOK2/TBCE/THY1/TMEFF1/ADCY1/ALS2/EPHA8/MYPN/CTNNA1/HDAC6/IGSF9/INPP5F/KIF13B/KLF7/LHX4/LRIG2/MAP1S/MBP/MYOT/NFIB/PICALM/PSEN1/PTEN/PTPN11/PTPRS/RAPH1/RNF6/ROBO4/SCARF1/SCN1B/SIN3A/STK25/TNFRSF21/ULK1/UST/WNT3/AFG3L2/ATL1/B4GALT6/BAIAP2/BMPR2/CCK/CDH1/CDKL3/CHN1/CRTAC1/DAG1/DPYSL2/ECE1/EFNA5/EFNB1/EFNB2/EGR2/EPHA1/FGFR2/GATA3/GBX1/FN1/NDN/C9orf72/CNTN2/DNM2/ETV1/FEZF2/FYN/SEMA6C/USP33/EPHB2/FEZ1",311
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0398962984300735,"446/18903",3.66877448400273e-28,24.1023677198074,5.49028883307777e-25,"GOLGA4/GRID2/GSK3B/HECW1/HECW2/IGF1R/IL1RAPL1/ITGA6/KANK1/KEL/KIDINS220/KLK6/KLK8/L1CAM/LPAR3/LRP4/LRRC7/LZTS1/MACF1/MAG/MAGI2/MAP1B/MAP2/MAP2K1/MAP3K13/MAP6/MARK1/MARK2/MCF2/MEGF8/MFSD2A/MT3/MYLIP/NCKIPSD/NDNF/NDRG4/NEDD4/NEDD4L/NEU4/NFE2L2/NGEF/NIN/NLGN1/NTNG1/NTNG2/NTRK1/NTRK2/NTRK3/PAK3/PLXNA1/PLXNA2/PLXNA4/PLXNC1/PLXND1/PPFIA2/PPP3CA/PQBP1/PRKD1/PRRX1/PTK2B/PTK7/PTN/PTPRD/PTPRF/PTPRG/PTPRO/RAPGEF2/RELN/RET/RIT2/ROBO1/ROBO2/ROR1/ROR2/RTN4/RTN4IP1/RTN4RL1/RUFY3/SEMA3A/SEMA3C/SEMA3D/SEMA3E/SEMA4C/SEMA4D/SEMA4F/SEMA5A/SEMA5B/SEMA6A/SEMA6D/SEMA7A/SERPINI1/SETX/SEZ6/SFRP1/SFRP2/SIPA1L1/SKIL/SLC39A12/SLIT1/SLIT2/SMURF1/SPOCK1/SRCIN1/SS18L1/STAU2/STK11/SYNGAP1/TANC2/TBR1/TENM3/THOC2/TIAM1/TIAM2/TMEM30A/TNIK/TNN/TNR/TOX/TRIM67/TRPC5/UBE3A/ULK4/VIM/WNT3A/WNT7A/XK/YTHDF1/ZNF365/ZNF804A/ABL1/ABL2/ACTR2/ADNP/ALK/ARHGAP35/ARHGAP44/ATP8A2/AVIL/B2M/BCL11A/BMP7/BRAF/BRSK1/BRSK2/CAMK1D/CAMK2B/CAMSAP2/CCDC88A/CDH2/CDH4/CFLAR/CHRNA3/CHRNB2/CNTN1/COBL/CRABP2/CREB3L2/CSMD3/CTNNA2/CUX1/CUX2/CXCL12/DAB1/DAB2IP/DBNL/DCC/DGKG/DIP2B/DISC1/DNM3/DPYSL3/DSCAM/DTNBP1/EEF2K/EFHC2/ELAVL4/EPHA3/EPHA4/EPHA7/EPHB3/EZH2/FAT3/FGF13/FRMD7/FSTL4/GFAP/CYFIP1/DAB2/FLNA/GRN/IFRD1/ITGA3/KIF1A/MAPT/NRCAM/NRP1/PDLIM5/PLXNB2/SHOX2/ULK2/ADCY6/BMP5/CAPRIN2/CDKL5/CHODL/DENND5A/DPYSL5/DRAXIN/ENC1/GDI1/GPC2/HDAC2/ISLR2/IST1/KIAA0319/KLF4/KNDC1/LPAR1/LRRK2/NEGR1/PACSIN1/PAQR3/PLA2G3/PPP2R5B/RHOA/THY1/ZDHHC15/HGF/INPP5F/KDM1A/KHDC3L/KIF13B/LRIG2/MBP/PARP6/PRKCI/PSEN1/PTEN/PTPRS/RAPGEF1/RNF6/SCARF1/SCN1B/SDC2/STK25/ULK1/UST/WNT3/BAIAP2/BMPR2/CAMK2G/CAPRIN1/CBFA2T2/CDH1/CDKL3/CFL1/CHN1/CRTC1/CX3CL1/DKK1/EFNA5/EFNB2/EP300/GATA3/FIG4/FN1/OBSL1/CNTN2/FEZF2/FYN/GFI1/LYN/SEMA6C/SNAP25/ARSB/EPHB2/FEZ1",277
"GO:0050808","BP","GO:0050808","synapse organization",0.038311968889529,"432/18903",2.96241460117061e-26,22.3201816337324,3.32492059841912e-23,"GNPAT/GPC4/GPC6/GPM6A/GRID2/GRIN2B/GRM5/IGF1R/IGFN1/IGSF21/IL10RA/IL1RAPL1/IL1RAPL2/INA/INSR/ITGAM/KIRREL3/KLK8/KY/L1CAM/LGI2/LGMN/LHFPL4/LILRB2/LMX1A/LRFN2/LRFN3/LRFN5/LRP4/LRRC4B/LRRTM3/LRTM2/MAP1B/MDGA1/MECP2/NEDD4/NFASC/NFIA/NGEF/NLGN1/NLGN3/NLGN4X/NLGN4Y/NOS1AP/NRG1/NRXN1/NRXN2/NTNG1/NTNG2/NTRK1/NTRK2/NTRK3/OPHN1/OXTR/PAK3/PCDH17/PCDH8/PCDHGC3/PCDHGC4/PCDHGC5/PCLO/PDZRN3/PLXND1/PPFIA2/PPFIA4/PTPRD/PTPRF/PTPRO/RAB39B/RELN/REST/ROBO2/SDK1/SDK2/SEMA3E/SEMA4D/SEZ6/SEZ6L/SHANK1/SHANK2/SIPA1L1/SLC8A2/SLC8A3/SLIT1/SLITRK5/SNCA/SRCIN1/SRGAP2/SRPX2/ST8SIA2/STAU2/SYBU/SYN1/SYNDIG1/SYNGAP1/TANC1/TANC2/TNNI3K/TNR/UBE3A/UNC13A/UNC13B/UNC13C/WASF1/WASF3/WASL/WNT3A/WNT7A/ZC4H2/ZNF365/ZNF804A/ABL1/ACHE/ACTN1/ACTR2/ADD2/ADNP/AGRN/ANK3/ARHGAP44/ASIC2/BSN/C1QA/C1QB/C1QC/C5AR1/CACNB2/CACNB4/CACNG2/CAMK2B/CBLN2/CBLN4/CDH2/CDH8/CHD4/CHRDL1/CHRNA1/CHRNA7/CHRNB2/CLSTN2/CNKSR2/CNTN5/COL4A1/COL4A5/CTBP2/CTNNA2/CTNNB1/CTNND2/CTTN/CTTNBP2/CUX2/CX3CR1/DAB2IP/DBNL/DCTN1/DIP2A/DISC1/DLG4/DLG5/DLGAP3/DNER/DNM3/DOCK10/DRD2/DRP2/DSCAM/DTNBP1/EEF2K/EPHA4/EPHA7/EPHB1/EPHB3/ERBB2/ERBB4/F2R/FARP1/FCGR2B/FGF13/FRMPD4/GABRA1/GABRA2/GABRB2/GABRB3/GABRG2/GAP43/GDNF/GHSR/APBB2/CYFIP1/ERC2/FLNA/HSPA8/ITGA3/KIF1A/MAPT/NRCAM/NRP1/PDLIM5/PLXNB2/PPFIA3/PPFIBP1/PPFIBP2/SETD5/TNC/ABHD17B/ACTB/ACTG1/BCAN/CAMKV/CAPRIN2/CAST/CDKL5/EIF4G1/GLRB/GPHN/LRRK2/NEGR1/NLGN2/NPAS4/NRP2/PICK1/RHOA/SLC6A1/SPARCL1/ZDHHC15/ALS2/ARHGEF9/HAPLN4/HDAC6/IGSF9/IL1RAP/MYOT/NEDD9/PPFIA1/PSEN1/PTEN/PTPRS/SIX1/SPOCK2/TMEM108/AFG3L2/ARHGAP39/ARHGEF15/BAIAP2/C3/CACNA1S/CAPRIN1/CDH1/CFL1/CHRNB1/CLN3/CLSTN1/CX3CL1/DAG1/DKK1/DLG1/EFNA5/EFNB2/MEF2C/OBSL1/CNTN2/FYN/SEZ6L2/SPTBN2/EPHB2/ARHGAP22",266
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0185798646118393,"170/18903",1.7506338094605e-25,21.6455421747307,1.57188488365243e-22,"HMCN1/IGFN1/IGSF11/IGSF21/KIRREL3/L1CAM/PALLD/PCDH1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH8/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHB7/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PIK3CB/PKD1/PTPN23/PTPRT/RET/ROBO1/ROBO2/ROBO3/SDK1/SDK2/TENM3/TRO/CADM1/CADM2/CADM3/CDH10/CDH11/CDH12/CDH13/CDH15/CDH17/CDH18/CDH19/CDH2/CDH20/CDH23/CDH26/CDH3/CDH4/CDH6/CDH7/CDH8/CDH9/CDHR1/CDHR2/CDHR3/CELSR1/CELSR3/CLSTN2/CNTN4/DCHS1/DCHS2/DSCAM/DSCAML1/DSG1/DSG3/DSG4/FAT1/FAT2/FAT3/FAT4/ITGB1/PLXNB2/BSG/CDH22/CEACAM5/CNTN6/PTPRM/DSC3/MYPN/IGSF9/MYOT/PCDHB12/ROBO4/CDH1/CELSR2/CLSTN1/DSC2/ESAM/CDH5/OBSL1/CDHR5/CNTN2",129
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0270776321474867,"282/18903",9.5951478508222e-25,20.9858670612585,7.17952729539591e-22,"GPC4/GPC6/GRID2/HMCN1/IGFN1/IGSF11/IGSF21/IL1RAPL1/ITGAM/KIRREL3/L1CAM/LRFN3/LRFN5/LRRC4B/MAG/MAP2K5/MDGA1/NLGN1/NTNG1/NTNG2/PALLD/PCDH1/PCDH10/PCDH11X/PCDH11Y/PCDH12/PCDH15/PCDH17/PCDH18/PCDH19/PCDH7/PCDH8/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA12/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA5/PCDHA6/PCDHA7/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHB7/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC4/PCDHGC5/PIK3CB/PKD1/PSG11/PTPN23/PTPRD/PTPRF/PTPRT/RET/ROBO1/ROBO2/ROBO3/SDK1/SDK2/SELE/SELL/SELP/TENM1/TENM2/TENM3/TENM4/TGFB2/TRO/UNC5D/WNK1/ALCAM/ATP2C1/CADM1/CADM2/CADM3/CD177/CD6/CDH10/CDH11/CDH12/CDH13/CDH15/CDH17/CDH18/CDH19/CDH2/CDH20/CDH23/CDH26/CDH3/CDH4/CDH6/CDH7/CDH8/CDH9/CDHR1/CDHR2/CDHR3/CELSR1/CELSR3/CLDN10/CLDN11/CLDN14/CLDN16/CLDN18/CLSTN2/CNTN4/CRB1/CRB2/DAB1/DCHS1/DCHS2/DSCAM/DSCAML1/DSG1/DSG3/DSG4/FAT1/FAT2/FAT3/FAT4/FGFRL1/AJUBA/CRTAM/ITGB1/KIFAP3/PLXNB2/PSG2/ACVR1/ARVCF/BSG/CDH22/CEACAM5/CNTN6/KLF4/PSG5/PTPRM/SPARCL1/UMOD/DSC3/MYPN/REG3A/IGSF9/IL1RAP/MBP/MYOT/PCDHB12/PTPRS/ROBO4/CDH1/CELSR2/CLSTN1/CX3CL1/DSC2/EFNA5/ESAM/CDH5/OBSL1/CDHR5/CEACAM8/CLDN6/CNTN2/ITGB2/TGFBR2",188
"GO:0097485","BP","GO:0097485","neuron projection guidance",0.0234768831917039,"237/18903",7.61942664451914e-24,20.1529432297465,4.88674505847731e-21,"HOXA2/ISL1/KALRN/KIF5A/L1CAM/LAMA1/LAMA2/LAMA3/LAMA5/LAMC2/LGI1/LGR6/LHX3/LHX9/LMX1A/LRTM2/MEGF8/NCAM1/NEO1/NFASC/NGFR/NOTCH1/NOTCH2/NOTCH3/NRXN1/NRXN3/NTN5/NTRK1/OPHN1/OTX2/PALLD/PLXNA1/PLXNA2/PLXNA4/PLXNC1/PLXND1/PTCH1/PTK2/PTPRO/RELN/RET/RNF165/ROBO1/ROBO2/ROBO3/RPS6KA5/SEMA3A/SEMA3C/SEMA3D/SEMA3E/SEMA4C/SEMA4D/SEMA4F/SEMA5A/SEMA5B/SEMA6A/SEMA6D/SEMA7A/SLIT1/SLIT2/SLIT3/SMAD4/SMO/SOS1/TBR1/TNR/TRIO/TTC8/TUBB3/UNC5A/UNC5B/UNC5C/UNC5D/VAX1/WNT3A/YTHDF1/ALCAM/ARHGAP35/ARHGEF25/BCL11B/BMP7/BOC/CDH4/CHL1/CNTN1/CNTN4/CNTN5/CXCL12/DCC/DLX5/DPYSL4/DRGX/DSCAM/DSCAML1/EDN3/ENAH/EPHA10/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/EPHB1/EPHB3/EPHB4/EPHB6/ERBB2/EXT1/FOXG1/GAP43/GDF7/GDNF/GLI2/GLI3/CYFIP1/NRCAM/NRP1/PLXNB2/BMPR1B/BSG/CNTN6/CSF1R/DPYSL5/DRAXIN/FEZF1/LRTM1/NKX2-1/NRP2/PAX6/PRKCQ/PTPRM/TMEFF1/EPHA8/MYPN/IGSF9/KLF7/LHX4/MYOT/NFIB/ROBO4/SCN1B/WNT3/BMPR2/CHN1/DAG1/DPYSL2/ECE1/EFNA5/EFNB1/EFNB2/EGR2/EPHA1/GATA3/GBX1/CNTN2/ETV1/FEZF2/FYN/SEMA6C/USP33/EPHB2/FEZ1",163
"GO:0007411","BP","GO:0007411","axon guidance",0.0233328532334726,"236/18903",1.44567391544888e-23,19.9327871239577,8.11289374919669e-21,"HOXA2/ISL1/KALRN/KIF5A/L1CAM/LAMA1/LAMA2/LAMA3/LAMA5/LAMC2/LGI1/LGR6/LHX3/LHX9/LMX1A/LRTM2/MEGF8/NCAM1/NEO1/NFASC/NGFR/NOTCH1/NOTCH2/NOTCH3/NRXN1/NRXN3/NTN5/NTRK1/OPHN1/OTX2/PALLD/PLXNA1/PLXNA2/PLXNA4/PLXNC1/PLXND1/PTCH1/PTK2/PTPRO/RELN/RET/RNF165/ROBO1/ROBO2/ROBO3/RPS6KA5/SEMA3A/SEMA3C/SEMA3D/SEMA3E/SEMA4C/SEMA4D/SEMA4F/SEMA5A/SEMA5B/SEMA6A/SEMA6D/SEMA7A/SLIT1/SLIT2/SLIT3/SMAD4/SMO/SOS1/TBR1/TNR/TRIO/TTC8/TUBB3/UNC5A/UNC5B/UNC5C/UNC5D/VAX1/WNT3A/YTHDF1/ALCAM/ARHGAP35/ARHGEF25/BCL11B/BMP7/BOC/CDH4/CHL1/CNTN1/CNTN4/CNTN5/CXCL12/DCC/DLX5/DRGX/DSCAM/DSCAML1/EDN3/ENAH/EPHA10/EPHA2/EPHA3/EPHA4/EPHA5/EPHA6/EPHA7/EPHB1/EPHB3/EPHB4/EPHB6/ERBB2/EXT1/FOXG1/GAP43/GDF7/GDNF/GLI2/GLI3/CYFIP1/NRCAM/NRP1/PLXNB2/BMPR1B/BSG/CNTN6/CSF1R/DPYSL5/DRAXIN/FEZF1/LRTM1/NKX2-1/NRP2/PAX6/PRKCQ/PTPRM/TMEFF1/EPHA8/MYPN/IGSF9/KLF7/LHX4/MYOT/NFIB/ROBO4/SCN1B/WNT3/BMPR2/CHN1/DAG1/DPYSL2/ECE1/EFNA5/EFNB1/EFNB2/EGR2/EPHA1/GATA3/GBX1/CNTN2/ETV1/FEZF2/FYN/SEMA6C/USP33/EPHB2/FEZ1",162
"GO:0031589","BP","GO:0031589","cell-substrate adhesion",0.0328388304767392,"369/18903",5.83975074937144e-23,19.3776156803734,2.9130452568502e-20,"GPM6B/GSK3B/HAS2/HOXA7/HOXD3/HRG/ITGA1/ITGA2/ITGA2B/ITGA4/ITGA6/ITGA7/ITGA9/ITGAD/ITGAE/ITGAM/ITGAV/ITGAX/ITGB3/ITGB8/ITGBL1/JAM3/JUP/KANK1/KDR/L1CAM/LAMA5/LAMB3/LAMC1/LIMCH1/MACF1/MEN1/MERTK/MINK1/MSLNL/MUC4/MYF5/MYOC/NDNF/NF1/NID1/NOTCH1/NPNT/NTNG1/NTNG2/OLFM4/ONECUT2/P4HB/PARVA/PARVG/PDPN/PEAK1/PIK3CB/PIK3R1/PKD1/PKHD1/PKP2/PLG/PPARD/PPFIA2/PREX1/PRKCZ/PTK2/PTK2B/PTPRJ/PTPRK/PTPRO/PXN/RADIL/RASA1/RIN2/ROCK1/RREB1/SEMA3E/SFRP1/SKAP1/SLK/SMAD3/SPOCK1/SRCIN1/SRGAP2/ST6GAL1/STON1/TECTA/TEK/TESK2/TIAM1/TMEFF2/TNN/TNXB/TRIOBP/TRPM7/USH2A/UTRN/VCL/VTN/VWC2/WDPCP/WNT1/ZYX/ABI3BP/ABL1/ACTN1/ACTN2/ACTN4/ADAMTS12/ADAMTS9/AJAP1/ANGPT1/ANTXR1/ARHGAP6/ARHGEF7/ATRN/ATRNL1/BCAS3/BCL2/BCL2L11/BCR/BRAF/CASS4/CCDC80/CCL28/CD34/CD44/CD96/CDH13/CDKN2A/CLASP1/COL13A1/COL16A1/COL26A1/COL3A1/CORO1A/CORO1C/CORO2B/CTNNB1/CTTN/DISC1/DLC1/DMP1/DUSP22/EDA/EGFLAM/EPB41L5/EPDR1/EPHA3/EPHB1/EPHB3/FAT2/FBLN2/FERMT2/FERMT3/FGA/FGG/FREM1/GCNT2/AJUBA/CD36/CLASP2/DAB2/DDR1/FLNA/FMN1/ITGA3/ITGB1/LAMB4/MSLN/NRP1/OTOA/PHLDB2/TYRO3/VIT/ACTG1/ACVRL1/ADAM15/BCL6/EDIL3/EGFL6/FBLN1/FGB/ITGA8/ITGB6/JAK2/LAMB1/MKLN1/PTPRA/RHOA/SORBS1/TAOK2/THY1/MAP4K4/MEGF9/NEDD9/ONECUT1/PIP5K1A/PPFIA1/PRKCE/PTEN/ROCK2/SGCE/SLC9A1/SNED1/SPOCK2/THSD1/TMEM8B/AXL/BVES/CALR/COL8A1/CX3CL1/DAG1/DEFB118/EFNA5/EPHA1/FAM107A/FBLN5/FOXF1/GAS6/GBP1/ADAMTS13/FN1/NID2/DNM2/ITGB2/STRC/TLN1/LIMS2/TBCD",228
"GO:0016358","BP","GO:0016358","dendrite development",0.0230447933170099,"237/18903",4.05592244429742e-22,18.581677840003,1.82089570788721e-19,"GPR37/GRIN3A/GSK3B/HECW1/HECW2/IGF2BP1/IL1RAPL1/IL2/IQSEC1/KIDINS220/KLHL1/LAMC2/LRP4/LZTS1/MAP1A/MAP1B/MAP2/MAP6/MARK1/MCF2/MECP2/MFSD2A/MINK1/NCK2/NEDD4/NEDD4L/NGEF/NLGN1/NTN5/PAK3/PAK4/PPFIA2/PPP3CA/PQBP1/PREX2/PRKG1/PTN/PTPRD/RAPGEF2/RELN/RERE/RTN4IP1/SDK1/SEMA3A/SEMA4D/SEZ6/SHANK1/SIPA1L1/SLC11A2/SLC12A5/SLITRK5/SRCIN1/SRGAP2/SS18L1/STAU2/STK11/SYNGAP1/TANC2/TNIK/TRPC5/TULP1/UBA6/UBE3A/WASL/WNT7A/ZNF365/ABL1/ACTR2/ALK/ARHGAP44/ASAP1/BCL11A/BMP7/BTBD3/CAMK1D/CAMK2B/CAMSAP2/CHRNA3/CHRNA7/CHRNB2/COBL/CSMD3/CTNNA2/CTNND2/CUX1/CUX2/DAB1/DAB2IP/DBNL/DCC/DCDC2/DCLK1/DGKG/DIP2A/DISC1/DLG4/DLG5/DNM3/DOCK10/DSCAM/DTNBP1/EEF2K/ELAVL4/EPHA4/EPHB1/EPHB3/EZH2/FARP1/FAT3/FMR1/FSTL4/CYFIP1/ITGB1/KIF1A/NRP1/PDLIM5/BMP5/CAPRIN2/CDKL5/DPYSL5/HDAC2/KIAA0319/KNDC1/LPAR1/LRRK2/NLGN2/PACSIN1/RHOA/SULT4A1/TAOK2/TMEFF1/ZDHHC15/GRIP1/HDAC6/IGSF9/KHDC3L/KLF7/MAP1S/MAPK6/PARP6/PICALM/PSEN1/PTEN/PTPRS/SCARF1/SDC2/ACTL6B/BAIAP2/CAMK2A/CAPRIN1/CDKL3/CELSR2/CFL1/CRTC1/MEF2C/OBSL1/FEZF2/FYN/MEF2A/EPHB2",160
