"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0416072955257908,"232/8847",3.62831609959785e-13,10.1308006815272,5.01039872236968e-11,"3339/3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/3728/284217/3908/4001/25802/442721/56203/4619/4629/8735/4620/4621/4625/4626/4634/9172/4703/10529/4811/84033/5318/5339/6382/6444/137868/6711/23353/23345/23224/171024/7060/7137/84675/7273/1462/7414/7431/129446/7791/88/375790/270/287/288/476/480/1301/1278/85301/1281/1282/1284/1285/1287/1288/1289/1290/1293/256076/131873/1634/1730/1756/1832/2199/2200/2201/2273/56776/752/114793/91010/825/1292/1297/1837/3675/3688/4632/127294/10611/83660/60/71/633/255631/1674/81624/2192/2274/8516/3694/4000/4622/4627/6709/7139/477/23002/84665/161176/84823/4604/4607/9499/91977/6383/6442/8910/29766/7140/84676/58/1286/1605/1824/2006/2318/1729/84467/2335/3930/22795/7170/70/72/272/1158/23500/79784/6443/6712/29765/7136/7094",146
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.0190937589056711,"86/8847",4.32716253295563e-13,10.1308006815272,5.01039872236968e-11,"3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/3728/284217/3908/51176/4842/5318/6262/6444/137868/6546/6543/6547/6934/88/487/488/489/775/776/778/781/55799/93589/783/785/10369/10368/27092/27091/59285/59284/59283/859/1000/1496/1499/1756/1832/29119/1837/3675/3688/6932/60/71/1674/8516/3694/4000/1495/6442/8910/779/9254/1605/1824/6443",67
"hsa04020","hsa04020","Calcium signaling pathway",0.0441721288116272,"254/8847",2.60192827281792e-12,9.52779982843978,2.00850603515769e-10,"2778/2902/2903/2904/116443/2911/2915/2925/3274/3356/3358/3360/3361/3362/3363/3707/3708/3709/3710/3791/3973/255231/55283/4233/4638/340156/4775/4842/4914/4915/4916/4923/93129/5021/5023/5026/5136/5153/5137/80310/5156/5255/5256/23236/5332/51196/5335/5530/5566/5578/5579/5582/5733/5737/2185/5979/6261/6262/6263/83447/6546/6543/6547/56848/6786/57620/6869/6870/7942/53373/7201/7424/108/109/196883/113/114/115/135/148/147/146/487/488/489/491/492/552/553/401152/773/775/776/777/778/8913/8912/8911/801/57118/816/814/886/887/1139/1910/1956/2064/2066/2149/2255/8817/8074/2264/2324/2668/490/493/774/817/4486/4846/89869/6865/1129/2252/5159/5330/5336/107/444/2321/3082/5567/2774/57192/56034/10345/623/624/779/57172/815/818/89832/7852/2065/2250/2251/2260/2263/85366/4773/5025/185",155
"hsa05414","hsa05414","Dilated cardiomyopathy",0.0216585921915076,"105/8847",8.43760529717712e-12,9.1961008472056,4.31094142859644e-10,"2778/3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/284217/3908/4625/4634/4842/5566/6262/6444/137868/6546/6543/6547/7042/7137/7273/108/109/196883/111/113/114/115/487/488/489/775/776/778/781/55799/93589/783/785/10369/10368/27092/27091/59285/59284/59283/859/1756/1837/3675/3688/60/71/112/1674/8516/3694/4000/7139/107/5567/3479/4607/6442/8910/779/9254/1605/7170/70/6443",76
"hsa05032","hsa05032","Morphine addiction",0.0193787403818752,"91/8847",9.30771444810595e-12,9.1961008472056,4.31094142859644e-10,"2770/2775/2778/2791/51764/54331/2792/2869/3760/3762/3763/4988/10846/5136/5153/5137/5138/5139/5140/5141/5142/5143/5144/27115/8622/5566/5578/5579/5582/140679/108/109/196883/111/113/114/115/134/773/2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2565/2566/2567/55879/2569/2570/774/112/2550/2568/2784/107/2786/5567/50940/9568/2564/59345/5151",68
"hsa04510","hsa04510","Focal adhesion",0.0361926474779139,"203/8847",2.30292887705349e-11,8.88184461877325,8.88849742020644e-10,"2885/2932/3381/3480/3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/3791/284217/3908/3909/3910/3911/3914/3915/3918/5604/5602/4233/93408/4638/340156/5063/10298/55742/64098/80310/5156/5290/5291/5295/8503/4659/5578/5579/5582/5747/5829/5894/5649/6093/6464/53358/399694/6654/7060/63923/7143/7148/7409/7410/10451/7414/7424/7448/331/7791/87/81/208/2909/394/596/673/859/1278/1282/1284/1285/1287/1288/1293/256076/131873/1499/1956/2064/2317/2324/1292/1297/2316/3675/3688/22798/5293/4660/5923/83660/3371/60/71/8516/3694/3912/5159/8395/387/6655/2321/3082/3265/3479/5599/56034/8394/5499/5728/2889/9475/9564/329/1286/1729/2335/824/896/2534/85366/7094",127
"hsa04360","hsa04360","Axon guidance",0.0330578512396694,"184/8847",8.45140937626888e-11,8.38414279503241,2.79595498162279e-09,"2770/2932/3845/3897/4233/8440/4756/4775/25791/22854/84628/5063/10298/5290/5291/5295/8503/5335/5361/5362/91584/10154/5530/5578/5590/5727/5747/5894/5921/5998/6091/6092/64221/6093/10371/10512/223117/9723/54910/10507/10505/9037/54437/57556/80031/8482/6585/9353/6586/6608/57522/23380/9901/54434/85464/7220/7222/7223/7224/7225/90249/219699/8633/137970/25/22885/23365/655/91653/816/6387/1630/55740/1969/2042/2043/2044/285220/2045/2047/2049/2050/2051/151449/84448/817/3688/8829/56288/5293/23654/658/56896/5336/387/81029/2046/3265/3985/9860/5781/9475/659/815/818/1072/7852/1808/1946/1947/1948/2041/2534/4773/10500/2048",116
"hsa05033","hsa05033","Nicotine addiction",0.0102593331433457,"41/8847",2.08920339880293e-10,8.04908315724196,6.04769404916638e-09,"2890/2891/2892/2893/2902/2903/2904/116443/57084/140679/773/1137/8973/1139/1141/2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2565/2566/2567/55879/2569/2570/774/2568/246213/89832/2564",36
"hsa04727","hsa04727","GABAergic synapse",0.018238814477059,"89/8847",5.94915241961057e-10,7.64875110012061,1.520274004104e-08,"2770/2775/2791/51764/54331/2792/9001/3763/4905/5334/5566/5578/5579/5582/57468/140679/6540/18/108/109/196883/111/113/114/115/773/775/776/778/2554/2555/2556/2557/2558/2559/2560/2561/2562/2563/2565/2566/2567/55879/2569/2570/2572/774/112/2550/2568/2784/10243/6529/6538/6539/66008/107/2786/5567/779/9568/2564/2744/59345",64
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0273582217155885,"149/8847",6.56481956317638e-10,7.64875110012061,1.520274004104e-08,"10672/2778/2885/2911/2912/2913/2914/2915/2916/2917/2918/3643/4254/3845/23566/5604/2206/2475/80310/5156/5290/5291/5294/5295/8503/23533/5321/23236/5332/5335/5337/5578/5737/2185/5894/5900/11069/6464/53358/399694/6654/56848/108/109/196883/111/113/114/115/10555/56895/208/552/553/554/1606/1607/8527/1608/160851/9162/8525/1759/26052/1956/2147/2149/2549/9846/5293/112/10554/2205/1902/5159/146850/8395/5330/5336/5898/387/6655/107/9266/2846/3265/3815/9170/56034/8394/8605/5781/1785/2534/10411/185",96
