"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0035825","BP","GO:0035825","homologous recombination",0.0634920634920635,"65/18903",6.5120746500166e-05,1.20434003248276,0.0507655286850588,"BRCA1/MLH1/RNF212/PRDM9",4
"GO:0006312","BP","GO:0006312","mitotic recombination",0.0476190476190476,"26/18903",8.68424041670677e-05,1.20434003248276,0.0507655286850588,"MLH1/MSH2/MSH3",3
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling",0.0793650793650794,"145/18903",0.0001218032559163,1.20434003248276,0.0507655286850588,"ERBB4/KDR/KIT/NF1/PIK3CA",5
"GO:0006298","BP","GO:0006298","mismatch repair",0.0476190476190476,"38/18903",0.000273850682130363,1.20434003248276,0.0507655286850588,"MLH1/MSH2/MSH3",3
"GO:0048015","BP","GO:0048015","phosphatidylinositol-mediated signaling",0.0793650793650794,"178/18903",0.000316271541338531,1.20434003248276,0.0507655286850588,"ERBB4/KDR/KIT/NF1/PIK3CA",5
"GO:0048017","BP","GO:0048017","inositol lipid-mediated signaling",0.0793650793650794,"182/18903",0.000350299062786673,1.20434003248276,0.0507655286850588,"ERBB4/KDR/KIT/NF1/PIK3CA",5
"GO:0008630","BP","GO:0008630","intrinsic apoptotic signaling pathway in response to DNA damage",0.0634920634920635,"102/18903",0.000372794668502012,1.20434003248276,0.0507655286850588,"BRCA1/MLH1/MSH2/ZNF385A",4
"GO:0045910","BP","GO:0045910","negative regulation of DNA recombination",0.0476190476190476,"45/18903",0.000453049413347943,1.20434003248276,0.0507655286850588,"MLH1/MSH2/MSH3",3
"GO:0048304","BP","GO:0048304","positive regulation of isotype switching to IgG isotypes",0.0317460317460317,"10/18903",0.00048353615373679,1.20434003248276,0.0507655286850588,"MLH1/MSH2",2
"GO:0008542","BP","GO:0008542","visual learning",0.0476190476190476,"47/18903",0.000515252486595731,1.20434003248276,0.0507655286850588,"BRAF/KIT/NF1",3
"GO:0019062","BP","GO:0019062","virion attachment to host cell",0.0317460317460317,"11/18903",0.000589719428186282,1.20434003248276,0.0507655286850588,"CD209/CLEC4M",2
"GO:0075733","BP","GO:0075733","intracellular transport of virus",0.0317460317460317,"11/18903",0.000589719428186282,1.20434003248276,0.0507655286850588,"CD209/CLEC4M",2
"GO:0007129","BP","GO:0007129","homologous chromosome pairing at meiosis",0.0476190476190476,"52/18903",0.000693980941451123,1.20434003248276,0.0507655286850588,"MLH1/RNF212/PRDM9",3
"GO:0046929","BP","GO:0046929","negative regulation of neurotransmitter secretion",0.0317460317460317,"12/18903",0.000706143891730332,1.20434003248276,0.0507655286850588,"BRAF/NF1",2
"GO:0051095","BP","GO:0051095","regulation of helicase activity",0.0317460317460317,"12/18903",0.000706143891730332,1.20434003248276,0.0507655286850588,"MSH2/MSH3",2
"GO:0007632","BP","GO:0007632","visual behavior",0.0476190476190476,"53/18903",0.000733878583924972,1.20434003248276,0.0507655286850588,"BRAF/KIT/NF1",3
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process",0.0793650793650794,"218/18903",0.000795399872202687,1.20434003248276,0.0507655286850588,"BRAF/KDR/MSH2/NF1/PIK3CA",5
"GO:0006310","BP","GO:0006310","DNA recombination",0.0952380952380952,"332/18903",0.000821479125456567,1.20434003248276,0.0507655286850588,"BRCA1/MLH1/MSH2/RNF212/MSH3/PRDM9",6
"GO:0044650","BP","GO:0044650","adhesion of symbiont to host cell",0.0317460317460317,"13/18903",0.000832742280488875,1.20434003248276,0.0507655286850588,"CD209/CLEC4M",2
"GO:0007131","BP","GO:0007131","reciprocal meiotic recombination",0.0476190476190476,"58/18903",0.00095526009041125,1.20434003248276,0.0507655286850588,"MLH1/RNF212/PRDM9",3
"GO:0140527","BP","GO:0140527","reciprocal homologous recombination",0.0476190476190476,"58/18903",0.00095526009041125,1.20434003248276,0.0507655286850588,"MLH1/RNF212/PRDM9",3
