"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa01524","hsa01524","Platinum drug resistance",0.108695652173913,"75/8850",3.99346087830532e-05,2.36666910207011,0.00366572748104084,"672/4292/4436/5290/4437",5
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.108695652173913,"80/8850",5.45589092300144e-05,2.36666910207011,0.00366572748104084,"673/3791/4233/4763/5290",5
"hsa05210","hsa05210","Colorectal cancer",0.108695652173913,"87/8850",8.16197134450499e-05,2.36666910207011,0.00366572748104084,"673/4292/4436/5290/4437",5
"hsa03430","hsa03430","Mismatch repair",0.0652173913043478,"23/8850",0.000216413996014675,2.06811756015996,0.00728973460259958,"4292/4436/4437",3
"hsa03265","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus",0.0434782608695652,"12/8850",0.00168762732545838,1.27303636867382,0.0454771152965628,"30835/10332",2
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.152173913043478,"362/8850",0.00243855221328845,1.20338069013722,0.053388606723023,"672/2066/3791/3815/4233/5290/63923",7
"hsa05213","hsa05213","Endometrial cancer",0.0652173913043478,"59/8850",0.0034859026629999,1.20338069013722,0.053388606723023,"673/4292/5290",3
"hsa04510","hsa04510","Focal adhesion",0.108695652173913,"203/8850",0.0038600355022553,1.20338069013722,0.053388606723023,"673/3791/4233/5290/63923",5
"hsa05205","hsa05205","Proteoglycans in cancer",0.108695652173913,"204/8850",0.00394181812372895,1.20338069013722,0.053388606723023,"673/2066/3791/4233/5290",5
"hsa04010","hsa04010","MAPK signaling pathway",0.130434782608696,"300/8850",0.0043145765039646,1.20338069013722,0.053388606723023,"673/2066/3791/3815/4233/4763",6
"hsa04015","hsa04015","Rap1 signaling pathway",0.108695652173913,"212/8850",0.00464160585782492,1.20338069013722,0.053388606723023,"673/3791/3815/4233/5290",5
"hsa05221","hsa05221","Acute myeloid leukemia",0.0652173913043478,"68/8850",0.00520179290560017,1.20338069013722,0.053388606723023,"673/3815/5290",3
"hsa05211","hsa05211","Renal cell carcinoma",0.0652173913043478,"70/8850",0.00564083435496895,1.20338069013722,0.053388606723023,"673/4233/5290",3
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.0652173913043478,"71/8850",0.00586845992822542,1.20338069013722,0.053388606723023,"3815/4233/5290",3
"hsa05218","hsa05218","Melanoma",0.0652173913043478,"73/8850",0.00634009723173788,1.20338069013722,0.053388606723023,"673/4233/5290",3
"hsa05223","hsa05223","Non-small cell lung cancer",0.0652173913043478,"73/8850",0.00634009723173788,1.20338069013722,0.053388606723023,"673/4233/5290",3
"hsa05224","hsa05224","Breast cancer",0.0869565217391304,"148/8850",0.00710836358784555,1.20338069013722,0.053388606723023,"673/672/3815/5290",4
"hsa05226","hsa05226","Gastric cancer",0.0869565217391304,"150/8850",0.00744832506502079,1.20338069013722,0.053388606723023,"673/4233/4292/5290",4
"hsa04014","hsa04014","Ras signaling pathway",0.108695652173913,"238/8850",0.00752862774492629,1.20338069013722,0.053388606723023,"3791/3815/4233/4763/5290",5
"hsa04012","hsa04012","ErbB signaling pathway",0.0652173913043478,"86/8850",0.0099544918341372,1.10435381403604,0.0670618397247138,"673/2066/5290",3
"hsa05225","hsa05225","Hepatocellular carcinoma",0.0869565217391304,"170/8850",0.0114530565121302,1.0646408041421,0.0734832698522642,"673/4233/5290/57492",4
"hsa04625","hsa04625","C-type lectin receptor signaling pathway",0.0652173913043478,"105/8850",0.0170298968184011,0.912553577222551,0.10429793266772,"30835/10332/5290",3
"hsa05206","hsa05206","MicroRNAs in cancer",0.108695652173913,"312/8850",0.0221662199757121,0.817379110240841,0.129852455692959,"672/1788/4233/5290/63923",5
"hsa03460","hsa03460","Fanconi anemia pathway",0.0434782608695652,"55/8850",0.0329683408700498,0.663457062910138,0.18508542242835,"672/4292",2
"hsa05162","hsa05162","Measles",0.0652173913043478,"139/8850",0.0352320559530443,0.661231845827459,0.186036187835969,"30835/10332/5290",3
"hsa05017","hsa05017","Spinocerebellar ataxia",0.0652173913043478,"144/8850",0.0385097908730952,0.661231845827459,0.186036187835969,"9776/5290/6261",3
"hsa04370","hsa04370","VEGF signaling pathway",0.0434782608695652,"60/8850",0.0386606452846622,0.661231845827459,0.186036187835969,"3791/5290",2
"hsa04730","hsa04730","Long-term depression",0.0434782608695652,"60/8850",0.0386606452846622,0.661231845827459,0.186036187835969,"673/6261",2
"hsa04020","hsa04020","Calcium signaling pathway",0.0869565217391304,"254/8850",0.0421929414101511,0.638501108395803,0.196032540852971,"2066/3791/4233/6261",4
"hsa04145","hsa04145","Phagosome",0.0652173913043478,"157/8850",0.0477369648522981,0.599609364946246,0.21439759652962,"245972/30835/10332",3
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection",0.0434782608695652,"71/8850",0.0523724545151078,0.57360167862688,0.227629004344102,"245972/4233",2
"hsa05214","hsa05214","Glioma",0.0434782608695652,"76/8850",0.0591000594421264,0.553922302395238,0.238180923604351,"673/5290",2
"hsa05212","hsa05212","Pancreatic cancer",0.0434782608695652,"77/8850",0.0604800651444973,0.553922302395238,0.238180923604351,"673/5290",2
"hsa05220","hsa05220","Chronic myeloid leukemia",0.0434782608695652,"77/8850",0.0604800651444973,0.553922302395238,0.238180923604351,"673/5290",2
"hsa05100","hsa05100","Bacterial invasion of epithelial cells",0.0434782608695652,"78/8850",0.0618712164831615,0.553922302395238,0.238180923604351,"4233/5290",2
"hsa05152","hsa05152","Tuberculosis",0.0652173913043478,"180/8850",0.0664723450777287,0.535004413294298,0.248785385086236,"245972/30835/10332",3
"hsa04512","hsa04512","ECM-receptor interaction",0.0434782608695652,"89/8850",0.0778681871988955,0.481404885467944,0.281464995880788,"63923/1834",2
"hsa04211","hsa04211","Longevity regulating pathway",0.0434782608695652,"90/8850",0.0793819246195036,0.481404885467944,0.281464995880788,"9776/5290",2
"hsa05215","hsa05215","Prostate cancer",0.0434782608695652,"98/8850",0.09181631786627,0.433013047177323,0.314641664020942,"673/5290",2
"hsa01522","hsa01522","Endocrine resistance",0.0434782608695652,"99/8850",0.0934092440062172,0.433013047177323,0.314641664020942,"673/5290",2
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",0.0652173913043478,"226/8850",0.112294095024299,0.371027642056306,0.362912256194855,"673/4233/5290",3
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation",0.0434782608695652,"111/8850",0.11312655486074,0.371027642056306,0.362912256194855,"673/5290",2
"hsa04722","hsa04722","Neurotrophin signaling pathway",0.0434782608695652,"120/8850",0.128563782712352,0.325692726502321,0.40284367655278,"673/5290",2
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0434782608695652,"122/8850",0.132060552244378,0.324022480479488,0.404395949456469,"10499/5290",2
"hsa04966","hsa04966","Collecting duct acid secretion",0.0217391304347826,"28/8850",0.135963183742214,0.321134101260837,0.407094444888967,"245972",1
"hsa04068","hsa04068","FoxO signaling pathway",0.0434782608695652,"133/8850",0.151669766582412,0.297783514615698,0.429581690569339,"673/5290",2
"hsa04136","hsa04136","Autophagy - other",0.0217391304347826,"32/8850",0.153846911730816,0.297783514615698,0.429581690569339,"9776",1
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity",0.0434782608695652,"135/8850",0.15529728503314,0.297783514615698,0.429581690569339,"673/5290",2
"hsa04910","hsa04910","Insulin signaling pathway",0.0434782608695652,"138/8850",0.160770701142736,0.297783514615698,0.429581690569339,"673/5290",2
"hsa05135","hsa05135","Yersinia infection",0.0434782608695652,"138/8850",0.160770701142736,0.297783514615698,0.429581690569339,"5290/8935",2
"hsa04915","hsa04915","Estrogen signaling pathway",0.0434782608695652,"139/8850",0.16260338209441,0.297783514615698,0.429581690569339,"10499/5290",2
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis",0.0434782608695652,"141/8850",0.166280524770516,0.296504870238912,0.430848323292025,"3791/5290",2
"hsa05216","hsa05216","Thyroid cancer",0.0217391304347826,"37/8850",0.17569297156904,0.28370671168296,0.443733855944994,"673",1
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption",0.0217391304347826,"38/8850",0.179995493219764,0.28370671168296,0.443733855944994,"5290",1
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0434782608695652,"149/8850",0.181133546665046,0.28370671168296,0.443733855944994,"3815/5290",2
"hsa04934","hsa04934","Cushing syndrome",0.0434782608695652,"155/8850",0.192406413300913,0.279727703424087,0.447818028833873,"673/9101",2
"hsa03440","hsa03440","Homologous recombination",0.0217391304347826,"41/8850",0.192771667099581,0.279727703424087,0.447818028833873,"672",1
"hsa05219","hsa05219","Bladder cancer",0.0217391304347826,"41/8850",0.192771667099581,0.279727703424087,0.447818028833873,"673",1
"hsa04150","hsa04150","mTOR signaling pathway",0.0434782608695652,"158/8850",0.19807954899506,0.278517322314459,0.449067840950814,"673/5290",2
"hsa05160","hsa05160","Hepatitis C",0.0434782608695652,"159/8850",0.199975522923409,0.278517322314459,0.449067840950814,"673/5290",2
"hsa05161","hsa05161","Hepatitis B",0.0434782608695652,"163/8850",0.207582091117119,0.269482865471973,0.458507466143076,"673/5290",2
"hsa04930","hsa04930","Type II diabetes mellitus",0.0217391304347826,"47/8850",0.217742522093319,0.268235595509382,0.459826167182265,"5290",1
"hsa04140","hsa04140","Autophagy - animal",0.0434782608695652,"169/8850",0.219052086164794,0.268235595509382,0.459826167182265,"9776/5290",2
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum",0.0434782608695652,"170/8850",0.220969874982044,0.268235595509382,0.459826167182265,"55741/9871",2
"hsa03272","hsa03272","Virion - Hepatitis viruses",0.0217391304347826,"48/8850",0.221830201746132,0.268235595509382,0.459826167182265,"10618",1
"hsa05144","hsa05144","Malaria",0.0217391304347826,"50/8850",0.22994297105747,0.263664352862694,0.464691709693904,"4233",1
"hsa05110","hsa05110","Vibrio cholerae infection",0.0217391304347826,"51/8850",0.233968269163306,0.263664352862694,0.464691709693904,"245972",1
"hsa00270","hsa00270","Cysteine and methionine metabolism",0.0217391304347826,"52/8850",0.237972981019027,0.263664352862694,0.464691709693904,"1788",1
"hsa04973","hsa04973","Carbohydrate digestion and absorption",0.0217391304347826,"52/8850",0.237972981019027,0.263664352862694,0.464691709693904,"5290",1
"hsa04360","hsa04360","Axon guidance",0.0434782608695652,"184/8850",0.247954303530468,0.255871400167938,0.473105369656348,"4233/5290",2
"hsa05165","hsa05165","Human papillomavirus infection",0.0652173913043478,"333/8850",0.249304352994693,0.255871400167938,0.473105369656348,"245972/5290/63923",3
"hsa04062","hsa04062","Chemokine signaling pathway",0.0434782608695652,"193/8850",0.265384179658235,0.240702457369889,0.48992186248639,"673/5290",2
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes",0.0217391304347826,"59/8850",0.265438134089306,0.240702457369889,0.48992186248639,"5290",1
"hsa04213","hsa04213","Longevity regulating pathway - multiple species",0.0217391304347826,"62/8850",0.276910258629106,0.228235587527602,0.504189375597804,"5290",1
"hsa00310","hsa00310","Lysine degradation",0.0217391304347826,"63/8850",0.280695207207061,0.228169179197554,0.504266477508825,"56979",1
"hsa04929","hsa04929","GnRH secretion",0.0217391304347826,"65/8850",0.288207050978697,0.227473870200607,0.505074458859475,"5290",1
"hsa05203","hsa05203","Viral carcinogenesis",0.0434782608695652,"205/8850",0.288642161449771,0.227473870200607,0.505074458859475,"245972/5290",2
"hsa04720","hsa04720","Long-term potentiation",0.0217391304347826,"67/8850",0.295642135010281,0.222671185815677,0.510690867494143,"673",1
"hsa04664","hsa04664","Fc epsilon RI signaling pathway",0.0217391304347826,"69/8850",0.30300122641474,0.217525617998478,0.516777574698025,"5290",1
"hsa04917","hsa04917","Prolactin signaling pathway",0.0217391304347826,"71/8850",0.310285084811246,0.213024904752334,0.522160929349641,"5290",1
"hsa00562","hsa00562","Inositol phosphate metabolism",0.0217391304347826,"73/8850",0.317494462396731,0.213024904752334,0.522160929349641,"5290",1
"hsa04115","hsa04115","p53 signaling pathway",0.0217391304347826,"75/8850",0.324630104016741,0.213024904752334,0.522160929349641,"25946",1
