"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0405832320777643,"232/8843",1.55218227768925e-15,12.2763029005117,3.15338083783185e-13,"70/88/375790/270/272/287/288/477/478/480/23439/825/1158/1301/1302/1277/1278/255631/85301/1281/1282/1284/1285/1286/1287/1288/1289/1290/50509/1292/1293/256076/131873/1297/23002/23500/1605/1634/1674/1729/1730/81624/1756/1824/1829/1832/1837/2006/2192/2199/2200/2201/2273/2275/2318/56776/752/114793/91010/3339/64423/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/3728/284217/3908/3930/4000/84823/25802/442721/56203/4604/4606/4608/343263/4619/4629/8735/79784/22989/4620/4621/4622/4624/4625/57644/4626/4627/4632/10398/8736/9172/127294/58529/91977/84665/4703/10529/84033/8572/10611/5318/5339/6382/9672/6442/8910/137868/6709/6711/6712/57731/23353/23345/171024/7060/7125/7138/7139/7168/57159/84675/7273/1462/7414/129446/7791/482/93661/1298/3674/3688/3693/4634/4635/22795/23224/83660/7169/7171/7431/58/60/71/72/633/830/1311/4633/51778/27295/8048/2027/3691",167
"hsa04020","hsa04020","Calcium signaling pathway",0.0425273390036452,"254/8843",2.38540641306576e-13,10.3907132341695,2.42307072485101e-11,"107/108/109/114/115/136/148/147/146/444/487/488/491/553/623/624/773/774/775/776/777/8913/8912/8911/779/57118/57172/816/817/814/886/887/952/89832/1128/1139/7852/1909/1910/1950/1956/2066/2149/8823/9965/26291/8074/2248/2250/2251/2252/2260/2263/2321/2324/2668/2767/2774/2776/2778/2902/2903/2904/116443/116444/2911/2915/2925/3082/3270/3356/3358/3360/3361/3362/3363/3707/3708/3709/3710/3791/3973/255231/90550/4233/4638/85366/340156/4772/4773/4775/4776/4842/4846/4914/4916/4923/80228/93129/5021/5023/5024/5026/5136/5153/5137/5155/56034/80310/5156/5159/5255/5261/23236/5330/5332/113026/51196/5335/5336/89869/5530/5532/5566/5567/5578/5579/5582/5733/5737/2185/5979/6261/6262/6263/83447/6546/6543/6547/56848/6786/57620/6869/6865/6870/6915/7942/7039/7125/10345/7201/7422/7424/489/490/493/8536/2064/2261/2264/4915/84812/5535/113/492/552/1129/4486/91807/4843/2065/2769/2905/2906/3269",175
"hsa04510","hsa04510","Focal adhesion",0.0349939246658566,"203/8843",9.57456406696093e-13,9.96324786620643,6.48382759622267e-11,"87/81/207/208/2909/394/572/9564/596/329/330/673/857/859/894/1277/1278/1280/1282/1284/1285/1286/1287/1288/1292/1293/256076/131873/1297/1398/1499/1729/1950/1956/2317/2321/2324/3082/3381/3479/3480/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/3791/284217/3908/3909/3910/3911/3912/3914/22798/3915/3918/5604/5602/4233/10398/4638/85366/340156/10298/55742/64098/5155/56034/80310/5156/5159/5295/8394/8395/23396/5499/5500/4660/54776/5578/5579/5582/5728/5829/5879/5880/5894/2889/5649/9475/25759/53358/6654/6655/6696/7060/63923/7143/7148/7409/7410/7414/7422/7424/7448/7450/7791/1298/2064/3674/3688/3693/5293/83660/3371/10451/60/71/1311/5599/4633/91807/5062/5063/56924/5290/5291/5296/5906/387/2534/3265/595/3691",144
"hsa04024","hsa04024","cAMP signaling pathway",0.0376670716889429,"226/8843",1.01308597168006e-11,9.06365931066524,5.14541032984875e-10,"10257/51/107/55811/108/109/111/112/114/115/116/117/134/207/208/477/478/480/23439/487/488/491/572/627/673/11149/775/776/779/816/817/814/1080/1128/1259/1260/1261/1262/1258/54714/90993/64764/84699/148327/9586/1387/1392/1394/1395/1813/1906/1908/1909/2033/2149/2353/2488/2492/2550/9568/2641/2693/2735/2737/2740/2771/2778/2890/2891/2892/2893/2902/2903/2904/116443/116444/610/10021/64399/3360/3362/3973/3991/5604/5605/5602/4158/10398/4772/4790/4878/4852/5021/10846/5139/5140/5141/5142/5143/5144/5295/51196/5337/5338/5443/64091/5465/5499/5500/5566/5567/5727/5732/5733/5879/5880/5894/10411/11069/9475/6262/6548/7074/7252/7253/7409/7410/7434/64411/482/489/490/493/5293/64208/10451/8310/113/492/1129/5599/4886/5290/5291/5296/5906/387/6752/6755/56670/2695/2905/2906/338442/3354",155
"hsa05412","hsa05412","Arrhythmogenic right ventricular cardiomyopathy",0.0170109356014581,"86/8843",2.41383217313426e-11,8.78934628270216,9.67682845093498e-10,"88/487/488/775/776/779/781/9254/55799/93589/783/784/785/786/10369/10368/27092/27091/59285/59284/859/1000/1496/29119/1499/1605/1674/1756/1824/1829/1832/1837/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/3728/284217/3908/51176/4000/4842/5318/6262/6442/8910/137868/6546/6543/6547/83439/6934/489/3674/3688/3693/60/71/782/3691",70
"hsa05414","hsa05414","Dilated cardiomyopathy",0.0199270959902795,"105/8843",2.85792342851448e-11,8.78934628270216,9.67682845093498e-10,"70/107/108/109/111/112/114/115/183/487/488/775/776/779/781/9254/55799/93589/783/784/785/786/10369/10368/27092/27091/59285/59284/859/1605/1674/1756/1837/2778/3479/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/284217/3908/4000/4624/4625/4842/5566/5567/6262/6442/8910/137868/6546/6543/6547/7042/7139/7168/7273/489/3674/3688/3693/4634/7169/7171/60/71/113/4633/782/7124/3691",82
"hsa04512","hsa04512","ECM-receptor interaction",0.0172539489671932,"89/8843",1.0391733217009e-10,8.29565567228975,3.01594663290636e-09,"375790/948/1277/1278/1280/1282/1284/1285/1286/1287/1288/1292/1293/256076/131873/1297/1605/1758/1834/80144/158326/341640/51206/3339/3381/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/284217/3908/3909/3910/3911/3912/3914/22798/3915/3918/56955/255743/5649/6382/6696/9899/22987/7060/63923/7143/7148/7448/7450/1298/3674/3688/3693/3371/1311/9900/961/3691",71
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.021142162818955,"115/8843",1.46831194300521e-10,8.20351727671506,3.72873953947375e-09,"107/108/109/111/112/114/115/11214/369/9826/408/409/1388/596/673/846/1026/90993/64764/84699/148327/9586/1591/1956/8074/2260/2353/2625/8521/9247/2767/2771/2776/2778/3708/3709/3710/9365/4040/5604/4205/4322/4324/4325/10893/64386/4666/9943/5141/5142/5143/5144/23236/5330/5332/5337/5338/5566/5567/5578/5579/5582/5745/5744/5894/6256/6446/6569/10568/50964/6667/8600/56302/7421/65125/65268/65267/65266/4326/860/113/9138/4208/4209/4929/387/6559",87
"hsa05410","hsa05410","Hypertrophic cardiomyopathy",0.0187120291616039,"99/8843",1.65334352460996e-10,8.20312503165922,3.73210877485056e-09,"1636/70/183/487/488/775/776/779/781/9254/55799/93589/783/784/785/786/10369/10368/27092/27091/59285/59284/859/1605/1674/1756/1837/1906/3479/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/284217/3908/4000/4624/4625/4842/5563/5571/51422/53632/6262/6442/8910/137868/6546/6543/6547/7042/7139/7168/7273/489/3674/3688/3693/4634/7169/7171/60/71/4633/782/7124/3691",77
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0549210206561361,"362/8843",4.0189032705719e-10,7.86313806755555,8.16471927600396e-09,"207/208/284/285/51378/374/1388/572/596/10018/627/672/894/898/1019/1026/1128/1277/1278/1280/1282/1284/1285/1286/1287/1288/1292/1293/256076/131873/1297/90993/64764/84699/148327/9586/200186/1435/1442/1444/1946/1950/1956/1977/1969/2056/2066/2069/2149/356/8823/9965/26291/8074/2248/2250/2251/2252/2260/2263/2321/2322/2324/2309/57818/2668/2689/2690/10681/2793/2998/3082/3320/3381/3448/3479/3480/3551/3559/3560/3563/3566/3574/3575/3643/3672/8515/22801/3673/3675/3676/3678/3655/3679/8516/3680/3690/3694/3696/3791/3815/4254/3845/284217/3908/3909/3910/3911/3912/3914/22798/3915/3918/1902/23566/2846/9223/9863/5604/5605/4170/4233/2475/4602/4609/4790/4804/4846/3164/4893/4908/4909/4914/5008/9180/5106/5155/56034/80310/5156/5159/23239/23035/118788/5294/5295/23533/146850/5585/5518/5519/5520/5521/5522/5523/28227/5527/5529/5563/5578/5618/5728/5879/5894/5649/5979/6198/57521/6256/6446/10110/23678/6654/6655/6696/6850/8115/9623/7010/7039/7060/7099/63923/7143/7148/7157/7422/7424/7448/7450/10971/11140/1298/2064/2261/2264/59345/3481/3674/3688/3693/4915/5105/5293/3371/1129/1311/3716/3717/4515/5290/5291/5296/5526/1436/1441/1443/2065/3265/3326/595/2786/3455/3718/3691/5617",226
