"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0060253","BP","GO:0060253","negative regulation of glial cell proliferation",0.666666666666667,"17/18903",2.28255805094927e-06,3.17614272783608,9.28682503816425e-05,"NF2/TP53",2
"GO:0051348","BP","GO:0051348","negative regulation of transferase activity",1,"276/18903",3.07942097403807e-06,3.17614272783608,9.28682503816425e-05,"LATS2/NF2/TP53",3
"GO:0034504","BP","GO:0034504","protein localization to nucleus",1,"306/18903",4.20118275536002e-06,3.17614272783608,9.28682503816425e-05,"LATS2/NF2/TP53",3
"GO:0060251","BP","GO:0060251","regulation of glial cell proliferation",0.666666666666667,"39/18903",1.24269291115906e-05,3.02512298285537,0.000131488269158114,"NF2/TP53",2
"GO:0045936","BP","GO:0045936","negative regulation of phosphate metabolic process",1,"440/18903",1.25276044373213e-05,3.02512298285537,0.000131488269158114,"LATS2/NF2/TP53",3
"GO:0010563","BP","GO:0010563","negative regulation of phosphorus metabolic process",1,"441/18903",1.26134099471659e-05,3.02512298285537,0.000131488269158114,"LATS2/NF2/TP53",3
"GO:0014014","BP","GO:0014014","negative regulation of gliogenesis",0.666666666666667,"44/18903",1.58620769143122e-05,3.02512298285537,0.000131488269158114,"NF2/TP53",2
"GO:0035329","BP","GO:0035329","hippo signaling",0.666666666666667,"44/18903",1.58620769143122e-05,3.02512298285537,0.000131488269158114,"LATS2/NF2",2
"GO:0014009","BP","GO:0014009","glial cell proliferation",0.666666666666667,"54/18903",2.39858499343557e-05,2.896680444496,0.000176737841621568,"NF2/TP53",2
"GO:2000177","BP","GO:2000177","regulation of neural precursor cell proliferation",0.666666666666667,"90/18903",6.704481210821e-05,2.51825458375625,0.000422430636599758,"NF2/TP53",2
"GO:0072091","BP","GO:0072091","regulation of stem cell proliferation",0.666666666666667,"92/18903",7.00698436899598e-05,2.51825458375625,0.000422430636599758,"NF2/TP53",2
"GO:0014013","BP","GO:0014013","regulation of gliogenesis",0.666666666666667,"107/18903",9.48770135164976e-05,2.42441328756114,0.000524320337854329,"NF2/TP53",2
