"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05216","hsa05216","Thyroid cancer",1,"37/8843",0.00418410041841,1.53557763441694,NA,"7157",1
"hsa05219","hsa05219","Bladder cancer",1,"41/8843",0.0046364355987788,1.53557763441694,NA,"7157",1
"hsa04216","hsa04216","Ferroptosis",1,"42/8843",0.0047495193938708,1.53557763441694,NA,"7157",1
"hsa05213","hsa05213","Endometrial cancer",1,"59/8843",0.00667194391043757,1.53557763441694,NA,"7157",1
"hsa05217","hsa05217","Basal cell carcinoma",1,"63/8843",0.00712427909080604,1.53557763441694,NA,"7157",1
"hsa05230","hsa05230","Central carbon metabolism in cancer",1,"71/8843",0.00802894945154342,1.53557763441694,NA,"7157",1
"hsa05218","hsa05218","Melanoma",1,"73/8843",0.00825511704172788,1.53557763441694,NA,"7157",1
"hsa05223","hsa05223","Non-small cell lung cancer",1,"73/8843",0.00825511704172788,1.53557763441694,NA,"7157",1
"hsa01524","hsa01524","Platinum drug resistance",1,"75/8843",0.00848128463191222,1.53557763441694,NA,"7157",1
"hsa04115","hsa04115","p53 signaling pathway",1,"75/8843",0.00848128463191222,1.53557763441694,NA,"7157",1
"hsa05214","hsa05214","Glioma",1,"76/8843",0.00859436842700434,1.53557763441694,NA,"7157",1
"hsa05212","hsa05212","Pancreatic cancer",1,"77/8843",0.00870745222209657,1.53557763441694,NA,"7157",1
"hsa05220","hsa05220","Chronic myeloid leukemia",1,"77/8843",0.00870745222209657,1.53557763441694,NA,"7157",1
"hsa05210","hsa05210","Colorectal cancer",1,"87/8843",0.00983829017301807,1.53557763441694,NA,"7157",1
"hsa04211","hsa04211","Longevity regulating pathway",1,"90/8843",0.0101775415582946,1.53557763441694,NA,"7157",1
"hsa05222","hsa05222","Small cell lung cancer",1,"93/8843",0.0105167929435711,1.53557763441694,NA,"7157",1
"hsa05215","hsa05215","Prostate cancer",1,"98/8843",0.011082211919032,1.53557763441694,NA,"7157",1
"hsa01522","hsa01522","Endocrine resistance",1,"99/8843",0.0111952957141239,1.53557763441694,NA,"7157",1
"hsa04137","hsa04137","Mitophagy - animal",1,"105/8843",0.0118737984846772,1.53557763441694,NA,"7157",1
"hsa04722","hsa04722","Neurotrophin signaling pathway",1,"120/8843",0.0135700554110595,1.53557763441694,NA,"7157",1
"hsa04071","hsa04071","Sphingolipid signaling pathway",1,"122/8843",0.0137962230012438,1.53557763441694,NA,"7157",1
"hsa04919","hsa04919","Thyroid hormone signaling pathway",1,"122/8843",0.0137962230012438,1.53557763441694,NA,"7157",1
"hsa04210","hsa04210","Apoptosis",1,"136/8843",0.0153793961325343,1.53557763441694,NA,"7157",1
"hsa05162","hsa05162","Measles",1,"139/8843",0.0157186475178107,1.53557763441694,NA,"7157",1
"hsa05418","hsa05418","Fluid shear stress and atherosclerosis",1,"141/8843",0.0159448151079951,1.53557763441694,NA,"7157",1
"hsa05224","hsa05224","Breast cancer",1,"148/8843",0.0167364016736403,1.53557763441694,NA,"7157",1
"hsa05226","hsa05226","Gastric cancer",1,"150/8843",0.0169625692638244,1.53557763441694,NA,"7157",1
"hsa04218","hsa04218","Cellular senescence",1,"157/8843",0.0177541558294697,1.53557763441694,NA,"7157",1
"hsa04110","hsa04110","Cell cycle",1,"158/8843",0.0178672396245617,1.53557763441694,NA,"7157",1
"hsa05160","hsa05160","Hepatitis C",1,"159/8843",0.0179803234196539,1.53557763441694,NA,"7157",1
"hsa05161","hsa05161","Hepatitis B",1,"163/8843",0.0184326586000224,1.53557763441694,NA,"7157",1
"hsa05225","hsa05225","Hepatocellular carcinoma",1,"170/8843",0.0192242451656677,1.53436823658191,NA,"7157",1
"hsa04310","hsa04310","Wnt signaling pathway",1,"174/8843",0.0196765803460365,1.53436823658191,NA,"7157",1
"hsa05202","hsa05202","Transcriptional misregulation in cancer",1,"193/8843",0.0218251724527874,1.52443328054767,NA,"7157",1
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",1,"196/8843",0.0221644238380642,1.52443328054767,NA,"7157",1
"hsa05169","hsa05169","Epstein-Barr virus infection",1,"203/8843",0.0229560104037091,1.52443328054767,NA,"7157",1
"hsa05205","hsa05205","Proteoglycans in cancer",1,"204/8843",0.0230690941988012,1.52443328054767,NA,"7157",1
"hsa05203","hsa05203","Viral carcinogenesis",1,"205/8843",0.0231821779938935,1.52443328054767,NA,"7157",1
"hsa05417","hsa05417","Lipid and atherosclerosis",1,"216/8843",0.0244260997399074,1.51507896255895,NA,"7157",1
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection",1,"223/8843",0.0252176863055524,1.51507896255895,NA,"7157",1
"hsa05163","hsa05163","Human cytomegalovirus infection",1,"226/8843",0.025556937690829,1.51507896255895,NA,"7157",1
