"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0328680774425934,"170/18903",6.97572442435354e-25,20.3701562887287,3.38432777598373e-21,"CDH1/CDH10/CDH11/CDH12/CDH16/CDH17/CDH2/CDH3/CDH7/CDHR1/CEACAM1/CELSR1/CLSTN1/CNTN4/DCHS1/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/FAT4/HMCN1/IGSF21/KIRREL3/MPZL2/PCDH10/PCDH11X/PCDH15/PCDH17/PCDH18/PCDH19/PCDH20/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA7/PCDHA9/PCDHAC1/PCDHAC2/PCDHB5/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA7/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC5/ROBO1/ROBO2/SDK1/SDK2/TENM3/L1CAM/CADM2/CDH9/CDH23/CDH6",73
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0432237730751914,"282/18903",3.55346992854171e-23,18.964122955324,8.61996994770986e-20,"CBLN1/CD6/CDH1/CDH10/CDH11/CDH12/CDH16/CDH17/CDH2/CDH3/CDH7/CDHR1/CEACAM1/CELSR1/CLDN10/CLSTN1/CNTN4/CRB1/CRTAM/DAB1/DCHS1/DCHS2/DSCAM/DSCAML1/FAT1/FAT3/FAT4/HMCN1/ICAM1/IGSF21/IL1RAPL1/KIRREL3/LRFN5/MAPK14/MPZL2/NLGN1/PCDH10/PCDH11X/PCDH15/PCDH17/PCDH18/PCDH19/PCDH20/PCDH7/PCDH9/PCDHA1/PCDHA10/PCDHA11/PCDHA13/PCDHA2/PCDHA3/PCDHA4/PCDHA7/PCDHA9/PCDHAC1/PCDHAC2/PCDHB5/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA7/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB6/PCDHGB7/PCDHGC3/PCDHGC5/ROBO1/ROBO2/SDK1/SDK2/TENM1/TENM2/TENM3/TENM4/TGFBR2/UNC5D/WNK1/CLDN18/L1CAM/CADM2/CDH9/CLDN6/PTPRD/PTPRF/PTPRS/SELE/CDH23/CDH6",96
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction",0.0418730301665916,"305/18903",8.80042374107308e-19,14.7463632749639,1.42319835167038e-15,"ABCA1/ABL1/ABL2/ABRA/ADCYAP1R1/ADRA1A/AKAP13/ARHGAP1/ARHGAP20/ARHGAP21/ARHGAP24/ARHGAP28/ARHGAP30/ARHGAP31/ARHGAP32/ARHGAP35/ARHGAP5/ARHGAP6/ARHGEF11/ARHGEF12/ARHGEF17/ARHGEF2/ARHGEF25/ARRB1/AUTS2/CBL/CGNL1/DAB2IP/DENND3/DENND4C/DLC1/DNM2/DNMBP/DOCK2/DOCK3/EPHB2/EPS8L2/FAM13A/FGD4/FGD5/GBF1/IQSEC1/IQSEC2/IQSEC3/ITPKB/KALRN/KANK1/KANK2/KRAS/MCF2L/MET/MFN2/MYO9A/MYO9B/MYOC/NRG1/NTRK1/PLCE1/PLEKHG1/PREX1/PREX2/RAF1/RALBP1/RALGAPB/RASA1/RASA2/RASGEF1A/RELN/ROBO1/SLIT2/SOS1/SRC/SRGAP2/STAMBP/STARD13/STARD8/SYNGAP1/TIAM2/TRIM67/TRIO/ARAP1/CHN1/EPS8/MADD/SIPA1L2/TIAM1/ARHGEF18/PDGFRB/RALGAPA2/SPATA13/SSX2IP/ARHGEF4/FRMD7",93
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0517784781629896,"430/18903",5.68403206307512e-18,14.0611490764627,6.89413257334559e-15,"ABL1/ACTN2/ADNP/AGT/ANK2/APC/ARHGAP6/ARHGEF7/BSN/CBLN1/CBLN4/CDH1/CDH10/CDH11/CDH12/CDH2/CDH7/CLASP2/CLDN10/CLSTN1/CORO2B/CTNND2/CUX2/DCHS1/DLC1/DLG5/DSCAM/DST/EPB41L3/EPHA7/EPHB2/ERBB4/HAPLN4/HIPK1/IKBKB/IL1RAPL1/ITGB4/JUP/KIRREL3/LAMC1/LIMCH1/LRFN5/LRP4/MACF1/MAP1B/MECP2/MPDZ/MYCBP2/MYO9A/MYOC/NLGN1/NLGN3/NLGN4X/NRG1/NRXN2/NTRK1/OCLN/PARD3/PCDH17/PCDHB5/PCLO/PEAK1/PHLDB2/PKP4/PLEC/PPM1F/PRKACA/PTPRJ/PTPRO/RAPGEF1/RAPGEF2/ROBO2/RYK/SDK1/SDK2/SETD5/SHANK2/SLIT1/SLITRK5/SLK/SMAD7/SPOCK2/SPTBN2/SRC/SRGAP2/THBS1/TJP1/VCL/CLDN18/CNTNAP2/EPHB1/FMN1/NRCAM/NTRK3/SEMA4D/ACTG1/ACVRL1/CDH9/CLDN6/CNTN5/DRD2/DUSP22/NR1H4/PRKCH/PTK2B/PTPRD/SORBS1/TLN1/TLN2/TRPV4/CDH6/WNT4/LAMA3/LRRN3/NRXN1",115
"GO:0050808","BP","GO:0050808","synapse organization",0.0513282305267897,"432/18903",2.35292889453358e-17,13.5411068055429,2.2830840578748e-14,"ABL1/ADNP/ANK3/BSN/CACNB1/CAST/CBLN1/CBLN4/CDH1/CDH2/CFL1/CHD4/CLSTN1/COL4A1/COL4A5/CTNND2/CUX2/DAB2IP/DAG1/DCTN1/DLG5/DOCK10/DSCAM/EPHA7/EPHB2/ERBB4/ERC2/FLNA/FRMPD4/GRIN2B/GRM5/HAPLN4/IGF1R/IGSF21/IL1RAPL1/INSR/KIRREL3/LAMB2/LGMN/LRFN2/LRFN5/LRP4/LRRK2/MAP1B/MAPK14/MECP2/MYCBP2/NFASC/NLGN1/NLGN3/NLGN4X/NOS1AP/NRG1/NRXN2/NTRK1/PCDH17/PCDHB5/PCDHGC3/PCDHGC5/PCLO/PDZRN3/PPFIBP2/PTPRO/RELN/REST/ROBO2/RYK/SDK1/SDK2/SETD5/SEZ6L/SHANK2/SLC1A1/SLC8A3/SLIT1/SLITRK5/SPOCK2/SPTBN2/SRGAP2/SYBU/SYNGAP1/TANC1/TANC2/UNC13C/ZC4H2/ZNF365/ZNF804A/CAMK2B/EPHB1/ERBB2/HSPA8/L1CAM/NRCAM/NTRK3/PPFIBP1/SEMA4D/TNC/ACTG1/CACNB2/CAMKV/CNTN5/CTBP2/DRD2/FYN/NEDD9/PAK3/PFN2/PTPRD/PTPRF/PTPRS/TNR/ZDHHC15/LRRN3/NRXN1",114
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0517784781629896,"446/18903",1.09415022014694e-16,12.9528199025213,8.84726028887236e-14,"ABL1/ABL2/ADNP/AGT/ALK/ARHGAP35/BCL11A/BMPR2/CAMK1D/CARM1/CDH1/CDH2/CERS2/CFL1/CFLAR/CHRNA3/COBL/CSMD3/CUX1/CUX2/DAB1/DAB2IP/DIXDC1/DPYSL3/DSCAM/EP300/EPHA7/EPHB2/EZH2/FAT3/FLNA/GATA3/GOLGA4/HECW1/HES1/IGF1R/IL1RAPL1/INPP5F/KANK1/KIDINS220/LPAR3/LRP4/LRRC7/LRRK2/MACF1/MAGI2/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MFSD2A/MYCBP2/NIN/NLGN1/NTRK1/PLXNA2/PLXNA4/PMP22/PRKD1/PTK7/PTPRG/PTPRO/RAPGEF1/RAPGEF2/RELN/ROBO1/ROBO2/ROR1/ROR2/RYK/SCARF1/SDC2/SEMA6C/SETX/SLIT1/SLIT2/SMURF1/SPOCK1/SYNGAP1/TANC2/TENM3/TIAM2/TNIK/TRIM67/VLDLR/WNT3/YTHDF1/ZNF365/ZNF804A/CAMK2B/CHN1/L1CAM/NRCAM/NTRK3/SEMA4D/SEMA6D/TIAM1/CNTN1/DAB2/ENC1/FYN/HECW2/MEGF8/PAK3/PTK2B/PTPRD/PTPRF/PTPRS/SEMA4B/TNR/TRPV4/ZDHHC15/FRMD7/PTPN9",115
"GO:0061564","BP","GO:0061564","axon development",0.0535794687077893,"490/18903",3.81722525808745e-15,11.4770958553894,2.6456528142143e-12,"ABL1/ADNP/ANK3/APBB1/ARHGAP35/ARHGEF25/AUTS2/BMPR2/CDH1/CDH11/CDH2/CERS2/CNTN4/COBL/CRTAC1/DAB1/DAG1/DCLK1/DIXDC1/DNM2/DOCK7/DSCAM/DSCAML1/ECE1/EPHA7/EPHB2/FGFR2/FLNA/FOLR1/GATA3/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/INPP5F/KALRN/LAMA1/LAMA2/LAMB2/LGI1/LGR6/LHX4/LHX9/LMTK2/LPAR3/LRP4/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MYCBP2/NCAM1/NCAM2/NFASC/NIN/NLGN3/NREP/NTRK1/NUMB/PARD3/PLP1/PLXNA2/PLXNA4/PTPRO/PTPRZ1/RAPH1/RELN/ROBO1/ROBO2/RYK/SCARF1/SEMA6C/SLIT1/SLIT2/SLITRK5/SMURF1/SOS1/SYNGAP1/SZT2/TIAM2/TRIO/UNC5C/UNC5D/USP9X/VCL/WNT3/YTHDF1/CHN1/EPHB1/ERBB2/L1CAM/MMP2/NRCAM/NRXN3/PHOX2B/SEMA4D/SEMA6D/TIAM1/TNC/ADARB1/CNTN1/CNTN5/DRD2/EPHB6/FYN/MEGF8/PAK3/PRKCQ/PTPRF/PTPRS/SEMA4B/SMAD4/TNR/LAMA3/NRXN1",119
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.0414227825303917,"352/18903",5.55233911342036e-14,10.3723596080728,3.36720144391506e-11,"ABL1/ABL2/ADNP/AGT/ALK/APC/ARHGAP35/ARHGEF7/AUTS2/BMPR2/CAMK1D/CFLAR/COBL/CUX1/CUX2/DAB2IP/DIXDC1/DNM2/DPYSL3/DSCAM/EP300/EPHB2/EPS8L2/EZH2/FLNA/FNBP1L/GOLGA4/HSP90AA1/HTT/IGF1R/IL1RAPL1/KIDINS220/LPAR3/LRRC7/MACF1/MAGI2/MAP1B/MAP3K13/MAP6/MARK2/MTOR/MYO3A/NIN/NLGN1/NTRK1/OCLN/PIK3R1/PLCE1/PLXNA2/PLXNA4/PRKD1/PTK7/RAPGEF1/RAPGEF2/RELN/ROBO1/ROBO2/ROR1/ROR2/RREB1/SCARF1/SETX/SLIT2/SMURF1/SRC/TENM1/TENM2/TENM3/TIAM2/TRIM67/VLDLR/WNT3/ZNF804A/ARAP1/CAMK2B/CLRN1/EPS8/L1CAM/NTRK3/SEMA4D/TIAM1/CNTN1/ENC1/FYN/MARK4/MEGF8/NEDD9/PAK3/PTK2B/PTPRD/ZDHHC15/FRMD7",92
"GO:0007409","BP","GO:0007409","axonogenesis",0.0481764970733904,"438/18903",6.36725830921839e-14,10.364035644814,3.43236181838451e-11,"ABL1/ADNP/ANK3/APBB1/ARHGAP35/ARHGEF25/AUTS2/BMPR2/CDH1/CDH11/CDH2/CNTN4/COBL/DAB1/DAG1/DCLK1/DIXDC1/DNM2/DOCK7/DSCAM/DSCAML1/ECE1/EPHA7/EPHB2/FGFR2/GATA3/GLI2/GLI3/GOLGA4/HSP90AA1/IGF1R/KALRN/LAMA1/LAMA2/LAMB2/LGI1/LGR6/LHX4/LHX9/LMTK2/LPAR3/LRP4/MACF1/MAP1A/MAP1B/MAP2/MAP3K13/MAP6/MARK2/MYCBP2/NCAM1/NFASC/NIN/NLGN3/NTRK1/NUMB/PARD3/PLXNA2/PLXNA4/PTPRO/PTPRZ1/RAPH1/RELN/ROBO1/ROBO2/RYK/SEMA6C/SLIT1/SLIT2/SLITRK5/SMURF1/SOS1/SYNGAP1/SZT2/TIAM2/TRIO/UNC5C/UNC5D/USP9X/VCL/WNT3/YTHDF1/CHN1/EPHB1/ERBB2/L1CAM/NRCAM/NRXN3/PHOX2B/SEMA4D/SEMA6D/TIAM1/ADARB1/CNTN1/CNTN5/DRD2/EPHB6/FYN/MEGF8/PAK3/PRKCQ/PTPRS/SEMA4B/SMAD4/TNR/LAMA3/NRXN1",107
"GO:0033674","BP","GO:0033674","positive regulation of kinase activity",0.0504277352543899,"496/18903",4.17478176387136e-12,8.5931118264801,2.02542833154559e-09,"ABL1/ACVR2B/ADNP/ADRA1A/AFAP1L2/AGT/AKAP13/ALK/AMBRA1/ANGPT1/AXIN1/BMPR2/CAMKK2/CASS4/CDKN1B/CHRNA3/CLSPN/DAB1/DAB2IP/DAG1/DAZAP2/DDR2/DDX3X/DLG3/DOCK3/EGFR/EPHA7/EPHB2/ERBB4/EZH2/FBXW7/FCGR1A/FGFR2/GRM5/HSP90AA1/IGF1R/INSR/LILRA5/LMTK2/LRRK2/LTF/MALT1/MAP3K13/MARK2/MET/MTOR/NCF1/NRG1/NTF3/NTRK1/PDGFRA/PKD2/PRKAG1/PRKAG2/PRKD1/PROX1/PTPRC/RANBP2/RAPGEF2/RELN/RIPK3/ROBO1/ROR1/ROR2/RYK/SASH1/SLC1A1/SRC/STOX1/TENM1/TGFA/TGFBR2/THBS1/TLR4/TNFRSF11A/TNFSF11/VLDLR/WNK1/ZNF16/ATP2B4/EPHB1/ERBB2/ERN2/FLT4/MADD/MAP3K5/NTRK3/TAOK3/ADAM17/CAMKK1/CD4/CLU/DAXX/DRD2/EPHB6/F2/FLT3/GPRC5C/MAGED1/MAP3K12/MST1R/NEDD9/PDGFRB/PRKCD/PRLR/PTK2B/RASSF2/SYK/TLR3/CCNT2/GHR/PFKFB2",112
