"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0569243840271878,"232/8843",2.09757581542123e-10,7.16240848923143,4.87962373903255e-08,"88/287/288/477/825/1158/1278/85301/1282/1284/1285/1287/1288/1290/1293/256076/131873/1298/1311/1605/1756/1832/2006/2201/2318/91010/3339/3691/3728/284217/3908/4629/4620/9172/10529/5339/6382/6383/6444/6709/6711/6712/23353/23345/171024/7057/7060/7273/1462/7414/165904/129446/1837/3674/4000/25777/23224/71/272/23500/2273/2275/4627/7094/83660/1301/56776",67
"hsa04512","hsa04512","ECM-receptor interaction",0.0280373831775701,"89/8843",1.2066131683165e-08,5.70358809129349,1.40348163262078e-06,"960/1278/1282/1284/1285/1287/1288/1293/256076/131873/1298/1311/1605/80144/341640/3339/3691/284217/3908/3913/3915/5649/6382/7057/7060/948/158326/3674/3371/9899/7143/3910/3909",33
"hsa04510","hsa04510","Focal adhesion",0.0475785896346644,"203/8843",3.90266070285932e-08,5.36988661562764,3.0262737380067e-06,"208/2909/394/1278/1282/1284/1285/1287/1288/1293/256076/131873/1298/1311/1956/2316/2317/3480/3691/284217/3908/3913/3915/4233/5156/5295/5296/4660/5579/5829/5894/2889/5649/399694/6654/6714/7057/7060/7414/331/2064/2324/3674/4638/5293/3371/71/2534/5063/56924/5159/7094/83660/7143/3910/3909",56
"hsa04360","hsa04360","Axon guidance",0.0424808836023789,"184/8843",3.4732700417219e-07,4.54544759722504,2.0199807347909e-05,"25/22885/23365/659/1072/7852/2045/2048/2771/3845/3985/4233/4893/56288/5295/5296/5335/5362/91584/5894/5921/6091/6092/6259/10500/6585/9353/6714/57522/23380/54434/85464/7220/7223/7225/8633/137970/816/2047/3897/5293/10507/80031/2051/2534/4773/5063/56924/10509/54361",50
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0339847068819031,"149/8843",7.07457703057887e-06,3.45857720592293,0.000246727534396945,"109/111/115/183/208/553/1606/8527/160851/1785/1956/9846/2911/2913/2915/2918/3643/3845/23566/2475/4893/5156/5295/5296/23236/5335/5737/5894/5900/399694/6654/5293/113/2147/2534/5159/5332/5337/2185/6850",40
"hsa05165","hsa05165","Human papillomavirus infection",0.0620220900594732,"333/8843",7.26211158050154e-06,3.45857720592293,0.000246727534396945,"208/324/533/8312/1027/1108/1278/1282/1284/1285/1287/1288/1293/256076/131873/1298/1311/148327/1387/1740/1741/1956/2033/3280/3134/3454/3551/3659/3691/182/3845/284217/3908/3913/3915/9223/55534/2475/4893/8638/56288/5295/5296/5525/5528/5566/5734/5829/5894/5925/5649/6654/6773/7057/7060/7157/27175/23352/7482/7473/7483/3674/5293/3371/3716/84441/5159/5934/7098/7143/3910/54361/3909",73
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.022090059473237,"80/8843",7.42415431556417e-06,3.45857720592293,0.000246727534396945,"208/598/1956/2263/2309/3480/3845/4233/2475/4893/3084/5156/5295/5296/5335/5579/5894/399694/6654/6714/7039/2064/5293/3716/5159/6194",26
"hsa04020","hsa04020","Calcium signaling pathway",0.0501274426508071,"254/8843",8.81701825499362e-06,3.44189440331199,0.000256389609783367,"109/115/148/488/491/553/623/624/773/775/776/8911/57118/7852/1910/1956/2066/2263/9630/2903/2904/116443/2911/2915/3358/3707/3710/3973/4233/4914/5137/5156/23236/51196/5335/5566/5579/5737/6262/6546/6547/6786/6870/7039/53373/493/816/2064/2324/4638/4916/7942/113/4486/4773/5159/5332/2185/444",59
"hsa04015","hsa04015","Rap1 signaling pathway",0.0433305012744265,"212/8843",1.28552331488614e-05,3.37006400890812,0.000302503786920458,"109/111/115/208/284/999/9732/1956/2263/2771/2903/2904/3480/3643/3845/23566/9223/9863/260425/1432/4233/4893/56288/5156/5295/5296/23236/51196/5335/5579/5587/5894/5900/2889/9693/51735/6714/7057/2324/3674/5293/57568/7074/71/113/1813/5159/5217/5332/7094/83660",51
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0654205607476635,"362/8843",1.30035564513319e-05,3.37006400890812,0.000302503786920458,"208/284/598/672/1027/1278/1282/1284/1285/1287/1288/1293/256076/131873/1298/1311/148327/1956/2066/2263/2309/3320/3454/3480/3551/3643/3691/3845/284217/3908/3913/3915/23566/9223/9863/4233/2475/3164/4893/4908/4914/5106/5156/118788/5295/5296/5585/5525/5528/5894/5649/6654/7039/7057/7060/7099/7157/11140/1441/2064/2324/3674/5293/3371/2322/2783/3716/5159/5618/5934/6194/6850/7143/2690/3566/3910/3909",77
