"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0009416","BP","GO:0009416","response to light stimulus",0.8,"321/18903",4.02708334912562e-07,3.49958683560453,6.82484651799184e-05,"EGFR/BRAF/KRAS/TP53",4
"GO:0009314","BP","GO:0009314","response to radiation",0.8,"452/18903",1.58286441534728e-06,3.20616373387047,0.000134126932037322,"EGFR/BRAF/KRAS/TP53",4
"GO:1903800","BP","GO:1903800","positive regulation of miRNA maturation",0.4,"12/18903",3.69042014625162e-06,3.01462289623081,0.00020847636615667,"EGFR/TP53",2
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process",0.6,"218/18903",1.48732649859339e-05,2.7607766377616,0.000374027114597721,"BRAF/KRAS/TP53",3
"GO:2000637","BP","GO:2000637","positive regulation of miRNA-mediated gene silencing",0.4,"24/18903",1.54130734406568e-05,2.7607766377616,0.000374027114597721,"EGFR/TP53",2
"GO:0060148","BP","GO:0060148","positive regulation of post-transcriptional gene silencing",0.4,"25/18903",1.67515669180002e-05,2.7607766377616,0.000374027114597721,"EGFR/TP53",2
"GO:1900370","BP","GO:1900370","positive regulation of post-transcriptional gene silencing by RNA",0.4,"25/18903",1.67515669180002e-05,2.7607766377616,0.000374027114597721,"EGFR/TP53",2
"GO:1903798","BP","GO:1903798","regulation of miRNA maturation",0.4,"26/18903",1.81456093872355e-05,2.7607766377616,0.000374027114597721,"EGFR/TP53",2
"GO:0070920","BP","GO:0070920","regulation of production of small RNA involved in gene silencing by RNA",0.4,"28/18903",2.11002704995618e-05,2.7607766377616,0.000374027114597721,"EGFR/TP53",2
"GO:0051402","BP","GO:0051402","neuron apoptotic process",0.6,"255/18903",2.37817769292637e-05,2.7607766377616,0.000374027114597721,"BRAF/KRAS/TP53",3
"GO:0002360","BP","GO:0002360","T cell lineage commitment",0.4,"30/18903",2.42769152021502e-05,2.7607766377616,0.000374027114597721,"BRAF/TP53",2
"GO:0007611","BP","GO:0007611","learning or memory",0.6,"273/18903",2.91624656188298e-05,2.7189344602188,0.000411855874090491,"EGFR/BRAF/KRAS",3
"GO:0034599","BP","GO:0034599","cellular response to oxidative stress",0.6,"288/18903",3.4216960050541e-05,2.68427938352642,0.000446067252480737,"EGFR/MET/TP53",3
"GO:0060251","BP","GO:0060251","regulation of glial cell proliferation",0.4,"39/18903",4.13150695649002e-05,2.68045895362769,0.000450008555993063,"KRAS/TP53",2
"GO:0050890","BP","GO:0050890","cognition",0.6,"314/18903",4.42918081460864e-05,2.68045895362769,0.000450008555993063,"EGFR/BRAF/KRAS",3
"GO:1901214","BP","GO:1901214","regulation of neuron death",0.6,"325/18903",4.90842406911991e-05,2.68045895362769,0.000450008555993063,"BRAF/KRAS/TP53",3
"GO:0009895","BP","GO:0009895","negative regulation of catabolic process",0.6,"332/18903",5.23054544509686e-05,2.68045895362769,0.000450008555993063,"EGFR/MET/TP53",3
"GO:0060964","BP","GO:0060964","regulation of miRNA-mediated gene silencing",0.4,"45/18903",5.51631990684096e-05,2.68045895362769,0.000450008555993063,"EGFR/TP53",2
"GO:0062197","BP","GO:0062197","cellular response to chemical stress",0.6,"345/18903",5.86522796814405e-05,2.68045895362769,0.000450008555993063,"EGFR/MET/TP53",3
"GO:0008542","BP","GO:0008542","visual learning",0.4,"47/18903",6.02209945416437e-05,2.68045895362769,0.000450008555993063,"BRAF/KRAS",2
"GO:1900368","BP","GO:1900368","regulation of post-transcriptional gene silencing by RNA",0.4,"47/18903",6.02209945416437e-05,2.68045895362769,0.000450008555993063,"EGFR/TP53",2
