"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05218","hsa05218","Melanoma",1,"73/8843",3.33698236052207e-11,8.73235310592172,4.74202756495241e-10,"1956/673/3845/4233/7157",5
"hsa05223","hsa05223","Non-small cell lung cancer",1,"73/8843",3.33698236052207e-11,8.73235310592172,4.74202756495241e-10,"1956/673/3845/4233/7157",5
"hsa05226","hsa05226","Gastric cancer",1,"150/8843",1.31432421182799e-09,7.31309576760418,1.24514925331073e-08,"1956/673/3845/4233/7157",5
"hsa05219","hsa05219","Bladder cancer",0.8,"41/8843",1.98199000930001e-09,7.25968448371062,1.40809739932414e-08,"1956/673/3845/7157",4
"hsa05225","hsa05225","Hepatocellular carcinoma",1,"170/8843",2.47720838769987e-09,7.25968448371062,1.40809739932414e-08,"1956/673/3845/4233/7157",5
"hsa05205","hsa05205","Proteoglycans in cancer",1,"204/8843",6.22582204329698e-09,6.93863156879348,2.94907359945647e-08,"1956/673/3845/4233/7157",5
"hsa05213","hsa05213","Endometrial cancer",0.8,"59/8843",8.89286728271335e-09,6.85073325028103,3.61063784410918e-08,"1956/673/3845/7157",4
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.8,"71/8843",1.89643958185776e-08,6.57982799701343,6.73735114607363e-08,"1956/3845/4233/7157",4
"hsa05214","hsa05214","Glioma",0.8,"76/8843",2.50297363421884e-08,6.5330924480376,7.50282353500385e-08,"1956/673/3845/7157",4
"hsa05212","hsa05212","Pancreatic cancer",0.8,"77/8843",2.63988235490876e-08,6.5330924480376,7.50282353500385e-08,"1956/673/3845/7157",4
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.8,"80/8843",3.08440186376636e-08,6.50689874949387,7.96926797336762e-08,"1956/673/3845/4233",4
"hsa05210","hsa05210","Colorectal cancer",0.8,"87/8843",4.33817754849299e-08,6.43007043109038,9.51145043261463e-08,"1956/673/3845/7157",4
"hsa04010","hsa04010","MAPK signaling pathway",1,"300/8843",4.35060788306632e-08,6.43007043109038,9.51145043261463e-08,"1956/673/3845/4233/7157",5
"hsa05215","hsa05215","Prostate cancer",0.8,"98/8843",7.03312255860174e-08,6.26574815171064,1.38857399748221e-07,"1956/673/3845/7157",4
"hsa01522","hsa01522","Endocrine resistance",0.8,"99/8843",7.32858498671169e-08,6.26574815171064,1.38857399748221e-07,"1956/673/3845/7157",4
"hsa05224","hsa05224","Breast cancer",0.8,"148/8843",3.71936404043856e-07,5.58832831596037,6.60676507183165e-07,"1956/673/3845/7157",4
"hsa05160","hsa05160","Hepatitis C",0.8,"159/8843",4.96373894409257e-07,5.48931700983772,8.2985109282043e-07,"1956/673/3845/7157",4
"hsa05216","hsa05216","Thyroid cancer",0.6,"37/8843",6.70519953031477e-07,5.38353782039669,1.05871571531286e-06,"673/3845/7157",3
"hsa04015","hsa04015","Rap1 signaling pathway",0.8,"212/8843",1.5761454497793e-06,5.03583432962062,2.35766909385269e-06,"1956/673/3845/4233",4
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",0.8,"226/8843",2.03654970206419e-06,4.94681200335449,2.89404431345964e-06,"1956/673/3845/4233",4
"hsa05211","hsa05211","Renal cell carcinoma",0.6,"70/8843",4.6973590253767e-06,4.60504256079252,6.35732800426922e-06,"673/3845/4233",3
"hsa05220","hsa05220","Chronic myeloid leukemia",0.6,"77/8843",6.26966775174017e-06,4.49985517514567,8.09957077976003e-06,"673/3845/7157",3
"hsa05206","hsa05206","MicroRNAs in cancer",0.8,"312/8843",7.39303616547201e-06,4.44758202653369,9.13555956374115e-06,"1956/3845/4233/7157",4
"hsa04012","hsa04012","ErbB signaling pathway",0.6,"86/8843",8.75806572194368e-06,4.39248006304048,1.03713936180912e-05,"1956/673/3845",3
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.8,"362/8843",1.3371310131554e-05,4.22644306802139,1.52010683600824e-05,"1956/3845/4233/7157",4
"hsa04722","hsa04722","Neurotrophin signaling pathway",0.6,"120/8843",2.38943986400893e-05,3.99135426425316,2.61193831288426e-05,"673/3845/7157",3
"hsa04068","hsa04068","FoxO signaling pathway",0.6,"133/8843",3.25398283689779e-05,3.87362552744765,3.42524509147135e-05,"1956/673/3845",3
"hsa05161","hsa05161","Hepatitis B",0.6,"163/8843",5.98425860903414e-05,3.6248246993085,6.07424746029781e-05,"673/3845/7157",3
"hsa04510","hsa04510","Focal adhesion",0.6,"203/8843",0.000115221868411272,3.35554010574543,0.000112921613325021,"1956/673/4233",3
"hsa05163","hsa05163","Human cytomegalovirus infection",0.6,"226/8843",0.000158601243788463,3.23149168709803,0.00015025380990486,"1956/3845/7157",3
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.6,"230/8843",0.000167095846924804,3.22307305917011,0.00015319483419252,"1956/673/3845",3
"hsa04014","hsa04014","Ras signaling pathway",0.6,"238/8843",0.000184971262793197,3.19272273804791,0.000164283687349221,"1956/3845/4233",3
"hsa04730","hsa04730","Long-term depression",0.4,"60/8843",0.000446832801145688,2.82304591474592,0.000384832077541741,"673/3845",2
"hsa05165","hsa05165","Human papillomavirus infection",0.6,"333/8843",0.000500168384021039,2.78703970203895,0.00041809741079158,"1956/3845/7157",3
"hsa04720","hsa04720","Long-term potentiation",0.4,"67/8843",0.000557276012880684,2.75267471566686,0.000452524882639954,"673/3845",2
"hsa05221","hsa05221","Acute myeloid leukemia",0.4,"68/8843",0.00057403280021256,2.75204281330333,0.000453183789641495,"673/3845",2
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection",0.4,"71/8843",0.000625768205503482,2.72646525186673,0.000480675435237383,"1956/4233",2
"hsa04211","hsa04211","Longevity regulating pathway",0.4,"90/8843",0.00100418676819141,2.54776981386429,0.000725349583848532,"3845/7157",2
