"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.123404255319149,"170/18903",8.97219473078172e-25,20.5444011338327,2.27988190316916e-21,"CDH2/CDH23/DSCAML1/FAT1/FAT3/FAT4/PCDH10/PCDH11X/PCDH12/PCDH9/PCDHA10/PCDHA2/PCDHGA2/PCDHGA6/PCDHGA9/PCDHGB1/PCDHGB7/PCDHGC5/PKD1/ROBO1/ROBO2/SDK1/TENM3/CELSR3/CNTN4/CNTN6/DCHS1/DSCAM/PCDH15",29
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.14468085106383,"282/18903",8.89063916677139e-24,19.849396835916,1.12957910255716e-20,"CDH2/CDH23/DSCAML1/FAT1/FAT3/FAT4/NLGN1/PCDH10/PCDH11X/PCDH12/PCDH9/PCDHA10/PCDHA2/PCDHGA2/PCDHGA6/PCDHGA9/PCDHGB1/PCDHGB7/PCDHGC5/PKD1/ROBO1/ROBO2/SDK1/TENM1/TENM3/TENM4/TGFBR2/CELSR3/CNTN4/CNTN6/DCHS1/DSCAM/PCDH15/PTPRS",34
"GO:0050808","BP","GO:0050808","synapse organization",0.102127659574468,"432/18903",9.99595483617765e-10,5.97459679418389,8.46674911387118e-07,"ABL1/ADNP/CDH2/DOCK10/MAP1B/NLGN1/NLGN3/NRG1/PCDHGC5/PDZRN3/RELN/REST/ROBO2/SDK1/SLC8A2/TNC/ZNF365/ACHE/ANK3/CTNNB1/DSCAM/PCLO/PTPRS/TNR",24
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.0893617021276596,"377/18903",1.12034699491653e-08,5.08854564492262,6.51280147720315e-06,"ADNP/GLI3/KRAS/MACF1/MAP1B/RAPGEF2/RELN/REST/ROBO1/ROBO2/SEMA5B/SPEN/TENM4/TP53/ZNF365/CHD7/CTNNB1/DSCAM/PLXNA1/PTPRS/TNR",21
"GO:0051960","BP","GO:0051960","regulation of nervous system development",0.0978723404255319,"456/18903",1.40650650890641e-08,5.08854564492262,6.51280147720315e-06,"ADNP/GLI3/KRAS/MACF1/MAP1B/NLGN1/NLGN3/RAPGEF2/RELN/REST/ROBO1/ROBO2/SEMA5B/SPEN/TENM4/TP53/ZNF365/CHD7/CTNNB1/DSCAM/PLXNA1/PTPRS/TNR",23
"GO:0050890","BP","GO:0050890","cognition",0.0808510638297872,"314/18903",1.53781973571077e-08,5.08854564492262,6.51280147720315e-06,"ABL1/ADCY3/ADNP/AFF2/BCHE/CSMD1/DNAH11/GRIN2A/KRAS/MAP1A/NLGN3/NTF3/RELN/SHROOM4/SLC8A2/SORCS3/B3GAT1/CHD7/TNR",19
"GO:0007612","BP","GO:0007612","learning",0.0553191489361702,"150/18903",4.94495679456061e-08,4.67839256131508,1.67463793090829e-05,"ABL1/ADCY3/BCHE/CSMD1/GRIN2A/KRAS/MAP1A/NLGN3/RELN/SLC8A2/SORCS3/B3GAT1/TNR",13
"GO:0061564","BP","GO:0061564","axon development",0.0978723404255319,"490/18903",5.27226523401119e-08,4.67839256131508,1.67463793090829e-05,"ABL1/ADNP/CDH2/DSCAML1/GLI3/MACF1/MAP1A/MAP1B/MAPK8IP3/NLGN3/RELN/ROBO1/ROBO2/SEMA5B/SMAD4/TNC/ANK3/CNTN4/CNTN6/DSCAM/PLXNA1/PTPRS/TNR",23
"GO:0007611","BP","GO:0007611","learning or memory",0.0723404255319149,"273/18903",5.95759036374073e-08,4.67647169575377,1.68206118573919e-05,"ABL1/ADCY3/ADNP/AFF2/BCHE/CSMD1/DNAH11/GRIN2A/KRAS/MAP1A/NLGN3/NTF3/RELN/SLC8A2/SORCS3/B3GAT1/TNR",17
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0893617021276596,"430/18903",1.06492211184567e-07,4.46998197995001,2.70602313473204e-05,"ABL1/ADNP/ARHGAP6/CDH2/DLC1/DST/MACF1/MAP1B/NLGN1/NLGN3/NRG1/PHLDB2/PLEC/RAPGEF2/ROBO2/SDK1/ACHE/CTNNB1/DCHS1/DSCAM/PCLO",21
"GO:0007409","BP","GO:0007409","axonogenesis",0.0893617021276596,"438/18903",1.44975127730408e-07,4.37739900979187,3.34899481666225e-05,"ABL1/ADNP/CDH2/DSCAML1/GLI3/MACF1/MAP1A/MAP1B/NLGN3/RELN/ROBO1/ROBO2/SEMA5B/SMAD4/ANK3/CNTN4/CNTN6/DSCAM/PLXNA1/PTPRS/TNR",21
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0893617021276596,"446/18903",1.95918600111508e-07,4.30310829155412,3.97379257181866e-05,"ABL1/ADNP/CDH2/CSMD3/FAT3/HSPA5/MACF1/MAP1B/NLGN1/RAPGEF2/RELN/ROBO1/ROBO2/SEMA5B/TENM3/ZNF365/DSCAM/HECW2/PLXNA1/PTPRS/TNR",21
