"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:2001241","BP","GO:2001241","positive regulation of extrinsic apoptotic signaling pathway in absence of ligand",0.333333333333333,"11/18903",4.61204894583843e-06,2.4978868704509,0.0010195055564485,"NF1/RET",2
"GO:0048169","BP","GO:0048169","regulation of long-term neuronal synaptic plasticity",0.333333333333333,"23/18903",2.117952315344e-05,2.15250475644895,0.00225824839941516,"HRAS/NF1",2
"GO:0071695","BP","GO:0071695","anatomical structure maturation",0.5,"250/18903",4.4388698115742e-05,2.15250475644895,0.00225824839941516,"EPAS1/NF1/RET",3
"GO:1903539","BP","GO:1903539","protein localization to postsynaptic membrane",0.333333333333333,"35/18903",4.97252375712676e-05,2.15250475644895,0.00225824839941516,"HRAS/SCRIB",2
"GO:0062237","BP","GO:0062237","protein localization to postsynapse",0.333333333333333,"36/18903",5.26428179310688e-05,2.15250475644895,0.00225824839941516,"HRAS/SCRIB",2
"GO:0043547","BP","GO:0043547","positive regulation of GTPase activity",0.5,"283/18903",6.4224603800976e-05,2.15250475644895,0.00225824839941516,"HRAS/NF1/SCRIB",3
"GO:0021700","BP","GO:0021700","developmental maturation",0.5,"304/18903",7.94668522016734e-05,2.15250475644895,0.00225824839941516,"EPAS1/NF1/RET",3
"GO:2001239","BP","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand",0.333333333333333,"46/18903",8.63625858159251e-05,2.15250475644895,0.00225824839941516,"NF1/RET",2
"GO:0048483","BP","GO:0048483","autonomic nervous system development",0.333333333333333,"48/18903",9.40961192696956e-05,2.15250475644895,0.00225824839941516,"NF1/RET",2
"GO:2001238","BP","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway",0.333333333333333,"50/18903",0.000102158856164019,2.15250475644895,0.00225824839941516,"NF1/RET",2
"GO:0097120","BP","GO:0097120","receptor localization to synapse",0.333333333333333,"56/18903",0.000128319477203083,2.15198073276581,0.0022609748670914,"HRAS/SCRIB",2
"GO:0008347","BP","GO:0008347","glial cell migration",0.333333333333333,"57/18903",0.000132966855278947,2.15198073276581,0.0022609748670914,"NF1/SCRIB",2
"GO:0048168","BP","GO:0048168","regulation of neuronal synaptic plasticity",0.333333333333333,"57/18903",0.000132966855278947,2.15198073276581,0.0022609748670914,"HRAS/NF1",2
"GO:0043087","BP","GO:0043087","regulation of GTPase activity",0.5,"376/18903",0.000149343852296551,2.1337214640895,0.00235806082573501,"HRAS/NF1/SCRIB",3
"GO:0099072","BP","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels",0.333333333333333,"63/18903",0.000162571579417198,2.12682741213298,0.00239579169667449,"HRAS/SCRIB",2
"GO:0038034","BP","GO:0038034","signal transduction in absence of ligand",0.333333333333333,"68/18903",0.00018949130656195,2.12675107113958,0.00239621286986835,"NF1/RET",2
"GO:0097192","BP","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand",0.333333333333333,"68/18903",0.00018949130656195,2.12675107113958,0.00239621286986835,"NF1/RET",2
"GO:0035418","BP","GO:0035418","protein localization to synapse",0.333333333333333,"69/18903",0.000195120190832137,2.12675107113958,0.00239621286986835,"HRAS/SCRIB",2
"GO:0042060","BP","GO:0042060","wound healing",0.5,"442/18903",0.000240962545026448,2.07705322648255,0.00268672515219237,"HRAS/NF1/SCRIB",3
"GO:0032729","BP","GO:0032729","positive regulation of interferon-gamma production",0.333333333333333,"77/18903",0.000243084656626929,2.07705322648255,0.00268672515219237,"HRAS/SCRIB",2
"GO:0048145","BP","GO:0048145","regulation of fibroblast proliferation",0.333333333333333,"87/18903",0.000310353815394278,1.99214298398938,0.00326688226730819,"HRAS/NF1",2
"GO:0001656","BP","GO:0001656","metanephros development",0.333333333333333,"92/18903",0.000347025694196369,1.96384182725171,0.00348686104216447,"NF1/RET",2
"GO:0070664","BP","GO:0070664","negative regulation of leukocyte proliferation",0.333333333333333,"96/18903",0.000377817132607835,1.94683020990469,0.00362615411126209,"NF1/SCRIB",2
"GO:1902414","BP","GO:1902414","protein localization to cell junction",0.333333333333333,"98/18903",0.000393696732079884,1.94683020990469,0.00362615411126209,"HRAS/SCRIB",2
"GO:0048144","BP","GO:0048144","fibroblast proliferation",0.333333333333333,"103/18903",0.000434804819513934,1.92142643746628,0.00384458998307057,"HRAS/NF1",2
"GO:0032609","BP","GO:0032609","interferon-gamma production",0.333333333333333,"119/18903",0.000579833287996518,1.82984139784464,0.00474717311810014,"HRAS/SCRIB",2
"GO:0032649","BP","GO:0032649","regulation of interferon-gamma production",0.333333333333333,"119/18903",0.000579833287996518,1.82984139784464,0.00474717311810014,"HRAS/SCRIB",2
"GO:0001838","BP","GO:0001838","embryonic epithelial tube formation",0.333333333333333,"127/18903",0.000660019738775242,1.78938188553972,0.0052106821482256,"RET/SCRIB",2
"GO:2001235","BP","GO:2001235","positive regulation of apoptotic signaling pathway",0.333333333333333,"135/18903",0.000745297424748206,1.75184915539113,0.00568103300171046,"NF1/RET",2
"GO:0072175","BP","GO:0072175","epithelial tube formation",0.333333333333333,"139/18903",0.000789839967321594,1.74136292677432,0.00581987344342227,"RET/SCRIB",2
"GO:0007269","BP","GO:0007269","neurotransmitter secretion",0.333333333333333,"151/18903",0.000931055979077794,1.71433473688568,0.00619357970160814,"NF1/SCRIB",2
"GO:0099643","BP","GO:0099643","signal release from synapse",0.333333333333333,"151/18903",0.000931055979077794,1.71433473688568,0.00619357970160814,"NF1/SCRIB",2
"GO:0016331","BP","GO:0016331","morphogenesis of embryonic epithelium",0.333333333333333,"153/18903",0.00095569573584011,1.71433473688568,0.00619357970160814,"RET/SCRIB",2
"GO:0035148","BP","GO:0035148","tube formation",0.333333333333333,"155/18903",0.000980650119421289,1.71433473688568,0.00619357970160814,"RET/SCRIB",2
"GO:2001236","BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway",0.333333333333333,"155/18903",0.000980650119421289,1.71433473688568,0.00619357970160814,"NF1/RET",2
"GO:0021915","BP","GO:0021915","neural tube development",0.333333333333333,"164/18903",0.00109683100654667,1.67794355974251,0.00673492723318133,"NF1/SCRIB",2
"GO:0002262","BP","GO:0002262","myeloid cell homeostasis",0.333333333333333,"169/18903",0.001164117348724,1.66398574063029,0.00695489738924721,"EPAS1/NF1",2
"GO:0031503","BP","GO:0031503","protein-containing complex localization",0.333333333333333,"178/18903",0.00129015079532903,1.63738666049105,0.00739417639813772,"HRAS/SCRIB",2
"GO:0048771","BP","GO:0048771","tissue remodeling",0.333333333333333,"179/18903",0.0013045439788143,1.63738666049105,0.00739417639813772,"EPAS1/NF1",2
"GO:0043405","BP","GO:0043405","regulation of MAP kinase activity",0.333333333333333,"186/18903",0.00140747187491043,1.62151655664281,0.00766937389527304,"HRAS/NF1",2
"GO:0048469","BP","GO:0048469","cell maturation",0.333333333333333,"187/18903",0.00142248625343279,1.62151655664281,0.00766937389527304,"EPAS1/RET",2
"GO:0048167","BP","GO:0048167","regulation of synaptic plasticity",0.333333333333333,"207/18903",0.00173900290278614,1.54472976155199,0.00915264685676918,"HRAS/NF1",2
"GO:0006836","BP","GO:0006836","neurotransmitter transport",0.333333333333333,"212/18903",0.00182294378683056,1.53447595692357,0.00937131444882293,"NF1/SCRIB",2
"GO:0043523","BP","GO:0043523","regulation of neuron apoptotic process",0.333333333333333,"218/18903",0.00192620190003443,1.53123690525866,0.00944146879913324,"HRAS/NF1",2
"GO:0001505","BP","GO:0001505","regulation of neurotransmitter levels",0.333333333333333,"219/18903",0.00194367934566577,1.53123690525866,0.00944146879913324,"NF1/SCRIB",2
"GO:0050679","BP","GO:0050679","positive regulation of epithelial cell proliferation",0.333333333333333,"224/18903",0.00203221209321402,1.53123690525866,0.00944146879913324,"HRAS/NF1",2
"GO:0097191","BP","GO:0097191","extrinsic apoptotic signaling pathway",0.333333333333333,"224/18903",0.00203221209321402,1.53123690525866,0.00944146879913324,"NF1/RET",2
"GO:0033157","BP","GO:0033157","regulation of intracellular protein transport",0.333333333333333,"225/18903",0.00205014751066893,1.53123690525866,0.00944146879913324,"HRAS/NF1",2
"GO:0051402","BP","GO:0051402","neuron apoptotic process",0.333333333333333,"255/18903",0.00262349691638781,1.50251239228131,0.0100870477166163,"HRAS/NF1",2
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation",0.333333333333333,"269/18903",0.00291427789570266,1.50251239228131,0.0100870477166163,"NF1/SCRIB",2
"GO:0090150","BP","GO:0090150","establishment of protein localization to membrane",0.333333333333333,"270/18903",0.00293560957598202,1.50251239228131,0.0100870477166163,"HRAS/SCRIB",2
"GO:0090596","BP","GO:0090596","sensory organ morphogenesis",0.333333333333333,"272/18903",0.0029784970139454,1.50251239228131,0.0100870477166163,"NF1/SCRIB",2
"GO:0001894","BP","GO:0001894","tissue homeostasis",0.333333333333333,"275/18903",0.00304338786496015,1.50251239228131,0.0100870477166163,"EPAS1/NF1",2
"GO:0033034","BP","GO:0033034","positive regulation of myeloid cell apoptotic process",0.166666666666667,"10/18903",0.00317032319109012,1.50251239228131,0.0100870477166163,"NF1",1
"GO:0035860","BP","GO:0035860","glial cell-derived neurotrophic factor receptor signaling pathway",0.166666666666667,"10/18903",0.00317032319109012,1.50251239228131,0.0100870477166163,"RET",1
"GO:0098887","BP","GO:0098887","neurotransmitter receptor transport, endosome to postsynaptic membrane",0.166666666666667,"10/18903",0.00317032319109012,1.50251239228131,0.0100870477166163,"SCRIB",1
"GO:0099639","BP","GO:0099639","neurotransmitter receptor transport, endosome to plasma membrane",0.166666666666667,"10/18903",0.00317032319109012,1.50251239228131,0.0100870477166163,"SCRIB",1
"GO:1902946","BP","GO:1902946","protein localization to early endosome",0.166666666666667,"10/18903",0.00317032319109012,1.50251239228131,0.0100870477166163,"SCRIB",1
"GO:0007494","BP","GO:0007494","midgut development",0.166666666666667,"11/18903",0.00348689430530447,1.50251239228131,0.0100870477166163,"RET",1
"GO:0010624","BP","GO:0010624","regulation of Schwann cell proliferation",0.166666666666667,"11/18903",0.00348689430530447,1.50251239228131,0.0100870477166163,"NF1",1
"GO:0014010","BP","GO:0014010","Schwann cell proliferation",0.166666666666667,"11/18903",0.00348689430530447,1.50251239228131,0.0100870477166163,"NF1",1
