"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0097193","BP","GO:0097193","intrinsic apoptotic signaling pathway",0.276595744680851,"298/18903",2.49106811652283e-13,9.21462561169625,2.79786282139985e-10,"ATM/FBXW7/MDM2/NFE2L2/TP53/AKT1/BRCA2/CLU/MSH6/MYC/PIK3R1/BRCA1/PIK3CB",13
"GO:0048732","BP","GO:0048732","gland development",0.297872340425532,"441/18903",1.95189836086965e-12,8.65359131623845,1.01826475709892e-09,"AKT2/AR/ASXL1/ATM/FBXW7/FOXA1/AKT1/MET/BRAF/BRCA2/CDKN1B/CTNNB1/PTEN/PIK3CA",14
"GO:0009314","BP","GO:0009314","response to radiation",0.297872340425532,"452/18903",2.71982620218549e-12,8.65359131623845,1.01826475709892e-09,"AKT2/ATM/ATR/ERCC4/MDM2/TP53/AKT1/BRAF/BRCA2/KRAS/MSH6/MYC/PIK3R1/BRCA1",14
"GO:2001233","BP","GO:2001233","regulation of apoptotic signaling pathway",0.276595744680851,"374/18903",4.43263210412107e-12,8.56640951861706,1.24463643555189e-09,"AR/FBXW7/MDM2/NFE2L2/TP53/AKT1/CLU/CTNNB1/MYC/PTEN/RB1/BRCA1/PIK3CB",13
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus",0.25531914893617,"335/18903",2.36379090366631e-11,8.01555340819362,4.42485069159991e-09,"AKT2/ATM/ATR/ERCC4/MDM2/TP53/BRCA2/MYC/PIK3R1/PTEN/BRCA1/PIK3CA",12
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus",0.25531914893617,"335/18903",2.36379090366631e-11,8.01555340819362,4.42485069159991e-09,"AKT2/ATM/ATR/ERCC4/MDM2/TP53/BRCA2/MYC/PIK3R1/PTEN/BRCA1/PIK3CA",12
"GO:0071478","BP","GO:0071478","cellular response to radiation",0.212765957446809,"189/18903",2.95387645559038e-11,7.98571692768389,4.73952808739088e-09,"AKT2/ATM/ATR/ERCC4/MDM2/TP53/BRCA2/MYC/PIK3R1/BRCA1",10
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition",0.276595744680851,"453/18903",4.85736586850921e-11,7.82770038505461,6.81948602855175e-09,"ATM/ATR/FBXW7/MDM2/TP53/AKT1/APC/ARID1A/BRCA2/CDKN1B/PTEN/RB1/BRCA1",13
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition",0.234042553191489,"280/18903",6.72204405747327e-11,7.73775236972849,8.3887965021333e-09,"ATM/FBXW7/MDM2/TP53/AKT1/APC/ARID1A/CDKN1B/MYC/PTEN/RB1",11
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition",0.212765957446809,"213/18903",9.61417379055984e-11,7.62809924648988,1.07982351942393e-08,"ATM/FBXW7/MDM2/TP53/AKT1/APC/ARID1A/CDKN1B/PTEN/RB1",10
