"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05215","hsa05215","Prostate cancer",0.340909090909091,"98/8843",2.71877895755479e-19,16.3079475251625,1.60264864866388e-17,"208/367/2078/4193/7157/207/673/1027/1499/3845/5295/5728/5925/5290/5291",15
"hsa05220","hsa05220","Chronic myeloid leukemia",0.295454545454545,"77/8843",2.40336584357865e-17,14.6948464922513,6.57566007636709e-16,"208/4193/861/7157/207/673/1027/3845/4609/5295/5925/5290/5291",13
"hsa05213","hsa05213","Endometrial cancer",0.272727272727273,"59/8843",4.2556954925063e-17,14.6948464922513,6.57566007636709e-16,"208/7157/207/324/673/1499/3845/4609/5295/5728/5290/5291",12
"hsa05225","hsa05225","Hepatocellular carcinoma",0.363636363636364,"170/8843",4.46205505182053e-17,14.6948464922513,6.57566007636709e-16,"208/4780/7157/207/4233/324/8289/673/1499/3845/4609/5295/5728/5925/5290/5291",16
"hsa05224","hsa05224","Breast cancer",0.340909090909091,"148/8843",1.67367957384306e-16,14.2176191135826,1.97318012916235e-15,"208/7157/207/324/673/675/1499/3845/4609/5295/5728/5925/672/5290/5291",15
"hsa05218","hsa05218","Melanoma",0.272727272727273,"73/8843",6.66751931852964e-16,13.696508392822,6.55054529539754e-15,"208/4193/7157/207/4233/673/3845/5295/5728/5925/5290/5291",12
"hsa05210","hsa05210","Colorectal cancer",0.272727272727273,"87/8843",6.13578981841661e-15,12.8280609457282,4.83865771242182e-14,"208/7157/207/324/673/1499/3845/2956/4609/5295/5290/5291",12
"hsa05226","hsa05226","Gastric cancer",0.318181818181818,"150/8843",6.56674975257247e-15,12.8280609457282,4.83865771242182e-14,"208/7157/207/4233/324/673/1027/1499/3845/4609/5295/5925/5290/5291",14
"hsa01522","hsa01522","Endocrine resistance",0.272727272727273,"99/8843",3.07088516119054e-14,12.2093003586982,2.01133998861603e-13,"208/2778/4193/7157/207/673/1027/3845/5295/5925/5290/5291",12
"hsa05214","hsa05214","Glioma",0.25,"76/8843",5.4557906852877e-14,12.0054637251335,3.21604503553801e-13,"208/4193/7157/207/673/3845/5295/5728/5925/5290/5291",11
"hsa04218","hsa04218","Cellular senescence",0.295454545454545,"157/8843",3.41026982270006e-13,11.2509253682837,1.82751301503544e-12,"208/472/545/4193/7157/207/3845/4609/5295/5728/5925/5290/5291",13
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.272727272727273,"122/8843",3.98983398310607e-13,11.2205478460984,1.95991844784158e-12,"208/4193/7157/207/1499/3845/9968/4609/10499/5295/5290/5291",12
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.227272727272727,"71/8843",1.15337995435402e-12,10.7942923782985,5.22990100759716e-12,"208/7157/207/4233/3845/4609/5295/5728/5290/5291",10
"hsa05223","hsa05223","Non-small cell lung cancer",0.227272727272727,"73/8843",1.5411213558567e-12,10.7006126221531,6.48893202465977e-12,"208/7157/207/4233/673/3845/5295/5925/5290/5291",10
"hsa05165","hsa05165","Human papillomavirus infection",0.363636363636364,"333/8843",1.82913493487108e-12,10.6561669397225,7.18817939317757e-12,"208/472/545/2778/4193/7157/207/324/1027/1499/3845/5295/5728/5925/5290/5291",16
"hsa01524","hsa01524","Platinum drug resistance",0.227272727272727,"75/8843",2.04163152245627e-12,10.6364640452582,7.52180034589154e-12,"208/472/4193/7157/207/2956/5295/672/5290/5291",10
