"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.110320284697509,"170/18903",6.06654810398639e-25,20.6662187492986,1.76504620625457e-21,"CDH23/CDH4/CDH6/CNTN6/DCHS2/FAT3/PCDH11X/PCDH11Y/PCDH17/PCDH9/PCDHA1/PCDHA10/PCDHA12/PCDHA13/PCDHA2/PCDHA4/PCDHA5/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA2/PCDHGA3/PCDHGA9/PCDHGB6/ROBO2/SDK1/CDH12/CDH18/FAT4/PCDH15",31
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.120996441281139,"282/18903",3.27915859138996e-21,17.2344279694458,4.77031281400097e-18,"CDH23/CDH4/CDH6/CNTN6/DCHS2/FAT3/PCDH11X/PCDH11Y/PCDH17/PCDH9/PCDHA1/PCDHA10/PCDHA12/PCDHA13/PCDHA2/PCDHA4/PCDHA5/PCDHA8/PCDHA9/PCDHAC1/PCDHAC2/PCDHGA2/PCDHGA3/PCDHGA9/PCDHGB6/ROBO2/SDK1/TENM2/CDH12/CDH18/FAT4/LRFN3/PCDH15/PTPRD",34
"GO:0034329","BP","GO:0034329","cell junction assembly",0.0854092526690391,"430/18903",3.12072203785688e-08,4.43202656179627,3.02655288162682e-05,"ABL1/ANK2/APC/ASIC2/BSN/CDH6/CTNNB1/DLG5/DST/EPB41L3/MACF1/MAP1B/NRG1/PCDH17/PCLO/PLEC/PTEN/ROBO2/SDK1/SHANK2/CDH12/CDH18/LRFN3/PTPRD",24
"GO:0050808","BP","GO:0050808","synapse organization",0.0818505338078292,"432/18903",1.43137819602583e-07,3.89546598887803,0.000104113929837247,"ABL1/ANK3/ASIC2/BSN/CTNNB1/DLG5/GRIN2B/MAP1B/NGEF/NRG1/PCDH17/PCLO/PDZRN3/PPFIBP1/PPFIBP2/PTEN/RELN/ROBO2/SDK1/SHANK2/LRFN3/PTPRD/SIPA1L1",23
"GO:1902414","BP","GO:1902414","protein localization to cell junction",0.0355871886120996,"98/18903",1.98889890353055e-06,2.8753535176554,0.00109048905418194,"ASIC2/BSN/DLG5/DSP/GRIN2A/PCLO/RELN/HRAS/JAK1/TJP2",10
"GO:0086001","BP","GO:0086001","cardiac muscle cell action potential",0.0320284697508897,"79/18903",2.58503696048913e-06,2.8753535176554,0.00109048905418194,"AKAP9/ANK2/ANK3/DSP/HCN1/HCN4/KCND3/RYR2/SLC8A1",9
"GO:0061337","BP","GO:0061337","cardiac conduction",0.0355871886120996,"101/18903",2.62364407030025e-06,2.8753535176554,0.00109048905418194,"AKAP9/ANK2/DSP/HCN1/HCN4/KCND3/RYR2/SLC8A1/ATP2B4/ATP2B2",10
"GO:0048738","BP","GO:0048738","cardiac muscle tissue development",0.0533807829181495,"241/18903",3.4471451537731e-06,2.81479081068664,0.00125367226381958,"ABL1/ARID2/DSP/HCN4/NRG1/PLEC/PROX1/PTEN/RYR2/SLC8A1/TTN/XIRP2/ZFPM2/FOXP1/LMNA",15
"GO:0007416","BP","GO:0007416","synapse assembly",0.0462633451957295,"184/18903",3.9355073394172e-06,2.80840217771488,0.00127225055978352,"ASIC2/BSN/DLG5/MAP1B/NRG1/PCDH17/PCLO/PTEN/ROBO2/SDK1/SHANK2/LRFN3/PTPRD",13
"GO:2001224","BP","GO:2001224","positive regulation of neuron migration",0.0177935943060498,"18/18903",5.1220460104656e-06,2.7990487731858,0.00129994822443806,"RELN/ZNF609/ARHGEF2/PLAA/SEMA6A",5
