"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04720","hsa04720","Long-term potentiation",0.0666666666666667,"67/8843",6.96548198694774e-07,3.79156084165288,0.000115846963572394,"673/2033/2890/2903/2904/5332/2891/3265/1387",9
"hsa05215","hsa05215","Prostate cancer",0.0740740740740741,"98/8843",2.20277595880598e-06,3.74706762527952,0.000128344680000975,"673/1027/1499/2033/5728/7157/6935/3265/5290/1387",10
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0814814814814815,"122/8843",2.31507808862519e-06,3.74706762527952,0.000128344680000975,"1499/2033/9968/9969/23389/5332/7157/3265/5290/1387/9611",11
"hsa05213","hsa05213","Endometrial cancer",0.0518518518518519,"59/8843",2.91204179506661e-05,2.81722352153495,0.00109199833261453,"324/673/1499/5728/7157/3265/5290",7
"hsa05033","hsa05033","Nicotine addiction",0.0444444444444444,"41/8843",3.28290637969559e-05,2.81722352153495,0.00109199833261453,"773/2890/2903/2904/8973/2891",6
"hsa04310","hsa04310","Wnt signaling pathway",0.0814814814814815,"174/8843",6.75624363674388e-05,2.58295796322823,0.00187278332386936,"324/1499/2033/5332/5467/166336/54894/7090/7091/7157/1387",11
"hsa05220","hsa05220","Chronic myeloid leukemia",0.0518518518518519,"77/8843",0.000163434496911894,2.31288047393432,0.00348790801402173,"25/673/1027/2122/7157/3265/5290",7
"hsa04024","hsa04024","cAMP signaling pathway",0.0888888888888889,"226/8843",0.000167772790547881,2.31288047393432,0.00348790801402173,"673/2033/2890/2903/2904/10021/6262/493/491/2891/5290/1387",12
"hsa05206","hsa05206","MicroRNAs in cancer",0.103703703703704,"312/8843",0.000280334746921353,2.20441273788686,0.00447747076521356,"25/324/1027/2033/5728/57521/7157/131405/6935/23414/27086/3265/5290/1387",14
"hsa04730","hsa04730","Long-term depression",0.0444444444444444,"60/8843",0.000288308869228624,2.20441273788686,0.00447747076521356,"673/773/2890/5332/2891/3265",6
"hsa04012","hsa04012","ErbB signaling pathway",0.0518518518518519,"86/8843",0.000325910188311469,2.20441273788686,0.00447747076521356,"25/673/868/1027/3084/3265/5290",7
"hsa05017","hsa05017","Spinocerebellar ataxia",0.0666666666666667,"144/8843",0.000343963501609718,2.20441273788686,0.00447747076521356,"773/2890/2903/2904/3752/5332/5649/2891/5290",9
"hsa05210","hsa05210","Colorectal cancer",0.0518518518518519,"87/8843",0.000349979518673338,2.20441273788686,0.00447747076521356,"324/673/1499/4437/7157/3265/5290",7
"hsa00310","hsa00310","Lysine degradation",0.0444444444444444,"63/8843",0.000376928100153424,2.20438153528874,0.00447779246798805,"55870/58508/55904/2122/63976/56979",6
