"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0006839","BP","GO:0006839","mitochondrial transport",1,"189/18903",9.94445897080291e-05,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0070661","BP","GO:0070661","leukocyte proliferation",1,"348/18903",0.000337963831891893,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0001701","BP","GO:0001701","in utero embryonic development",1,"393/18903",0.00043116164899415,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0001558","BP","GO:0001558","regulation of cell growth",1,"422/18903",0.000497228546006637,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle",1,"449/18903",0.000562970789962554,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0016570","BP","GO:0016570","histone modification",1,"474/18903",0.000627481591290091,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0016049","BP","GO:0016049","cell growth",1,"493/18903",0.000678849541292938,1.77143206700313,0.000125474647224588,"BAP1/TP53",2
"GO:0030223","BP","GO:0030223","neutrophil differentiation",0.5,"10/18903",0.00105778123044453,1.77143206700313,0.000125474647224588,"BAP1",1
"GO:0051974","BP","GO:0051974","negative regulation of telomerase activity",0.5,"10/18903",0.00105778123044453,1.77143206700313,0.000125474647224588,"TP53",1
"GO:0061418","BP","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia",0.5,"11/18903",0.0011635285674233,1.77143206700313,0.000125474647224588,"TP53",1
"GO:1990440","BP","GO:1990440","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress",0.5,"11/18903",0.0011635285674233,1.77143206700313,0.000125474647224588,"TP53",1
"GO:0006983","BP","GO:0006983","ER overload response",0.5,"12/18903",0.00126927030693536,1.77143206700313,0.000125474647224588,"TP53",1
