"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.0547945205479452,"170/18903",1.15631266082436e-10,6.35725542555191,3.91198830725209e-07,"CELSR1/DCHS2/DSCAML1/FAT1/FAT3/HMCN1/PCDH10/PCDH11X/PCDH15/PCDH7/PCDHA10/PCDHA2/PCDHA6/PCDHGB3/PCDHGB4/SDK1/CDH23/PCDHA9/TENM3/PLXNB2",20
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0684931506849315,"282/18903",2.63063119551572e-10,6.30130073618984,4.44992034862502e-07,"CELSR1/DCHS2/DSCAML1/FAT1/FAT3/HMCN1/PCDH10/PCDH11X/PCDH15/PCDH7/PCDHA10/PCDHA2/PCDHA6/PCDHGB3/PCDHGB4/SDK1/TENM2/CRB1/CDH23/TENM4/PCDHA9/TENM3/PLXNB2/RIC8A/PTPRD",25
"GO:0051056","BP","GO:0051056","regulation of small GTPase mediated signal transduction",0.063013698630137,"305/18903",3.00962446318447e-08,4.41893965286067,3.39401158760522e-05,"ABL2/ARHGAP35/ARHGAP5/COL3A1/GBF1/GNA13/MADD/NOTCH2/PLCE1/SIPA1L2/SLIT2/TIAM1/ARAP1/ARHGAP24/ARHGAP32/ARHGEF17/ARHGEF28/ARHGEF4/KRAS/MET/MYO9A/RALGAPA1/CUL3",23
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.0657534246575342,"377/18903",3.5802369100091e-07,3.51750410872896,0.000270488536958867,"TP53/DIP2B/MACF1/MME/MTOR/PLXNA4/PTEN/PTPRZ1/RAPGEF2/SLIT2/SPEN/TIAM1/TENM4/TNR/CAPRIN1/CTNNA1/CUX1/GOLGA4/KRAS/NF2/SHANK3/PLXNB2/PTPRD/BAIAP2",24
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.063013698630137,"352/18903",3.99757483059931e-07,3.51750410872896,0.000270488536958867,"ABL2/APC/ARHGAP35/HSP90AA1/MACF1/MTOR/NFE2L2/PLCE1/PLXNA4/RAPGEF2/SLIT2/TENM2/TIAM1/ZNF804A/ARAP1/RREB1/CAPRIN1/CUX1/GOLGA4/TENM3/PLXNB2/PTPRD/BAIAP2",23
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.0712328767123288,"446/18903",6.2983366996241e-07,3.39925608317683,0.000355137792150735,"ABL2/ARHGAP35/CSMD3/DIP2B/FAT3/MACF1/NFE2L2/PLXNA4/PTEN/RAPGEF2/SLIT2/TIAM1/ZNF804A/INPP5F/TNR/CAPRIN1/CUX1/GOLGA4/HECW1/NEDD4/SHANK3/TENM3/THOC2/PLXNB2/PTPRD/BAIAP2",26
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis",0.0465753424657534,"231/18903",2.7274393452144e-06,2.82967364524924,0.00131819399331114,"MACF1/MME/MTOR/PLXNA4/PTPRZ1/SLIT2/SPEN/TIAM1/TENM4/CAPRIN1/CUX1/GOLGA4/KRAS/SHANK3/PLXNB2/PTPRD/BAIAP2",17
"GO:0051960","BP","GO:0051960","regulation of nervous system development",0.0684931506849315,"456/18903",3.12667441753865e-06,2.82833803318184,0.00132225415499595,"TP53/DIP2B/MACF1/MME/MTOR/PLXNA4/PTEN/PTPRZ1/RAPGEF2/SLIT2/SPEN/TIAM1/TENM4/TNR/NRXN1/CAPRIN1/CTNNA1/CUX1/GOLGA4/KRAS/NF2/SHANK3/PLXNB2/PTPRD/BAIAP2",25
"GO:0061564","BP","GO:0061564","axon development",0.0712328767123288,"490/18903",3.59057396787031e-06,2.81940933801539,0.00134971985178189,"ANK3/ARHGAP35/DIP2B/DSCAML1/EXT1/HSP90AA1/MACF1/NOTCH2/PARD6B/PLXNA4/PTEN/PTPRZ1/SLIT2/TIAM1/NFASC/INPP5F/TNR/NRXN1/CTNNA1/GOLGA4/MAP1A/SZT2/PLXNB2/ACTB/CNTN5/BAIAP2",26
"GO:0043087","BP","GO:0043087","regulation of GTPase activity",0.0602739726027397,"376/18903",4.3976540965517e-06,2.77710964009871,0.00148779581750707,"ARHGAP35/IQGAP1/MTOR/PLXNA4/RAPGEF2/RICTOR/SIPA1L2/SMCR8/TIAM1/ARAP1/BCAR3/RABGAP1/TBC1D8B/ARHGAP24/ASAP2/MET/MYO9A/RALGAPA1/RGL1/PLXNB2/AKT2/GAPVD1",22
