"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05225","hsa05225","Hepatocellular carcinoma",0.0740740740740741,"170/8843",1.54589173340519e-05,2.64663975509071,0.00196141663276714,"7157/324/8289/57492/196528/2475/4780/55193/5728/6597/3845/4233/60/208",14
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.0476190476190476,"71/8843",1.82680960894979e-05,2.64663975509071,0.00196141663276714,"7157/2475/5156/5728/2261/2744/3845/4233/208",9
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0793650793650794,"232/8843",0.000128596384704343,1.97519554224213,0.00920479385252137,"287/288/1281/131873/23002/2201/4621/7273/129446/23224/1288/481/1292/60/23345",15
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0529100529100529,"122/8843",0.000271749930920556,1.78121396082858,0.0143878416050458,"7157/2475/4853/51196/8202/481/3845/60/208/10499",10
"hsa04510","hsa04510","Focal adhesion",0.0687830687830688,"203/8843",0.000399319869389698,1.78121396082858,0.0143878416050458,"2909/394/131873/3915/5156/5728/87/1288/7143/1292/4233/60/208",13
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.0740740740740741,"230/8843",0.000402013221317457,1.78121396082858,0.0143878416050458,"324/2909/10672/8826/5156/7074/87/50649/2261/3845/85464/60/208/10458",14
"hsa04015","hsa04015","Rap1 signaling pathway",0.0687830687830688,"212/8843",0.000603812503568989,1.67149898473397,0.0185229700342968,"2903/84612/5156/51196/23683/9693/57568/7074/2261/3845/4233/60/208",13
"hsa05205","hsa05205","Proteoglycans in cancer",0.0634920634920635,"204/8843",0.00139990117317009,1.41611668342051,0.0333497763236365,"7157/287/288/2066/8826/2475/51196/7074/3845/4233/60/208",12
"hsa05213","hsa05213","Endometrial cancer",0.0317460317460317,"59/8843",0.00154851881696746,1.41611668342051,0.0333497763236365,"7157/324/5728/1495/3845/208",6
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.037037037037037,"80/8843",0.00155305330918895,1.41611668342051,0.0333497763236365,"2475/5156/5728/2261/3845/4233/208",7
"hsa04974","hsa04974","Protein digestion and absorption",0.0423280423280423,"105/8843",0.00178684340019893,1.39660923949903,0.034881919008668,"1281/131873/4311/6520/1288/481/1292/6519",8
