"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",0.08,"170/18903",2.0351435000997e-12,8.19461364710028,5.86335553660304e-09,"CDH9/CNTN4/FAT3/PCDH11Y/PCDHA11/PCDHA3/PCDHA4/PCDHA6/PCDHA7/PCDHA9/PCDHAC2/PCDHGB3/PCDHGC3/PCDH15/CDHR1/DCHS2/PCDH9/CDH12",18
"GO:0098742","BP","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",0.0888888888888889,"282/18903",1.87256202020809e-10,6.53180246929973,2.69747486805765e-07,"CDH9/CNTN4/FAT3/PCDH11Y/PCDHA11/PCDHA3/PCDHA4/PCDHA6/PCDHA7/PCDHA9/PCDHAC2/PCDHGB3/PCDHGC3/TENM1/DAB1/PCDH15/CDHR1/DCHS2/PCDH9/CDH12",20
"GO:0010721","BP","GO:0010721","negative regulation of cell development",0.0488888888888889,"188/18903",1.62396651868752e-05,1.83691225903625,0.0133612662228056,"ACTN4/BCL11A/LILRB1/RB1/TP53/DAB1/MAP2/TNR/EPHA7/NF1/SEMA5B",11
"GO:0030198","BP","GO:0030198","extracellular matrix organization",0.0622222222222222,"318/18903",2.92904481524555e-05,1.83691225903625,0.0133612662228056,"ADAMTS20/COL4A1/COL4A3/COL4A6/LRP1/RB1/TNXB/COL6A5/PHLDB2/MMP26/MYH11/SMPD3/TNR/NF1",14
"GO:0043062","BP","GO:0043062","extracellular structure organization",0.0622222222222222,"319/18903",3.03163948656048e-05,1.83691225903625,0.0133612662228056,"ADAMTS20/COL4A1/COL4A3/COL4A6/LRP1/RB1/TNXB/COL6A5/PHLDB2/MMP26/MYH11/SMPD3/TNR/NF1",14
"GO:0007158","BP","GO:0007158","neuron cell-cell adhesion",0.0177777777777778,"16/18903",3.17897224981159e-05,1.83691225903625,0.0133612662228056,"CNTN4/NRXN3/TNR/NRXN1",4
"GO:0045229","BP","GO:0045229","external encapsulating structure organization",0.0622222222222222,"321/18903",3.24634345566887e-05,1.83691225903625,0.0133612662228056,"ADAMTS20/COL4A1/COL4A3/COL4A6/LRP1/RB1/TNXB/COL6A5/PHLDB2/MMP26/MYH11/SMPD3/TNR/NF1",14
"GO:0043025","CC","GO:0043025","neuronal cell body",0.0836820083682008,"497/19869",2.67803993664832e-06,3.05763519813771,0.000676557457679575,"AKAP12/BRINP3/CACNA1E/CNGA3/COBL/GRIK3/OPRM1/PDE1A/SEZ6L/SHANK2/SLC12A5/SLC8A3/ZNF804A/DRP2/GRIN3A/IGF2BP1/MAP2/ATP2B2/EPHA7/NRXN1",20
"GO:0016514","CC","GO:0016514","SWI/SNF complex",0.0209205020920502,"30/19869",2.69203417813778e-05,2.371913550853,0.00328115187369084,"ARID1A/BCL11A/DPF3/RB1/BCL11B",5
"GO:0043292","CC","GO:0043292","contractile fiber",0.0502092050209205,"242/19869",3.89636785000787e-05,2.371913550853,0.00328115187369084,"ACTN4/AHNAK/ANK1/ANK3/CMYA5/FHOD3/PDE4DIP/PLEC/RYR2/TTN/XIRP2/MYH11",12
"GO:0043194","CC","GO:0043194","axon initial segment",0.0167364016736402,"20/19869",8.50081633373428e-05,2.24090940028699,0.00443639782268167,"ANK3/CNGA3/MAP2/KCNA4",4
"GO:0016528","CC","GO:0016528","sarcoplasm",0.0292887029288703,"89/19869",9.9494853723669e-05,2.24090940028699,0.00443639782268167,"ANK1/ANK3/CMYA5/PLEC/RYR2/SLC8A3/BCL9",7
"GO:0070603","CC","GO:0070603","SWI/SNF superfamily-type complex",0.0292887029288703,"90/19869",0.000106795373916192,2.24090940028699,0.00443639782268167,"ARID1A/BCL11A/DPF3/RB1/CHD5/CECR2/BCL11B",7
"GO:0030016","CC","GO:0030016","myofibril",0.0460251046025105,"233/19869",0.000126481781930862,2.24090940028699,0.00443639782268167,"ACTN4/AHNAK/ANK1/ANK3/CMYA5/FHOD3/PDE4DIP/PLEC/RYR2/TTN/XIRP2",11
"GO:1904949","CC","GO:1904949","ATPase complex",0.0292887029288703,"94/19869",0.000140485931051586,2.24090940028699,0.00443639782268167,"ARID1A/BCL11A/DPF3/RB1/CHD5/CECR2/BCL11B",7
"GO:0042383","CC","GO:0042383","sarcolemma",0.0334728033472803,"136/19869",0.000244623673829568,2.05119627253326,0.00686662944082999,"AHNAK/AHNAK2/ANK3/OPRM1/PLEC/RYR2/SLC8A3/COL6A3",8
"GO:0016342","CC","GO:0016342","catenin complex",0.0167364016736402,"31/19869",0.000497643552343078,1.78853386578039,0.0125720476381409,"APC/CDH9/CTNNA2/CDH12",4
"GO:0043034","CC","GO:0043034","costamere",0.0125523012552301,"16/19869",0.000857220369453473,1.59636528579227,0.0195692687682429,"AHNAK/ANK3/PLEC",3
"GO:0099572","CC","GO:0099572","postsynaptic specialization",0.0502092050209205,"342/19869",0.000938264820697445,1.59636528579227,0.0195692687682429,"BCL11A/BSN/CHRNA9/DLGAP2/PCLO/SHANK2/SLC8A3/DLGAP1/DRP2/GRIN3A/ATP2B2/EPHA7",12
"GO:0030018","CC","GO:0030018","Z disc",0.0292887029288703,"130/19869",0.00100700195536583,1.59636528579227,0.0195692687682429,"ACTN4/ANK3/FHOD3/PLEC/RYR2/TTN/XIRP2",7
