"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0048169","BP","GO:0048169","regulation of long-term neuronal synaptic plasticity",0.4,"23/18903",1.41301466591803e-05,2.36984638755507,0.00150225769744969,"KIT/KRAS",2
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development",0.6,"279/18903",3.11202619639302e-05,2.32797980857265,0.00165428760966155,"KIT/KRAS/FLRT2",3
"GO:0008542","BP","GO:0008542","visual learning",0.4,"47/18903",6.02209945416437e-05,2.2704681177428,0.00188852486723841,"KIT/KRAS",2
"GO:0007632","BP","GO:0007632","visual behavior",0.4,"53/18903",7.67176618079954e-05,2.2704681177428,0.00188852486723841,"KIT/KRAS",2
"GO:0048168","BP","GO:0048168","regulation of neuronal synaptic plasticity",0.4,"57/18903",8.88167635582419e-05,2.2704681177428,0.00188852486723841,"KIT/KRAS",2
"GO:0051960","BP","GO:0051960","regulation of nervous system development",0.6,"456/18903",0.00013451236825446,2.16938208838394,0.00238346477082463,"KIT/KRAS/FLRT2",3
"GO:0008306","BP","GO:0008306","associative learning",0.4,"85/18903",0.000198080234194378,2.06824995624139,0.00300843663964393,"KIT/KRAS",2
"GO:0007612","BP","GO:0007612","learning",0.4,"150/18903",0.00061577796925032,1.63365889698657,0.00818336511766872,"KIT/KRAS",2
"GO:0048167","BP","GO:0048167","regulation of synaptic plasticity",0.4,"207/18903",0.0011677568209889,1.41885398546456,0.0134195156168838,"KIT/KRAS",2
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis",0.4,"231/18903",0.00145126045548851,1.41885398546456,0.0134195156168838,"KIT/KRAS",2
"GO:0007611","BP","GO:0007611","learning or memory",0.4,"273/18903",0.0020192687607245,1.41885398546456,0.0134195156168838,"KIT/KRAS",2
"GO:0001894","BP","GO:0001894","tissue homeostasis",0.4,"275/18903",0.00204858154483945,1.41885398546456,0.0134195156168838,"KRAS/MUC4",2
"GO:0048872","BP","GO:0048872","homeostasis of number of cells",0.4,"296/18903",0.00236870720646662,1.41885398546456,0.0134195156168838,"KIT/KRAS",2
