"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05219","hsa05219","Bladder cancer",0.230769230769231,"41/8843",2.56216280541298e-05,2.47081934649007,0.00202276010953657,"7157/3265/7422",3
"hsa05205","hsa05205","Proteoglycans in cancer",0.307692307692308,"204/8843",0.000166982704316841,2.08752840367824,0.00488917208219763,"7157/3265/9475/7422",4
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.230769230769231,"80/8843",0.000191032169792938,2.08752840367824,0.00488917208219763,"4763/3265/7422",3
"hsa05163","hsa05163","Human cytomegalovirus infection",0.307692307692308,"226/8843",0.00024771805216468,2.08752840367824,0.00488917208219763,"7157/3265/9475/7422",4
"hsa05132","hsa05132","Salmonella infection",0.307692307692308,"251/8843",0.00037017503947605,2.00998894175834,0.00584486904435868,"3265/51143/9844/9475",4
"hsa04071","hsa04071","Sphingolipid signaling pathway",0.230769230769231,"122/8843",0.000662353123725465,1.86223846246753,0.00821344331918223,"7157/3265/9475",3
"hsa04010","hsa04010","MAPK signaling pathway",0.307692307692308,"300/8843",0.000728258640967491,1.86223846246753,0.00821344331918223,"4763/7157/3265/7422",4
"hsa05206","hsa05206","MicroRNAs in cancer",0.307692307692308,"312/8843",0.000844174959955009,1.85608358988508,0.00833067394692443,"9759/7157/3265/7422",4
"hsa04371","hsa04371","Apelin signaling pathway",0.230769230769231,"140/8843",0.00098883156667982,1.83854625619258,0.0086739611112265,"9759/6262/3265",3
"hsa05216","hsa05216","Thyroid cancer",0.153846153846154,"37/8843",0.00129074203189561,1.80584731994337,0.00935225644494179,"7157/3265",2
"hsa04921","hsa04921","Oxytocin signaling pathway",0.230769230769231,"154/8843",0.00130308106466189,1.80584731994337,0.00935225644494179,"6262/3265/9475",3
"hsa04062","hsa04062","Chemokine signaling pathway",0.230769230769231,"193/8843",0.00249088006355231,1.599464201739,0.0150417901386926,"3265/9844/9475",3
"hsa05167","hsa05167","Kaposi sarcoma-associated herpesvirus infection",0.230769230769231,"196/8843",0.00260279950681121,1.599464201739,0.0150417901386926,"7157/3265/7422",3
"hsa04510","hsa04510","Focal adhesion",0.230769230769231,"203/8843",0.00287604247557284,1.599464201739,0.0150417901386926,"3265/9475/7422",3
"hsa05203","hsa05203","Viral carcinogenesis",0.230769230769231,"205/8843",0.00295726299825472,1.599464201739,0.0150417901386926,"9759/7157/3265",3
"hsa05213","hsa05213","Endometrial cancer",0.153846153846154,"59/8843",0.00325607207967,1.599464201739,0.0150417901386926,"7157/3265",2
"hsa04370","hsa04370","VEGF signaling pathway",0.153846153846154,"60/8843",0.00336555970406083,1.599464201739,0.0150417901386926,"3265/7422",2
"hsa05417","hsa05417","Lipid and atherosclerosis",0.230769230769231,"216/8843",0.00342952815162191,1.599464201739,0.0150417901386926,"7157/3265/9475",3
"hsa04014","hsa04014","Ras signaling pathway",0.230769230769231,"238/8843",0.00450815430551105,1.57154973293166,0.0160403556738454,"4763/3265/7422",3
"hsa05211","hsa05211","Renal cell carcinoma",0.153846153846154,"70/8843",0.00455409324037005,1.57154973293166,0.0160403556738454,"3265/7422",2
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.153846153846154,"71/8843",0.00468221437935709,1.57154973293166,0.0160403556738454,"7157/3265",2
"hsa05218","hsa05218","Melanoma",0.153846153846154,"73/8843",0.00494345428792551,1.57154973293166,0.0160403556738454,"7157/3265",2
"hsa05223","hsa05223","Non-small cell lung cancer",0.153846153846154,"73/8843",0.00494345428792551,1.57154973293166,0.0160403556738454,"7157/3265",2
"hsa05131","hsa05131","Shigellosis",0.230769230769231,"249/8843",0.00511710165118934,1.57154973293166,0.0160403556738454,"7157/9844/9475",3
"hsa05214","hsa05214","Glioma",0.153846153846154,"76/8843",0.00534774231273113,1.57154973293166,0.0160403556738454,"7157/3265",2
"hsa05212","hsa05212","Pancreatic cancer",0.153846153846154,"77/8843",0.00548580164045512,1.57154973293166,0.0160403556738454,"7157/7422",2
"hsa05220","hsa05220","Chronic myeloid leukemia",0.153846153846154,"77/8843",0.00548580164045512,1.57154973293166,0.0160403556738454,"7157/3265",2
"hsa05210","hsa05210","Colorectal cancer",0.153846153846154,"87/8843",0.00695593623644654,1.48422850787044,0.019612602170432,"7157/3265",2
"hsa04211","hsa04211","Longevity regulating pathway",0.153846153846154,"90/8843",0.00742833011101865,1.47093287138193,0.0202223142768203,"7157/3265",2
"hsa05215","hsa05215","Prostate cancer",0.153846153846154,"98/8843",0.00875747612595281,1.4199049936189,0.022743575105024,"7157/3265",2
"hsa01522","hsa01522","Endocrine resistance",0.153846153846154,"99/8843",0.00893064382457277,1.4199049936189,0.022743575105024,"7157/3265",2
"hsa04933","hsa04933","AGE-RAGE signaling pathway in diabetic complications",0.153846153846154,"101/8843",0.00928161587572846,1.41695245615144,0.0228987233776196,"3265/7422",2
"hsa04137","hsa04137","Mitophagy - animal",0.153846153846154,"105/8843",0.0100019894868499,1.39785361494964,0.0239282045139949,"7157/3265",2
"hsa05165","hsa05165","Human papillomavirus infection",0.230769230769231,"333/8843",0.0114247674724192,1.35305761617311,0.0265280978461747,"7157/3265/7422",3
"hsa04722","hsa04722","Neurotrophin signaling pathway",0.153846153846154,"120/8843",0.0129181091529835,1.31229516330282,0.0291385920743989,"7157/3265",2
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.153846153846154,"122/8843",0.0133320527208933,1.31083154717512,0.0292369577212573,"7157/3265",2
