"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.101010101010101,"352/18903",1.58201796426644e-05,2.00854651087026,0.0083145364174618,"APC/BRAF/FMR1/GOLGA4/HRAS/LRRC7/MACF1/STAU2/ZNF804A/PTPRD",10
"GO:0019433","BP","GO:0019433","triglyceride catabolic process",0.0404040404040404,"31/18903",1.99790445850329e-05,2.00854651087026,0.0083145364174618,"APOB/CPS1/DDHD2/PIK3CG",4
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.111111111111111,"446/18903",2.17542925758385e-05,2.00854651087026,0.0083145364174618,"AKT1/BRAF/CSMD3/GOLGA4/LRRC7/MACF1/STAU2/ZNF804A/KANK1/PTPRD/TNR",11
"GO:0050804","BP","GO:0050804","modulation of chemical synaptic transmission",0.111111111111111,"448/18903",2.26685407532491e-05,2.00854651087026,0.0083145364174618,"BCHE/BRAF/CACNA1B/FMR1/HRAS/KMT2A/STAU2/FBXL20/PTPRD/TNR/AKAP9",11
"GO:0099177","BP","GO:0099177","regulation of trans-synaptic signaling",0.111111111111111,"449/18903",2.31380239860108e-05,2.00854651087026,0.0083145364174618,"BCHE/BRAF/CACNA1B/FMR1/HRAS/KMT2A/STAU2/FBXL20/PTPRD/TNR/AKAP9",11
"GO:0051960","BP","GO:0051960","regulation of nervous system development",0.111111111111111,"456/18903",2.66668793336665e-05,2.00854651087026,0.0083145364174618,"AKT1/BRAF/DICER1/GOLGA4/MACF1/SPEN/STAU2/TENM4/TG/PTPRD/TNR",11
"GO:0050769","BP","GO:0050769","positive regulation of neurogenesis",0.0808080808080808,"231/18903",2.90092692424559e-05,2.00854651087026,0.0083145364174618,"BRAF/DICER1/GOLGA4/MACF1/SPEN/STAU2/TENM4/PTPRD",8
"GO:0050805","BP","GO:0050805","negative regulation of synaptic transmission",0.0505050505050505,"73/18903",4.03210218274953e-05,1.92354371710137,0.0101120878425271,"BCHE/BRAF/FMR1/STAU2/TNR",5
"GO:0046461","BP","GO:0046461","neutral lipid catabolic process",0.0404040404040404,"41/18903",6.17729144559787e-05,1.83518716780394,0.0123935973634837,"APOB/CPS1/DDHD2/PIK3CG",4
"GO:0046464","BP","GO:0046464","acylglycerol catabolic process",0.0404040404040404,"41/18903",6.17729144559787e-05,1.83518716780394,0.0123935973634837,"APOB/CPS1/DDHD2/PIK3CG",4
"GO:1901983","BP","GO:1901983","regulation of protein acetylation",0.0505050505050505,"88/18903",9.884841333537e-05,1.67770029895803,0.0178108338276438,"KMT2A/PPARGC1A/TAOK1/PARK7/BRCA1",5
"GO:0051962","BP","GO:0051962","positive regulation of nervous system development",0.0808080808080808,"279/18903",0.000109283299925655,1.67770029895803,0.0178108338276438,"BRAF/DICER1/GOLGA4/MACF1/SPEN/STAU2/TENM4/PTPRD",8
"GO:0031641","BP","GO:0031641","regulation of myelination",0.0404040404040404,"48/18903",0.000115405979943022,1.67770029895803,0.0178108338276438,"AKT1/DICER1/TENM4/TG",4
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.0909090909090909,"377/18903",0.000161812884887809,1.56310019459415,0.0231891247064785,"BRAF/DICER1/GOLGA4/MACF1/SPEN/STAU2/TENM4/PTPRD/TNR",9
"GO:0071320","BP","GO:0071320","cellular response to cAMP",0.0404040404040404,"55/18903",0.000196688383480216,1.5195261254503,0.0256364818210131,"CPS1/ITPR2/PIK3CG/AKAP9",4
"GO:0010720","BP","GO:0010720","positive regulation of cell development",0.0808080808080808,"307/18903",0.000210330013628238,1.5195261254503,0.0256364818210131,"BRAF/DICER1/GOLGA4/MACF1/SPEN/STAU2/TENM4/PTPRD",8
"GO:0006641","BP","GO:0006641","triglyceride metabolic process",0.0505050505050505,"104/18903",0.000217224124558951,1.5195261254503,0.0256364818210131,"APOB/CPS1/DDHD2/PIK3CG/FBXW7",5
"GO:0044089","BP","GO:0044089","positive regulation of cellular component biogenesis",0.101010101010101,"498/18903",0.000281694209009396,1.4314798458381,0.0313981966299362,"APC/BRAF/CAND1/CLASP1/FMR1/HRAS/STAU2/PTPRD/AKAP9/PARK7",10
"GO:1903306","BP","GO:1903306","negative regulation of regulated secretory pathway",0.0303030303030303,"26/18903",0.000331931206060057,1.38369077672897,0.0350504641967019,"BRAF/FMR1/STXBP3",3
"GO:0007026","BP","GO:0007026","negative regulation of microtubule depolymerization",0.0303030303030303,"27/18903",0.000372007098780581,1.37401007014155,0.0358405347298769,"APC/CLASP1/TAOK1",3
"GO:0035065","BP","GO:0035065","regulation of histone acetylation",0.0404040404040404,"65/18903",0.000375140959003696,1.37401007014155,0.0358405347298769,"KMT2A/PPARGC1A/PARK7/BRCA1",4
"GO:0051235","BP","GO:0051235","maintenance of location",0.0808080808080808,"342/18903",0.000433714082272456,1.34230026893199,0.0385553173165076,"AKT1/APOB/CPS1/ITPR2/TRPA1/FBXW7/AKAP9/PARK7",8
"GO:0046503","BP","GO:0046503","glycerolipid catabolic process",0.0404040404040404,"68/18903",0.000445863879105983,1.34230026893199,0.0385553173165076,"APOB/CPS1/DDHD2/PIK3CG",4
"GO:1902175","BP","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",0.0303030303030303,"29/18903",0.000461207363492326,1.34230026893199,0.0385553173165076,"AKT1/FBXW7/PARK7",3
"GO:0051010","MF","GO:0051010","microtubule plus-end binding",0.0309278350515464,"21/18432",0.000175413807885345,1.35975263972676,0.0383358275965966,"APC/CLASP1/DST",3
"GO:0070840","MF","GO:0070840","dynein complex binding",0.0309278350515464,"24/18432",0.000263906059541788,1.35975263972676,0.0383358275965966,"APC/FMR1/SMC3",3
