"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05213","hsa05213","Endometrial cancer",0.1,"59/8843",1.8734147226129e-05,2.5674495722144,0.00169211721999563,"207/324/673/3265/4893",5
"hsa04725","hsa04725","Cholinergic synapse",0.12,"115/8843",4.23029304998909e-05,2.5674495722144,0.00169211721999563,"207/774/3265/3709/4893/5294",6
"hsa04726","hsa04726","Serotonergic synapse",0.12,"115/8843",4.23029304998909e-05,2.5674495722144,0.00169211721999563,"673/774/1559/3265/3709/4893",6
"hsa04910","hsa04910","Insulin signaling pathway",0.12,"138/8843",0.000117069997644296,2.39193426314771,0.0025348119985639,"207/673/3265/4893/10891/5257",6
"hsa05210","hsa05210","Colorectal cancer",0.1,"87/8843",0.000122778079480312,2.39193426314771,0.0025348119985639,"207/324/673/3265/4893",5
"hsa04371","hsa04371","Apelin signaling pathway",0.12,"140/8843",0.000126740599928195,2.39193426314771,0.0025348119985639,"207/3265/3709/4893/5294/10891",6
"hsa05224","hsa05224","Breast cancer",0.12,"148/8843",0.000171962759508909,2.32636240562943,0.00294793302015272,"207/324/673/3265/4893/672",6
"hsa04730","hsa04730","Long-term depression",0.08,"60/8843",0.000349353281366479,2.10942581156448,0.0048579630340212,"673/3265/3709/4893",4
"hsa05225","hsa05225","Hepatocellular carcinoma",0.12,"170/8843",0.00036434722755159,2.10942581156448,0.0048579630340212,"207/324/673/3265/4893/196528",6
"hsa04929","hsa04929","GnRH secretion",0.08,"65/8843",0.000475083897860442,2.04430061291144,0.00564390122441532,"207/3265/3709/4893",4
"hsa04720","hsa04720","Long-term potentiation",0.08,"67/8843",0.000533399260905883,2.04430061291144,0.00564390122441532,"673/3265/3709/4893",4
"hsa05221","hsa05221","Acute myeloid leukemia",0.08,"68/8843",0.000564390122441532,2.04430061291144,0.00564390122441532,"207/673/3265/4893",4
"hsa05211","hsa05211","Renal cell carcinoma",0.08,"70/8843",0.00063018182036716,2.03117625321359,0.00581706295723532,"207/673/3265/4893",4
"hsa05218","hsa05218","Melanoma",0.08,"73/8843",0.000738827419905884,2.02424702542903,0.00591061935924707,"207/673/3265/4893",4
"hsa05223","hsa05223","Non-small cell lung cancer",0.08,"73/8843",0.000738827419905884,2.02424702542903,0.00591061935924707,"207/673/3265/4893",4
"hsa05214","hsa05214","Glioma",0.08,"76/8843",0.000860118906579514,1.99122171765055,0.00637761501793849,"207/673/3265/4893",4
"hsa05220","hsa05220","Chronic myeloid leukemia",0.08,"77/8843",0.000903495460874619,1.99122171765055,0.00637761501793849,"207/673/3265/4893",4
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.08,"80/8843",0.00104287194079498,1.95374029378396,0.00695247960529988,"207/673/3265/4893",4
"hsa05216","hsa05216","Thyroid cancer",0.06,"37/8843",0.00115439526488937,1.93309783555386,0.00729091746245917,"673/3265/4893",3
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.1,"144/8843",0.00125542142900624,1.92058682272347,0.00750400638011823,"207/324/3265/4893/463",5
"hsa04012","hsa04012","ErbB signaling pathway",0.08,"86/8843",0.00136586545379345,1.92058682272347,0.00750400638011823,"207/673/3265/4893",4
"hsa04010","hsa04010","MAPK signaling pathway",0.14,"300/8843",0.00137573450302168,1.92058682272347,0.00750400638011823,"207/673/774/3265/4893/5495/57551",7
"hsa05226","hsa05226","Gastric cancer",0.1,"150/8843",0.00150536308743272,1.90606453217634,0.00775917389472213,"207/324/673/3265/4893",5
"hsa05219","hsa05219","Bladder cancer",0.06,"41/8843",0.0015588158900934,1.90606453217634,0.00775917389472213,"673/3265/4893",3
"hsa04211","hsa04211","Longevity regulating pathway",0.08,"90/8843",0.00161649456140044,1.90606453217634,0.00775917389472213,"207/3265/4893/10891",4
"hsa04150","hsa04150","mTOR signaling pathway",0.1,"158/8843",0.00189353058077881,1.85439979583829,0.00873937191128682,"207/673/3265/4893/153129",5
"hsa05215","hsa05215","Prostate cancer",0.08,"98/8843",0.00221082548827264,1.80350807260145,0.00982589105898952,"207/673/3265/4893",4
"hsa01522","hsa01522","Endocrine resistance",0.08,"99/8843",0.00229440261870839,1.8031871729702,0.0098331540801788,"207/673/3265/4893",4
"hsa05165","hsa05165","Human papillomavirus infection",0.14,"333/8843",0.00249632501134366,1.7817956411321,0.0103296207365944,"207/324/131873/3265/4893/7143/535",7
"hsa04625","hsa04625","C-type lectin receptor signaling pathway",0.08,"105/8843",0.00284217487469518,1.74016923012395,0.0113686994987807,"207/3265/3709/4893",4
"hsa04922","hsa04922","Glucagon signaling pathway",0.08,"107/8843",0.00304307738569827,1.72474746848915,0.0117796543962514,"207/3709/10891/5257",4
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.14,"362/8843",0.00397444119023632,1.62257267449986,0.0149041544633862,"207/131873/3265/4893/5294/7143/672",7
"hsa04062","hsa04062","Chemokine signaling pathway",0.1,"193/8843",0.0044940084763592,1.59752740205404,0.0157889269456897,"207/673/3265/4893/5294",5
"hsa04722","hsa04722","Neurotrophin signaling pathway",0.08,"120/8843",0.00459071209677601,1.59752740205404,0.0157889269456897,"207/673/3265/4893",4
"hsa04370","hsa04370","VEGF signaling pathway",0.06,"60/8843",0.00464124699206392,1.59752740205404,0.0157889269456897,"207/3265/4893",3
