"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0050770","BP","GO:0050770","regulation of axonogenesis",0.138888888888889,"156/18903",1.10072136583507e-05,1.95562904705024,0.00731159194850718,"ARHGAP35/CDKL5/MAP2/PTEN/ROBO2",5
"GO:1903829","BP","GO:1903829","positive regulation of protein localization",0.194444444444444,"451/18903",1.92624112308348e-05,1.95562904705024,0.00731159194850718,"ANK3/APC/DPP10/FBXW7/PIK3R1/TTN/EPB41L2",7
"GO:0022411","BP","GO:0022411","cellular component disassembly",0.194444444444444,"483/18903",2.98933326769391e-05,1.95562904705024,0.00731159194850718,"APC/ARID1A/FBXW7/NCKAP5/PIK3CA/PIK3R1/TP53",7
"GO:0120032","BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly",0.138888888888889,"199/18903",3.55527982341252e-05,1.95562904705024,0.00731159194850718,"APC/ARHGAP35/CDKL5/PIK3CA/PIK3R1",5
"GO:0060491","BP","GO:0060491","regulation of cell projection assembly",0.138888888888889,"201/18903",3.7292364494058e-05,1.95562904705024,0.00731159194850718,"APC/ARHGAP35/CDKL5/PIK3CA/PIK3R1",5
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization",0.166666666666667,"352/18903",4.85455187507406e-05,1.95562904705024,0.00731159194850718,"APC/ARHGAP35/CDKL5/PIK3CA/PIK3R1/ROBO2",6
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition",0.138888888888889,"213/18903",4.91628781168582e-05,1.95562904705024,0.00731159194850718,"APC/ARID1A/FBXW7/PTEN/TP53",5
"GO:0120034","BP","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly",0.111111111111111,"111/18903",5.73837201062249e-05,1.94646959413725,0.0074674341032969,"APC/ARHGAP35/PIK3CA/PIK3R1",4
"GO:0050767","BP","GO:0050767","regulation of neurogenesis",0.166666666666667,"377/18903",7.10087446465859e-05,1.91504532661307,0.00802778377377441,"CDKL5/KRAS/MAP2/PTEN/ROBO2/TP53",6
"GO:0008286","BP","GO:0008286","insulin receptor signaling pathway",0.111111111111111,"122/18903",8.29145529625805e-05,1.91504532661307,0.00802778377377441,"APC/PIK3CA/PIK3R1/ZBTB7B",4
"GO:0000819","BP","GO:0000819","sister chromatid segregation",0.138888888888889,"239/18903",8.48233978118732e-05,1.91504532661307,0.00802778377377441,"APC/ARID1A/FBXW7/PPP2R1A/TTN",5
"GO:0006984","BP","GO:0006984","ER-nucleus signaling pathway",0.0833333333333333,"47/18903",9.71018958595172e-05,1.89412184337417,0.00842401535132128,"FBXW7/TP53/ZBTB7B",3
"GO:2001235","BP","GO:2001235","positive regulation of apoptotic signaling pathway",0.111111111111111,"135/18903",0.000122738824078358,1.82712970084741,0.00982904429259074,"FBXW7/PPP2R1A/PTEN/TP53",4
"GO:0007409","BP","GO:0007409","axonogenesis",0.166666666666667,"438/18903",0.000161523186448856,1.77786833978479,0.0110096282073882,"ANK3/ARHGAP35/CDKL5/MAP2/PTEN/ROBO2",6
"GO:0044843","BP","GO:0044843","cell cycle G1/S phase transition",0.138888888888889,"280/18903",0.000178084260313398,1.77786833978479,0.0110096282073882,"APC/ARID1A/FBXW7/PTEN/TP53",5
"GO:0010975","BP","GO:0010975","regulation of neuron projection development",0.166666666666667,"446/18903",0.000178199008252735,1.77786833978479,0.0110096282073882,"ARHGAP35/CDKL5/FAT3/MAP2/PTEN/ROBO2",6
