"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05213","hsa05213","Endometrial cancer",0.260869565217391,"59/8843",6.28467497698991e-09,6.0433546856043,2.84464235800596e-07,"324/3845/5290/5295/5728/7157",6
"hsa05225","hsa05225","Hepatocellular carcinoma",0.304347826086957,"170/8843",1.62233061363655e-07,4.93252814010137,3.67159033612481e-06,"324/8289/3845/5290/5295/5728/7157",7
"hsa04071","hsa04071","Sphingolipid signaling pathway",0.260869565217391,"122/8843",5.07842167430338e-07,4.61303000401109,7.66218007000159e-06,"3845/5290/5295/5518/5728/7157",6
"hsa05230","hsa05230","Central carbon metabolism in cancer",0.217391304347826,"71/8843",8.69939739789327e-07,4.54052681555517,9.05431381362468e-06,"3845/5290/5295/5728/7157",5
"hsa05218","hsa05218","Melanoma",0.217391304347826,"73/8843",1.00018582824924e-06,4.54052681555517,9.05431381362468e-06,"3845/5290/5295/5728/7157",5
"hsa05214","hsa05214","Glioma",0.217391304347826,"76/8843",1.22394347400986e-06,4.53202739725375,9.23325778639016e-06,"3845/5290/5295/5728/7157",5
"hsa05224","hsa05224","Breast cancer",0.260869565217391,"148/8843",1.58488692407581e-06,4.48673726559345,1.0248141012821e-05,"324/3845/5290/5295/5728/7157",6
"hsa05210","hsa05210","Colorectal cancer",0.217391304347826,"87/8843",2.40242146133676e-06,4.36407829604439,1.35926477417738e-05,"324/3845/5290/5295/7157",5
"hsa05215","hsa05215","Prostate cancer",0.217391304347826,"98/8843",4.33338523393777e-06,4.15905271821587,2.17936333402718e-05,"3845/5290/5295/5728/7157",5
"hsa05165","hsa05165","Human papillomavirus infection",0.304347826086957,"333/8843",1.46747240692878e-05,3.67506756400297,6.6422435260987e-05,"324/3845/5290/5295/5518/5728/7157",7
"hsa05223","hsa05223","Non-small cell lung cancer",0.173913043478261,"73/8843",3.3611105969254e-05,3.38855319636364,0.000128478116690584,"3845/5290/5295/7157",4
"hsa05226","hsa05226","Gastric cancer",0.217391304347826,"150/8843",3.45414875878183e-05,3.38855319636364,0.000128478116690584,"324/3845/5290/5295/7157",5
"hsa05212","hsa05212","Pancreatic cancer",0.173913043478261,"77/8843",4.15024779240461e-05,3.38855319636364,0.000128478116690584,"3845/5290/5295/7157",4
"hsa05220","hsa05220","Chronic myeloid leukemia",0.173913043478261,"77/8843",4.15024779240461e-05,3.38855319636364,0.000128478116690584,"3845/5290/5295/7157",4
"hsa04218","hsa04218","Cellular senescence",0.217391304347826,"157/8843",4.30031215135207e-05,3.38855319636364,0.000128478116690584,"3845/5290/5295/5728/7157",5
"hsa05160","hsa05160","Hepatitis C",0.217391304347826,"159/8843",4.56936770761472e-05,3.38855319636364,0.000128478116690584,"3845/5290/5295/5518/7157",5
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance",0.173913043478261,"80/8843",4.82539903384404e-05,3.38855319636364,0.000128478116690584,"3845/5290/5295/5728",4
"hsa04211","hsa04211","Longevity regulating pathway",0.173913043478261,"90/8843",7.66263271509273e-05,3.23601309938223,0.000182544712880325,"3845/5290/5295/7157",4
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer",0.173913043478261,"90/8843",7.66263271509273e-05,3.23601309938223,0.000182544712880325,"3845/5290/5295/5728",4
"hsa05222","hsa05222","Small cell lung cancer",0.173913043478261,"93/8843",8.71067469099189e-05,3.20261570869578,0.000197136321954027,"5290/5295/5728/7157",4
"hsa01522","hsa01522","Endocrine resistance",0.173913043478261,"99/8843",0.000111149644655721,3.13634254447757,0.000229635915597944,"3845/5290/5295/7157",4
"hsa05206","hsa05206","MicroRNAs in cancer",0.260869565217391,"312/8843",0.000111613735720861,3.13634254447757,0.000229635915597944,"324/3845/5290/5295/5728/7157",6
